證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 持有供交易之金融資產評價調整－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產評價調整－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人－其他,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 在建房地,　　　　　 預付土地款,　　　　　 備抵存貨跌價,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 累計折舊－投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 其他非流動資產,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 持有供交易金融負債評價調整－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 股東往來,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 債券換股權利證書,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－其他受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫存現金,　　　　 應收帳款,　　　　 留抵稅額,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　　 銀行長期借款,　　　　　 資本公積－其他,　　　　　 持有供交易金融負債－流動,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債評價調整－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 債券換股權利證書,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－受贈資產,　　　　　 資本公積－其他受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券折價,　　　　 應付短期票券合計,　　　　 持有供交易金融負債－流動,　　　 庫藏股票,　　　　　 本期損益
2538,2015年09月30日,,,,                    335,              1145787,              1146122,,                161128,                 -3003,                158125,,                 83650,                   -669,                 82981,,              1534487,              1534487,,                  1663,                  1663,,                 27280,,                145101,                145101,,                              0,                              0,,,              2743326,              2181452,              4539636,                196966,                 59183,              9602197,              9602197,,                110382,                110382,,                 51177,                 51177,             12859515,,,                238589,                238589,,                 39670,                 39670,                              0,,                794427,                794427,,,                    245,                    245,,                    651,                    272,                    379,                    624,,              3543855,                892421,                 35401,              4400875,,                160800,,                154558,                154558,                315358,              5749873,             18609388,,,,,              2242000,              2242000,,                    160,                    160,,                    142,                    142,,              1157074,              1157074,,                306456,                306456,                 68396,,,              1298523,                  9059,              1307582,,              1072962,              1072962,                 39548,              2420092,              6194320,,,              3200000,,                 22863,                143800,                 32057,                198720,              3398720,              9593040,,,,              4200437,                124901,              4325338,,,                150957,                150957,                 20558,,                    121,                    121,                    415,                 30458,                202509,,                640271,,              3544907,              3544907,              4185178,,,                 83432,                 83432,                 83432,              8796457,                219891,              9016348,             18609388,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2015年06月30日,,,,,              1847543,              1847884,,                225983,,                225983,,,,,,              1087067,              1087067,,                      1,                      1,,                 42295,,                262492,                262492,,                              0,                              0,,,              2761135,              1746414,              4471136,                155890,,              9134575,              9134575,,                 19084,                100922,,                 74936,                 74936,             12776155,,,                238589,                238589,,                 40988,                 40241,                    747,,                749695,                749695,,,                    245,                    245,,                    651,                    269,                    382,                    627,,              3543855,                892421,                 27998,              4408278,,                              0,,                170574,                170574,                170574,              5568510,             18344665,,,,,              1372000,              1372000,,,                  1180,,                 13592,                 13592,,              1277788,              1277788,,                860446,                860446,                 70646,,,                530486,                748349,              1278835,,              1262039,              1262039,                 76055,              2616929,              6262581,,,              3200000,,                 27066,                143800,                 31358,                202224,              3402224,              9664805,,,,              4190253,                 10183,              4200436,,,                 81472,                 81472,                 20558,,,,,                 33834,                136400,,                640271,,              3444829,              3444829,              4085100,,,                 36717,                 36717,                 36717,              8458653,                221207,              8679860,             18344665,              0,              0,              0,                    341,                 42295,                 81838,,                 50000,                 50000,              3200000,                    536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2015年03月31日,,,,                    300,              1752852,              1753152,,                982662,                  1098,                983760,,,,,,              1194440,              1194440,,                    526,                    526,,                 14409,,                173247,                173247,,                              0,                              0,,,              3996264,              1743669,              4373221,                155890,                 59183,             10209861,             10209861,,                117845,                195430,,                 71322,                 71322,             14596147,,,                238589,                238589,,                 10988,                 10241,                    747,,                756150,                756150,,,                    245,                    245,,                    651,                    266,                    385,                    630,,              3543855,                892421,                 20683,              4415593,,                              0,,                166236,                166236,                166236,              5577945,             20174092,,,,,              1585000,              1585000,,,                    440,,                 16992,                 16992,,              1356034,              1356034,,                308899,                308899,                  6411,,,              3461678,                709936,              4171614,,              1276755,              1276755,                 55780,              5504149,              8827925,,,              3200000,,                 26920,                143800,                 31365,                202085,              3402085,             12230010,,,,              4100193,                 90060,              4190253,,,                179274,                179274,                 20558,,                    121,                    121,                    415,                 34129,                234497,,                510122,,,              2738775,              3248897,,,,                 47124,                 47124,              7720771,                223311,              7944082,             20174092,              0,              0,              0,,                 14409,                 77585,,                 50000,                 50000,,,                    440,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2014年12月31日,,,,                    285,              1309184,              1309469,,                507800,                     73,                507873,,                              0,                              0,                              0,,              1210866,              1210866,,                              0,                              0,,                 38740,,                165280,                165280,,                502312,                502312,,,              5170850,              3043036,              3214274,                155890,                 59183,             11524867,             11524867,,                252725,                252725,,                 50426,                 50426,             15562558,,,                238589,                238589,,                 40988,                 40241,                    747,,                765334,                765334,,,                    245,                    245,,                    651,                    263,                    388,                    633,,                345410,                178816,                 12566,                511660,,                275000,,                136508,                136508,                411508,              1928471,             17491029,,,,,              1832900,              1832900,,                  4853,                  4853,,                 24338,                 24338,,              1471734,              1471734,,                305137,                305137,                  6411,,,              5280428,                  5647,              5286075,,              1421810,              1421810,                 48472,              6756357,             10401730,,,                              0,,                 26774,                              0,                  3477,                 30251,                 30251,             10431981,,,,              4089644,                 10549,              4100193,,,                119511,                119511,                 20558,,                    121,                    121,                    415,                 36740,                177345,,                510122,,              2215923,              2215923,              2726045,,,                 55465,                 55465,                 55465,              7059048,                              0,              7059048,             17491029,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2014年09月30日,,,,                    285,              2195301,              2195586,,                174019,                     90,                174109,,                              0,                              0,                              0,,                637419,                637419,,                     32,                     32,,                    384,,                230257,                230257,,                311634,                311634,,,              1398399,              3122734,              5847776,                105512,                 25139,             10449282,             10449282,,                262032,                262032,,                116350,                116350,             14377085,,,                165919,                165919,,                 40988,                 40241,                    747,,                477080,                477080,,,                    245,                    245,,                    651,                    260,                    391,                    636,,                345409,                178817,                 11675,                512551,,                              0,,                131375,                131375,                131375,              1288308,             15665393,,,,,              1917900,              1917900,,                  2770,                  2770,,                 18484,                 18484,,                588960,                588960,,                296968,                296968,                  8111,,,              4308743,                  3659,              4312402,,              1436849,              1436849,                 44256,              5793507,              8626700,,,                              0,,                 29139,                              0,                  3007,                 32146,                 32146,              8658846,,,,              4087754,                  1890,              4089644,,,                112535,                112535,                 20558,,                    121,                    121,                    415,                 37045,                170674,,                510122,,              2215358,              2215358,              2725480,,,                 20749,                 20749,                 20749,              7006547,                              0,              7006547,             15665393,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2014年06月30日,,,,,              1991879,              1992164,,              1178344,,              1178344,,,,,,                625014,                625014,,                    100,                    100,,                 30380,,                128326,                128326,,                299725,                299725,,,              1398399,              3052410,              5640068,                105512,,             10196389,             10196389,,                195749,                257839,,                219569,                219569,             14927850,,,                165919,                165919,,                 40988,                 40241,                    747,,                447032,                447032,,,                    245,                    245,,                    651,                    256,                    395,                    640,,                345410,                178816,                 10785,                513441,,                              0,,                129783,                129783,                129783,              1257562,             16185412,,,,,              1877000,              1877000,,,                  1560,,                120000,                120000,,                638802,                638802,,              1014126,              1014126,                  9215,,,              3246890,                707387,              3954277,,              1437749,              1437749,                 19822,              5411848,              9222551,,,                              0,,                 28986,                              0,                  3058,                 32044,                 32044,              9254595,,,,              4087754,                              0,              4087754,,,                111290,                111290,                 20558,,,,,                 37100,                169484,,                510122,,              2151543,              2151543,              2661665,,,                 11914,                 11914,                 11914,              6930817,                              0,              6930817,             16185412,              0,              0,              0,                    285,                 30380,                 62090,,                150000,                150000,                              0,                    536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2014年03月31日,,,,                    285,              1985869,              1986154,,                404064,                     77,                404141,,,,,,                628150,                628150,,                  1213,                  1213,,                 30020,,                121317,                121317,,                245000,                245000,,,              2251524,              2829895,              5524134,                105512,                 25138,             10685927,             10685927,,                161376,                209507,,                 73487,                 73487,             14384916,,,                165919,                165919,,                 10988,                 10241,                    747,,                458964,                458964,,,                    245,                    245,,                    651,                    253,                    398,                    643,,                 78686,                 57786,                 10502,                125970,,                              0,,                134085,                134085,                134085,                886328,             15271244,,,,,              3217500,              3217500,,,                     20,,                120000,                120000,,                679335,                679335,,                188743,                188743,                 12894,,,              2247474,                707207,              2954681,,              1435572,              1435572,                 28372,              4418625,              8787117,,,                              0,,                 28834,                              0,                  2721,                 31555,                 31555,              8818672,,,,              4087754,                              0,              4087754,,,                111290,                111290,                 20558,,                    121,                    121,                    415,                 37100,                169484,,                420485,,,              1752790,              2174605,,,,                 20729,                 20729,              6452572,                              0,              6452572,             15271244,              0,              0,              0,,                 30020,                 48131,,                150000,                150000,,,                     20,                  1330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,2013年12月31日,,,,,              1010750,,,                    127,                              0,                    127,,,,,,,,,                  2000,                  2000,,                126435,,                129861,                129861,,                245950,                245950,,,              2325919,              2529566,              5057221,                147512,                 25138,             10035080,             10035080,,                161697,                199944,,                 41868,                 41868,             12040360,,,                165919,                165919,,                 10988,                 10241,                    747,,                448978,                448978,,,                    245,                    245,,                    651,                    250,                    401,                    646,,                 78686,                 57786,                 10223,                126249,,                              0,,                134754,                134754,                134754,                877293,,,,,,,,,,,                122728,,,                792507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 13919,,,,,,,,              0,              0,              0,                    285,                126435,                 38247,,,,,,,,              1011035,                248060,                248060,             12917653,,,,                982800,                982800,,                              0,                              0,,                122728,,                792507,,                150138,                150138,                 12894,,,              2257225,                707047,              2964272,,              1433399,              1433399,                 33318,              4430989,              6492056,,,                 28681,                  6115,                 34796,                 34796,              6526852,,,,              4087754,                              0,              4087754,,,                111290,                111290,                 20558,,                    121,                    121,                    415,                 37100,                169484,,                420485,                  1330,,              1697829,              1697829,              2119644,,,                 13919,                 13919,              6390801,                              0,              6390801,,,,,,
2538,2013年09月30日,,,,                    285,                296603,,,                560500,                    354,                560854,,,,,,,,,                  4530,                  4530,,                              0,,                 82624,                 82624,,                241650,                241650,,,              2687393,              2529565,              4879646,                105512,                 20046,             10182070,             10182070,,                238371,                238371,,                 41948,                 41948,             11912955,,,                              0,                              0,,                190860,                 40241,                150619,,                440557,                440557,,,                    245,                    245,,                    651,                    247,                    404,                    649,,                 78686,                 57786,                  9937,                126535,,,,                135213,                135213,                135213,                853573,,,,,,,,,,,                120000,,,                732518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  9632,,,,,,,,              0,              0,              0,,,,,,,,,,,                296888,                264020,                264020,             12766528,,,,              1979100,              1979100,,                              0,                              0,,                120000,,                732518,,                159854,                159854,                 13071,,,              3113785,                 10237,              3124022,,                462513,                462513,                 27489,              3614024,              6618567,,,                 28429,                  5697,                 34126,                 34126,              6652693,,,,              4076972,                 10782,              4087754,,,                111290,                111290,                 20558,,                    121,                    121,                    415,                  8270,                140654,,                420485,                  1330,,              1453980,              1453980,              1875795,,,                  9632,                  9632,              6113835,                              0,              6113835,,,,,,
2538,2013年06月30日,,,,,                857410,                857695,,                  9568,                              0,                  9568,,                              0,                              0,                              0,,,,,                 21923,                 21923,,                      5,,                 69710,                 69710,,,,,,              1198968,              2623836,              5961614,                229032,                 20046,              9993404,              9993404,,                220482,                435817,,                105258,                105258,             11794990,,,,,,                 12928,                 10241,                  2687,,                435973,                435973,,,                    245,                    245,,                    651,                    244,                    407,                    652,,                 78686,                 57786,                  9651,                126821,,                149872,,                144412,                144412,                144412,                710545,,,,,,,,,,,                              0,,,                439206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 14331,,,,,,,,,              0,              0,                    285,                      5,                 65463,                100000,,,,,,,,                301610,                301610,             12505535,,,,              2159030,              2159030,,,,,                              0,,                439206,,                679005,                679005,                 13120,,,              3007634,                  8153,              3015787,,                480906,                480906,                 35771,              3532464,              6922825,,,                 28264,                 13957,                 42221,                 42221,              6965046,,,,              4032180,                 44792,              4076972,,,                102657,                102657,                 20558,,                    121,                    121,                    415,                  8611,                132362,,                420485,                  1330,,                895009,                895009,              1316824,,,                 14331,                 14331,              5540489,                              0,              5540489,,                              0,                100000,,,
