證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　　　 股東往來,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　　 股東往來
2543,2015年09月30日,,,,                 77055,,                              0,,                178950,,                 14122,,              1315242,              1616579,,                 41299,,                     10,,                  2888,,                 65352,,                598856,                631377,                  4296,              1234529,              4546026,,,                              0,,                688822,,                  2011,,                 51710,,                              0,                              0,                 51710,                742543,              5288569,,,,,                618986,,                324135,,              1141370,                              0,,                121800,                 13854,,,                 37940,                 13489,                 51429,                153069,                204498,              2424643,,,                 53795,,,                              0,                              0,                 42964,                  9702,                 52666,                106461,              2531104,,,,              2419837,              2419837,,                 37087,,                              0,,                122720,                122720,                122720,,                              0,                              0,              2579644,                177821,              2757465,              5288569,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,2015年06月30日,,,,                 71132,,                 20000,,                176046,,                  5717,,              1331170,              1513811,,                 40186,,                     15,,                  2269,,                 86813,,                505014,                624249,                  5175,              1134438,              4381597,,,                              0,,                700732,,                  2183,,                 50453,,                              0,                              0,                 50453,                753368,              5134965,,,,,                469188,,                424307,,              1056424,                              0,,                121167,                 24555,,,                 42848,                 22304,                 65152,                154010,                219162,              2314803,,,                 62235,,,                              0,                              0,                 46420,                  8804,                 55224,                117459,              2432262,,,,              2419837,              2419837,,                 37087,,                              0,,                 71868,                 71868,                 71868,,                              0,                              0,              2528792,                173911,              2702703,              5134965,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,2015年03月31日,,,,                 86130,,                              0,,                391076,,                 22612,,              1313134,              1309560,,                 10515,,                     11,,                  5599,,                 76916,,                626512,                708380,                  3612,              1338504,              4554057,,,                              0,,                698418,,                  2354,,                 50457,,                              0,                              0,                 50457,                751229,              5305286,,,,,                488748,,                480648,,              1127425,                 16073,,                101574,                 46977,,,                 58556,                 29466,                 88022,                153938,                241960,              2503405,,,                 59776,,,                  1524,                  1524,                 46656,                 16110,                 64290,                124066,              2627471,,,,              2419837,              2419837,,                 53165,,                              0,,                 35089,                 35089,                 35089,,                              0,                              0,              2508091,                169724,              2677815,              5305286,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,2014年12月31日,,,,                344573,,                              0,,                401326,,                 19625,,              1128143,              1153885,,                  9118,,                     20,,                  7455,,                 67686,,                686646,                704188,                  3503,              1394337,              4526168,,,                              0,,                713045,,                  2589,,                 50457,,                    552,                    552,                 51009,                766643,              5292811,,,,,                358250,,                483829,,              1233621,                 45987,,                118835,                 37851,,,                 50865,                 33502,                 84367,                157480,                241847,              2520220,,,                 80617,,,                  6048,                  6048,                 46142,                 20203,                 72393,                153010,              2673230,,,,              2419837,              2419837,,                 53165,,                              0,,                -16078,                -16078,                -16078,,                              0,                              0,              2456924,                162657,              2619581,              5292811,              0,              0,              0,,                              0,                              0,                344573,                401326,                     20,                              0,              5292811,,,,                358250,,                483829,,              1233621,                 45987,,                118835,                 37851,,,                 50865,                 33502,                 84367,                157480,                241847,              2520220,,,                 80617,,,                  6048,                  6048,                 46142,                 20203,                 72393,                153010,              2673230,,,,              2419837,              2419837,,                 53165,,                              0,,                -16078,                -16078,                -16078,              2456924,                162657,              2619581,,,,
2543,2014年09月30日,,,,                206084,,                              0,,                987584,,                 17881,,              1269098,                877389,,                 12078,,                     30,,                  4422,,                 86565,,                412390,                717075,                    812,              1130277,              4591408,,,                              0,,                706753,,                  1124,,                 50487,,                     84,                     84,                 50571,                758448,              5349856,,,,,                560175,,                598649,,              1104263,                 26128,,                120686,                 19915,,,                 56277,                 34496,                 90773,                152982,                243755,              2673571,,,                 91735,,,                 13489,                 13489,                 44500,                 21696,                 79685,                171420,              2844991,,,,              2419837,              2419837,,                 53165,,                              0,,               -117675,               -117675,               -117675,,                              0,                              0,              2355327,                149538,              2504865,              5349856,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,2014年06月30日,,,,                 59823,,                              0,,              1199498,,                 18455,,                897809,                616434,,                 38360,,                  1834,,                  7724,,                 64850,,                366995,                717909,                    592,              1085496,              3990283,,,                              0,,                713195,,                  1266,,                 50667,,                     78,                     78,                 50745,                765206,              4755489,,,,,                526990,,                251195,,              1007177,                 26128,,                108867,                  1989,,,                 61067,                 33995,                 95062,                149867,                244929,              2167275,,,                105083,,,                 22304,                 22304,                 44737,                 23637,                 90678,                195761,              2363036,,,,              2419837,              2419837,,                 53165,,                              0,,               -226697,               -226697,               -226697,,                              0,                              0,              2246305,                146148,              2392453,              4755489,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,2014年03月31日,,,,                 68967,,                              0,,              1456811,,                 34293,,                904447,                229351,,                 22902,,                  1833,,                  6823,,                 57533,,                354921,                714210,                     88,              1069219,              3852179,,,                              0,,                714479,,                  1445,,                 50664,,                              0,                              0,                 50664,                766588,              4618767,,,,,                678759,,                572666,,                893581,                 26128,,                128056,                  7765,,,                 52991,                 33501,                 86492,                150324,                236816,              2543771,,,                 87991,,,                 30990,                 30990,                 44987,                 22992,                 98969,                186960,              2730731,,,,              1789837,              1789837,,                 53165,,                              0,,               -102977,               -102977,               -102977,,                              0,                              0,              1740025,                148011,              1888036,              4618767,              0,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,2013年12月31日,,,,,,                 20000,,,,                 26662,,                785906,                 92836,,                 73484,,,,                  6668,,                 47947,,                373306,                745558,                  3040,              1121904,              3925737,,,,,                653108,,                  1453,,                 40204,,                              0,                              0,                 40204,                694765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                274250,              1474251,                  1829,                              0,              4620502,,,,                655534,,                467163,,                932955,                 98866,,                148239,                  3802,,,                 57807,                 33014,                 90821,                149557,                240378,              2546937,,,                 97896,,,                 39550,                 39550,                 45248,                 23450,                108248,                206144,              2753081,,,,              1789837,              1789837,,                 53165,,                              0,,               -123047,               -123047,               -123047,              1719955,                147466,              1867421,,                              0,                              0,
2543,2013年09月30日,,,,,,                              0,,,,                 33178,,                725396,                 68175,,                 46936,,,,                 65346,,                 49739,,                374350,                768975,                  4437,              1147762,              3973964,,,,,                647311,,                  3528,,                  1348,,                              0,                              0,                  1348,                652187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                150351,              1683275,                  3806,                              0,              4626151,,,,                753875,,                245972,,                857912,                494579,,                139512,                              0,,,                 59465,                 32535,                 92000,                150322,                242322,              2734172,,,                111206,,,                 47986,                 47986,                 43015,                 24576,                115577,                226783,              2960955,,,,              1789837,              1789837,,                 53165,,                              0,,               -331330,               -331330,               -331330,              1511672,                153524,              1665196,,                              0,                              0,
2543,2013年06月30日,,,,,,                              0,,,,                 47360,,                868699,                144617,,                 48015,,,,                 63595,,                 71361,,                191888,                479160,                  3077,                674125,              3989607,,,,,                664754,,                  3918,,                  2024,,                    129,                    129,                  2153,                670825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 96418,              1971859,                  3558,                              0,              4660432,,,,                812324,,                332496,,                843827,                585414,,                142493,                              0,,,                 51235,                 32063,                 83298,                 11704,                 95002,              2811556,,,                104212,,,                 56299,                 56299,                 43341,                 21440,                121080,                225292,              3036848,,,,              1789837,              1789837,,                 53165,,                              0,,               -380185,               -380185,               -380185,              1462817,                160767,              1623584,,                              0,                              0,
