證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－土地增值稅,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 債券換股權利證書,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 特許權淨額,　　　　　 特許權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 債券換股權利證書,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 待分配股票股利,　　　 應付公司債,　　　　 應付公司債合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 按攤銷後成本衡量之金融負債－非流動,　　　 以成本衡量之金融負債－非流動,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 長期遞延收入,　　　　 特別股負債－非流動,　　　　 採用權益法之投資貸餘,　　　　 股東往來,　　　　 未實現售後租回利益,　　　　 內部往來
2547,2015年09月30日,,,,              1205403,,              1278941,,              1515723,,                 35022,,                616224,                              0,,                 92389,,                  7172,,             34062701,,              2778361,,              2331997,              5111518,              7443515,             49035451,,,                 60169,,                152072,,                  2956,,              8344739,,              8498215,,                 36288,,              2406355,              2442643,                125892,,                361688,,              4040480,              4040480,              4402168,             24028854,             73064305,,,,,              8969800,,              2228322,,                              0,,                 18611,,              3469547,                              0,,              1241059,                 45460,,,             12208284,             12208284,,             22008174,              1540142,             35756600,             51729399,,,              6230378,,                 47681,,                 18937,                 50324,                 69261,,                 23896,                151884,                  3500,                179280,              6526600,             58255999,,,,              8944192,              8944192,,              4676046,,              1207672,,               -405034,                802638,,                  1535,                              0,             14424411,                383895,             14808306,             73064305,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2015年06月30日,,,,              1729258,,              1592797,,              1443025,,                  8271,,                534077,                              0,,                 85484,,                  6533,,             33384157,,              2759042,,              2332029,              5267792,              7599821,             49142465,,,                 63665,,                152072,,                  3304,,              8430110,,              8537513,,                 36288,,              2415728,              2452016,                118127,,                310127,,              3704268,              3704268,              4014395,             23771202,             72913667,,,,,              6394800,,              2298227,,                              0,,                104674,,              3622825,                              0,,              1506468,                 47872,,,             12909226,             12909226,,             22403684,              1522301,             36835211,             50810077,,,              6276329,,                 47681,,                 18937,                 46993,                 65930,,                 23892,                150497,                  3500,                177889,              6567829,             57377906,,,,              8768816,              8944192,,              4676046,,              1207672,,                325800,              1533472,,                    541,                              0,             15154251,                381510,             15535761,             72913667,              0,              0,                175376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2015年03月31日,,,,              1907043,,              1680000,,              1430025,,                 13233,,                427845,                              0,,                 46873,,                  5207,,             32366366,,              2633861,,              2331398,              6674538,              9005936,             49516389,,,                 13665,,                152072,,                  3643,,              8488344,,              8251669,,                 36288,,              2428138,              2464426,                120630,,                310713,,              3390572,              3390572,              3701285,             23195734,             72712123,,,,,              4401550,,              2388768,,                              0,,                333033,,              4081770,                              0,,                509105,                150865,,,             10959037,             10959037,,             25285120,              1524552,             37768709,             49633800,,,              6185966,,                 47681,,                 18937,                 35851,                 54788,,                 23888,                159339,                  3500,                186727,              6475162,             56108962,,,,              8768816,              8768816,,              5728304,,              1207672,,                501768,              1709440,,                    919,                              0,             16207479,                395682,             16603161,             72712123,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2014年12月31日,,,,              2398960,,              1465369,,              1425025,,                  2563,,                801928,                              0,,                 22074,,                  5076,,             30932123,,              2406949,,              2126903,              6271760,              8398663,             47858730,,,                 13665,,                152072,,                  4561,,              8576892,,              7594354,,                 36288,,              2445685,              2481973,                104411,,                315460,,              3464768,              3464768,              3780228,             22708156,             70566886,,,,,              3904468,,              2318976,,                    443,,                218098,,              4042450,                              0,,                590640,                113946,,,             10538662,             10538662,,             23692807,              1597995,             35829464,             47018485,,,              6567742,,                 48181,,                 18937,                 27640,                 46577,,                 23923,                158735,                  3000,                185658,              6848158,             53866643,,,,              8779416,              8779416,,              5744059,,              1207672,,                592606,              1800278,,                  1243,                 19062,             16305934,                394309,             16700243,             70566886,              0,      1060000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2014年09月30日,,,,              1567825,,              1319000,,              1425025,,                 21212,,                298578,                 14124,,                 42451,,                  4875,,             29169930,,              2546479,,              1846316,              7267794,              9114110,             45523609,,,                 13760,,                151635,,                  5762,,              8653692,,              7179386,,                 36288,,              2450222,              2486510,                 98721,,                304792,,              2994581,              2994581,              3299373,             21888839,             67412448,,,,,              3283392,,              2168257,,                  1859,,                212432,,              3650917,                 10235,,                533543,                 64772,,,             10522465,             10522465,,             21902776,              1399027,             33824268,             43749675,,,              6534561,,                 46878,,                 18937,                 15167,                 34104,,                 22423,                188933,                  3000,                214356,              6829899,             50579574,,,,              8779416,              8779416,,              5744059,,              1207672,,                710478,              1918150,,                    344,                              0,             16441969,                390905,             16832874,             67412448,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2014年06月30日,,,,              1419852,,              1190000,,              1419025,,                 10852,,                231539,                282476,,                 22820,,                  3357,,             27351747,,              2293760,,              2045679,              7708407,              9754086,             43979514,,,                  6048,,                 91635,,                  6247,,              8734164,,              6791495,,                 36288,,              2444709,              2480997,                103689,,                205114,,              2611787,              2611787,              2816901,             21031176,             65010690,,,,,              3016054,,              1799494,,                    796,,                206927,,              3484321,                 10235,,              1427251,                 53279,,,             10114968,             10114968,,             20594949,              1417061,             32126978,             42125335,,,              5787472,,                 46878,,                 18937,                  9208,                 28145,,                 22423,                188155,                  3000,                213578,              6076073,             48201408,,,,              8607271,              8779416,,              5744059,,              1207672,,                821377,              2029049,,                   -309,                              0,             16552215,                257067,             16809282,             65010690,              0,              0,                172145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2014年03月31日,,,,              1735759,,              1204806,,              1591799,,                 18437,,                142453,                299060,,                 47424,,                  4951,,             25219928,,              2132271,,              2040808,              7404675,              9445483,             41842371,,,                  6048,,                 91635,,                  6594,,              8810882,,              6413019,,                 36288,,              2462347,              2498635,                111950,,                 55241,,              2282239,              2282239,              2337480,             20276243,             62118614,,,,,              2793400,,              1799205,,                              0,,                    731,,              3444684,                 10444,,                524580,                 72105,,,              8948834,              8948834,,             19212282,              1417489,             29578605,             38223754,,,              5798873,,                 46878,,                 18937,                  4472,                 23409,,                 22418,                181492,                  3000,                206910,              6076070,             44299824,,,,              8589869,              8599445,,              6766648,,              1094884,,              1087884,              2187049,,                    175,                              0,             17553317,                265473,             17818790,             62118614,        957623,              0,,                  9576,                  4281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,2013年12月31日,,,,,,              1208167,,,,                  5494,,                213036,                299060,,                 31007,,,,             23042588,,              1981550,,              1953222,              7940381,              9893603,             41007177,,,                  6048,,,,                  6837,,              8882405,,              7106289,,                 36288,,                513527,              2516153,                113107,,                 54282,,              1047160,              1047160,              1101442,             19823916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     11359088,              0,,,,              2748905,              1579403,                  4364,                 91635,,              1945001,,                 21337,             60831093,,,,              2462800,,              1799291,,                    200,,                 66256,,              3928975,                 10444,,                626090,                 51272,,,              8529973,              8529973,,             18073391,              1424706,             28028070,             36973398,,,              5773693,,                 47378,,                 18937,                  2393,                 21330,,                 22449,                150023,                  2500,                174972,              6017373,             42990771,,,,              8476278,                113591,              8589869,,              6761591,,              1094884,                  4281,,              1127870,              2227035,,                    283,                              0,             17578778,                261544,             17840322,              0,,,,,,,,,,,,,,,,,,
2547,2013年09月30日,,,,,,              1022330,,,,                 52167,,                 43335,                299060,,                 29127,,,,             24270853,,              2338792,,              1968936,              8787099,             10756035,             41678620,,,                  6048,,,,                  7649,,             10282478,,              5396498,,                 36288,,                517039,              2528245,                113520,,                 60608,,                962979,                962979,              1023587,             19449225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3355740,              0,,,,              2687663,                179258,,                 91200,,              1957157,,                 17761,             61127845,,,,              2744209,,              1689653,,                              0,,                 15935,,              3036877,                549354,,                523947,                 13937,,,             11975432,             11975432,,             17530757,              1452170,             30958359,             39532271,,,              5783976,,                 46097,,                 19530,                              0,                 19530,,                 21032,                149016,                  2500,                172548,              6022151,             45554422,,,,              8442721,                 33558,              8476279,,              6613362,,              1094884,                  4281,,               -872716,                226449,,                   -298,,             15315792,                257631,             15573423,              0,,,,,,,,,,,,,,,,,,
2547,2013年06月30日,,,,,,                421295,,,,                 13702,,                 71280,                308848,,                 35360,,,,             35960220,,              2770974,,              2166784,             13875618,             16042402,             57538055,,,                  6048,,,,                  8473,,             10246354,,              5189530,,                 36288,,                520552,              2546104,                111742,,                 64544,,                927247,                927247,                991791,             19191242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      2847190,              0,,,,              1751716,                162258,,                 91200,,              1969313,,                 19951,             76729297,,,,              7584309,,                998031,,                  3425,,                 10061,,              2754220,                553470,,              1267445,                 25179,,,             20764512,             20764512,,             28429129,              1576665,             50770306,             63966446,,,              5786062,,                 46097,,                 18937,                              0,                 18937,,                 21064,                123945,                  2500,                147509,              5998605,             69965051,,,,              8226978,                 28472,              8442721,,              6569827,,              1094884,                  4281,,             -9603211,             -8504046,,                    139,,              6508641,                255605,              6764246,              0,                187271,,,,,,,,,,,,,,,,,
2547,2013年03月31日,,,,,,                422669,,,,                 27588,,                 55737,                305509,,                 49576,,,,             34832396,,              2595562,,              1822001,             15229220,             17051221,             57466283,,,                  6048,,,,                  9362,,             10288154,,              5075842,,                 36288,,                524065,              2564056,                110704,,                 65982,,                890937,                890937,                956919,             19102285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     12644585,              0,,,,              1963911,                162114,,                 91200,,              1981469,,                 22234,             76568568,,,,              7695583,,                999002,,                              0,,                    840,,              4011676,                              0,,                538940,                105602,,,             20623281,             20623281,,             15847378,              1564679,             38035338,             51386981,,,             17449424,,                 46097,,                 18937,                              0,                 18937,,                 21095,                124372,                  2500,                147967,             17662425,             69049406,,,,              8100532,                126446,              8226978,,              6529409,,                990328,                  1967,,             -8340614,             -7348319,,                   -238,,              7407830,                111332,              7519162,              0,,,,,,,,,,,,,,,,,,
2547,2012年12月31日,,,,              2469831,,                104596,,,,                132939,,                143981,                300784,,                 32138,,,,             33648603,,              1800666,,              1784812,             13111641,             14896453,             53598380,,,                  6048,,,,                              0,,             10300934,,              4927840,,                 36288,,                527577,              2581829,                108155,,                 67731,,                869591,                869591,                937322,             19044612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                 68389,,                182484,,              1993626,,                 24338,             72642992,,,,              8906187,,                 59717,,                  2360,,                  7357,,              3370859,                              0,,                817519,                 94604,,,             17521798,             17521798,,             13657477,              1553884,             32733159,             45991762,,,             18192291,,                 46597,,                 18937,                    593,                 19530,,                 21164,                120319,                  2000,                143483,             19162936,             65154698,,,,              8100532,                              0,              8100532,,              6347844,,                990328,                  1967,,             -8074212,             -7081917,,                   -450,,              7366009,                122285,              7488294,,,,                761035,,,,,,,,,,,,,,,
2547,2012年09月30日,,,,              2966190,,                105352,,,,                167433,,                 86855,                299060,,                 23445,,,,             32037251,,              1699278,,              1819476,              6625459,              8444935,             45895126,,,                  6550,,,,                              0,,             10308543,,              4026962,,                 36288,,                531090,              2592979,                183337,,                 68226,,                854007,                854007,                922233,             18040604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                 65327,,                              0,,              2005782,,                 19819,             63935730,,,,              8942812,,                 59696,,                  7220,,                 14684,,              1985789,                              0,,                354970,                 74488,,,              9810034,              9810034,,             13430817,              1456900,             24697751,             36137410,,,             18494847,,                 45336,,,,                 18937,,                 17261,                131609,                  2000,                150870,             19468025,             55605435,,,,              8100532,                              0,              8100532,,              6323475,,                990329,                  1967,,             -7201241,             -6208945,,                   -448,,              8214614,                115681,              8330295,,,,                758035,,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0
2547,2012年06月30日,,,,              5020845,,                109993,,,,                  3773,,                 55171,                299060,,                 38569,,,,             31813057,,              3056226,,              1818821,              3508728,              5327549,             45907370,,,                  6550,,,,                              0,,              9125893,,              2646451,,                 36288,,                534602,              2608421,                182639,,                 67185,,                856929,                856929,                924114,             15494068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                183127,,                              0,,              2017938,,                 19593,             61401438,,,,              8079363,,                 59683,,                 15106,,                124892,,              1621738,                              0,,              1288365,                 86335,,,              7899316,              7899316,,             11965936,              1153737,             21018989,             32294471,,,             18703594,,                 45336,,                 18937,,                 18937,,                 17298,                141076,                  2000,                160374,             20635759,             52930230,,,,              7831076,                              0,              8100532,,              6323475,,                990329,                  1967,,             -7062853,             -6070557,,                   -371,,              8353079,                118129,              8471208,,                269456,,              1707518,,,,,,,,,,,,,,,
2547,2012年03月31日,,,,              5518080,,                 85346,,,,                  2595,,                 47902,                299060,,                 26465,,,,             20314790,,              2756486,,              1416128,              3785411,              5201539,             34337729,,,                 11100,,,,                              0,,              9057634,,              2657884,,                 36288,,                538115,              2624241,                183209,,                265312,,                864548,                864548,              1129860,             15663928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     19280369,              0,,,,,                 85466,,                              0,,              2030094,,                 19744,             50001657,,,,              8203500,,                233531,,                 40860,,                 29953,,              1670699,,,                361152,                127127,,,              7870987,              7870987,,             11480104,              1151470,             20502561,             31169383,,,              7317273,,                 45336,,                 18937,,                 18937,,                 17270,                141661,                  2000,                160931,              9243432,             40412815,,,,              7638272,                192804,              7831076,,              6329052,,                738387,                  2379,,             -5437892,             -4697126,,                   -410,,              9462592,                126250,              9588842,,,,              1700955,,,,,,,,,,,,,,,
2547,2012年01月01日,,,,              3338561,,                 30018,,,,                    775,,                 96106,                301898,,                 15955,,,,             17483017,,              4668755,,              1386241,              4264972,              5651213,             31671764,,,                 11100,,,,                              0,,              9070997,,              2673964,,                 36288,,                541627,              2640579,                181280,,                 62095,,                197692,                197692,                259787,             15437707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         20920,              0,,,,,                 85466,,                600000,,              2042251,,                 20413,             47109471,,,,              8521000,,                487406,,                 54709,,                 18033,,              2440941,                              0,,                491244,                115212,,,              7857451,              7857451,,             10399137,              1101584,             19358172,             31486717,,,              7851876,,                 45836,,                 18937,                  1515,                 20452,,                 17410,                136808,                  1500,                155718,              8073882,             39560599,,,,              6938063,                    209,              6938272,,              5010873,,                738387,                  2379,,             -5259437,             -4518671,,                              0,,              7430474,                118398,              7548872,,,,                              0,,,,,,,,,,,,,,,
