證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 與待出售非流動資產直接相關之負債,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 共同控制下前手權益,　　　　 存出保證金,　　　 與待出售非流動資產直接相關之負債,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
2601,2015年09月30日,,,,              5482727,,              1380481,,                              0,,                              0,,                604252,,,                235377,,                 41366,                276743,,              5526435,                594688,              6121123,             13865326,,,                              0,,              1032201,,                608699,,             14374932,,                400026,,              2075192,                484120,,                408884,,                288972,              1035009,,                346130,              4261323,,                 34162,              6374480,             25349650,             39214976,,,,,              4657293,,                 61938,,                885554,,              3115880,,              1247938,              1247938,                104719,,,                              0,              3011852,                 74933,              3086785,                374987,              3461772,             13535094,,,                 18730,                 18730,,              2943717,,              6152446,,                368256,,,              1884740,              1884740,                 24914,                785137,              2694791,             12177940,             25713034,,,,              3776172,              3776172,,,              2439444,              2439444,,              1694153,,                840860,                138487,              8612142,              4889800,             13501942,             39214976,              0,              0,      6734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2015年06月30日,,,,              6212873,,              1216020,,                              0,,                              0,,                457902,,,                192960,,,                192960,,              4727815,                514973,              5242788,             13322543,,,                277255,,                972171,,              1601209,,             13651499,,                400713,,              2007117,                472158,,                389993,,                166346,,,              1094646,              4239915,,                 39922,              5930822,             25312944,             38635487,,,,,              3478973,,                 49941,,                510785,,              3868252,,              1584928,              1584928,                109380,,,                              0,              2811138,                 67606,              2878744,                355070,              3233814,             12836073,,,                 16460,                 16460,,              2938594,,              5633579,,                267267,,,              1858441,              1858441,                 24957,                690989,              2574387,             11430287,             24266360,,,,              3776172,              3776172,,,              2436889,              2436889,,              2893819,,                350158,                138487,              9318551,              5050576,             14369127,             38635487,              0,              0,      6734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2015年03月31日,,,,              5874634,,                969062,,,,,,                461083,,,                222223,,,                222223,,              4422041,                504867,              4926908,             12453910,,,                281255,,                985221,,              2025746,,             13941639,,                401466,,              2030354,                504283,,                244000,,                 64148,                382192,,              1230650,              4309984,,                 49310,              6280284,             26450248,             38904158,,,,,              3168812,,                 49972,,                493595,,              4491570,,              1153200,              1153200,                238075,,,                              0,              2472806,                 63030,              2535836,                350237,              2886073,             12481297,,,                  8860,                  8860,,                949725,,              7820885,,                293723,,,              1896525,              1896525,                 24829,                661233,              2582587,             11655780,             24137077,,,,              3776172,              3776172,,,              2436912,              2436912,,              2931185,,                488092,                138487,              9493874,              5273207,             14767081,             38904158,              0,              0,      6734000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2014年12月31日,,,,              7312574,,              1078757,,                              0,,                              0,,                469787,,,                227245,,                              0,                227245,,              4564073,                586168,              5150241,             14238604,,,                284265,,                917560,,              2037207,,             13448281,,                402218,,              2071248,                549777,,                197845,,                 72825,                              0,,                456105,              4401989,,                 58758,              5187522,             24898078,             39136682,,,,,              2726012,,                 49940,,                745268,,              5284373,,              1408306,              1408306,                204270,,,                              0,              3083927,                 57427,              3141354,                585930,              3727284,             14145453,,,                              0,                              0,,                              0,,              7371311,,                318968,,,              1943274,              1943274,                 24702,                662161,              2630137,             10320416,             24465869,,,,              3776172,              3776172,,,              2403296,              2403296,,              2811180,,                625140,                138487,              9477301,              5193512,             14670813,             39136682,              0,              0,      6734000,,                              0,                              0,              7312574,             39136682,,,,              2726012,,                 49940,,                745268,,              5284373,,              1408306,              1408306,                204270,,,                              0,              3083927,                 57427,              3141354,                585930,              3727284,             14145453,,,                              0,,                              0,,              7371311,,                318968,,,              1943274,              1943274,                 24702,                662161,              2630137,             10320416,             24465869,,,,              3776172,                              0,              3776172,,,              1640777,                762519,              2403296,,              2811180,,                625140,                138487,              9477301,              5193512,             14670813,,,,,,
2601,2014年09月30日,,,,              5904587,,                566763,,                              0,,                              0,,                416867,,,                204645,,                              0,                204645,,              3782298,                448798,              4231096,             11323958,,,                273351,,                882470,,              1828820,,             13313986,,                402913,,              1974647,                491779,,                280922,,                 85596,                              0,,                310642,              4089637,,                 49027,              4815824,             23983790,             35307748,,,,,              1533318,,                              0,,                285952,,              3313322,,              1305461,              1305461,                156340,,,                106141,              2705895,                 34994,              2847030,                590085,              3437115,             10031508,,,                              0,                              0,,                              0,,              8430861,,                229884,,,              1872923,              1872923,                 29005,                643186,              2545114,             11205859,             21237367,,,,              3776172,              3776172,,,              2408863,              2408863,,              2915887,,                193040,                138487,              9155475,              4914906,             14070381,             35307748,              0,              0,      6734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2014年06月30日,,,,              6077179,,                598496,,                              0,,                448050,,                285322,,,                189529,,,                189529,,              3397543,                526968,              3924511,             11523087,,,                268278,,                866230,,              1779971,,             11558219,,                403056,,              1939954,                482018,,                448326,,                              0,,,                303823,              4041096,,                 43471,              4836716,             22134442,             33657529,,,,,              2187348,,                 49969,,                 44041,,              3894396,,              1249412,              1249412,                106610,,,                102717,              2262268,                              0,              2364985,                461449,              2826434,             10358210,,,                              0,                              0,,                              0,,              6505571,,                200199,,,              1868208,              1868208,                 28801,                609917,              2506926,              9212696,             19570906,,,,              3776172,              3776172,,,              2411254,              2411254,,              3225599,,                 -1194,                138487,              9273344,              4813279,             14086623,             33657529,              0,              0,      6734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2014年03月31日,,,,              5525869,,                641140,,,,,,                169130,,,                207972,,,                207972,,              3122316,                601431,              3723747,             10694056,,,                730914,,                883920,,              1843064,,             11727492,,                403787,,              1982654,                463568,,                              0,,                              0,                              0,,                294307,              4151561,,                 54026,              4499894,             22535293,             33229349,,,,,              1790335,,                 49991,,                 88494,,              4141388,,                952489,                952489,                115922,,,                103423,              1914788,                              0,              2018211,                418561,              2436772,              9841332,,,                              0,                              0,,                              0,,              6410842,,                240040,,,              1743785,              1743785,                 28611,                607849,              2380245,              9031127,             18872459,,,,              3776172,              3776172,,,              2398914,              2398914,,              3080628,,                208993,                138487,              9326220,              5030670,             14356890,             33229349,              0,              0,      6734000,,                426198,                265941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,2013年12月31日,,,,,,                607503,,                              0,,                              0,,                119649,,,                213678,,,                213678,,              1902533,                584682,              2487215,             10968903,,,                803483,,                867970,,              1810260,,             12038395,,                404517,,              1969225,                491411,,                              0,,                              0,,,                310879,              4141092,,                 50627,              4502598,             22887859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6734000,,,,              7540858,             33856762,,,,              1735951,,                 49992,,                 44231,,              5611784,,              1066609,              1066609,                106634,,,                100059,              1872041,                              0,              1972100,                439034,              2411134,             11026335,,,                              0,,                              0,,              6457066,,                195982,,,              1842116,              1842116,                 28443,                569871,              2440430,              9093478,             20119813,,,,              3776172,                              0,              3776172,,,              2398914,                              0,              2398914,,              2833635,,                 59437,                138487,              8929671,              4807278,             13736949,                              0,,,,,
2601,2013年09月30日,,,,,,              1093468,,                 21673,,                              0,,                105847,,,                182133,,,                182133,,              1109267,                452901,              1562168,              8119155,,,                794851,,                858690,,              1767477,,             11251045,,                405178,,              1934082,                513736,,                820732,,                              0,,,                318898,              4089569,,                 32419,              5261618,             22786677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6734000,,,,              5153866,             30905832,,,,              1713410,,                 98931,,                 36326,,              3325006,,,                848888,                 91419,,,                279728,              1695223,,              1974951,                445890,              2420841,              8534821,,,                              0,,                              0,,              6189230,,                122819,,,              1781751,              1781751,                 33249,                554258,              2369258,              8681307,             17216128,,,,              3776172,                              0,              3776172,,,              2517447,,              2517447,,              2847467,,                -67561,                138487,              8935038,              4754666,             13689704,,,,,,
2601,2013年06月30日,,,,,,                813168,,                              0,,                              0,,                246922,,,                146032,,,                146032,,                994121,                546414,              1540535,              9425468,,,                805149,,                870000,,              1473387,,             11616384,,                405903,,              1952419,                472516,,                814635,,                              0,,,                316545,              4142774,,                 49007,              5322961,             22918719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      4164000,,,,              6678811,             32344187,,,,                418705,,                 37958,,                188002,,              4196197,,              1233800,              1233800,                118813,,,              1779581,              1392806,,              3172387,                371235,              3543622,              9737097,,,                              0,,                              0,,              6447621,,                124871,,,              1766978,              1766978,                 33076,                539562,              2339616,              8912108,             18649205,,,,              3776172,                              0,              3776172,,,              2518940,,              2518940,,              2765222,,                 23939,                 87269,              8997004,              4697978,             13694982,                              0,,,,,
