證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－其他行業,　　　　　 油料,　　　　　 存貨－其他行業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 重估增值,　　　　　　 重估增值合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計
2606,2015年09月30日,,,,             17894718,,              1360774,,              8817747,,                              0,,                373259,,                102254,,                125742,,,                350263,                350263,                350263,,                206263,             29231020,,,                    131,,                892943,,              1986336,,             29964605,                147030,,              1849721,                106513,,                876786,              2833020,             35824065,             65055085,,,,,              5080000,,              2336908,,                250025,,                210197,,                939346,                392833,,,              4512058,                              0,                 33675,              4545733,             13755042,,,                989414,,             21264010,,                523139,,,                              0,                              0,                269172,                357033,                              0,                626205,             23402768,             37157810,,,,              8580167,              8580167,,                225410,,              6978008,                337186,,              9354451,             16669645,,,              1982808,,                573846,,                    -50,,                    453,              2557057,                135004,             27897275,                              0,             27897275,             65055085,              0,              0,      3848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2015年06月30日,,,,             16934805,,                815131,,              9349656,,                              0,,                296251,,                134746,,                200241,,,                329466,                329466,                329466,,                246802,             28307098,,,                    138,,                892943,,              1156667,,             27620328,                 48584,,              1610108,                111085,,                792310,              2513503,             32232163,             60539261,,,,,              5750000,,              2403720,,                114401,,                140880,,              2787681,                444602,,,              3321247,                              0,                110740,              3431987,             15073271,,,              1997554,,             17195630,,                420454,,,                              0,                              0,                259007,                353418,                              0,                612425,             20226063,             35299334,,,,              8580167,              8580167,,                225366,,              6978008,                337186,,              8926358,             16241552,,,             -1261137,,              1398127,,,,                 55852,                192842,                              0,             25239927,                              0,             25239927,             60539261,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2015年03月31日,,,,             18425349,,              1092199,,              9918179,,                              0,,                362017,,                117881,,              1231635,,,                372845,                372845,                372845,,                216463,             31736568,,,                    139,,                892943,,              1170587,,             26295088,                111935,,              3033044,                121572,,                784827,              3939443,             32410135,             64146703,,,,,              5390000,,              2322909,,                151375,,                145629,,              1377050,                509140,,,              4066997,                938473,                247385,              5252855,             15148958,,,              1994579,,             16529897,,                529506,,,                890445,                890445,                767837,                372295,                    142,              2030719,             21084701,             36233659,,,,              8580167,              8580167,,                225366,,              6769696,              1195583,,             10046052,             18011331,,,               -541070,,              1581398,,,,                 55852,              1096180,                              0,             27913044,                              0,             27913044,             64146703,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2014年12月31日,,,,             19054142,,              1329188,,              9412565,,                              0,,                531602,,                 69206,,                192034,,,                422995,                422995,                422995,,                255353,             31267085,,,                    135,,                892943,,              1173015,,             25972794,                139796,,              3132014,                122557,,                793603,              4048174,             32226857,             63493942,,,,,              6180000,,              2332000,,                 24196,,                116155,,                861563,                509123,,,              3241208,                888959,                284187,              4414354,             14437391,,,              1992136,,             16053632,,                553640,,,                968896,                968896,                824361,                377396,                    143,              2170796,             20770204,             35207595,,,,              8580167,              8580167,,                225368,,              6769696,              1195583,,              9981770,             17947049,,,                 31558,,              1446353,,                              0,,                 55852,              1533763,                              0,             28286347,                              0,             28286347,             63493942,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2014年09月30日,,,,             16644930,,                867132,,              9089882,,                              0,,                461321,,                105206,,                975277,,,                456064,                456064,                456064,,                220172,             28819984,,,                    108,,                892943,,              1135527,,             23722324,                 62058,,              2195538,                118699,,                746031,              3060268,             28873228,             57693212,,,,,              5850000,,              2324380,,                 15912,,                258856,,                852082,                405791,,,              2654109,                111854,                267290,              3033253,             12740274,,,              1989130,,             15885302,,                563463,,,                 66091,                 66091,                273730,                427009,                    121,                766951,             19204846,             31945120,,,,              8580167,              8580167,,                225368,,              6769696,              1195583,,              9615899,             17581178,,,             -1969445,,              1274972,,                              0,,                 55852,               -638621,                              0,             25748092,                              0,             25748092,             57693212,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2014年06月30日,,,,             14250472,,                474301,,              9191771,,              1771148,,                333534,,                158237,,              1010700,,,                337154,                337154,                337154,,                217698,             27745015,,,                    125,,                892943,,                593336,,             23691847,                 44847,,              1708247,                117141,,                718980,              2544368,             27767466,             55512481,,,,,              4215000,,              2389471,,                 50712,,                 96041,,              2545293,                405791,,,              1423762,                115084,                141183,              1680029,             11382337,,,              1997270,,             16551090,,                537540,,,                 97583,                 97583,                274828,                427002,                    119,                799532,             19885432,             31267769,,,,              8580167,              8580167,,                225368,,              6769696,              1195583,,              8841449,             16806728,,,             -2869096,,              1445693,,,,                 55852,             -1367551,                              0,             24244712,                              0,             24244712,             55512481,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2014年03月31日,,,,             13721150,,              1016780,,              9470247,,              1815355,,                649250,,                133166,,                743370,,,                388220,                388220,                388220,,                206293,             28143831,,,                    119,,                892943,,                608144,,             21599825,                 81624,,              3128084,                118837,,                719834,              3966755,             27149410,             55293241,,,,,              5345000,,              2283563,,                  9964,,                118444,,                784694,                208415,,,                944608,                113647,                321586,              1379841,             10129921,,,              1994295,,             15405481,,                549612,,,                125499,                125499,                286544,                451752,                    121,                863916,             18813304,             28943225,,,,              8580167,              8580167,,                225368,,              6613006,              3553170,,              7739802,             17905978,,,             -1889400,,              1472051,,,,                 55852,               -361497,                              0,             26350016,                              0,             26350016,             55293241,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2014年01月01日,,,,             13001660,,                776430,,              9901316,,              1811039,,                457740,,                193382,,                110757,,,                381440,                381440,                381440,,                184922,             26818686,,,                    121,,                892943,,                596029,,             16806347,                 51763,,              5443954,                116375,,                695182,              6255511,             24602714,             51421400,,,,,              5440000,,              2331348,,                 35622,,                 89667,,                852254,                208384,,,                742480,                109819,                282899,              1135198,             10092473,,,              1991852,,             12427608,,                513423,,,                150245,                150245,                286238,                467987,                    118,                904588,             15837471,             25929944,,,,              8580167,              8580167,,                225384,,              6613006,              3553170,,              7378126,             17544302,,,             -2949772,,              2035523,,                              0,,                 55852,               -858397,                              0,             25491456,                              0,             25491456,             51421400,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,2013年12月31日,,,,,,                776430,,              9901316,,              1811039,,                457740,,                193382,,                110757,,,                381440,                381440,                381440,,                184922,             26818686,,,                    121,,                892943,,                596029,,             16806347,                 49624,,              5443954,                116375,,                695182,              6255511,             24600575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             13001660,             51419261,,,,              5440000,,              2331348,,                 35622,,                 89667,,                852254,                208384,,,                742480,                109819,                282899,              1135198,             10092473,,,              1991852,,             12427608,,                513423,,,                150245,                150245,                286238,                455406,                    118,                892007,             15824890,             25917363,,,,              8580167,              8580167,,                225384,,              6613006,              3553170,,              7388568,             17554744,,,             -2949772,,              2035523,,                 55852,               -858397,                              0,             25501898,                              0,             25501898,,                              0,,
2606,2013年09月30日,,,,,,                543340,,              9475207,,                  9279,,                416682,,                120593,,                153466,,,                354763,                354763,                354763,,                165786,             25338475,,,                    136,,                892943,,                588054,,             14951947,                 63230,,              5221752,                115710,,                680830,              6018292,             24291059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             14099359,             49629534,,,,              6030000,,              2210714,,                 96736,,                109268,,                781911,                 46433,,,                677634,                105890,                170773,                954297,             10229359,,,              1988847,,             11785879,,                673806,,,                172679,                172679,                290014,                424243,                    101,                887037,             15335569,             25564928,,,,              8580167,              8580167,,                225384,,              6613006,              3553170,,              6722008,             16888184,,,             -3322718,,              1638410,,                 55179,             -1629129,                              0,             24064606,                              0,             24064606,,              1776457,,
