證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據,　　　　 其他應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付投資款,　　　　　 應付股利,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應收帳款,　　　　 應收租賃款,　　　 與待出售非流動資產直接相關之負債,　　　　 應付股利,　　　　 其他應付款－其他
2614,2015年09月30日,,,,              3660891,,                    113,,                  6373,                 99722,                106095,,                580924,,                 84663,,                 88268,,                300084,,                301785,,                              0,,                645681,                 11051,                656732,              5779555,,,                 60930,,                539653,,              3670213,,              7353300,,                117234,                215891,,                419212,,                183515,,                 17530,                574728,,                 79566,              1274551,             13231772,             19011327,,,,,              1977671,,                204620,,                 45120,,              1235122,,              1290539,              1290539,                  1789,,                575799,                              0,,,                155239,,                425400,                 53165,                633804,              5964464,,,                              0,,              5115160,,                544587,,                336266,,,                171033,                 97981,                 97582,                  3382,                369978,              6365991,             12330455,,,,              6959874,              6959874,,                 12163,,               -854976,,                108456,                              0,              6225517,                455355,              6680872,             19011327,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,2015年06月30日,,,,              3773157,,                    119,,                 10625,                185665,                196290,,                541376,,                 92888,,                115669,,                474018,,                345173,,,,                621602,                 12560,                634162,              6172852,,,                 59839,,                688258,,              3698753,,              7353300,,                120023,                212733,,                427781,,                119801,,                 20742,                566192,,                 21584,              1156100,             13289006,             19461858,,,,,              2065512,,                316231,,                 42148,,              1218469,,              1174727,              1175470,                  1424,,                574490,,,,                143787,,                318100,                 54314,                516201,              5909945,,,                              0,,              5118572,,                593553,,                336266,,,                193919,                197228,                100288,                  8228,                499663,              6548054,             12457999,,,,              6959874,              6959874,,                 12000,,               -564536,,                 68730,                              0,              6476068,                527791,              7003859,             19461858,              0,              0,              0,                              0,                    743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,2015年03月31日,,,,              4436544,,                    119,,                 16038,                171237,                187275,,                594338,,                100635,,                119489,,                512876,,                365312,,,,                840967,                 10426,                851393,              7167981,,,                 60098,,                935159,,              3624013,,              7353300,,                 84382,                217762,,                508307,,                173372,,                 18748,                576383,,                 36395,              1313205,             13587919,             20755900,,,,,              2021222,,                452453,,                 38375,,              1425842,,,              1313743,                 56771,,                669474,,,,                 98578,,                353100,                 50930,                502608,              6480488,,,                 35920,,              5389951,,                750339,,                336266,,,                206086,                196906,                 97554,                 12845,                513391,              7025867,             13506355,,,,              6959874,              6959874,,                 11946,,               -484018,,                 94842,                              0,              6582644,                666901,              7249545,             20755900,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,2014年12月31日,,,,              4271624,,                    114,,                 23252,                156808,                180060,,                512094,,                214418,,                 84078,,                622716,,                355067,,                              0,,                965266,                  8291,                973557,              7213728,,,                147124,,                899014,,              3695124,,              7083900,,                 86833,                214360,,                478622,,                226944,,                 19070,                589901,,                 55318,              1369855,             13496210,             20709938,,,,,              2002474,,                408653,,                 34883,,              1555662,,              1338020,              1338020,                 54977,,              1001149,                              0,,,                172187,,                378691,                 69412,                620290,              7016108,,,                121551,,              4756105,,                336157,,                268479,,,                192401,                196578,                102433,                 16499,                507911,              5990203,             13006311,,,,              6959874,              6959874,,                 11911,,                -45823,,                125169,                              0,              7051131,                652496,              7703627,             20709938,              0,              0,              0,                              0,                              0,,                              0,              4271624,             20709938,,,,              2002474,,                408653,,                 34883,,              1555662,,              1338020,                 54977,,              1001149,,,                172187,,                378691,                 69412,                620290,              7016108,,,                121551,,              4756105,,                336157,,                268479,,,                192401,                196578,                102433,                 16499,                507911,              5990203,             13006311,,,,              6959874,              6959874,,                 11911,,                -45823,,                125169,                              0,              7051131,                652496,              7703627,,,,,
2614,2014年09月30日,,,,              3583663,,                    112,,                 28248,                149141,                177389,,                590770,,                125710,,                173014,,                825077,,                488486,,                  5170,,                816923,                  8022,                824945,              6794336,,,                266687,,                833089,,              3671260,,              7017589,,                 61102,                241899,,                500413,,                253039,,                 64355,                576049,,                  9675,              1403531,             13495157,             20289493,,,,,              1623919,,                280917,,                 22955,,              1449188,,              1264430,              1264430,                 27748,,                689245,                  5839,,,                294012,,                310000,                136178,                740190,              6104431,,,                123135,,              4483467,,                714016,,                260941,,,                171979,                199760,                 97612,                 21141,                490492,              6072051,             12176482,,,,              6959874,              6959874,,                  9552,,                448880,,                 72128,                              0,              7490434,                622577,              8113011,             20289493,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,2014年06月30日,,,,              3352888,,                269368,,                  6143,                115380,                121523,,                763078,,                191655,,                630096,,                768784,,                378687,,,,                790821,                106434,                897255,              7373334,,,                266255,,                786922,,              3750240,,              7017589,,                 72370,                251895,,                494556,,                314829,,                 66453,                570076,,                  1551,              1537465,             13682736,             21056070,,,,,              1614078,,                288878,,                 14009,,              1418791,,              1402248,              1750985,                 36195,,                533709,,,,                281930,,                277500,                135924,                695354,              6351999,,,                176444,,              4451680,,                873107,,                247801,,,                217696,                199495,                103735,                 24934,                545860,              6294892,             12646891,,,,              6959874,              6959874,,                  9033,,                899402,,                 66012,                              0,              7934321,                474858,              8409179,             21056070,              0,              0,              0,                 90000,                348737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,2014年03月31日,,,,              2804415,,              1011466,,                  8070,                126873,                134943,,                926150,,                209811,,                139357,,                729809,,                344933,,,,                947574,                118176,              1065750,              7366634,,,                266858,,                931465,,              3727491,,              6996900,,                106642,                238471,,                542396,,                369919,,                 65112,                586348,,                      5,              1563780,             13831607,             21198241,,,,,              1429639,,                207069,,                 11537,,              1453997,,,              1166650,                 25759,,                528117,,,,                294801,,                395000,                130023,                819824,              5642592,,,                129117,,              4401458,,                132460,,                249274,,,                218303,                199246,                 84424,                 28990,                530963,              5443272,             11085864,,,,              6959874,              6959874,,                  8242,,              2445294,,                119520,                              0,              9532930,                579447,             10112377,             21198241,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,2013年12月31日,,,,,,              1056516,,                 37040,                111195,                148235,,                666378,,                389540,,                158611,,                802931,,                370762,,,,                897116,                 15533,                912649,              7482016,,,                266212,,                893821,,              3873489,,              6996900,,                 93204,                235511,,                538558,,                410262,,                 20042,                584074,,                  1483,              1554419,             13921076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                  7520,              2976394,             21403092,,,,              2042601,,                 60461,,                 13950,,              1296065,,              1153051,                 20758,,                 67287,,,                278862,,                372500,                 72392,                723754,              5377927,,,                              0,,              3663280,,                              0,,                247680,,,                215753,                199058,                 87511,                 33308,                535630,              4446590,              9824517,,,,              6959874,              6959874,,                  8242,,              3888864,,                 81655,                              0,             10938635,                639940,             11578575,,,,,
2614,2013年09月30日,,,,,,                597978,,                 18403,                 43852,                 62255,,                719669,,                445738,,                252279,,                779231,,                499861,,                              0,,              1298118,                 13703,              1311821,              7209611,,,                238603,,                814236,,              3927550,,              6893813,,                103932,                237023,,                554720,,                491416,,                 77701,                586481,,                  1075,              1711393,             14498180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                571630,              2540779,             21707791,,,,              1906874,,                 75416,,                 15341,,              1242974,,              1061103,                  3415,,                161416,,,                337624,,                620000,                 59352,              1016976,              5483515,,,                              0,,              3601764,,                325515,,                194509,,,                217678,                207313,                 87974,                 33919,                546884,              4668672,             10152187,,,,              6959874,              6959874,,                  9209,,              3913148,,                 18175,                              0,             10900406,                655198,             11555604,                687854,                 31815,                              0,,
2614,2013年06月30日,,,,,,                455043,,                 14161,                132097,                146258,,                666556,,                469063,,                200651,,                786509,,                393985,,,,                904592,                129209,              1033801,              7165657,,,                239303,,              1011350,,              4004605,,              6893704,,                103615,                269168,,                590934,,                449999,,                399098,                596619,,                    589,              2037239,             15133344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,                574360,              3013791,             22299001,,,,              1912965,,                293768,,                 23884,,              1125209,,              1053613,                 33563,,                387121,,,                374799,,                530000,                154182,              1058981,              5889104,,,                392721,,              3787748,,                461430,,                193912,,,                217696,                207185,                 84703,                 37666,                547250,              5383061,             11272165,,,,             14185307,             14185307,,                  8780,,             -3868208,,                 28064,                              0,             10353943,                672893,             11026836,                627665,                 38891,,                    746,              1052867
