證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 庫藏股票
2642,2015年09月30日,,,,                960753,,                 35778,,                 39110,,                227429,,                 66803,,                  4504,,                    466,,                 17935,,                 53467,              1406245,,,                247631,,                367975,,                  5013,                  8237,,                 55658,                684514,              2090759,,,,,                    581,,                    730,,                160570,,                    257,,                249976,                 33805,                  5051,,                 12168,                463138,,,                 12856,,                    173,,                  4341,                 17370,                480508,,,,                954670,                954670,,,                300031,                     51,                300082,,                 58968,                              0,,                220183,                279151,,,                    842,,                 75506,                 76348,              1610251,              1610251,              2090759,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,2015年06月30日,,,,              1115581,,                 50366,,                 30506,,                208177,,                 71379,,                  5763,,                    271,,                 26431,,                 49376,              1557850,,,                332784,,                320997,,                  5950,                  7867,,                 70178,                737776,              2295626,,,,,                    476,,                    278,,                155396,,                    399,,                375066,                 28695,                 17182,,                 12899,                590391,,,                 12856,,                     64,,                  4375,                 17295,                607686,,,,                954670,                954670,,,                300031,                     51,                300082,,                 58968,                              0,,                213249,                272217,,,                    312,,                160659,                160971,              1687940,              1687940,              2295626,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,2015年03月31日,,,,              1059023,,                 68809,,                 27939,,                200548,,                 65412,,                  6523,,                    330,,                 29313,,                 52646,              1510543,,,                374033,,                283895,,                  5017,                  8360,,                 54772,                726077,              2236620,,,,,                    643,,                              0,,                141244,,                    505,,                258532,                 32037,                 20394,,                 13292,                466647,,,                 12856,,                    101,,                  3961,                 16918,                483565,,,,                954670,                954670,,,                300031,                     51,                300082,,                 43369,                 22521,,                256189,                322079,,,                    492,,                175732,                176224,              1753055,              1753055,              2236620,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,2014年12月31日,,,,              1049303,,                 50337,,                 32430,,                229438,,                 73814,,                  7866,,                    735,,                 14539,,                105007,              1563469,,,                451583,,                253752,,                  5733,                  8412,,                 79735,                799215,              2362684,,,,,                  1799,,                    157,,                146450,,                    480,,                303523,                 55597,                 11807,,                 12743,                532556,,,                 12856,,                    129,,                  4180,                 17165,                549721,,,,                954670,                954670,,,                300031,                     51,                300082,,                 43369,                 22521,,                213668,                279558,,,                    625,,                278028,                278653,              1812963,              1812963,              2362684,              0,              0,              0,              1049303,              2362684,,,,                  1799,,                    157,,                146450,,                    480,,                303523,                 55597,                 11807,,                 12743,                532556,,,                 12856,,                    129,,                  4180,                 17165,                549721,,,,                954670,                954670,,,                300031,                     51,                300082,,                 43369,                 22521,,                213668,                279558,,,                    625,,                278028,                278653,              1812963,              1812963,
2642,2014年09月30日,,,,                912685,,                 50784,,                 35419,,                213710,,                 72140,,                  9891,,                    988,,                 16898,,                 58887,              1371402,,,                357544,,                250052,,                  5103,                  8545,,                122667,                743911,              2115313,,,,,                    582,,                  1086,,                151474,,                    694,,                256000,                 28050,                  4874,,                 12402,                455162,,,                 13425,,                    509,,                  1200,                 15134,                470296,,,,                954670,                954670,,,                300031,                     51,                300082,,                 43369,                 22521,,                159490,                225380,,,                    237,,                164648,                164885,              1645017,              1645017,              2115313,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,2014年06月30日,,,,              1094606,,                 47496,,                 25722,,                210387,,                 79405,,                  7121,,                    607,,                 20148,,                243637,              1729129,,,                352308,,                257826,,                  5175,                  7754,,                 66914,                689977,              2419106,,,,,                    471,,                  2808,,                134169,,                    530,,                521049,                 95923,                 15837,,                 12670,                783457,,,                 13425,,                    461,,                    500,                 14386,                797843,,,,                954670,                954670,,,                300031,                     51,                300082,,                 43369,                 22521,,                141340,                207230,,,                   -131,,                159412,                159281,              1621263,              1621263,              2419106,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,2014年03月31日,,,,              1058438,,                 82835,,                 26709,,                173372,,                 64002,,                 10265,,                    405,,                 22927,,                221832,              1660785,,,                272811,,                253082,,                  3879,                  8539,,                 65124,                603435,              2264220,,,,,                  4971,,                  4639,,                130290,,                    908,,                353074,                 71545,                 25781,,                 11035,                602243,,,                 13425,,                    486,,                    500,                 14411,                616654,,,,                954670,                954670,,,                300031,                     51,                300082,,                 24899,                              0,,                287879,                312778,,,                    121,,                 79915,                 80036,              1647566,              1647566,              2264220,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,2013年12月31日,,,,,,                 55695,,                 28655,,                206406,,                 85567,,                 12678,,                    825,,                  9541,,                 66302,              1501209,,,                170215,,                251250,,                  4424,                  8369,,                 69539,                503797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1035540,              2005006,,,,                  8610,,                    255,,                137913,,                    509,,                281084,                 31948,                 16851,,                 11174,                488344,,,                 13425,,                    495,,                    500,                 14420,                502764,,,,                954670,                954670,,,                300031,                     51,                300082,,                 24899,                              0,,                245111,                270010,,,                    161,,                -22681,                -22520,              1502242,              1502242,
2642,2013年09月30日,,,,,,                 54588,,                 33777,,                202640,,                 76037,,                 19752,,                    734,,                 15253,,                202310,              1144452,,,                170215,,                254151,,                  4969,                  8695,,                 79760,                517790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                539361,              1662242,,,,                  7784,,                    778,,                148887,,                    449,,                351649,                 64912,                  6497,,                 11841,                592797,,,                 13425,,                              0,,                  2836,                 16261,                609058,,,,                860000,                860000,,,                              0,                     51,                     51,,                 24899,                              0,,                191013,                215912,,,                    -98,,                -22681,                -22779,              1053184,              1053184,
2642,2013年06月30日,,,,,,                 65083,,                 25135,,                189133,,                 86289,,                 16396,,                    722,,                 19557,,                130084,              1062335,,,                170215,,                259156,,                  3015,                  8545,,                 79986,                520917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                529936,              1583252,,,,                 12595,,                  1545,,                148826,,                    447,,                292639,                 54887,                 21606,,                  9286,                541831,,,                 13425,,                              0,,                  2809,                 16234,                558065,,,,                860000,                860000,,,                              0,                     51,                     51,,                 24899,                              0,,                162844,                187743,,,                     74,,                -22681,                -22607,              1025187,              1025187,
2642,2013年03月31日,,,,,,                 75105,,                 27699,,                180839,,                 89241,,                 22547,,                    800,,                 24605,,                146266,              1246121,,,                192896,,                244238,,                  2778,                  8256,,                 81393,                529561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                679019,              1775682,,,,                 21923,,                 13465,,                161160,,                    639,,                320158,                 51959,                 24116,,                 10724,                604144,,,                 13425,,                              0,,                  2784,                 16209,                620353,,,,                860000,                860000,,,                              0,                     51,                     51,,                    604,,,                294739,                295343,,,                    -65,,                              0,                    -65,              1155329,              1155329,
