證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 除役、復原及修復成本之長期負債準備,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 除役、復原及修復成本之長期負債準備,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 其他非流動負債－其他,　　　　 商標權淨額,　　　　　 商標權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
2723,2015年09月30日,,,,              3496179,,                109500,,                121957,,                  7340,,                364764,,                 85763,,                 46031,,                569669,,                416205,,                 24916,              5242324,,,                 33026,,                163116,,                 65079,,              5475688,,                174123,,                 99181,                109850,,                124675,                523868,,                 76303,                724846,              6844909,             12087233,,,,,                 32199,,                    472,,              1011854,,              1362298,                129265,,,                832183,,                 54379,                 26425,                912987,              3449075,,,                984226,,                 56750,                 56750,,                              0,,                 69784,                 69784,              1110760,              4559835,,,,              1411200,              1411200,,,              2681126,              2681126,,                476860,                 38098,,              2339521,              2854479,,                531070,              7477875,                 49523,              7527398,             12087233,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,2015年06月30日,,,,              3202264,,,,                179805,,                     73,,                203318,,                 64066,,                    960,,                436636,,                330449,,                 13212,              4430783,,,                 31687,,                 61593,,                 63082,,              4825357,,                174499,,                 73810,                114190,,                361769,                514964,,                 88788,                965521,              6309739,             10740522,,,,,,,                  6723,,                822497,,              1229693,                 80014,,,                638292,,                 42325,                 23908,                704525,              2843452,,,                935163,,                 53264,                 53264,,                              0,,                 66667,                 66667,              1055094,              3898546,,,,              1411200,              1411200,,,              2681126,              2681126,,                476860,                 38098,,              1925707,              2440665,,                267280,              6800271,                 41705,              6841976,             10740522,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,2015年03月31日,,,,              2905734,,,,                153948,,                    143,,                214907,,                 47908,,                  9923,,                485996,,                286597,,                 11652,              4116808,,,,,                 93749,,                 62381,,              5049770,,,,                 80037,                102928,,                347931,                537498,,                 70126,                955555,              6344420,             10461228,,,,,                  3005,,                     24,,              1059813,,              1003400,                116796,,,                563568,,                 26778,                 15727,                606073,              2789111,,,                629572,,                 55999,                 55999,,                  6402,,                 66043,                 66043,                758016,              3547127,,,,              1411200,              1411200,,,              2681126,              2681126,,                424109,                 38098,,              1962167,              2424374,,                345901,              6862601,                 51500,              6914101,             10461228,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,2014年12月31日,,,,              2480103,,                              0,,                 56070,,                    218,,                238551,,                 76950,,                  7291,,                533994,,                361089,,                 12616,              3766882,,,                              0,,                              0,,                 58710,,              4922226,,                              0,,                 75936,                 81596,,                297939,                545718,,                 73748,                917405,              6055873,              9822755,,,,,                              0,,                              0,,                994015,,              1171192,                 83823,,,                641974,,                    934,                 15594,                658502,              2907532,,,                 14846,,                 56726,                 56726,,                    653,,                 67923,                 67923,                140148,              3047680,,,,              1411200,              1411200,,,              2681126,              2681126,,                424109,                 38098,,              1772876,              2235083,,                396484,              6723893,                 51182,              6775075,              9822755,              0,              0,              2480103,                 56070,                  7291,              9822755,,,,                              0,,                994015,,              1171192,                 83823,,,                641974,,                    934,                 15594,                658502,              2907532,,,                 14846,,                 56726,                 56726,,                    653,,                 67923,                 67923,                140148,              3047680,,,,              1411200,              1411200,,,              2681126,              2681126,,                424109,                 38098,,              1772876,              2235083,,                396484,              6723893,                 51182,              6775075,              0,,,,,,,,,,,
2723,2014年09月30日,,,,              2364502,,                              0,,                224598,,                     67,,                196333,,                 60865,,                  6242,,                526112,,                359756,,                 12593,              3751068,,,                              0,,                              0,,                117835,,              4443452,,                              0,,                 76684,                 68321,,                229873,                488468,,                 71607,                789948,              5496240,              9247308,,,,,                              0,,                      2,,                855626,,              1151342,                 71519,,,                612407,,                              0,                 17893,                630300,              2708789,,,                              0,,                 42893,                 42893,,                  1189,,                 91006,                 91006,                135088,              2843877,,,,              1411200,              1411200,,,              2681126,              2681126,,                424109,                 38098,,              1561153,              2023360,,                237552,              6353238,                 50193,              6403431,              9247308,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,2014年06月30日,,,,              2346520,,,,                181134,,                    668,,                239229,,                 43478,,                 25781,,                480610,,                395165,,                 11588,              3724173,,,                              0,,                              0,,                126693,,              4164015,,                              0,,                 77542,                 63396,,                120063,                440459,,                 63576,                624098,              5055744,              8779917,,,,,,,                     28,,                751575,,              1194372,                 80886,,,                492829,,                              0,                 18451,                511280,              2538141,,,                              0,,                 32870,                 32870,,                              0,,                 54745,                 54745,                 87615,              2625756,,,,              1411200,              1411200,,,              2681126,              2681126,,                424109,                 38098,,              1437150,              1899357,,                117866,              6109549,                 44612,              6154161,              8779917,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,2014年03月31日,,,,              2559074,,,,                204820,,                    102,,                210169,,                110208,,                 23950,,                470571,,                362103,,                 13046,              3954043,,,,,                              0,,                137634,,              4049762,,,,                 78898,                 57856,,                140669,                429076,,                 12639,                582384,              4906534,              8860577,,,,,                              0,,                  3656,,                718326,,                912167,                168627,,,                544996,,                              0,                 14207,                559203,              2361979,,,                              0,,                 30527,                 30527,,                              0,,                 53298,                 53298,                 83825,              2445804,,,,              1411200,              1411200,,,              2681126,              2681126,,                366706,                 38098,,              1669412,              2074216,,                207660,              6374202,                 40571,              6414773,              8860577,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,2013年12月31日,,,,,,,,,,                  1041,,                236397,,                 60453,,,,                455331,,                396800,,                 12607,              3995179,,,,,,,                188759,,              3899390,,,,                 74355,                 63346,,                175661,                418421,,                 13328,                607410,              4833260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              2503716,                285695,                 43139,              8828439,,,,                    296,,                812497,,                934551,                 98554,,,                568626,,                              0,                 23280,                591906,              2437804,,,                              0,,                 29233,                 29233,,                              0,,                 87248,                 87248,                116481,              2554285,,,,              1411200,              1411200,,,              2681126,              2681126,,                366706,                 38098,,              1487603,              1892407,,                218237,              6202970,                 71184,              6274154,              0,,,,,,,,,,,
2723,2013年09月30日,,,,,,                  8393,,,,                  1524,,                289113,,                100205,,,,                466083,,                294911,,                 12071,              3958253,,,,,,,                186765,,              3888737,,,,                 71525,                 51977,,                153647,                414161,,                 15929,                583737,              4782941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              2550379,                214105,                 21469,              8741194,,,,                    221,,                769424,,              1055829,                103012,,,                638609,,                    367,                 12278,                651254,              2579740,,,,,                 22295,                 22295,,                              0,,                 45966,                 45966,                 68261,              2648001,,,,              1411200,              1411200,,,              2681126,              2681126,,                366706,                 38098,,              1395981,              1800785,,                141198,              6034309,                 58884,              6093193,              0,                    200,,,,,,,,,,
2723,2013年06月30日,,,,,,                  8473,,,,                  2310,,                173648,,                 50023,,,,                389952,,                350372,,                 12068,              4449053,,,,,,,                 88307,,              3836324,,,,                 61299,                 60498,,                215702,                435091,,                 15389,                666182,              4714310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              3131000,                322470,                  8737,              9163363,,,,                    969,,                760726,,              1630310,                112219,,,                526547,,                    452,                 14036,                541035,              3045259,,,,,                 21735,                 21735,,,,                 51159,                 51159,                 72894,              3118153,,,,              1411200,              1411200,,,              2681126,              2681126,,                366706,                 38098,,              1238363,              1643167,,                197262,              5932755,                112455,              6045210,              0,                  1700,,,,,,,,,,
