證券代號,年季,　 資產,　　 現金及約當現金,　　　 庫存現金,　　　 零用及週轉金,　　　 待交換票據,　　　 庫存外幣,　　　 存放銀行同業,　　　 現金及約當現金合計,　　 存放央行及拆借銀行同業,　　　 拆放銀行同業,　　　 存放央行,　　　 轉存央行存款,　　　 存出信託資金賠償準備,　　　 抵繳存出信託資金賠償準備,　　　 存放央行及拆借銀行同業合計,　　 透過損益按公允價值衡量之金融資產,　　　 持有供交易之金融資產,　　　 持有供交易之金融資產評價調整,　　　 原始認列時指定透過損益按公允價值衡量之金融資產,　　　 原始認列時指定透過損益按公允價值衡量之金融資產評價調整,　　　 透過損益按公允價值衡量之金融資產合計,　　 附賣回票券及債券投資,　　　 附賣回票券及債券投資,　　　 附賣回票券及債券投資淨額,　　 應收款項－淨額,　　　 應收票據,　　　 應收帳款,　　　 備抵呆帳－應收帳款,　　　 應收利息,　　　 備抵呆帳－應收利息,　　　 應收承兌票款,　　　 應收即期外匯款,　　　 其他應收款,　　　 備抵呆帳－其他應收款,　　　 應收款項－淨額,　　 貼現及放款－淨額,　　　 出口押匯,　　　 透支,　　　 短期放款,　　　 擔保透支,　　　 短期擔保放款,　　　 中期放款,　　　 中期擔保放款,　　　 長期放款,　　　 長期擔保放款,　　　 放款轉列之催收款項,　　　 備抵呆帳－貼現及放款,　　　 貼現及放款－淨額,　　 備供出售金融資產－淨額,　　　 備供出售金融資產,　　　 累計減損－備供出售之金融資產,　　　 備供出售金融資產評價調整,　　　 備供出售金融資產－淨額,　　 持有至到期日金融資產－淨額,　　　 持有至到期日金融資產,　　　 持有至到期日金融資產－淨額,　　 其他金融資產－淨額,　　　 以成本衡量之金融資產,　　　 無活絡市場之債務工具投資,　　　 短期墊款,　　　 非放款轉列之催收款項,　　　 備抵呆帳－非放款轉列之催收款項,　　　 其他金融資產－淨額,　　 不動產及設備－淨額,　　　 土地,　　　 重估增值－土地,　　　 房屋及建築,　　　 重估增值－房屋及建築,　　　 累計折舊－房屋及建築,　　　 累計減損－房屋及建築,　　　 交通及運輸設備,　　　 累計折舊－交通及運輸設備,　　　 什項設備,　　　 累計折舊－什項設備,　　　 不動產及設備－淨額,　　 遞延所得稅資產,　　　 遞延所得稅資產,　　　 遞延所得稅資產合計,　　 其他資產－淨額,　　　 預付費用,　　　 預付其他稅款,　　　 預付利息,　　　 其他預付款,　　　 存出保證金,　　　 抵繳存出保證金,　　　 存出保證品,　　　 抵繳存出保證品,　　　 承受擔保品,　　　 累計減損－承受擔保品,　　　 暫付及待結轉帳項,　　　 其他雜項資產,　　　 累計減損－其他雜項資產,　　　 其他資產－淨額,　　 資產總計,　 負債及權益,　　 負債,　　　 央行及銀行同業存款,　　　　 銀行同業存款,　　　　 銀行同業拆放,　　　　 央行及銀行同業存款合計,　　　 央行及同業融資,　　　　 同業融資,　　　　 央行及同業融資合計,　　　 透過損益按公允價值衡量之金融負債,　　　　 持有供交易之金融負債評價調整,　　　　 透過損益按公允價值衡量之金融負債合計,　　　 附買回票券及債券負債,　　　　 附買回票券及債券負債合計,　　　 應付款項,　　　　 應付費用,　　　　 應付利息,　　　　 應付其他稅款,　　　　 應付股（官）息紅利,　　　　 承兌匯票,　　　　 應付代收款,　　　　 應付即期外匯款,　　　　 其他應付款,　　　　 應付款項合計,　　　 當期所得稅負債,　　　　 應付所得稅款,　　　　 本期所得稅負債合計,　　　 存款及匯款,　　　　 支票存款,　　　　 本行支票,　　　　 活期存款,　　　　 外匯活期存款,　　　　 定期存款（不含NCD）,　　　　 可轉讓定期存單,　　　　 外匯定期存款,　　　　 活期儲蓄存款,　　　　 行員活期儲蓄存款,　　　　 零存整付儲蓄存款,　　　　 整存整付儲蓄存款,　　　　 存本取息儲蓄存款,　　　　 匯出匯款,　　　　 應解匯款,　　　　 存款及匯款合計,　　　 其他金融負債,　　　　 結構型商品所收本金,　　　　 撥入放款基金,　　　　 其他金融負債合計,　　　 負債準備,　　　　 保證責任準備,　　　　 員工福利負債準備,　　　　 負債準備合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債－其他,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 預收收入,　　　　 預收利息,　　　　 其他預收款,　　　　 存入保證金,　　　　 暫收及待結轉帳項,　　　　 遞延收入,　　　　 兌換（貸方）,　　　　 其他雜項負債,　　　　 其他負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 股本溢價,　　　　　 受贈公積,　　　　　 資本公積－庫藏股票交易,　　　　　 其他資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈餘,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　　 庫藏股票,　　　　　 庫藏股票合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　　 非控制權益,　　　　 非控制權益合計,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 預收股款（權益項下）之約當發行股數（單位：股） ,　　　 其他遞延資產,　　　 聯行往來（借方）,　　　　 持有供交易之金融負債,　　　 應付金融債券,　　　　 應付金融債券,　　　　 應付金融債券合計,　　　 共同控制下前手權益,　　　 現金及約當現金總額,　　　 無活絡市場之債務商品投資,　　 資產總額,　 負債,　　 央行及銀行同業存款,　　　 銀行同業存款,　　　 銀行同業拆放,　　　 央行及銀行同業存款合計,　　 央行及同業融資,　　　 同業融資,　　　 央行及同業融資合計,　　 透過損益按公允價值衡量之金融負債,　　　 持有供交易之金融負債,　　　 持有供交易之金融負債評價調整,　　　 透過損益按公允價值衡量之金融負債合計,　　 附買回票券及債券負債,　　　 附買回票券及債券負債合計,　　 應付款項,　　　 應付費用,　　　 應付利息,　　　 應付其他稅款,　　　 應付股（官）息紅利,　　　 承兌匯票,　　　 應付代收款,　　　 應付即期外匯款,　　　 其他應付款,　　　 應付款項合計,　　 當期所得稅負債,　　　 應付所得稅款,　　　 當期所得稅負債合計,　　 存款及匯款,　　　 支票存款,　　　 本行支票,　　　 活期存款,　　　 外匯活期存款,　　　 定期存款（不含NCD）,　　　 可轉讓定期存單,　　　 外匯定期存款,　　　 活期儲蓄存款,　　　 行員活期儲蓄存款,　　　 零存整付儲蓄存款,　　　 整存整付儲蓄存款,　　　 存本取息儲蓄存款,　　　 匯出匯款,　　　 應解匯款,　　　 存款及匯款合計,　　 應付金融債券,　　　 應付金融債券合計,　　 其他金融負債,　　　 結構型商品所收本金,　　　 撥入放款基金,　　　 其他金融負債合計,　　 負債準備,　　　 保證責任準備,　　　 員工福利負債準備,　　　 負債準備合計,　　 遞延所得稅負債,　　　 遞延所得稅負債－所得稅,　　　 遞延所得稅負債－土地增值稅,　　　 遞延所得稅負債－其他,　　　 遞延所得稅負債合計,　　 其他負債,　　　 預收收入,　　　 預收利息,　　　 其他預收款,　　　 存入保證金,　　　 暫收及待結轉帳項,　　　 遞延收入,　　　 兌換（貸方）,　　　 其他雜項負債,　　　 其他負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 其他資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈餘,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現損益,　　　　 其他權益合計,　　　 庫藏股票,　　　　 庫藏股票合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　　 非控制權益合計,　　 權益總額,　　　　 股本溢價,　　　　 受贈公積,　　　 備抵遞延所得稅資產評價
2809,2015年09月30日,,,              1450226,                     70,                920218,                171123,              6381566,              8923203,,                              0,              7553571,             23425000,                 50000,                -50000,             30978571,,              3980601,               -570324,                 50000,                 -7941,              3452336,,              4800465,              4800465,,                204804,                 49219,                 11747,              1082955,                  3500,                              0,                    666,                 94092,                  2430,              1414059,,                 24725,                 15364,              8660589,                 46912,             34853629,             13346261,             41230108,                870581,             26691701,                 23335,              1923418,            123839787,,             56397019,                119355,                611453,             56889117,,                              0,                              0,,                207313,              3931733,                    100,                 21600,                 21600,              4139146,,              1892584,                124556,              1317652,                 10476,                808487,                 82800,                 20382,                 13402,                 90813,                 58010,              2493764,,                223488,                223488,,                 30434,                              0,                              0,                241364,                 54566,                              0,             33801679,            -33801679,                 13092,                 13092,                  3938,                 43159,                 20280,                353181,            237507117,,,,                    788,             19338400,             19339188,,              4771432,              4771432,,                109308,                109308,,             18657842,,                237832,                142997,                 36705,                              0,                              0,                 32645,                              0,              1669795,              2119974,,                209913,                209913,,              1665351,                152852,             21049846,              3265647,             10238336,                 61800,             10457058,             55109945,                457220,                    145,              2158313,             59387209,                  5910,                              0,            164009632,,                              0,                              0,                              0,,                 71994,                379939,                451933,,                 10554,                 50954,                              0,                 61508,,                210991,                    602,                    339,                 20207,                  9118,                  1484,                              0,                     41,                242782,            209973512,,,,             12012343,             12012343,,                              0,                              0,                121760,                 56986,                178746,,              5332873,                 48970,,              6881310,              2886557,              9767867,             15149710,,                 51530,                611453,                662983,,               -470177,                470177,             27533605,,                              0,                              0,             27533605,            237507117,              0,     20129000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2015年06月30日,,,              1345826,                     70,                305213,                173075,              9376904,             11201088,,                              0,              6822249,             24525000,                 50000,                -50000,             31347249,,              4379409,                161544,                 50000,                 -3097,              4587856,,              2485514,              2485514,,                 41576,                 51038,                 11796,                905533,                  3500,                              0,                    411,                 25141,                  2676,              1005727,,                 31794,                 13212,              8545984,                 47089,             31213310,             14050589,             43360487,                994275,             28425710,                 21132,              1916198,            124787384,,             57538101,                133068,              1494569,             58899602,,                              0,                              0,,                207313,              3726737,                     12,                 21600,                 21600,              3934062,,              1897052,                163010,              1330081,                 10476,                810360,                 82800,                 20505,                 12703,                 85289,                 55945,              2544605,,                258738,                258738,,                 16784,                    112,,                242315,                418989,                              0,             34230306,            -34230306,                 13092,                 13092,                  3980,                 43159,                 20280,                705059,            241756884,,,,                    451,             20549190,             20549641,,              3573050,              3573050,,                258929,                258929,,             21160434,,                306037,                106630,                 53614,              1801852,                              0,                 16676,                              0,                913918,              3198727,,                459120,                459120,,              1358337,                235654,             21641574,              3141299,              9710576,                 36800,             11456103,             55043437,                477274,                    145,              2144411,             58107180,                  8711,                              0,            163361501,,,                              0,                              0,,                 71915,                393771,                465686,,                  6106,                 65821,                              0,                 71927,,                225526,                     96,                    159,                  8059,                 55334,                  1560,                              0,                     57,                290791,            213389806,,,,             12012343,             12012343,,,,                121760,                 56986,                178746,,              5332873,                 48970,,              6881309,              2388457,              9269766,             14651609,,                 29811,              1494569,              1524380,,,,             28367078,,                              0,                              0,             28367078,            241756884,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2015年03月31日,,,              1385210,                     50,                234880,                119069,              9912292,             11651501,,                              0,              6835800,             24725000,                 50000,                -50000,             31560800,,              3474368,                -97417,                 50000,                 25837,              3452788,,              2181994,              2181994,,                  7307,                 80732,                 48396,                992201,                  3500,                              0,                    234,                 18945,                  4670,              1042853,,                              0,                 14809,              9132731,                 61666,             30572463,             13310334,             41201573,              1084169,             29259656,                 46251,              1922016,            122761636,,             56866214,                106763,              1480946,             58240397,,                              0,                              0,,                207313,              3769976,                  6005,                              0,                              0,              3983294,,              1897052,                163010,              1330081,                 10476,                804048,                 82800,                 15366,                 12404,                 78949,                 52550,              2543132,,                255240,                255240,,                 21995,                     51,,                219398,                367261,                              0,             36648848,            -36648848,                 13092,                 13092,                  3980,                 43159,                 20280,                635564,            238309199,,,,                    555,             17662330,             17662885,,              2355075,              2355075,,                304403,                304403,,             24132968,,                230126,                158006,                 38772,                              0,                              0,                  9006,                              0,              1004278,              1440188,,                893031,                893031,,              1262855,                185835,             21826580,              2962512,             10883166,                636800,              9261307,             55082955,                497326,                    145,              2167555,             57100938,                 16967,                  1686,            161886627,,                              0,                              0,                              0,,                 49708,                413471,                463179,,                              0,                 65821,                              0,                 65821,,                148293,                      8,                    338,                 11969,                  8254,                  1637,                              0,                     52,                170551,            209374728,,,,             12012343,             12012343,,                              0,,                121760,                 56986,                178746,,              3773967,                 48970,,             10242067,              1146290,             11388357,             15211294,,                 51142,              1480946,              1532088,,                              0,                              0,             28934471,,                              0,                              0,             28934471,            238309199,              0,              0,              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2014年12月31日,,,              1504989,                     50,                874387,                180087,              9305598,             11865111,,                              0,              6870936,             26225000,                 50000,                -50000,             33095936,,              3333723,                -71825,                 50000,                 21256,              3333154,,                772295,                772295,,                  1659,                 61725,                 48579,                865010,                  3500,                              0,                              0,                 29577,                  4891,                901001,,                              0,                 32122,              9525230,                 61602,             29193978,             15195857,             38138716,              1112611,             30178357,                 23643,              1902071,            121560045,,             55007488,                161762,                814760,             55660486,,                              0,                              0,,                207313,              4316780,                    362,                              0,                              0,              4524455,,              1897052,                163010,              1330081,                 10476,                797735,                 82800,                 15366,                 12103,                 74607,                 49089,              2548865,,                305307,                305307,,                 10600,                              0,                              0,                216218,                467188,                              0,             41210999,            -41210999,                 13092,                 13092,                  3980,                 43159,                 20280,                720865,            235287520,,,,                  2339,             12860773,             12863112,,              4377084,              4377084,,                594167,                594167,,             27902026,,                329951,                123300,                 46129,                              0,                              0,                 12935,                    280,              1163882,              1676477,,                775253,                775253,,              1349797,                319252,             22032785,              2865407,             11415867,                651800,              8466376,             53591557,                448886,                    145,              2162383,             55899606,                 20853,                     37,            159224751,,                              0,                              0,                              0,,                 49719,                428503,                478222,,                 15566,                 65821,                              0,                 81387,,                147119,                    113,                    154,                 10785,                  8271,                  1714,                              0,                     33,                168189,            208140668,,,,             12012343,             12012343,,                              0,                              0,                121760,                 56986,                178746,,              3773967,                 48970,,              5045713,              5196354,             10242067,             14065004,,                 75999,                814760,                890759,,                              0,                              0,             27146852,,                              0,                              0,             27146852,            235287520,              0,              0,              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2014年09月30日,,,              1291606,                     50,                295023,                115215,             12685511,             14387405,,                              0,              4823633,             29700000,                 50000,                -50000,             34523633,,              2932069,                -97314,                 50000,                  7297,              2892052,,                230215,                230215,,                              0,                 58073,                 11578,              1091749,                  3500,                              0,                              0,                 24405,                  5052,              1154097,,                              0,                 32000,             10287459,                 80261,             25666565,             15396455,             36657240,              1199353,             31138556,                 41515,              1815106,            118684298,,             42405410,                165572,              2210542,             44450380,,              5944887,              5944887,,                207313,              5365971,                      9,                              0,                              0,              5573293,,              1920249,                192987,              1333245,                 10476,                793894,                 82800,                 15427,                 12359,                 96671,                 77599,              2602403,,                225731,                225731,,                 27630,                 21868,                              0,                207926,                 85094,                              0,             41080699,            -41080699,                 13092,                 14500,                  3983,                 43159,                 20280,                367972,            231036366,,,,                     34,             12363374,             12363408,,              2647932,              2647932,,                148416,                148416,,             30834208,,                146065,                152022,                 30909,                              0,                              0,                 14438,                     59,                847990,              1191483,,                589839,                589839,,              1317179,                187878,             21003876,              2613345,             11061131,                635000,              8277506,             52576520,                448635,                    145,              2161855,             54980752,                 13511,                     36,            155277369,,                              0,                    396,                    396,,                 50023,                415727,                465750,,                  5479,                 65821,                              0,                 71300,,                 63659,                    222,                    805,                 11831,                 13356,                  1790,                              0,                     33,                 91696,            203681797,,,,             12012343,             12012343,,                              0,                              0,                121760,                 56986,                178746,,              3773967,                 48970,,              5064960,              4038410,              9103370,             12926307,,                 26631,              2210542,              2237173,,                              0,                              0,             27354569,,                              0,                              0,             27354569,            231036366,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2014年06月30日,,,              1450217,                     50,                278996,                138021,             14221213,             16088497,,                              0,              6740863,             30600000,                 50000,                -50000,             37340863,,              1926106,                216419,                 50000,                  2410,              2194935,,                              0,                              0,,                  1080,                 46545,                 11578,                914987,                  3500,                              0,                     81,                 47490,                  5052,                990053,,                              0,                 26987,              8454625,                 81569,             23195289,             13889503,             37086742,              1304954,             31626520,                 25783,              1791466,            113900506,,             37120499,                162738,              2608296,             39566057,,              5967533,              5967533,,                207313,              5290587,                    551,                              0,                              0,              5498451,,              1920249,                192987,              1334045,                 10476,                787185,                 82800,                 15427,                 11968,                 85339,                 75468,              2601102,,                212037,                212037,,                 17543,                     45,,                206849,                 49861,                              0,             38407463,            -38407463,                187448,                 19230,                  4137,                 43159,                 20280,                469532,            224829566,,,,                  1716,             12799378,             12801094,,              3440225,              3440225,,                  4478,                  4478,,             27305279,,                170368,                111062,                 30518,              1801852,                              0,                 16546,                              0,                517927,              2648273,,                464864,                464864,,              1343034,                128409,             21816685,              2881912,              8684658,              1035000,              5648657,             52361625,                476040,                    145,              2189725,             54351995,                 34830,                  3924,            150956639,,,                    635,                    635,,                 50002,                429014,                479016,,                 26022,                 65821,                              0,                 91843,,                 54403,                    333,                    986,                  8190,                  6246,                  1945,                              0,                    156,                 72259,            198264605,,,,             12012343,             12012343,,,,                121760,                 56986,                178746,,              3773967,                 48970,,              5064960,              2886106,              7951066,             11774003,,                 -8426,              2608295,              2599869,,,,             26564961,,                              0,                              0,             26564961,            224829566,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2014年03月31日,,,              1436075,                     50,                260889,                130993,             14162394,             15990401,,                              0,              5505402,             30600000,                 50000,                -50000,             36105402,,              1718038,                194746,                 83113,                  7052,              2002949,,                305974,                305974,,                  2426,                 52440,                 11579,              1131527,                  3500,                              0,                     57,                 28494,                  5080,              1194785,,                              0,                 31532,              8251263,                 79778,             20892841,             14423198,             36804540,              1323452,             32216959,                 25233,              1738763,            112310033,,             37387262,                165974,              1839057,             39060345,,              5995822,              5995822,,                208113,              5392470,                    132,                              0,                              0,              5600715,,              1931919,                223207,              1398023,                 10476,                818066,                 82800,                 15427,                 11576,                 84527,                 74082,              2677055,,                194054,                194054,,                 23521,                     17,,                200069,                 51360,                              0,             38155394,            -38155394,                187448,                  4730,                  3942,                 43159,                 20280,                484506,            221922041,,,,                  3362,             16346215,             16349577,,              3661200,              3661200,,                 41324,                 41324,,             26283507,,                123803,                172435,                 18763,                              0,                              0,                  4917,                              0,                539370,                859288,,                377509,                377509,,              1424814,                165785,             19952440,              2227884,              8602321,              1535000,              5371847,             51947699,                492665,                    145,              2213722,             53627739,                  7291,                     35,            147569387,,                              0,                    875,                    875,,                 49913,                447740,                497653,,                  5677,                 77857,                              0,                 83534,,                147725,                    448,                  1581,                 10167,                 23648,                  2099,                    102,                     18,                185788,            195909642,,,,             12012343,             12012343,,                              0,,                121760,                 56986,                178746,,              2531363,                 48970,,              8109416,              1264937,              9374353,             11954686,,                 27567,              1839057,              1866624,,                              0,                              0,             26012399,,                              0,                              0,             26012399,            221922041,              0,              0,              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2809,2013年12月31日,,,              1319682,                     50,                436236,                188740,             14383786,,,                              0,              6713306,             31000000,                 50000,                -50000,             37713306,,                863019,                120580,                556274,                  4677,              1544550,,                248029,                248029,,                    754,                 41295,                 11579,                991770,                  3500,                              0,                  1536,                236963,                  5374,              1251865,,                              0,                 39089,              6801990,                 81641,             20017309,             12618571,             35211925,              1425395,             33029104,                 34156,              1716336,            107542844,,             32080866,                162928,              1419440,             33337378,,              6017544,              6017544,,                208113,,                  2154,                              0,                              0,              6642016,,              1931919,                223207,              1397223,                 10476,                810963,                 82800,                 17552,                 14830,                 80034,                 69223,              2682595,,                222352,                222352,,                 11014,                              0,,                200226,                 45887,                              0,             34216606,            -34216606,                187448,                  4730,                  3934,                 43159,                 20280,                466658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,                              0,,,,,              0,              0,              0,                              0,                              0,,                              0,,,,             16328494,              6431749,            213997631,,,                    743,             15444575,             15445318,,              3833600,              3833600,,                              0,                 93311,                 93311,,             22652181,,                274192,                123855,                 21338,                              0,                              0,                  8720,                              0,                651368,              1079473,,                243698,                243698,,              1491997,                169002,             20230127,              2471134,              9637091,                349600,              4615690,             50897258,                441059,                    145,              2229178,             53041588,                  7422,                     35,            145581326,,                              0,,                              0,                  1177,                  1177,,                 49891,                463262,                513153,,                  1579,                 77857,                              0,                 79436,,                132551,                     60,                  1823,                  8298,                 21922,                  2279,                     34,                     17,                166984,            189689657,,,,             12012343,             12012343,,                121760,                 56986,                178746,,              2531363,                 48970,,              3967403,              4142013,              8109416,             10689749,,                  7696,              1419440,              1427136,,                              0,             24307974,,                              0,             24307974,,,                              0
2809,2013年09月30日,,,              1410602,                    100,                335854,                145068,             12814903,,,                700000,              6004987,             30800000,                 50000,                -50000,             37504987,,              1044998,                 83290,                556275,                  1294,              1685857,,                494238,                494238,,                  3591,                 45778,                 13118,              1014548,                  3500,                              0,                              0,                 37933,                  5374,              1079858,,                 10234,                 26843,              7701510,                 86212,             19344192,             12673645,             33606263,              1373477,             32383419,                 69958,              1684181,            105591572,,             33220830,                              0,              1077168,             34297998,,              6046356,              6046356,,                208113,,                  1157,                 13279,                 13348,              6814059,,              1961896,                193230,              1397223,                 10476,                803258,                 82800,                 17552,                 14445,                 78042,                 67267,              2690649,,                291529,                291529,,                 24988,                 15719,                              0,                200399,                 45959,                              0,             30591216,            -30591216,                187448,                  4730,                  3934,                 43159,                 20280,                496596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,              0,              0,              0,,,,,,,,             14706527,              6604858,            211700226,,,                  1525,             16224210,             16225735,,              4747200,              4747200,,                      7,                 37333,                 37340,,             19602330,,                220600,                143851,                 17370,                              0,                              0,                  8912,                              0,                863770,              1254503,,                196010,                196010,,              1635853,                363856,             19717295,              2360470,             10405411,                139600,              4761515,             50228260,                440914,                    145,              2351803,             53627518,                 32887,                              0,            146065527,,,,                  2334,                  1792,                  4126,,                 48955,                408184,                457139,,                              0,                 77857,                              0,                 77857,,                124056,                     93,                  2434,                  8701,                 24756,                  2408,                              0,                     17,                162465,            188830232,,,,             12012343,             12012343,,                121760,                 56986,                178746,,              2531363,                 48970,,              4027223,              3001257,              7028480,              9608813,,                 -7077,              1077169,              1070092,,,             22869994,,                              0,             22869994,                              0,                              0,
2809,2013年06月30日,,,              1237260,                    100,              1795255,                181756,             11909956,,,                200000,              6355042,             30800000,                 50000,                -50000,             37355042,,              1151797,                  9841,                841360,                 71641,              2074639,,              1365051,              1365051,,                              0,                 31752,                 13118,                871181,                  3500,                              0,                              0,                 75168,                  5374,                956109,,                 11484,                 23755,              7392985,                 79907,             20325589,             10238987,             32519444,              1471630,             31440876,                 84366,              1559721,            102029302,,             17127105,                              0,                443754,             17570859,,              6073327,              6073327,,                208113,,                     48,                 13311,                 13348,             22343226,,              1961896,                193230,              1395473,                 10476,                795625,                 82800,                 17552,                 14060,                 77730,                 65636,              2698236,,                393414,                393414,,                 18966,                     33,,                213929,                103669,                              0,             29235479,            -29235479,                187448,                  4730,                    591,                 43159,                 20280,                542785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,              0,              0,              0,,,,,,,,             15124327,             22135102,            208526317,,,                  1880,             13309366,             13311246,,              5120400,              5120400,,,                155270,                155270,,             18156582,,                125426,                105568,                 23196,              1801852,                              0,                 20629,                    476,              2011418,              4088565,,                298475,                298475,,              1883862,                116100,             18725334,              2230874,             11098370,                197900,              4740839,             50278170,                462035,                    790,              2582778,             53110497,                 52392,                  7538,            145487479,,,,,                  2406,                  2406,,                 48959,                439384,                488343,,                  2082,                 77857,                              0,                 79939,,                130255,                    122,                  2757,                  9130,                 43453,                  2562,                              0,                     16,                188295,            187377000,,,,             12012343,             12012343,,                121760,                 56986,                178746,,              2531363,                 48970,,              4027223,              1896752,              5923975,              8504308,,                 10166,                443754,                453920,,,             21149317,,                              0,             21149317,,,
