證券代號,年季,　 資產,　　 現金及約當現金,　　　 現金及約當現金合計,　　 存放央行及拆借銀行同業,　　　 存放央行及拆借銀行同業合計,　　 透過損益按公允價值衡量之金融資產,　　　 透過損益按公允價值衡量之金融資產合計,　　 附賣回票券及債券投資,　　　 附賣回票券及債券投資淨額,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 貼現及放款－淨額,　　　 貼現及放款－淨額,　　 備供出售金融資產－淨額,　　　 備供出售金融資產－淨額,　　 持有至到期日金融資產－淨額,　　　 持有至到期日金融資產－淨額,　　 其他金融資產－淨額,　　　 其他金融資產－淨額,　　 不動產及設備－淨額,　　　 不動產及設備－淨額,　　 無形資產－淨額,　　　 無形資產－淨額,　　 遞延所得稅資產,　　　 遞延所得稅資產合計,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益,　　 負債,　　　 央行及銀行同業存款,　　　　 央行及銀行同業存款合計,　　　 央行及同業融資,　　　　 央行及同業融資合計,　　　 透過損益按公允價值衡量之金融負債,　　　　 透過損益按公允價值衡量之金融負債合計,　　　 附買回票券及債券負債,　　　　 附買回票券及債券負債合計,　　　 應付款項,　　　　 應付款項合計,　　　 存款及匯款,　　　　 存款及匯款合計,　　　 應付金融債券,　　　　 應付金融債券合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 負債準備,　　　　 負債準備合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 預收股本,　　　　　 增資準備,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 股本溢價,　　　　　 受贈公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採權益法認列關聯企業及合資股權淨值之變動數,　　　　　 其他資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈餘,　　　　　　 累積虧損,　　　　　　 上期損益,　　　　　　 追溯適用及追溯重編之影響數 ,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 與待出售資產直接相關之權益,　　　　　 不動產重估增值,　　　　　 確定福利計畫之再衡量數,　　　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　　　 其他權益－其他,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　　 庫藏股票,　　　　　 庫藏股票合計,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　　 非控制權益,　　　　 非控制權益合計,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 預收股款（權益項下）之約當發行股數（單位：股） ,　　 採用權益法之投資－淨額,　　　 採用權益法之投資－淨額,　　　 現金及約當現金總額,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及銀行同業存款,　　　 央行及銀行同業存款合計,　　 央行及同業融資,　　　 央行及同業融資合計,　　 透過損益按公允價值衡量之金融負債,　　　 透過損益按公允價值衡量之金融負債合計,　　 附買回票券及債券負債,　　　 附買回票券及債券負債合計,　　 應付款項,　　　 應付款項合計,　　 存款及匯款,　　　 存款及匯款合計,　　 應付金融債券,　　　 應付金融債券合計,　　 其他金融負債,　　　 其他金融負債合計,　　 負債準備,　　　 負債準備合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 股本溢價,　　　　 受贈公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採權益法認列關聯企業及合資股權淨值之變動數,　　　　 其他資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈餘,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現損益,　　　　 其他權益合計,　　　 庫藏股票,　　　　 庫藏股票合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　　 非控制權益合計,　　 權益總額,　　　　　 累積虧損,　　　　　 上期損益,　　　　　 追溯適用及追溯重編之影響數 ,　　　　 增資準備
2834,2015年09月30日,,,             64832935,,             90386432,,              2705505,,             14863861,,             17636154,,                103166,,          1010074639,,             21288110,,            193629892,,              2106539,,             14062749,,                118373,,              1508946,,              3130039,          1436447340,,,,             96621944,,                              0,,                389857,,              4854455,,             33214036,,          1170790758,,             45600000,,             13728999,,              3010888,,                905304,,                771835,          1369888076,,,,             56846618,                              0,                              0,                              0,                              0,             56846618,,                              0,                              0,                              0,                              0,                              0,                              0,,              5626631,                185128,,                 15323,                              0,                              0,                              0,              3805470,              3820793,              9632552,,                182206,               -102112,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 80094,,                              0,                              0,             66559264,                              0,,                              0,                              0,             66559264,          1436447340,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2015年06月30日,,,             52033756,,             75850559,,              3091843,,                 60055,,             23508123,,                141143,,          1003951513,,             18039181,,            194574944,,              3278131,,             14051492,,                123680,,              1748084,,              2314515,          1393073149,,,,             77658004,,                              0,,                219633,,              4772859,,             26795807,,          1157071440,,             41600000,,             15247857,,              2997033,,                883359,,                786015,          1328032007,,,,             52979141,,,              3867477,,             56846618,,                              0,                              0,                              0,                              0,                              0,                              0,,              5626631,                185128,,                 15323,,,,              2542897,              2558220,              8369979,,               -115352,                -60103,,,,,,,,               -175455,,,                              0,             65041142,                              0,,,                              0,             65041142,          1393073149,              0,              0,              0,,                306130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2015年03月31日,,,             55894507,,             60681338,,              3564539,,                169895,,             16241996,,                197345,,          1027123192,,             16233429,,            194467232,,              3286793,,             14061740,,                136182,,              1992807,,              2050301,          1396101296,,,,             90788626,,                              0,,                256627,,              4460823,,             19704589,,          1155265409,,             41800000,,             15269067,,              2985597,,                886378,,                748500,          1332165616,,,,             52979141,,,,,             52979141,,                              0,                              0,                              0,                              0,                              0,                              0,,              4032090,                281365,,                 65967,,              5315137,,              1342242,              6723346,             11036801,,                -54204,                -26058,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                -80262,,                              0,                              0,             63935680,                              0,,                              0,                              0,             63935680,          1396101296,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2014年12月31日,,,             64242245,,             61844444,,              2610707,,              5527837,,             21821960,,                235755,,          1001234570,,             16043539,,            194541571,,              3268115,,             14101430,,                150029,,              2125784,,              4642581,          1392390567,,,,             80595072,,                              0,,                303213,,              3895308,,             30556802,,          1152156998,,             41800000,,             15739260,,              3018791,,                898420,,                688786,          1329652650,,,,             52979141,                              0,                              0,                              0,                              0,             52979141,,                              0,                              0,                              0,                              0,                              0,                              0,,              4032090,                281365,,                 65967,                              0,                              0,                              0,              5315137,              5381104,              9694559,,                 91858,                -27641,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 64217,,                              0,                              0,             62737917,                              0,,                              0,                              0,             62737917,          1392390567,              0,              0,              0,,                              0,             64242245,                235755,          1392390567,,,             80595072,,                              0,,                303213,,              3895308,,             30556802,,          1152156998,,             41800000,,             15739260,,              3018791,,                898420,,                688786,          1329652650,,,,             52979141,             52979141,,                              0,                              0,                              0,                              0,                              0,                              0,,              4032090,                281365,,                 65967,              5315137,              5381104,              9694559,,                 91858,                -27641,                 64217,,                              0,             62737917,                              0,,                              0,             62737917,,,,
2834,2014年09月30日,,,             56707844,,             59846898,,              3646776,,             16513410,,             19609877,,                322557,,            950596442,,             14774439,,            197327589,,              3289150,,             14134843,,                167486,,              2052880,,              2282841,          1341273032,,,,             83542060,,                              0,,                304573,,              3876414,,             25193841,,          1103922719,,             43200000,,             15358284,,              3046824,,                882276,,                653395,          1279980386,,,,             52979141,                              0,                              0,                              0,                              0,             52979141,,                              0,                              0,                              0,                              0,                              0,                              0,,              4032090,                281365,,                 57210,                              0,                              0,                              0,              3952035,              4009245,              8322700,,                -54341,                 45146,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 -9195,,                              0,                              0,             61292646,                              0,,                              0,                              0,             61292646,          1341273032,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2014年06月30日,,,             59680401,,             62104139,,              3677312,,              7358299,,             16260645,,                283304,,            943363838,,             14198135,,            198686973,,              3322994,,             14176622,,                178744,,              2085053,,              1742823,          1327119282,,,,             85680151,,                              0,,                205850,,              4308188,,             20561268,,          1088278931,,             48200000,,             15177168,,              3060662,,                883160,,                996141,          1267351519,,,,             50941482,,,              2037659,,             52979141,,                              0,                              0,                              0,                              0,                              0,                              0,,              4032090,                281365,,                 57210,,,,              2532864,              2590074,              6903529,,               -193991,                 79084,,,,,,,,               -114907,,,                              0,             59767763,                              0,,,                              0,             59767763,          1327119282,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2014年03月31日,,,             54807641,,             64061979,,              4159365,,             12189769,,             14257343,,                394339,,            947640616,,             13742424,,            196474172,,              3307516,,             14230680,,                172307,,              2010802,,              2524296,          1329973249,,,,             88817440,,                 18000,,                247827,,              5043669,,             18600516,,          1089516672,,             50350000,,             14173147,,              3117940,,                879967,,                641877,          1271407055,,,,             50941482,,,,,             50941482,,                              0,                              0,                              0,                              0,                              0,                              0,,              3423455,                956088,,             -1581421,,              3610202,,              1212460,              3241241,              7620784,,                 17821,                -13893,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                  3928,,                              0,                              0,             58566194,                              0,,                              0,                              0,             58566194,          1329973249,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2834,2013年12月31日,,,,,             68296127,,              2974594,,             20870025,,             14303296,,,,            958077590,,             13045318,,            194434171,,              3325207,,             14298731,,                180839,,              2021651,,              1750045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             32244163,                546319,          1326368076,,,             79079753,,                 13000,,                280882,,              4199242,,             19752202,,          1095420273,,             51450000,,             14153582,,              3113241,,                880712,,                771621,          1269114508,,,,             50941482,             50941482,,                              0,                              0,                              0,                              0,                              0,                              0,,              3423455,                956088,,             -1581421,              3610202,              2028781,              6408324,,               -111235,                 14997,                -96238,,                              0,             57253568,                              0,,                              0,             57253568,,,,                              0
2834,2013年09月30日,,,,,             62569481,,              4087650,,                200680,,             14761344,,,,            986326723,,             13619143,,            189937865,,              3234745,,             14350358,,                189681,,              1907038,,              2127762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,                              0,,,,,              0,              0,              0,,,             23448793,                657201,          1317418464,,,             84242254,,                 20000,,                225575,,              8428165,,             21035688,,          1084017939,,             45450000,,             13486086,,              2889567,,                879754,,                815184,          1261490212,,,,             50941482,             50941482,,                              0,                              0,                              0,                              0,                              0,                              0,,              3423455,                956088,,             -1526338,              2220186,                693848,              5073391,,               -109750,                 23129,                -86621,,                              0,             55928252,                              0,,                              0,             55928252,                              0,                              0,                              0,
2834,2013年06月30日,,,,,             71729231,,              5446914,,              4635892,,             16450360,,,,            959036727,,             13086769,,            183710389,,              3548163,,             14320024,,                190330,,              1950156,,              4080020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             26164131,                625611,          1304974717,,,             83721075,,                              0,,                273346,,             10541939,,             32294018,,          1058265538,,             48900000,,             11050684,,              2852725,,                879964,,              1067125,          1249846414,,,,             48982194,             50941482,,                              0,                              0,                              0,                              0,                              0,                              0,,              3423455,                956088,,             -1526338,              1537720,                 11382,              4390925,,                -90436,               -113668,               -204104,,                              0,             55128303,                              0,,                              0,             55128303,,,,              1959288
