證券代號,年季,　 資產,　　 現金及約當現金,　　 存放央行及拆借金融同業,　　 透過損益按公允價值衡量之金融資產,　　 備供出售金融資產－淨額,　　 附賣回票券及債券投資,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 貼現及放款－淨額,　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　 受限制資產－淨額,　　 其他金融資產－淨額,　　　 以成本衡量之金融資產－淨額,　　　 其他什項金融資產－淨額,　　　 其他金融資產－淨額,　　 投資性不動產－淨額,　　　 投資性不動產－淨額,　　 不動產及設備－淨額,　　 無形資產－淨額,　　 遞延所得稅資產,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益 ,　　 負債,　　　 央行及金融同業存款,　　　 透過損益按公允價值衡量之金融負債,　　　 避險之衍生金融負債,　　　 附買回票券及債券負債,　　　 應付商業本票－淨額,　　　 應付款項,　　　　 應付款項合計,　　　 本期所得稅負債,　　　 存款及匯款,　　　 應付債券,　　　 其他借款,　　　　 其他借款合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他金融負債,　　　　 結構型商品所收本金,　　　　 期貨交易人權益,　　　　 其他什項金融負債,　　　　 其他金融負債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益 ,　　　 歸屬於母公司業主之權益 ,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 其他權益－其他,　　　　　 其他權益合計,　　　　 庫藏股,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總計,　　 負債及權益總計,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 避險之衍生金融資產,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及金融同業存款,　　 透過損益按公允價值衡量之金融負債,　　 避險之衍生金融負債,　　 附買回票券及債券負債,　　 應付商業本票－淨額,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　 存款及匯款,　　 應付債券,　　 其他借款,　　　 短期借款,　　　 長期借款,　　　 其他借款合計,　　 負債準備,　　　 負債準備合計,　　 其他金融負債,　　　 結構型商品所收本金,　　　 期貨交易人權益,　　　 其他什項金融負債,　　　 其他金融負債合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益 ,　　 歸屬於母公司業主之權益 ,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現評價利益（損失）,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　 其他權益－其他,　　　　 其他權益合計,　　　 庫藏股,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　 共同控制下前手權益
2883,2015年09月30日,,             40049356,             66493430,            160572710,             91878205,             66396944,,            111257479,,              1000577,            223684373,                102564,             10334917,             32881460,,             22553823,             37280045,             59833868,,              2059928,             14470847,              8728501,              5672234,,             22824626,            918242019,,,             20377407,             49623463,                              0,            124086674,             15442066,,             69325090,                823649,            319690978,             28637537,,             41532070,,                994526,,             37478533,             31113371,                402678,             68994582,,              1567954,,             10034880,            751130876,,,,            151644553,                 16288,            151660841,                602750,,              4161475,                765041,             11532832,             16459348,,              1893058,             -4638493,                              0,                -46378,             -2791813,              2395508,            163535618,              3575525,            167111143,            918242019,      1628846,    325371938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2015年06月30日,,             29154651,             75433971,            128137287,            122366363,             49112441,,            134725187,,                853690,            221182539,                142564,             10330090,             33933981,,             23043629,             37649594,             60693223,,              2064638,             14357752,              8865512,              5579665,,             13077976,            910011530,,,              3141056,             29468553,                              0,            116949579,             22035374,,             74675211,                930048,            329569141,             26577343,,             41363779,,                987898,,             53018670,             30243317,                380349,             83642336,,              1477654,,             12266259,            743084231,,,,            151644303,                    250,            151644553,                599342,,              4161475,                765041,             10540754,             15467270,,               -708235,             -1216531,                              0,                -60983,             -1985749,              2376748,            163348668,              3578631,            166927299,            910011530,         25000,    323231938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2015年03月31日,,             25287050,             63042000,            137254115,            142862046,             29604503,,            162414751,,                708163,            227403051,                190000,             10613385,             21407105,,             27499612,             45041476,             72541088,,              2068778,             14404898,              9030129,              5712506,,             15194757,            939738325,,,              7867696,             29334851,                  9691,            124355987,             29433669,,             50453788,              1284707,            334679948,             23570225,,             60941695,,              1180745,,             53251532,             31994567,                385897,             85631996,,              1454321,,             14180077,            764379396,,,,            153533183,                    250,            153533433,                600999,,              3077853,              1123858,             18018236,             22219947,,               -228519,                -63750,                 -9691,                -76415,               -378375,              4271618,            171704386,              3654543,            175358929,            939738325,         25000,    512119938,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2014年12月31日,,             25228480,             41616681,            151177813,            139610600,             32871543,,            131789029,,                720044,            225777475,             18790000,              8562987,             24425207,,             31962391,             41792876,             73755267,,              2070706,             14393809,              8896357,              5834810,,             14180410,            919701218,,,             12680778,             35082307,                 20659,            132826606,             13925045,,             58243555,              1994883,            304557970,             34660984,,             35204646,,              1215264,,             74150578,             23754390,                392027,             98296995,,              1423785,,             13544034,            743677511,,,,            153438493,                  5969,            153444462,                590923,,              3077853,              1123858,             15275884,             19477595,,                201379,               -177929,                -20659,                -26956,                -24165,              3298709,            170190106,              5833601,            176023707,            919701218,        596872,    416636938,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2014年09月30日,,             16895958,             77995504,            120118280,            132700853,             29789716,,            138839249,,                842151,            230493422,             20090014,              8376750,             27364803,,             30827214,             42605161,             73432375,,              1759915,             15197645,              9807643,              6027489,,             13369784,            923101551,,,              7609584,             29415120,                 31580,            123382032,             22938918,,             66539046,              2505916,            311800387,             33622190,,             32245282,,              1297163,,             79021582,             23820817,                378740,            103221139,,              1281319,,             16137378,            752027054,,,,            153431133,                  5459,            153436592,                588370,,              3077853,              1123858,             12347117,             16548828,,             -1344894,               -535575,                -31580,                -37762,             -1949811,              2376747,            166247232,              4827265,            171074497,            923101551,        545910,    323231938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2014年06月30日,,             39518557,             56122192,            118813658,            106820537,             38639831,,            135312854,,                632097,            125043317,                230165,              7844176,             20520157,,             31774854,             35172495,             66947349,,              1770408,              9095442,              6598982,                671046,,              7873040,            742453808,,,              4915702,             23491753,                 43039,            121568103,             15409615,,             61265832,              2312919,            162080804,             33604075,,             37908386,,              1153074,,             76206108,             21971046,                358317,             98535471,,              1210140,,             10102565,            573601478,,,,            150369666,                              0,            150369666,                519008,,              3077853,              1123858,              9163085,             13364796,,             -1992054,              1319187,                -43039,                -49672,               -765578,              2170286,            161317606,              7534724,            168852330,            742453808,              0,    302585796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2014年03月31日,,             34211246,             45683335,            115438561,            112659345,             20309767,,            132363271,,                745383,            113618525,                208024,              7729543,             22323760,,             32084157,             50019641,             82103798,,              1822118,              9080317,              6135352,                814721,,             10665909,            715914400,,,              9527458,             24693405,                 53297,            127543612,             17898220,,             57120347,              2349103,            151009930,             34586157,,             19817004,,              1156021,,             72947860,             14990290,                365443,             88303593,,              1201151,,              8107113,            543366411,,,,            150369666,                              0,            150369666,                528030,,              2247453,              3609815,             11470218,             17327486,,             -1295463,              1414208,                -51872,                -63787,                  3086,              2170286,            166057982,              6490007,            172547989,            715914400,              0,    302585796,                  1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2883,2013年12月31日,,             20195997,             39581124,             98297280,            116258949,             20925493,,            125689985,,,            106857949,                158194,              7286276,             21726120,,             32529080,             28692188,             61221268,,              1830198,              9087419,              6277179,                869150,,             10904908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    302585796,                 19568,                755965,            647943022,,              6711620,             22577982,                 64315,            111975004,             10116225,,             57673578,              2388951,            114808892,             37068437,,             16092482,              2594530,             18687012,,              1140616,,             68324174,             13876816,                358736,             82559726,,              1353240,,             11714770,            478840368,,,,            150308833,                              0,            150308833,                535087,,              2247453,              3609815,              8799179,             14656447,,             -1945718,              1343715,                -44747,                -24126,               -670876,              2170286,            162659205,              6443449,            169102654,              0,
2883,2013年09月30日,,             44952957,             40563219,             75277426,            112112562,             30058151,,            121555853,,,            100417133,                158363,              7153389,             19596433,,             36172659,             31024473,             67197132,,              1833690,              9308884,              6419700,                789678,,             13480019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    302585796,                 33036,                752526,            651660151,,             25578158,             18778579,                 72790,             94609756,             15454966,,             48364524,              2195904,            126876331,             37050322,,,,             27584486,,              1027250,,             61679974,             14331851,                355382,             76367207,,              1020936,,             12155017,            487136226,,,,            150308833,                              0,            150308833,                535087,,              2247453,              3609815,              6828495,             12685763,,             -2323876,               -856158,                -39754,                -29502,             -3249290,              2170286,            158110107,              6413818,            164523925,              0,
2883,2013年06月30日,,             24236363,             47738761,             70592775,            106743060,             36488569,,            101081890,,,             86847940,,              7315972,             16644382,,             33164068,             24989232,             58153300,,              1707496,              9520492,              6593302,                798435,,             17463764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    302586000,                 40066,                771030,            592737597,,              4420013,             15745591,                 84863,             80922392,             10742970,,             49101074,              2166177,            128206447,             37032207,,,,             15523071,,              1046313,,             58878021,             14977198,                360772,             74215991,,                987773,,             10776087,            430970969,,,,            150268236,,            150268236,                542598,,              2247453,              3609815,              4061427,              9918695,,             -1742300,             -1360547,                -44797,                              0,             -3147644,              2170286,            155411599,              6355029,            161766628,              0,
2883,2013年03月31日,,             27259086,             39942069,             74604206,            130940555,             27162495,,             86587854,,,             86434528,,              7936523,             21102289,,             33594429,             22417667,             56012096,,              2139976,              9604555,              6643207,                852053,,             14417566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    448759000,                 42243,                752011,            592433312,,              4077672,             16966670,                101205,             81782588,             12192186,,             49327604,              2154060,            130638928,             36914290,,,,             15541769,,              1028045,,             51389789,             14866116,                360771,             66616676,,                902402,,              8984410,            427228505,,,,            151729966,,            151729966,                258674,,              1744955,              2487496,              6314947,             10547398,,             -1940308,              1609175,                -58962,                              0,               -390095,              3294868,            158851075,              6353732,            165204807,              0,
2883,2012年12月31日,,             20998854,             36937670,             73431509,             92330811,             16548948,,             75629847,,,             87303495,,              7107113,             20888220,,             32936138,             23710659,             56646797,              2121021,,              9654308,              6825776,                829927,,             13581339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    274995000,                 40170,                822985,            521698790,,              2671557,             18282064,                116564,             59313884,              7231662,,             51720585,              2086891,            101550890,             36896569,,,,             13716416,,              1147526,,             34640236,             16140970,                348986,             51130192,,                974530,,              9979606,            356818936,,,,            144561641,,            144561641,                112183,,              1744955,              2199563,              6808411,             10752929,,             -2969384,               -540983,                -76394,                              0,             -3586761,              1954204,            149885788,             14994066,            164879854,,                              0
2883,2012年09月30日,,             17746771,             44566934,             85506608,             80238831,             10719895,,             89133784,,,             83006457,,              6951123,              3218146,,             34643004,             23810659,             58453663,              2124148,,              9562172,              6929477,                816927,,             14772812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    247306000,                 40014,                806943,            514594705,,              2273654,             15960899,                134588,             76999225,              6484691,,             49919168,              1951819,             85931409,             37978454,,,,             11844174,,                570345,,             31235435,             16424344,                351453,             48011232,,              1095013,,             12188939,            351343610,,,,            144561641,,            144561641,                 24982,,              1744955,              2199511,              6391416,             10335882,,             -2667387,             -2115080,                -94575,                              0,             -4877042,              1743507,            148301956,             14949139,            163251095,,
2883,2012年06月30日,,             18311679,             55606895,             81659240,             75919945,             13529659,,             84207785,,,             83666356,,              6733410,              2552281,,             34277495,             25074270,             59351765,              2140237,,              9760068,              7092943,                805868,,             14472819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,    247306000,                 26988,                705550,            516543488,,              4876308,             15287844,                151971,             88893235,              7541135,,             46675103,              1945418,             80411588,             37960340,,,,             12720392,,                601158,,             29903240,             16622929,                358137,             46884306,,              1038838,,             11686504,            356674140,,,,            144561641,,            144561641,                 24986,,              1744955,              2199511,              4449514,              8393980,,             -2090862,             -4020902,               -124983,,             -6236747,              1743507,            145000353,             14868995,            159869348,,
2883,2012年03月31日,,              9597248,             44227417,             49708056,             84204706,              6472676,,             18154374,,,             82653502,,              6113011,              2590880,,             34032226,              5722030,             39754256,              2007000,,              4926175,                100837,                238776,,              3356505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                 55522,                491887,            354652828,,              5386164,             11625952,                160880,             59842310,              3598753,,             10292132,                774036,             71541050,             34942422,,,,              8631254,,                435360,,             20828520,              1494835,                353705,             22677060,,                429907,,                815252,            231152532,,,,            112492660,,            112492660,              9209980,,              1582266,                477057,              3854032,              5913355,,             -2445458,             -1815858,               -105358,,             -4366674,                              0,            123249321,                250975,            123500296,,
