證券代號,年季,　 資產,　　 現金及約當現金,　　 存放央行及拆借金融同業,　　 透過損益按公允價值衡量之金融資產,　　 備供出售金融資產－淨額,　　 附賣回票券及債券投資,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 待出售資產－淨額,　　　 待出售資產－淨額,　　 貼現及放款－淨額,　　 再保險合約資產－淨額,　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　 其他金融資產－淨額,　　　 其他金融資產－淨額,　　 投資性不動產－淨額,　　　 投資性不動產－淨額,　　 不動產及設備－淨額,　　 無形資產－淨額,　　 遞延所得稅資產,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益 ,　　 負債,　　　 央行及金融同業存款,　　　 央行及同業融資,　　　 透過損益按公允價值衡量之金融負債,　　　 附買回票券及債券負債,　　　 應付商業本票－淨額,　　　 應付款項,　　　　 應付款項合計,　　　 本期所得稅負債,　　　 存款及匯款,　　　 應付債券,　　　 其他借款,　　　　 其他借款合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益 ,　　　 歸屬於母公司業主之權益 ,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 共同控制下前手權益,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及金融同業存款,　　 央行及同業融資,　　 透過損益按公允價值衡量之金融負債,　　 附買回票券及債券負債,　　 應付商業本票－淨額,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　 存款及匯款,　　 應付債券,　　 其他借款,　　　 其他借款合計,　　 負債準備,　　　 負債準備合計,　　 其他金融負債,　　　 其他金融負債合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益 ,　　 歸屬於母公司業主之權益 ,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現評價利益（損失）
2886,2015年09月30日,,             93217798,            429118160,            182103378,            321486529,              8324136,,            221593199,,                891967,,                  2851,          1795688707,              3230039,            190420534,              2916978,,             17736010,,              1291958,             21991329,                302465,              4302148,,              3992650,          3298610836,,,            410527605,             53627112,             23409233,            173820819,             12566610,,             80534010,              8744277,          2170369519,             54267069,,              3985000,,             21526770,,             11117512,,              2113126,,             10262801,          3036871463,,,,            124498240,            124498240,             55268667,,             27494993,              2547719,             51884547,             81927259,,                -95637,                              0,            261598529,                140844,            261739373,          3298610836,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2015年06月30日,,            132296074,            346317354,            173344558,            312595878,              5156686,,            221799243,,                889093,,                  2673,          1751864248,              3244023,            174097983,              2948185,,             20815372,,              1294268,             22044493,                281347,              4127813,,              3723210,          3176842501,,,            315592318,             46629161,             20521169,            180550514,             11901583,,             77420147,             10633759,          2157860049,             50200000,,              5036174,,             21332599,,             11206604,,              2183026,,              9790301,          2920857404,,,,            124498240,            124498240,             55268667,,             27494993,              2547719,             45653243,             75695955,,                364414,                              0,            255827276,                157821,            255985097,          3176842501,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2015年03月31日,,            149780733,            620338366,            174363489,            297085455,              6914831,,            209407293,,              1647631,,                  2707,          1731452090,              3168805,            165158933,              2814101,,             20166684,,              1299806,             22075500,                296467,              4071594,,             10337501,          3420381986,,,            617966995,             53752120,             25095630,            184109897,             15859005,,             61180640,             10061589,          2075754233,             56200000,,              5471289,,             21613585,,             10688208,,              2292746,,             12611173,          3152657110,,,,            124498240,            124498240,             55268667,,             24469127,              2547719,             58795684,             85812530,,              1981944,                              0,            267561381,                163495,            267724876,          3420381986,,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2014年12月31日,,            171560274,            462986081,            181366843,            280703020,             11874327,,            201540361,,              1534999,,                  2739,          1733994271,              3217685,            163708076,              2761637,,             20626729,,              1976764,             22125875,                307693,              4030528,,              6320035,          3270637937,,,            474623325,             53906541,             29582637,            221809530,             15363080,,             60564578,              9123049,          2036403864,             56200000,,              5926763,,             21647077,,             10778269,,              2169411,,             11640531,          3009738655,,,,            124498240,            124498240,             55270198,,             24469127,              2547719,             50589808,             77606654,,              3362257,                              0,            260737349,                161933,            260899282,          3270637937,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2014年09月30日,,            176168949,            558400151,            176664485,            282929807,              7483024,,            200991025,,              1466526,,                  2634,          1708199151,              3529465,            164043799,              2663819,,             20676741,,              1981055,             21977782,                298903,              4080881,,              4247253,          3335805450,,,            687673510,             39889775,             13664157,            233706497,             12995942,,             76804714,              8298536,          1897641583,             56900000,,              8332362,,             22158959,,             11719718,,              2160410,,             11077484,          3083023647,,,,            124498240,            124498240,             55274279,,             24469127,              2547719,             44236446,             71253292,,              1599458,                              0,            252625269,                156534,            252781803,          3335805450,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2014年06月30日,,            174195646,            289669101,            175725721,            276349200,              5641383,,            203644226,,              1301418,,                  2582,          1668969079,              3481496,            178963013,              2679628,,             20699864,,              2310530,             22041310,                302060,              3818382,,              4128228,          3033922867,,,            376096025,             39510383,             14326707,            233201316,              7187117,,             76253441,              8295619,          1915959215,             61900000,,             10930120,,             22342373,,             11946570,,              2193326,,              7849328,          2787991540,,,,            124498240,            124498240,             55274279,,             24469127,              2547719,             36540641,             63557487,,              2418558,                              0,            245748564,                182763,            245931327,          3033922867,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2014年03月31日,,            168386844,            367707946,            171631541,            279259657,              4999898,,            192484042,,              1054167,,                  2636,          1676473655,              3406909,            182148942,              2738229,,             23874201,,              2316858,             22073126,                290650,              3736994,,              5474997,          3108061292,,,            454796269,             39520263,             13392511,            213505058,              6402777,,             66942173,              6165448,          1951001552,             54800000,,              7240301,,             23221477,,             10908961,,              2068215,,              7521400,          2857486405,,,,            124498240,            124498240,             55271623,,             22220204,              2547719,             44511026,             69278949,,              1331214,                              0,            250380026,                194861,            250574887,          3108061292,,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2014年01月01日,,            160288195,            390959236,            195800759,            272943633,              2585345,,            184587941,,                921969,,                  2576,          1654577193,              3293937,            184411233,              2697551,,             23430204,,              2059428,             22150245,                318046,              3847734,,              8815345,          3113690570,,,            490935730,             32330245,             14856685,            219651334,              4393653,,             66105983,              5522518,          1933722541,             55898677,,              5509213,,             22784989,,             10094610,,              2051201,,              8544563,          2872401942,,,,            124498240,            124498240,             55271623,,             22220204,              2547719,             36463466,             61231389,,                100838,                              0,            241102090,                186538,            241288628,          3113690570,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,2013年12月31日,,            160288195,            390959236,            195800759,            272943633,              2585345,,            184587941,,,,                  2576,          1654577193,              3293937,            184411233,              2697551,,             23430204,,              2059428,             22150245,                318046,              3785582,,              8815345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                921969,          3113628418,,            490935730,             32330245,             14856685,            219651334,              4393653,,             66105983,              5522518,          1933722541,             55898677,,              5509213,,             22419391,,             10094610,,              2051201,,              8544561,          2872036342,,,,            124498240,            124498240,             55271623,,             22220204,              2547719,             36766912,             61534835,,                100838,                              0,            241405536,                186540,            241592076,,,
2886,2013年09月30日,,            112639803,            271948781,            180164254,            223848359,              4764427,,            168395902,,,,                              0,          1612028001,              3529180,            180063429,              2643639,,             25568272,,              2182115,             22141493,                241836,              3511448,,              7644420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                813679,          2822129038,,            355134566,             33711599,             16127636,            197575984,              6738134,,             86793110,              5337099,          1798250535,             55886343,,              5279290,,             21758688,,             12334790,,              1926720,,              9656559,          2606511053,,,,            114498240,            114498240,             43425270,,             22220204,              2569119,             32915284,             57704607,,               -298544,                              0,            215329573,                288412,            215617985,,,
