證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 其他應收票據,　　　　 備抵呆帳－應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 待售車位,　　　　　 營建用地,　　　　　 預付土地款,　　　　　 存貨（建設業適用）淨額,　　　　 存貨－其他行業,　　　　　 其他存貨,　　　　　 存貨－其他行業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 土地改良物淨額,　　　　　 土地改良物成本,　　　　　 土地改良物淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 運輸設備淨額,　　　　 租賃資產淨額,　　　　　 租賃資產成本,　　　　　 租賃資產淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 特許權淨額,　　　　　 特許權,　　　　　 特許權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券,　　　　　 應付短期票券折價,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 應付設備款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 暫收款,　　　　　 代收款,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債,　　　　　 應付公司債溢（折）價,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 其他應付票據,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 其他流動負債－其他,　　　　 持有供交易之金融資產－流動,　　　　　 累計折舊－房屋及建築,　　　　　 累計折舊－機器設備,　　　　　 累計折舊－運輸設備,　　　　　 累計折舊－租賃資產,　　　　　 累計折舊－租賃改良,　　　　　 累計折舊－其他設備,　　　　　 累計減損－特許權,　　　　　 累計減損－電腦軟體,　　　　　 累計減損－其他無形資產,　　　　　 持有供交易金融負債－流動,　　　　　　 預收房地款,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券折價,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 其他應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 應付設備款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收房地款,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 暫收款,　　　　 代收款,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債溢（折）價,　　　　 應付公司債合計,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　　　 累計折舊－土地改良物
2915,2015年09月30日,,,,                 11763,                777701,                988792,              1778256,,                 16554,                 16554,,                 36096,                 36096,,                              0,                              0,,                 44215,                    126,                    460,                 43881,,                276184,                 23360,                252824,,                 38351,,,                273736,                273736,,                626922,                 40362,                257423,                 15112,                939819,,                111221,                    868,              2043709,                    397,              2156195,,                              0,                              0,              3369750,,                196449,                196449,,                  6505,              5738666,,,              6489161,              6489161,,                629626,                629626,,                 75602,                 75602,,             34643546,             34643546,,,                806906,                806906,,                  3289,                  3289,,                733505,                733505,,                 44486,                 44486,,                  3612,                  3612,,                              0,                              0,,                 20917,                 20917,,                287050,                287050,                              0,              1899765,,              1044049,,,                              0,                              0,,                  9967,                  9967,                457086,,                              0,                              0,                467053,                211205,,                  2711,                122329,,                106770,                106770,                231810,             45691817,             51430483,,,,,                739673,                739673,,                670000,                    387,                669613,,                 96234,                 96234,,                 29622,                 29622,,                900663,                900663,,                  7861,                  7861,,                201768,                 11029,                 70423,              1003080,              1286300,                 45239,,,                 29275,                 10818,                 40093,,              4076765,              4076765,                 41721,                 10999,              4169578,              7944783,,,                              0,                              0,                              0,,             15386396,             15386396,,                432737,,                224115,                660150,                 53244,                937509,             16756642,             24701425,,,,              9414343,              9414343,,,             10604583,             10604583,                634431,                519058,                508974,                    765,             12267811,,              2236288,              7506717,,              6182346,             15925351,,            -22728826,                655691,             14222988,             12506070,             26729058,             51430483,              0,     46914600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2015年06月30日,,,,                 10530,              1841820,                722762,              2575112,,,                 27043,,,                278099,,,                              0,,                 21913,                     33,                    460,                 21486,,                339857,                  7306,                332551,,                 65795,,,                270195,                270195,,                540694,                 55578,                245199,                 19462,                860933,,                111221,                    868,              2043709,                    397,              2156195,,                 15774,                 15774,              3303097,,                256468,                256468,,                  6221,              6865872,,,,              5548966,,,                677857,,,                122697,,,             38089326,,,                806906,                806906,,                  3289,                  3289,,                755242,                755242,,              1112940,              1112940,,                  3231,                  3231,,                    715,                    715,,                 22122,                 22122,,                291007,                291007,                              0,              2995452,,              1049227,,,,                              0,,,                 31434,                429135,,                     98,                     98,                460667,                102914,,                  1234,                121845,,,                110642,                233721,             49280827,             56146699,,,,,                462603,                462603,,                              0,                              0,                              0,,                 70174,                 70174,,                 10426,                 10426,,                719055,                719055,,                  8083,                  8083,,                166262,                  9776,              5697331,                950599,              6823968,                 33611,,,,,,,                202349,              4131954,,,              4285038,             12412958,,,                              0,                              0,                              0,,              9522120,              9522120,,                500612,,                228090,                669414,                 52260,                949764,             10972496,             23385454,,,,              9414343,              9414343,,,,,,,,,             12600966,,              2236288,              7506717,,              3514388,             13257393,,            -15214652,                655691,             19402359,             13358886,             32761245,             56146699,              0,     46914600,,                              0,                              0,              3929605,                153084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2015年03月31日,,,,                 10624,              1116433,                704610,              1831667,,,                 14608,,              1077471,              1077471,,                              0,                              0,,                 14540,                     36,                    460,                 14116,,                347531,                  6986,                340545,,                 58016,,,                290855,                290855,,                526710,                 57252,                228319,                 19707,                831988,,                111221,                    868,                346821,                    397,                459307,,                 16149,                 16149,              1598299,,                270789,                270789,,                  8294,              5213805,,,              3988383,              3988383,,                677857,                677857,,                147190,                147190,,             41398259,             41398259,,,                806906,                806906,,                  3289,                  3289,,                777234,                777234,,              1153687,              1153687,,                  3517,                  3517,,                  2042,                  2042,,                 14973,                 14973,,                293973,                293973,                              0,              3055621,,              1055009,,,                              0,                              0,,                 35312,                 35312,                435254,,                    106,                    106,                470672,                126844,,                    567,                124576,,                117116,                117116,                242259,             51162094,             56375899,,,,,                433794,                433794,,                              0,                              0,                              0,,                 73181,                 73181,,                 13852,                 13852,,                794679,                794679,,                  9883,                  9883,,                140013,                  8262,                 49253,                759936,                957464,                 84457,,,                 72873,                 16620,                 89493,,              4112197,              4112197,                 76334,                 14125,              4292149,              6659459,,,                              0,                              0,                              0,,              7377730,              7377730,,                481189,,                232118,                678705,                 51535,                962358,              8821277,             15480736,,,,              9414343,              9414343,,,             10604583,             10604583,                479613,              1053442,                508974,                    765,             12647377,,              1556976,              7506717,,              8156901,             17220594,,            -11025278,                655691,             27601345,             13293818,             40895163,             56375899,              0,     46914600,,                              0,,                              0,,                 14608,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2014年12月31日,,,,                 11249,              1175286,              1533333,              2719868,,                 16152,                 16152,,              1475135,              1475135,,                 60165,                 60165,,                 18266,                     56,                    460,                 17862,,                389424,                 16833,                372591,,                 42588,,,                318851,                318851,,                519079,                 52378,                249424,                 19630,                840511,,                111221,                    868,                346821,                    496,                459406,,                 16851,                 16851,              1635619,,                147486,                147486,,                 13439,              6500905,,,              3407674,              3407674,,                767709,                767709,,                122690,                122690,,             37420127,             37420127,,,                806906,                806906,,                  3289,                  3289,,                799243,                799243,,              1331844,              1331844,,                  3820,                  3820,,                  4270,                  4270,,                 20409,                 20409,,                242112,                242112,                 48222,              3260115,,              1060762,,,                232438,                232438,,                 41878,                 41878,                478818,,                 50113,                 50113,                803247,                126407,,                  1715,                126103,,                123299,                123299,                251117,             47219848,             53720753,,,,,                392406,                392406,,                200000,                    135,                199865,,                112258,                112258,,                  6604,                  6604,,                683248,                683248,,                  7049,                  7049,,                190062,                  7060,                 49572,                691897,                938591,                 84457,,,                  7752,                 26854,                 34606,,                221440,                221440,                 81634,                 11895,                349575,              2774053,,,              3994000,               -124082,              3869918,,              8063340,              8063340,,                435218,,                236214,                675087,                 50671,                961972,             13330448,             16104501,,,,              9414343,              9414343,,,             10604583,             10604583,                479613,              1030841,                508974,                    765,             12624776,,              1556976,              7506717,,              6732106,             15795799,,            -12638666,                655691,             24540561,             13075691,             37616252,             53720753,              0,     46914600,,                              0,                              0,                              0,                128135,                 16152,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2014年09月30日,,,,                  9933,                303222,              2796095,              3109250,,                 14299,                 14299,,              1406050,              1406050,,                348254,                348254,,                 38250,                     34,                    460,                 37824,,                375624,                 16180,                359444,,                 76605,,,                261174,                261174,,                479917,                 37747,                274131,                 21965,                813760,,                111221,                    868,                346821,                    467,                459377,,                 18640,                 18640,              1552951,,                270423,                270423,,                 11659,              7186759,,,              3419064,              3419064,,                846142,                846142,,                122539,                122539,,             30222818,             30222818,,,                806906,                806906,,                  3289,                  3289,,                861571,                861571,,              1400883,              1400883,,                  4406,                  4406,,                  7481,                  7481,,                 10310,                 10310,,                235528,                235528,                              0,              3330374,,              1063438,,,                238912,                238912,,                 42031,                 42031,                461719,,                 50121,                 50121,                792783,                100434,,                 10509,                 75685,,                128118,                128118,                214312,             40111904,             47298663,,,,,                687231,                687231,,                490000,                    278,                489722,,                 62741,                 62741,,                 17008,                 17008,,                853049,                853049,,                 13019,                 13019,,                141519,                  7058,                 49701,                468971,                667249,                 96215,,,                120218,                 19777,                139995,,                221440,                221440,                161594,                 13292,                536321,              3422555,,,              3994000,               -153730,              3840270,,              7969450,              7969450,,                409152,,                221979,                600646,                 64513,                887138,             13106010,             16528565,,,,              9414343,              9414343,,,             10604584,             10604584,                479613,                768203,                508974,                    765,             12362139,,              1556976,              7506717,,              5119568,             14183261,,            -16878748,                655691,             18425304,             12344794,             30770098,             47298663,              0,     46914600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2014年06月30日,,,,                 11374,              2540418,              1370335,              3922127,,,                  9025,,,              2129475,,,              1113349,,                 22599,                    103,                    460,                 22242,,                386500,                 16089,                370411,,                 84565,,,                233699,                233699,,                418861,                 49895,                278386,                 23692,                770834,,                111221,                    868,                346821,                    397,                459307,,                 19900,                 19900,              1483740,,                263324,                263324,,                 14164,              9412422,,,,              3469997,,,                942978,,,                134634,,,             34884360,,,                806906,                806906,,                  3289,                  3289,,                884425,                884425,,              1449233,              1449233,,                  4851,                  4851,,                 11875,                 11875,,                 11957,                 11957,,                237735,                237735,                              0,              3410271,,              1069166,,,,                245386,,,                 47587,                454003,,                 50128,                 50128,                797104,                138303,,                 10393,                 77401,,,                133201,                220995,             45067808,             54480230,,,,,              1475000,              1475000,,              1240000,                    293,              1239707,,                 76667,                 76667,,                 11953,                 11953,,                758672,                758672,,                  8915,                  8915,,                106113,                  8017,              4743485,                221974,              5079589,                              0,,,,,,,                233607,                233607,,,                520468,              9170971,,,              3994000,               -183025,              3810975,,              5349560,              5349560,,                539182,,                223977,                594376,                 72005,                890358,             10590075,             19761046,,,,              9414343,              9414343,,,,,,,,,             12406161,,              1556976,              7506717,,              1989907,             11053600,,            -10195058,                655691,             22023355,             12695829,             34719184,             54480230,              0,     46914600,,                              0,                              0,                              0,                286861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2014年03月31日,,,,                 11221,                320362,              1733643,              2065226,,,                  8594,,              2838500,              2838500,,                894132,                894132,,                 18045,                     31,                    460,                 17616,,                299486,                 15538,                283948,,                 24198,,,                247175,                247175,,                420633,                 58924,                272353,                 21195,                773105,,                111221,                    868,                346821,                    397,                459307,,                 23385,                 23385,              1502972,,                335556,                335556,,                 16712,              7987454,,,              2301126,              2301126,,              1009203,              1009203,,                134299,                134299,,             33575421,             33575421,,,                806906,                806906,,                  3289,                  3289,,                907192,                907192,,              1494132,              1494132,,                  5523,                  5523,,                 14827,                 14827,,                 14467,                 14467,,                238501,                238501,                              0,              3484837,,              1074966,,,                251860,                251860,,                 53015,                 53015,                462414,,                 50135,                 50135,                817424,                157270,,                 10833,                 73439,,                138211,                138211,                222483,             42777029,             50764483,,,,,              2486328,              2486328,,              2060000,                    557,              2059443,,                 80750,                 80750,,                  9234,                  9234,,                710990,                710990,,                  6486,                  6486,,                103444,                  5898,                 36910,                232370,                378622,                              0,,,                 97280,                 71297,                168577,,                194247,                194247,                131929,                 12970,                507723,              6239576,,,              3994000,               -211973,              3782027,,              4303370,              4303370,,                515818,,                226160,                597277,                 77679,                901116,              9502331,             15741907,,,,              9414343,              9414343,,,             10604583,             10604583,                350598,                919940,                508974,                    765,             12384860,,              1035650,              2693945,,             10742398,             14471993,,            -13283605,                655691,             22331900,             12690676,             35022576,             50764483,              0,     46914600,,                              0,,                              0,,                  8594,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2014年01月01日,,,,                 12543,                956945,                823735,              1793223,,                  7904,                  7904,,              2871409,              2871409,,                              0,                              0,,                 35178,                     27,                    460,                 34745,,                362576,                 15453,                347123,,                 29971,,,                341716,                341716,,                394038,                 45321,                266032,                 18048,                723439,,                111221,                    868,                346821,                    397,                459307,,                 27354,                 27354,              1551816,,                163667,                163667,,                  7094,              6806952,,,              1951809,              1951809,,                922145,                922145,,                134271,                134271,,             29628541,             29628541,,,                806906,                806906,,                  3289,                  3289,,                930143,                930143,,              1529546,              1529546,,                  6002,                  6002,,                 18057,                 18057,,                 15787,                 15787,,                234670,                234670,                              0,              3544400,,              1080766,,,                258332,                258332,,                 59547,                 59547,                453133,,                 50143,                 50143,                821155,                159806,,                  9744,                 73909,,                148958,                148958,                232611,             38475504,             45282456,,,,,              2160339,              2160339,,              1990000,                  1015,              1988985,,                 65482,                 65482,,                 11331,                 11331,,                740824,                740824,,                  6374,                  6374,,                157049,                 14528,                 37236,                256083,                464896,                              0,,,                 37945,                 22209,                 60154,,                165387,                165387,                142440,                 13003,                380984,              5819215,,,              3994000,               -240909,              3753091,,              3324480,              3324480,,                462780,,                228444,                582779,                 53511,                864734,              8405085,             14224300,,,,              9414343,              9414343,,,             10604583,             10604583,                350598,                941370,                508974,                    765,             12406290,,              1035650,              2693945,,              9721316,             13450911,,            -15492876,                655691,             19122977,             11935179,             31058156,             45282456,              0,     46914600,,                              0,                              0,                              0,                215597,                  7904,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915,2013年12月31日,,,,                 12543,                956945,                823735,,,                  7904,                  7904,,              2871409,              2871409,,,,,                 35178,                     27,                    460,                 34745,,                362576,                 15453,                347123,,                 29971,,,                341716,                341716,,                394038,                 45321,                266032,                 18048,                723439,,                111221,                    868,                346821,                    397,                459307,,                 27354,                 27354,              1551816,,                163667,                163667,,                  7094,              6806952,,,              1951809,              1951809,,                922145,                922145,,,,,            101474354,            101474354,,,                806906,                806906,,,                  3289,,,                930143,,,              1529546,,,                  6002,,,                 18057,,,                 15787,,,                234670,                              0,              3544400,,              1080766,,,,                258332,,,                 59547,                453133,,,                 50143,                821155,                159806,,                  9744,                 73909,,                148958,                148958,                232611,            110321317,,,,,,,,              1990000,,,,                 45948,,,                 11331,,,                740824,,,                  6374,,,,,,,,,,,,,,,,,,,,,,,              3994000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     46914600,,,,,,,,,,,,,,,,,,              0,              1793223,                              0,                              0,                134271,                134271,            117128269,,,,              2160339,              2160339,,                  1015,              1988985,,                              0,                              0,,                 19534,                 65482,,                 11331,,                740824,,                  6374,,                389734,                 14528,                 37236,                256083,                697581,                              0,,,                 37945,                              0,                 22209,                 60154,,                              0,                165387,                165387,                142440,                 13003,                380984,              6051900,,,               -240909,              3753091,,              3324480,              3324480,,                462780,,                228444,                582779,                 53511,                864734,              8405085,             14456985,,,,              9414343,              9414343,,,             10604583,             10604583,                350598,                941370,                509739,             12406290,,              1035650,              2693945,,             48095340,             51824935,,            -15492876,                655691,             57497001,             45174283,            102671284,,
2915,2013年09月30日,,,,                 10847,              1230822,                902059,,,,                 71682,,,              2630890,,,,,                 37142,,                    460,                 36682,,                323228,                 15533,                307695,,                 38186,,,                241644,                241644,,                443822,                 43387,                255989,                 13071,                756269,,                111221,                    868,                346821,                    396,                459306,,                 31249,                 31249,              1488468,,                293109,                293109,,                 16911,              7027351,,,,              1795017,,,                900265,,,,,,             26985811,,,                806906,                806906,,,                  3289,,,                942345,,,              1563369,,,                  6350,,,                 21168,,,                 17212,,,                232046,,              3592685,,              1083594,,,,                264790,,,                 66126,                449866,,                 69975,                 69975,                850757,                161728,,                 17300,                 74075,,,                142830,                234205,             35738078,,,,,,,,              2170000,,,,                 95568,,,                 11764,,,                941947,,,                  6589,,,,,,,,,,,,,,,,,,,,,,,              3994000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     46914600,,,,,,,,,,,,,,,,,,              0,              2143728,,                              0,,                134016,             42765429,,,,              5134616,              5134616,,                  1213,              2168787,,,                              0,,,                 95568,,                 11764,,                941947,,                  6589,,                116197,                 15854,                 37473,                240872,                410396,                              0,,,,,,,,                              0,              1135167,              1135167,,,              1348894,             10118561,,,               -269663,              3724337,,              5893300,              5893300,,                440725,,                218096,                580938,                 52143,                851177,             10909539,             21028100,,,,              8414343,              8414343,,,,,,,,              6069836,,              1035650,              2693945,,              8331811,             12061406,,            -15783461,                655691,             10106433,             11630896,             21737329,                213727,
