證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款,　　　　 其他應收款淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 預付設備款,　　　 其他應付款項－關係人,　　　　 待分配股票股利,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 銀行存款,　　　　 應收帳款,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 其他預付款,　　　　 其他流動資產－其他,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 銀行借款,　　　　 其他應付款－其他,　　　　 遞延所得稅負債－所得稅,　　　　　 資本公積－普通股股票溢價,　　　　　 累積盈虧,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　 其他應收款－關係人－其他
2929,2015年09月30日,,,,              2268182,,                569360,,              1548114,,                  7411,,                161125,,                 24922,,                    702,              4579816,,,                442235,                 22140,,                    290,                275418,                275708,                740083,              5319899,,,,,              1043727,,                554544,                 81728,,                    662,              1680661,,,                310014,,                  6432,                  6432,                316446,              1997107,,,,                580800,                580800,,,              1318627,              1318627,,                136483,,              1073433,              1209916,,,                213449,                213449,                              0,              3322792,              3322792,              5319899,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2015年03月31日,,,,              1618057,,                655720,,              1205421,,,,                 99564,,                138936,,                    691,              3725270,,,                443669,                  1788,,                    283,                271777,                272060,                717517,              4442787,,,,,                738998,,                 93536,                 61698,,                  1939,                896171,,,                263909,,                  6269,                  6269,                270178,              1166349,,,,                580800,                580800,,,              1318627,              1318627,,                 61077,,              1185030,              1246107,,,                130904,                130904,,              3276438,              3276438,              4442787,              0,              0,,                  6881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2014年12月31日,,,,              1529622,,                458280,,              1872264,,                  3473,,                 62148,,                 52712,,                    656,              3979155,,,                454398,                  2202,,                    285,                276071,                276356,                732956,              4712111,,,,,              1080784,,                131675,                114873,,                      5,              1327337,,,                245718,,                  4589,                  4589,                250307,              1577644,,,,                580800,                580800,,,              1318627,              1318627,,                 61077,,              1013360,              1074437,,,                160603,                160603,                              0,              3134467,              3134467,              4712111,              0,              0,,                  3473,              1529622,                458280,              4712111,,,,                              0,,              1080784,,                131675,                114873,,                      5,              1327337,,,                245718,,                  4589,                  4589,                250307,              1577644,,,,                580800,                580800,,,              1318627,              1318627,,                 61077,,              1013360,              1074437,,,                160603,                160603,              3134467,              3134467,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2014年09月30日,,,,              1807354,,                              0,,              1291645,,                              0,,                 84121,,                 30972,,                    654,              3214746,,,                446589,                 10472,,                    271,                269159,                269430,                726491,              3941237,,,,,                829028,,                110781,                 58204,,                      1,                998014,,,                202834,,                  3848,                  3848,                206682,              1204696,,,,                580800,                580800,,,              1318627,              1318627,,                 61077,,                710762,                771839,,,                 65275,                 65275,                              0,              2736541,              2736541,              3941237,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2014年06月30日,,,,,,,,              1312970,,,,                 22620,,                 76960,,                    530,              3024211,,,                440813,                  8654,,                    264,                264063,                264375,                713842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1611131,,              3738053,,,,                              0,,                592586,,                359147,                 61986,,,              1013719,,,                182984,,                  3753,                  3753,                186737,              1200456,,,,                528000,                580800,,,              1318627,              1318627,,                 61077,,                578695,                639772,,,                 -1602,                 -1602,              2537597,              2537597,              0,                     48,                              0,                 52800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2014年03月31日,,,,              1699639,,                              0,,              1011924,,,,                129811,,                 89541,,                    530,              2931445,,,                447340,                 10366,,                    269,                270591,                270860,                728566,              3660011,,,,,                640690,,                107810,                 70259,,                              0,                818759,,,                168305,,                  3822,                  3822,                172127,                990886,,,,                528000,                528000,,,              1318627,              1318627,,                  3696,,                771471,                775167,,,                 47331,                 47331,,              2669125,              2669125,              3660011,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2013年12月31日,,,,,,,,              1558580,,,,                 53343,,                 16214,,                    433,              2994585,,,                441659,                  9041,,                    270,                273290,                273560,                724260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,              1366015,                              0,              3718845,,,,                 34093,,                736096,,                176715,                101546,,                              0,              1048450,,,                149638,,                  3837,                  3837,                153475,              1201925,,,,                528000,                528000,,,              1318627,              1318627,,                  3696,,                607076,                610772,,,                 59521,                 59521,              2516920,              2516920,              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2013年09月30日,,,,                357588,,,,              1112644,,,,                 98760,,                 72343,,                    426,              1641761,,,                439802,                     42,,                    266,                270133,                270399,                710243,,,,,                660353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,              2352004,,,,                 23899,,                660353,,                110023,                 64024,,,                858299,,,                121215,,                  3770,                  3770,                124985,                983284,,,,                450000,                450000,,,                497231,                497231,,                  3696,,                384956,                388652,,,                 32837,                 32837,              1368720,              1368720,,,                              0,,,,                357588,              1112644,,                 98760,                 98760,                 72343,                    426,,                468076,                 35105,                432971,,                  3397,                  2117,                  1280,,                  8717,                  4112,                  4605,,                  5013,                  4067,                    946,                 23899,                110023,                121215,                497231,                384956,                 32837,
2929,2013年06月30日,,,,,,,,              1018788,,,,                 44195,,                 46822,,                    428,              1169456,,,                450455,                    208,,                    269,                274846,                275115,                725778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 59223,,              1895234,,,,                 13972,,                428612,,                 77616,                 39857,,,                560096,,,                104164,,                  1955,                  1955,                106119,                666215,,,,                450000,                450000,,,                497231,                497231,,                  3696,,                231169,                234865,,,                 46923,                 46923,              1229019,              1229019,              0,                              0,                     39,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,2013年03月31日,,,,,,,,                793011,,                    123,,                101037,,                 73670,,                    426,              1048529,,,                448462,                    631,,                  3124,                271847,                274971,                724064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 80262,,              1772593,,,,                  5268,,                466549,,                 68519,                 38014,,,                581377,,,                 89325,,                    481,                    481,                 89806,                671183,,,,                450000,                450000,,,                497231,                497231,,                              0,,                127128,                127128,,,                 27051,                 27051,              1101410,              1101410,,,                  3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
