證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 其他流動負債－其他,　　　　 應付股利,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計
3026,2015年09月30日,,,,              2242947,,                766911,,              3511015,,                 94169,,              1877094,,                 44784,              8536920,,,                328739,,                439256,,              2689490,,                437038,                 49435,,                 12926,,                 77586,                 90512,              4034470,             12571390,,,,,              1588358,,                              0,,              1116113,,                 16969,,                              0,                624776,                624776,                 59831,,,                              0,                  2107,                  2107,                  2107,              3408154,,,                 19779,,                 59129,,                 55763,                  4922,                 60685,                139593,              3547747,,,,              2242154,              2242154,,              3608369,,              1161732,,              1116588,              2278320,,,                 61141,,                160449,,                              0,                221590,                              0,              8350433,                673210,              9023643,             12571390,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2015年06月30日,,,,              3024870,,                799138,,              3134860,,                 84125,,              2147278,,                 59149,              9249420,,,                474048,,                418753,,              2738847,,                420664,                 53656,,                 17303,,                 73730,                 91033,              4197001,             13446421,,,,,              1505663,,                              0,,              1267644,,                 17708,,                737709,                731960,              1469669,                109695,,,                              0,                  2098,                  2098,                  2098,              4372477,,,                 20309,,                 49829,,                 55763,                 12823,                 68586,                138724,              4511201,,,,              2242154,              2242154,,              3608332,,              1161732,,                933805,              2095537,,,                 -9522,,                245993,,,                236471,                              0,              8182494,                752726,              8935220,             13446421,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2015年03月31日,,,,              2550285,,                863421,,              3081675,,                220386,,              2121780,,                 53766,              8891313,,,                447086,,                393117,,              2787745,,                476616,                 51758,,                 29659,,                102339,                131998,              4288320,             13179633,,,,,              1653836,,,,              1001912,,                 13216,,,,                595861,                169982,,,                 86851,                  2090,                 88941,                 88941,              3523748,,,                 20837,,                 53394,,                 55763,                  4823,                 60586,                134817,              3658565,,,,              2239513,              2239513,,              3601114,,              1071291,,              1575553,              2646844,,,                 11142,,                231937,,,                243079,                              0,              8730550,                790518,              9521068,             13179633,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2014年12月31日,,,,              2567832,,                868712,,              3417539,,                 69054,,              2053176,,                 48639,              9024952,,,                405901,,                385292,,              2833549,,                480814,                 34196,,                 29781,,                101762,                131543,              4271295,             13296247,,,,,              1816874,,                              0,,              1087389,,                 28336,,                              0,                652811,                652811,                150366,,,                103875,                  2081,                105956,                105956,              3841732,,,                 21362,,                 59786,,                 55763,                  2383,                 58146,                139294,              3981026,,,,              2235481,              2235481,,              3588009,,              1071291,,              1382626,              2453917,,,                 24645,,                206500,,                              0,                231145,                              0,              8508552,                806669,              9315221,             13296247,              0,              0,              0,              2567832,             13296247,,,,              1816874,,                              0,,              1087389,,                 28336,,                652811,                652811,                150366,,,                103875,                  2081,                105956,                105956,              3841732,,,                 21362,,                 59786,,                 55763,                  2383,                 58146,                139294,              3981026,,,,              2235481,              2235481,,              3588009,,              1071291,,              1382626,              2453917,,,                 24645,,                206500,                231145,                              0,              8508552,                806669,              9315221,,,,,,,
3026,2014年09月30日,,,,              2571008,,                675038,,              3728096,,                 71522,,              2122163,,                 56685,              9224512,,,                397514,,                374792,,              2860554,,                566016,                 45742,,                 72162,,                109491,                181653,              4426271,             13650783,,,,,              1914631,,                  1684,,              1352718,,                 26706,,                              0,                719830,                719830,                 75567,,,                103550,                 35375,                138925,                138925,              4230061,,,                 80219,,                 62667,,                 58818,                  4558,                 63376,                206262,              4436323,,,,              2235481,              2235481,,              3587897,,              1071291,,              1291621,              2362912,,,                -10686,,                202078,,                              0,                191392,                              0,              8377682,                836778,              9214460,             13650783,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2014年06月30日,,,,              3076811,,                602348,,              3578917,,                140351,,              1948210,,                 77467,              9424104,,,                515950,,                368417,,              2923892,,                561293,                 53501,,                 77431,,                108477,                185908,              4608961,             14033065,,,,,              1671729,,                              0,,              1389874,,                 28653,,                625935,                674218,              1300153,                124989,,,                103225,                 74889,                178114,                178114,              4693512,,,                190552,,                 62906,,                 58818,                  4725,                 63543,                317001,              5010513,,,,              2235481,              2235481,,              3549530,,              1071291,,              1045435,              2116726,,,                -28311,,                275116,,,                246805,                              0,              8148542,                874010,              9022552,             14033065,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2014年03月31日,,,,              3001594,,                628488,,              3357643,,                134200,,              2169160,,                201429,              9492514,,,                595874,,                368417,,              3054992,,                564611,                 48505,,                 43360,,                 13871,                 57231,              4689630,             14182144,,,,,              2108357,,,,              1141992,,                 25811,,,,                516603,                124965,,,                102902,                 54535,                157437,                157437,              4075165,,,                512281,,                 70336,,                 58818,                    171,                 58989,                641606,              4716771,,,,              2241522,              2241522,,              3572783,,              1001724,,              1348440,              2350164,,,                 -9024,,                324441,,,                315417,                 28253,              8451633,              1013740,              9465373,             14182144,              0,        604100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,2013年12月31日,,,,,,                682065,,              3593961,,                114069,,              2430354,,                148011,              9521533,,,                599328,,                353417,,              3084655,,                563222,                 30568,,                 76771,,                 17983,                 94754,              4725944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        604100,              0,              2553073,             14247477,,,,              2249960,,                    595,,              1260335,,                 13400,,                557689,                557689,                 67146,,,                102580,                 35830,                138410,                138410,              4287535,,,                552767,,                 59537,,                 58818,                    168,                 58986,                671290,              4958825,,,,              2241522,              2241522,,              3572820,,              1001724,,              1171955,              2173679,,,                -26785,,                335591,                308806,                 28253,              8268574,              1020078,              9288652,,                              0,                              0,,,,
3026,2013年09月30日,,,,,,                638317,,              3774568,,                137240,,              2870986,,                186796,             10224674,,,                665979,,                291348,,              3156610,,                573211,                 35685,,                 30332,,                 19411,                 49743,              4772576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        604100,              0,              2616767,             14997250,,,,              2341902,,                  1821,,              1611431,,                  8484,,              1466597,              1466597,                 40785,,,                102258,                 15469,                117727,                117727,              5588747,,,                474903,,                 54686,,                 62076,                  1165,                 63241,                592830,              6181577,,,,              2241522,              2241522,,              3534459,,              1001724,,              1035440,              2037164,,,                -27483,,                303485,                276002,                 30842,              8058305,                757368,              8815673,,                              0,                              0,,,,
3026,2013年06月30日,,,,,,                555352,,              3137769,,                 97851,,              2590817,,                213087,             10362352,,,                722780,,                252992,,              3007514,,                580657,                 33743,,                225085,,                 19278,                244363,              4842049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        863000,              0,              3767476,             15204401,,,,              2082728,,                  1618,,              1711220,,                  7252,,                553698,              1192407,                 64149,,,                101938,                  7109,                109047,                109047,              5168421,,,                285029,,                 54050,,                 62076,                  1430,                 63506,                402585,              5571006,,,,              3202175,              3202175,,              3533096,,              1001724,,                812953,              1814677,,,                -15859,,                331588,                315729,                 30842,              8834835,                798560,              9633395,,,,                638709,,,
