證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應收款－其他,　　　　 採用權益法之投資,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 備供出售金融資產－流動
3027,2015年09月30日,,,,                694967,,                 63246,,                    169,                    169,,                175874,                175874,,                661394,,                  3283,,                261586,,                 64378,              1924897,,,                  8894,,                  6177,,                538439,,                193335,,                    985,                  5498,,                 48717,                802045,              2726942,,,,,                720708,,                 26409,,                183430,,                 77795,                  3269,,                 20300,                 20300,              1031911,,,                 68606,,                 19501,                  1034,                 20535,                 89141,              1121052,,,,                976344,                976344,,                273140,,                202074,                  9302,,                 70349,                281725,,,                 71766,                 71766,                  2842,              1600133,                  5757,              1605890,              2726942,              0,              0,        254000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,2015年06月30日,,,,                672997,,                 66552,,                     50,                     50,,                201467,                201467,,                530120,,,,                238664,,                 20233,              1730083,,,                  8738,,                  6177,,                526208,,                202816,,                    270,                  7122,,                 47269,                798600,              2528683,,,,,                588937,,                 15034,,                172374,,                 97288,                  5336,,                 11683,                 11683,                890652,,,                 59955,,                 19333,                  1024,                 20357,                 80312,                970964,,,,                966677,                976344,,                273140,,                202074,                  9302,,                 58134,                269510,,,                 33812,                 33812,                              0,              1552806,                  4913,              1557719,              2528683,              0,              0,              0,                  9667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,2015年03月31日,,,,                554151,,                 71683,,                    166,                    166,,                143066,                143066,,                645197,,,,                193324,,                 84435,              1692022,,,                  9620,,                  6207,,                537425,,                203115,,                    313,                  5558,,                 48317,                810555,              2502577,,,,,                632278,,                 11060,,                115648,,                 58403,                 11630,,                 13948,                 13948,                842967,,,                 57863,,                 19161,                    971,                 20132,                 77995,                920962,,,,                966677,                966677,,                273140,,                198599,                  9302,,                 84650,                292551,,,                 44797,                 44797,                              0,              1577165,                  4450,              1581615,              2502577,              0,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,2014年12月31日,,,,                598222,,                 69863,,                    933,                    933,,                154454,                154454,,                498458,,                              0,,                228105,,                 25194,              1575229,,,                  9642,,                  6207,,                546100,,                203414,,                    385,                  5562,,                 49139,                820449,              2395678,,,,,                472947,,                 21860,,                126349,,                 71531,                  9493,,                 27842,                 27842,                730022,,,                 58934,,                 19007,                  1108,                 20115,                 79049,                809071,,,,                966677,                966677,,                273140,,                198599,                  9302,,                 83455,                291356,,,                 51261,                 51261,                              0,              1582434,                  4173,              1586607,              2395678,              0,              0,              0,                              0,,                              0,                598222,              2395678,,,,                472947,,                              0,,                 21860,,                126349,,                 71531,                  9493,,                 27842,                 27842,                730022,,,                 58934,,                 19007,                  1108,                 20115,                 79049,                809071,,,,                966677,                966677,,                273140,,                198599,                  9302,,                 83455,                291356,,,                 51261,                 51261,                              0,              1582434,                  4173,              1586607,,,,,,,,,,
3027,2014年09月30日,,,,                588381,,                 54401,,                  1154,                  1154,,                171410,                171410,,                390164,,                              0,,                230405,,                 23174,              1459089,,,                 10050,,                  6316,,                546602,,                203713,,                    445,                  4481,,                 48230,                819837,              2278926,,,,,                365941,,                 20197,,                148273,,                 55346,                  9150,,                 30038,                 30038,                628945,,,                 54816,,                 16793,                  1102,                 17895,                 72711,                701656,,,,                966677,                966677,,                273140,,                198599,                  9302,,                 93175,                301076,,,                 32279,                 32279,                              0,              1573172,                  4098,              1577270,              2278926,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,2014年06月30日,,,,                485034,,                 59820,,                    348,                    348,,                161673,                161673,,                531092,,,,                230519,,                 12333,              1480819,,,                 10011,,                  6264,,                540354,,                204012,,                    836,                  5528,,                 47142,                814147,              2294966,,,,,                426602,,                 31174,,                141503,,                 68100,                 11700,,                 17782,                 17782,                696861,,,                 49311,,                 16640,                  1095,                 17735,                 67046,                763907,,,,                933993,                966677,,                273140,,                198599,                  9302,,                 65509,                273410,,,                 14189,                 14189,                              0,              1527416,                  3643,              1531059,              2294966,              0,              0,              0,                 32684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,2014年03月31日,,,,                561709,,                 51536,,                    633,                    633,,                137121,                137121,,                425133,,,,                228161,,                 19955,              1424248,,,                  7706,,                  8546,,                566051,,                192020,,                    991,                  4629,,                 48424,                828367,              2252615,,,,,                393706,,                 26827,,                135363,,                 44947,                  7634,,                 23695,                 23695,                632191,,,                 52122,,                 16486,                    987,                 17473,                 69595,                701786,,,,                947939,                947939,,                279716,,                195115,                 28075,,                 90268,                313458,,,                 27354,                 27354,                 21134,              1547333,                  3496,              1550829,              2252615,              0,              0,      1422000,,,                     19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,2013年12月31日,,,,,,                 48684,,,                    158,,,                171893,,                492760,,,,                222955,,                 21124,              1457339,,,                 10034,,                  6171,,                622837,,                144256,,                  1090,                  4112,,                 49033,                837533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1541000,,,,                499765,              2294872,,,,                403867,,                    112,,                 25486,,                189796,,                 59536,                  5978,,                 28237,                 28237,                713012,,,                 47682,,                 16336,                    988,                 17324,                 65006,                778018,,,,                947939,                947939,,                278559,,                195115,                 28075,,                 81808,                304998,,,                  4847,                  4847,                 22705,              1513638,                  3216,              1516854,,,,,,,,,,
3027,2013年09月30日,,,,,,                 48058,,                  1042,                  1042,,                136831,                136831,,                606732,,,,                220807,,                 87458,              1506838,,,                 14372,,                              0,,                615709,,                 36221,,                  1166,                  9749,,                 48918,                726135,,,,,,,                 31990,,                184862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3839000,,,,                405910,              2232973,,,,                396345,,                    164,,                 31990,,                184862,,                 53055,                  3187,,                 20953,                 20953,                690556,,,                 44562,,                 25215,                    371,                 25586,                 70148,                760704,,,,                947939,                947939,,                268034,,                195115,                 28075,,                 82258,                305448,,,                 -4962,                 -4962,                 47346,              1469113,                  3156,              1472269,                606732,                              0,,,,,,,,
3027,2013年06月30日,,,,                363577,,                 44301,,                  3294,                  3294,,                 95110,                 95110,,                544102,,,,                222096,,                181729,              1455554,,,                 14573,,                              0,,                708157,,                  8837,,                  1281,                 14118,,                 49788,                796754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3846000,,,,,              2252308,,,,                470199,,                  1839,,                 19387,,                153043,,                 84412,                    166,,                 15441,                 15441,                744487,,,                 45030,,                 25027,                    373,                 25400,                 70430,                814917,,,,                947939,                947939,,                268021,,                195115,                 28075,,                 40537,                263727,,,,                  1986,                 47416,              1434257,                  3134,              1437391,,,,                  1345,,,,,                              0,
