證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 預付款項,　　　　 預付投資款,　　　　 預付款項合計,　　　 其他應付款項－關係人,　　　　 存入保證金,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計
3031,2015年09月30日,,,,                847824,,                126183,,                599631,,                 66872,                 81369,,                              0,,                347293,,                258820,                 39046,                297866,              2367038,,,                 69424,,                153800,,                152679,,              1011781,                 37577,,                 21479,,                 51738,                 73217,              1498478,              3865516,,,,,                 65000,,                358203,,                 31143,                              0,                  1537,,,                 23515,                 23515,                276937,                300452,                756335,,,                 89633,,                  6511,,                 45777,                 18968,                 64745,                160889,                917224,,,,              1966742,              1966742,,                461790,,                338326,,                -76350,                              0,              2690508,                257784,              2948292,              3865516,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2015年06月30日,,,,                824274,,                103377,,                635594,,                 67235,                 68827,,                 14829,,                333756,,                255940,                 56876,                312816,              2360708,,,                 89014,,                105518,,                152147,,              1040531,                 41938,,                 22728,,                  5374,                 28102,              1457250,              3817958,,,,,                 54000,,                344833,,                 28500,,                  5211,,,                  9500,                  9500,                252924,                262424,                793305,,,                 38283,,                  5851,,                 45136,                 11930,                 57066,                101200,                894505,,,,              1966742,              1966742,,                461170,,                287702,,                -49373,                              0,              2666241,                257212,              2923453,              3817958,              0,              0,              0,,                              0,,                 98337,                 98337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2015年03月31日,,,,                954935,,                133534,,                614267,,                 54319,                 93605,,                  3036,,                362252,,                171004,                 66765,                237769,              2453717,,,                 77602,,                105518,,                158853,,              1073486,                 41938,,                 23330,,                  2469,                 25799,              1483196,              3936913,,,,,                 46000,,                387491,,                 21706,,                 11451,,,                  9500,                  9500,                289145,                298645,                765293,,,                 40658,,                  5851,,                 45273,                 15033,                 60306,                106815,                872108,,,,              1966742,              1966742,,                460665,,                408539,,                -52663,                              0,              2783283,                281522,              3064805,              3936913,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年12月31日,,,,                866609,,                137773,,                688825,,                 51277,                 89567,,                  3054,,                268253,,                208592,                 44726,                253318,              2358676,,,                 56299,,                105518,,                161652,,              1127947,                 42769,,                 22942,,                  2738,                 25680,              1519865,              3878541,,,,,                 30000,,                404769,,                 46363,                              0,                  9183,,,                  9500,                  9500,                222284,                231784,                722099,,,                 43033,,                  5695,,                 46450,                 24421,                 70871,                119599,                841698,,,,              1966742,              1966742,,                453195,,                386359,,                -68881,                              0,              2737415,                299428,              3036843,              3878541,              0,              0,              0,,                              0,,                              0,                              0,                866609,                  3054,              3878541,,,,                 30000,,                404769,,                 46363,                  9183,,,                  9500,                  9500,                222284,                231784,                722099,,,                              0,,                 43033,,                  5695,,                 46450,                 24421,                 70871,                119599,                841698,,,,              1966742,              1966742,,                453195,,                386359,,                -68881,                              0,              2737415,                299428,              3036843,,,,,,,,,,,,,
3031,2014年09月30日,,,,                757904,,                 96209,,                756472,,                 46864,                119630,,                 19023,,                302668,,                121875,                 82913,                204788,              2303558,,,                 54207,,                105518,,                160391,,                789648,                 46785,,                391819,,                  2827,                394646,              1551195,              3854753,,,,,                 20000,,                432711,,                 33544,                 74010,                  1488,,,                  9500,                  9500,                256660,                266160,                827913,,,                 45408,,                  4459,,                 43648,                 11414,                 55062,                104929,                932842,,,,              1966742,              1966742,,                455582,,                364224,,                -79799,                              0,              2706749,                215162,              2921911,              3854753,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年06月30日,,,,                627683,,                126492,,                729211,,                 54462,                  5995,,                 18651,,                315080,,                215416,                 85991,                301407,              2529691,,,                 57251,,                105518,,                137336,,                834645,                 46785,,                 31443,,                  2966,                 34409,              1215944,              3745635,,,,,                 23000,,                398538,,                 35094,,                  2869,,,                  9500,                  9500,                206361,                215861,                744198,,,                 47784,,                  4459,,                 43545,                 13522,                 57067,                109310,                853508,,,,              1966742,              1966742,,                454013,,                320981,,                -82460,                              0,              2659276,                232851,              2892127,              3745635,              0,              0,              0,,                350710,,                 68836,                 68836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年03月31日,,,,                598965,,                117007,,                708704,,                 55825,                 13572,,                 18445,,                359664,,                203504,                118355,                321859,              2494297,,,                 58773,,                105518,,                131866,,                896187,                 46785,,                 42502,,                  3098,                 45600,              1284729,              3779026,,,,,                  6000,,                397152,,                 52061,,                  8875,,,                  9500,                  9500,                218477,                227977,                692065,,,                 50158,,                  4459,,                 43443,                 14293,                 57736,                112353,                804418,,,,              1966742,              1966742,,                452846,,                378735,,                -76411,                              0,              2721912,                252696,              2974608,              3779026,              0,              0,              0,,                300256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2013年12月31日,,,,,,                121584,,                851636,,                 56197,                  9456,,,,                361488,,                183059,                 98020,                281079,              2428688,,,                 38040,,                105518,,                135026,,                959937,                 46785,,                 40821,,                  2214,                 43035,              1328341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                729172,                 18076,              3757029,,,,                              0,,                467098,,                  5374,                  7839,,,                  9500,                  9500,                205275,                214775,                695086,,,                              0,,                 52533,,                  4459,,                 43109,                  4370,                 47479,                104471,                799557,,,,              1966742,              1966742,,                451680,,                366707,,                -97230,                              0,              2687899,                269573,              2957472,,,,,,,,,,,,,
3031,2013年09月30日,,,,,,                 98185,,                881336,,                 58892,                 20627,,,,                361434,,                147473,                 47032,                194505,              2372893,,,                 38801,,                  5518,,                210693,,                973265,                 40894,,                 41659,,                  2273,                 43932,              1313103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                150251,,,,                525634,                 36859,              3685996,,,,                              0,,                421800,,                 46658,                 11705,,,                 12083,                 12083,                241651,                253734,                733897,,,,,                 54908,,                 12802,,                 50215,,                 51394,                119104,                853001,,,,              1966742,              1966742,,                449457,,                329196,,               -100711,                              0,              2644684,                188311,              2832995,,                 45170,                 45170,                              0,                  1179,,,,,,,,
3031,2013年06月30日,,,,,,                 56951,,                863382,,                  8768,                  8253,,,,                415843,,                185601,                 29843,                215444,              2186818,,,                 42035,,                  5518,,                201681,,              1041847,                 40894,,                 35616,,                  3374,                 38990,              1370965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 83294,,,,                464494,                 26397,              3557783,,,,                 18600,,                405717,,                 61102,                 11448,,,                 15000,                 15000,                 75849,                 90849,                587716,,,,,                 57283,,                 12802,,                 54876,                  1442,                 56318,                126403,                714119,,,,              1966742,              1966742,,                454598,,                302581,,                -95163,                              0,              2628758,                214906,              2843664,,,,,,,                 43992,,                              0,                              0,,,
