證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3034,2015年09月30日,,,,             16687172,,                              0,,             11911211,,                189866,,              5527705,,                189825,             34505779,,,                188700,,              1235377,,              2051476,,              2191355,                279340,,,                  6200,,                 18560,                 24760,              5971008,             40476787,,,,,              4799020,,              4418009,,              1299307,,              1936084,                659046,,                 53587,             13165053,,,                151791,,                126789,                126789,                278580,             13443633,,,,              6085115,              6085115,,              3287822,,              6153758,                              0,,             11344909,             17498667,,                161550,                              0,             27033154,                              0,             27033154,             40476787,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,2015年06月30日,,,,             20766650,,                              0,,             11082375,,                100913,,              6299090,,                144205,             38393233,,,                278151,,              1235377,,              1964611,,              2203543,                276067,,,                  6200,,                 12268,                 18468,              5976217,             44369450,,,,,              4752440,,              4213454,,              1634997,,              7568525,                474836,,                 62108,             18706360,,,                147476,,                127784,                127784,                275260,             18981620,,,,              6085115,              6085115,,              3287822,,              6153758,,,              9646797,             15800555,,                214338,                              0,             25387830,                              0,             25387830,             44369450,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,2015年03月31日,,,,             21822865,,                              0,,             12062984,,                207101,,              6980216,,                127976,             41201142,,,                284431,,              1235377,,              1376355,,              2249256,                302061,,,                  6200,,                 12342,                 18542,              5466022,             46667164,,,,,              5696600,,              4514239,,              1599652,,              3243331,              1280588,,                 53949,             16388359,,,                143160,,                128770,                128770,                271930,             16660289,,,,              6085115,              6085115,,              3287822,,              5432820,                              0,,             14967609,             20400429,,                233509,                              0,             30006875,                              0,             30006875,             46667164,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,2014年12月31日,,,,             20013371,,                 31823,,             14069866,,                248212,,              6160007,,                142559,             40665838,,,                201581,,              1235377,,              1412610,,              2145826,                251365,,,                  6200,,                 12533,                 18733,              5265492,             45931330,,,,,              6361650,,              5457860,,              1569187,,              2992746,              1002269,,                 51749,             17435461,,,                138845,,                129773,                129773,                268618,             17704079,,,,              6085115,              6085115,,              3287822,,              5432820,                              0,,             13267928,             18700748,,                153566,                              0,             28227251,                              0,             28227251,             45931330,              0,              0,              0,             20013371,             45931330,,,,              6361650,,              5457860,,              1569187,,              2992746,              1002269,,                 51749,             17435461,,,                138845,,                129773,                129773,                268618,             17704079,,,,              6085115,              6085115,,              3287822,,              5432820,                              0,,             13267928,             18700748,,                153566,                              0,             28227251,                              0,             28227251
3034,2014年09月30日,,,,             19082941,,                              0,,             14636988,,                237269,,              6676066,,                102680,             40735944,,,                215659,,              1253017,,              1430588,,              2043509,                274974,,,                  6200,,                 13063,                 19263,              5237010,             45972954,,,,,              8304660,,              5912606,,              1555155,,              3016586,                704201,,                 66353,             19559561,,,                134529,,                118097,                118097,                252626,             19812187,,,,              6085115,              6085115,,              3287822,,              5432820,                              0,,             11193235,             16626055,,                161775,                              0,             26160767,                              0,             26160767,             45972954,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,2014年06月30日,,,,             20876080,,                 24041,,             12322991,,                241585,,              6404471,,                122984,             39992152,,,                214358,,              1272588,,              1423752,,              2047716,                297241,,,                  6200,,                 10831,                 17031,              5272686,             45264838,,,,,              8063550,,              5042375,,              1363096,,              5950487,                464772,,                 62734,             20947014,,,                130214,,                118913,                118913,                249127,             21196141,,,,              6085115,              6085115,,              3287822,,              5432820,,,              9105467,             14538287,,                157473,                              0,             24068697,                              0,             24068697,             45264838,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,2014年03月31日,,,,             20016708,,                              0,,             10984753,,                211010,,              5472004,,                123326,             36807801,,,                196934,,              1272588,,              1470271,,              2041744,                251164,,,                  6200,,                 10155,                 16355,              5249056,             42056857,,,,,              6672930,,              4655253,,              1268022,,              2358149,                860217,,                 58896,             15873467,,,                125899,,                119769,                119769,                245668,             16119135,,,,              6085115,              6085115,,              3287822,,              4958324,                 17756,,             11445986,             16422066,,                142719,                              0,             25937722,                              0,             25937722,             42056857,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,2013年12月31日,,,,,,                 23036,,             10754471,,                147592,,              4361867,,                148033,             33727347,,,                154255,,              1272588,,              1521913,,              2063112,                240867,,,                  6200,,                 10064,                 16264,              5268999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             18292348,             38996346,,,,              6348465,,              3996785,,                993734,,              2057570,                681203,,                 57657,             14135414,,,                121583,,                120645,                120645,                242228,             14377642,,,,              6085115,              6085115,,              3287822,,              4958324,                 17756,,             10179040,             15155120,,                 90647,                              0,             24618704,                              0,             24618704
3034,2013年09月30日,,,,,,                              0,,             10759522,,                205775,,              5225960,,                106980,             33421842,,,                118323,,              1330358,,              1522203,,              2073348,                277915,,,                  6200,,                 16951,                 23151,              5345298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             17123605,             38767140,,,,              7096800,,              4080082,,                948431,,              2418002,                495213,,                 64209,             15102737,,,                117268,,                144224,                144224,                261492,             15364229,,,,              6082143,              6082143,,              3281878,,              4958324,                 17756,,              8965544,             13941624,,                 97266,                              0,             23402911,                              0,             23402911
3034,2013年06月30日,,,,,,                 21114,,             11009223,,                173961,,              4610041,,                281318,             35687876,,,                121112,,              1330358,,              1526266,,              2025422,                324465,,,                  6200,,                 14376,                 20576,              5348199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             19592219,             41036075,,,,              6900000,,              4760664,,              1074959,,              5493792,                328041,,                 84902,             18642358,,,                112953,,                145234,                145234,                258187,             18900545,,,,              6071456,              6071456,,              3260150,,              4958324,                 17756,,              7726198,             12702278,,                101646,                              0,             22135530,                              0,             22135530
