證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 短期借款,　　　　　 短期借款合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據,　　　　 應付票據合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 長期遞延收入,　　　　 其他非流動負債－其他,　　　 預付款項,　　　　 預付投資款,　　　　 預付款項合計
3035,2015年09月30日,,,,              2364160,,                 90039,,                  9548,,                    848,,                712513,,                 40746,,                106795,,                838576,,                189164,              4352389,,,                147815,,              1064429,,                117162,,                595739,,,                577800,                577800,                 22542,,                  7427,,                 15000,                 22427,              2547914,              6900303,,,,,                  1975,,                  1370,,                299810,,                171558,,                 10973,                498021,                508994,                163785,,                315226,              1462718,,,                    544,,,                179885,                179885,                 45185,                  5283,                230353,                230897,              1693615,,,,              2485503,                              0,              2485503,,                648384,,              1438709,                 13577,,                676959,              2129245,,                 77395,                140449,              5200078,                  6610,              5206688,              6900303,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,2015年06月30日,,,,              4546102,,                218950,,                              0,,                              0,,                815506,,                 56995,,                 83617,,                761618,,                150653,              6636271,,,                  1506,,              1140284,,                124531,,                599846,,,,                327008,                 24900,,                  6987,,                 15000,                 21987,              2240062,              8876333,,,,,                              0,,                    948,,                257116,,                220126,,                              0,              1073675,              1073675,                133449,,                408870,              2094184,,,                      1,,,                 34168,                 34168,                 45749,                  4962,                 84879,                 84880,              2179064,,,,              4142505,                              0,              4142505,,                648384,,              1438709,                 13577,,                508499,              1960785,,                -34008,                 27606,              6690060,                  7209,              6697269,              8876333,              0,              0,        700000,,                  2830,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,2015年03月31日,,,,              4589345,,                222095,,                  7762,,                    638,,                682310,,                 16586,,                 72572,,                636664,,                131616,              6365688,,,                  1787,,              1193199,,                 86561,,                609562,,,,                393405,                 23052,,                  7589,,                 15000,                 22589,              2330155,              8695843,,,,,                              0,,                    246,,                587910,,,,                  2457,                434587,                437044,                122430,,                323333,              1470963,,,                    332,,,                 41461,                 41461,                 46280,                  4498,                 92239,                 92571,              1563534,,,,              4142505,                              0,              4142505,,                604349,,              1370841,                 42844,,                989574,              2403259,,                -25806,                              0,              7124307,                  8002,              7132309,              8695843,,              0,              0,,                  6100,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,2014年12月31日,,,,              4312675,,                224902,,                  3788,,                    772,,                610666,,                 12639,,                 72545,,                549187,,                217474,              6004648,,,                  2839,,              1193202,,                100907,,                623725,,,                377875,                377875,                 21202,,                  7382,,                 15000,                 22382,              2342132,              8346780,,,,,                  1680,,                              0,,                342093,,                              0,,                              0,                488906,                488906,                 90290,,                407762,              1330731,,,                    303,,,                 10726,                 10726,                 46849,                  4026,                 61601,                 61904,              1392635,,,,              4131255,                 11250,              4142505,,                604349,,              1370841,                 42844,,                798953,              2212638,,                -13577,                              0,              6945915,                  8230,              6954145,              8346780,              0,      1125000,              0,,                              0,,                              0,              4312675,              8346780,,,,                              0,,                  1680,,                342093,,                              0,                488906,                488906,                 90290,,                407762,              1330731,,,                    303,,,                 10726,                 10726,                 46849,                  4026,                 61601,                 61904,              1392635,,,,              4131255,                 11250,              4142505,,                604349,,              1370841,                 42844,,                798953,              2212638,,                -13577,                              0,              6945915,                  8230,              6954145,,,,,,,,,
3035,2014年09月30日,,,,              3512290,,                221924,,                  1697,,                    202,,                890364,,                  9245,,                 61739,,                672659,,                187310,              5557430,,,                  3152,,              1275457,,                116150,,                645138,,,                444101,                444101,                 20538,,                  7707,,                 15000,                 22707,              2527243,              8084673,,,,,                  3292,,                              0,,                378217,,                              0,,                  1769,                425081,                426850,                 86787,,                369388,              1264534,,,                    173,,,                 14871,                 14871,                 45956,                  9189,                 70016,                 70189,              1334723,,,,              4114703,                 16962,              4131665,,                595785,,              1370841,                 42844,,                630397,              2044082,,                -29310,                              0,              6742222,                  7728,              6749950,              8084673,              0,      1696200,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,2014年06月30日,,,,              4727413,,                172745,,                  1195,,                              0,,                867101,,                  9662,,                 48799,,                645862,,                191007,              6667454,,,                  3452,,              1238789,,                129233,,                663729,,,,                317878,                 18984,,                  9635,,                 15000,                 24635,              2396700,              9064154,,,,,                              0,,                  1663,,                487803,,                              0,,                  5208,              1438325,              1443533,                 96030,,                357654,              2396683,,,                    128,,,                 30991,                 30991,                 46547,                 13975,                 91513,                 91641,              2488324,,,,              4110788,                  4075,              4114863,,                576392,,              1370841,                 42844,,                495443,              1909128,,                -33654,                              0,              6566729,                  9101,              6575830,              9064154,              0,        407500,              0,,                  3670,,                 10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,2014年03月31日,,,,              4874125,,                137058,,                  4766,,                              0,,                759779,,                  7991,,                 61315,,                502839,,                135378,              6483251,,,                  4716,,              1238793,,                107315,,                671432,,,,                375926,                 37688,,                  9835,,                 30939,                 40774,              2476644,              8959895,,,,,                    171,,                     44,,                491744,,,,                    525,                520852,                521377,                162887,,                479436,              1665659,,,                  1051,,,                 45344,                 45344,                 47162,                 14247,                106753,                107804,              1773463,,,,              4083442,                 29306,              4112748,,                571079,,              1288964,                 55557,,              1181258,              2525779,,                -33540,                              0,              7176066,                 10366,              7186432,              8959895,,      2930625,              0,,                              0,,                 10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,2013年12月31日,,,,,,                120987,,                    773,,                  6296,,                728308,,                  9777,,                 51312,,                465267,,                 97106,              6100059,,,                  5192,,              1238796,,                118083,,                689982,,,,                432303,                 30200,,                  9617,,                 15939,                 25556,              2540112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1531000,              0,,,,,              4620233,              8640171,,,,                 10000,,                  3588,,                355099,,                 20333,                676758,                697091,                125438,,                370268,              1561484,,,                      2,,,                 68873,                 68873,                 47835,                 13979,                130687,                130689,              1692173,,,,              4068930,                 15310,              4084240,,                536949,,              1288964,                 55557,,              1012890,              2357411,,                -42844,                              0,              6935756,                 12242,              6947998,,,,,,,,,
3035,2013年09月30日,,,,,,                111344,,                  1251,,                              0,,              1040289,,                 15914,,                213353,,                673827,,                137681,              5850599,,,                  5367,,              1248790,,                127847,,                689037,,,                400674,                400674,                 33398,,                  9000,,                 15939,                 24939,              2530052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        640700,              0,,                  4435,,,              3652505,              8380651,,,,                 11000,,                              0,,                539231,,                              0,                581009,                581009,                 78554,,                348594,              1558420,,,                     56,,,                 49713,                 49713,                 42443,                 13090,                105246,                105302,              1663722,,,,              4063798,                  6407,              4070205,,                521666,,              1288964,                 55557,,                811575,              2156096,,                -45540,                              0,              6702427,                 14502,              6716929,,                     32,,,,,,,
3035,2013年06月30日,,,,,,                271033,,                  2635,,                    179,,                862043,,                 19726,,,,                825748,,                206709,              6211890,,,                  5123,,              1283975,,                136921,,                710566,,,                454920,                454920,                 32249,,                  8087,,                 15939,                 24026,              2647780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        196000,              0,,                              0,,,              4023817,              8859670,,,,                 11500,,                  1160,,                401307,,                    504,              1542654,              1543158,                 43867,,                223681,              2224820,,,                     56,,,                 76166,                 76166,                 43058,                 13108,                132332,                132388,              2357208,,,,              4062075,                  1960,              4064035,,                515147,,              1288964,                 55557,,                607633,              1952154,,                -44552,                              0,              6486784,                 15678,              6502462,,                    147,,                              0,,,,,
