證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　 共同控制下前手權益,　　 待註銷股本股數,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 避險之衍生金融資產－流動,　　　 按攤銷後成本衡量之金融資產－流動,　　　　 按攤銷後成本衡量之金融資產－流動淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 庫藏股票,　　 共同控制下前手權益,　　 非控制權益,　　　　 其他預付款,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 預收股本,　　　　 特別股轉換普通股權利證書,　　　　 債券換股權利證書
3042,2015年09月30日,,,,              2284836,,              1334857,,                 55839,,                 47840,,                 31371,,              2991086,,                  4635,,                 49638,,                    684,,              1640315,,                  2683,                 37525,                 40208,,                              0,                 79326,                 79326,              8560635,,,              1181945,,                 50280,,                115520,,                 66626,,              4876580,,                 54981,                 25464,,                 35721,                  4004,                117098,,                 26084,                182907,              6554303,             15114938,,,,,                582157,,                 11431,,              1167864,,                    853,,                520225,                    149,                 30018,,,              1153732,                 67961,              1221693,              3534390,,,                              0,,              1437500,,                136283,,                 30135,                 54812,                 84947,              1658730,              5193120,,,,              3097570,              3097570,,              1662181,,              1057381,                222793,,              2421358,              3701532,,,                359632,,              1101709,              1461341,                    806,              9921818,                              0,              9921818,             15114938,              0,         20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2015年06月30日,,,,              2440211,,              1033039,,                132411,,                 47840,,                 53504,,              2636883,,                  7473,,                 46262,,                    697,,              1679350,,                  2638,                 29444,                 32082,,                              0,                 97155,                 97155,              8206907,,,              1623725,,                 50280,,                115520,,                 73263,,              4975188,,                 55048,                 25638,,                 59181,                  3849,                115830,,                 27317,                206177,              7124839,             15331746,,,,,                392841,,                  1499,,              1087066,,                    525,,              1300031,                    228,                 44605,,,              1229205,                 44233,              1273438,              4100233,,,                              0,,              1037500,,                127331,,                 33354,                 62749,                 96103,              1260934,              5361167,,,,              3097570,              3097570,,              1662181,,              1057381,                222793,,              2135505,              3415679,,,                260773,,              1534376,              1795149,                              0,              9970579,                              0,              9970579,             15331746,              0,              0,                790471,                438734,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2015年03月31日,,,,              2173064,,              1065249,,                130957,,                              0,,                 55614,,              2685981,,                  5879,,                 44760,,                    828,,              1774103,,,,                 29070,,,,                 85402,              8050907,,,                 44510,,                 98120,,                161998,,                 66855,,              4962083,,                 56050,                 24217,,                 82627,                  2205,                116805,,                118319,                319956,              5733789,             13784696,,,,,                452435,,                              0,,              1130899,,                    453,,                477576,                  1486,                 83029,,,              1471209,                 61476,              1532685,              3678563,,,                              0,,                843875,,                125756,,                 36592,                 57359,                 93951,              1063582,              4742145,,,,              3097570,              3097570,,              1662181,,                957864,                222793,,              2832437,              4013094,,,                269568,,                    138,                269706,                              0,              9042551,                              0,              9042551,             13784696,              0,              0,,,                              0,,,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2014年12月31日,,,,              1768404,,              1149004,,                 20800,,                              0,,                 42961,,              2918461,,                  6870,,                 59122,,                    628,,              1657491,,                  2564,                 17057,                 19621,,                 53244,                109962,                163206,              7806568,,,                 44510,,                 47840,,                111998,,                 64335,,              5153830,,                 55173,                 29489,,                 50635,                 11961,                119352,,                126556,                308504,              5815679,             13622247,,,,,                425585,,                 15352,,              1068131,,                    321,,                606921,                  1139,                 73576,,,                538300,                 62449,                600749,              2791774,,,                782139,,                944025,,                138976,,                 39891,                 30866,                 70757,              1935897,              4727671,,,,              3097570,              3097570,,              1662181,,                957864,                222793,,              2611372,              3792029,,,                341996,,                    800,                342796,                              0,              8894576,                              0,              8894576,             13622247,              0,              0,                              0,                538300,                              0,              0,,                              0,                              0,,                              0,              1768404,             13622247,,,,                425585,,                 15352,,              1068131,,                    321,,                606921,                  1139,                 73576,,,                538300,                 62449,                600749,              2791774,,,                782139,,                944025,,                138976,,                 39891,                 30866,                 70757,              1935897,              4727671,,,,              3097570,              3097570,,              1662181,,                957864,                222793,,              2611372,              3792029,,,                341996,,                    800,                342796,              8894576,              8894576,,,,,,,,,,,,,
3042,2014年09月30日,,,,              1037958,,              1325508,,                111532,,                              0,,                 50439,,              2856735,,                 14314,,                 75839,,                    998,,              1737565,,                  3850,                 26322,                 30172,,                176596,                113410,                290006,              7531066,,,                 44510,,                 47840,,                171912,,                 61830,,              5136080,,                 53831,                 18146,,                 69872,                  4477,                113331,,                120035,                307715,              5841864,             13372930,,,,,                571477,,                 26376,,              1202006,,                     43,,                524651,                    294,                 42122,,,                460840,                 45552,                506392,              2873361,,,                777904,,              1104810,,                128287,,                 30316,                 30041,                 60357,              2071358,              4944719,,,,              3097570,              3097570,,              1662181,,                957864,                222793,,              2359705,              3540362,,,                127213,,                    885,                128098,                              0,              8428211,                              0,              8428211,             13372930,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2014年06月30日,,,,              1843998,,                676316,,                108826,,                              0,,                 63330,,              2597405,,                 12189,,                 72362,,                    601,,              1739768,,                  2520,                 55579,                 58099,,                221848,                126663,                348511,              7521405,,,                 44510,,                 47840,,                198245,,                 72161,,              5163290,,                 53756,                 17994,,                 92035,                  4485,                113148,,                 38839,                248507,              5846303,             13367708,,,,,                807303,,                  7502,,              1061411,,                     71,,              1203907,                    169,                 33712,,,                309730,                 42430,                352160,              3466235,,,                773669,,                864258,,                127996,,                 30316,                 30081,                 60397,              1826320,              5292555,,,,              3097570,              3097570,,              1662181,,                957864,                222793,,              2091848,              3272505,,,                 44719,,                 -1822,                 42897,                              0,              8075153,                              0,              8075153,             13367708,              0,              0,                              0,                309730,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2014年03月31日,,,,              1696570,,                966028,,                118220,,                              0,,                 56905,,              2539968,,                 13391,,                 55896,,                    887,,              1786092,,,,                 25192,,,,                217310,              7476459,,,                 44510,,                 47840,,                198245,,                 67546,,              5351302,,                 55527,                 20354,,                 31973,                  4614,                116097,,                 42824,                195508,              5980832,             13457291,,,,,                893655,,                 25274,,              1106073,,                    244,,                466346,                  1615,                 74224,,,                491410,                 40137,                531547,              3098978,,,                769480,,                787500,,                128425,,                 34163,                 31237,                 65400,              1750805,              4849783,,,,              3097570,              3097570,,              1662181,,                864348,                222793,,              2624767,              3711908,,,                134725,,                  1124,                135849,                              0,              8607508,                              0,              8607508,             13457291,              0,              0,,,                              0,,,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,2013年12月31日,,,,,,                445807,,                 49414,,,,                 20521,,              2636402,,                  9416,,                 81263,,                    704,,              1652913,,,,                 10845,,,,                121818,              6858639,,,                 44510,,                 47840,,                198245,,                 61747,,              5508064,,                 55693,                 29043,,                 12014,                  4384,                115225,,                 48126,                179749,              6124891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,,,,,,              1829536,             12983530,,,,                707268,,                 17329,,                886627,,                    177,,                594959,                  1027,                 67919,,,                489415,                 46968,                536383,              2811689,,,                765337,,                887500,,                130540,,                 34163,                 29418,                 63581,              1846958,              4658647,,,,              3097570,              3097570,,              1662181,,                864348,                222793,,              2402655,              3489796,,,                 75336,,                              0,                 75336,              8324883,              8324883,,,,,,,,,,,,,
3042,2013年09月30日,,,,,,                663730,,                124045,,,,                 24324,,              2647656,,                  9560,,                 70079,,                    683,,              1862762,,                  2497,                 17712,                 20209,,                204489,                111638,                316127,              6946719,,,                 54997,,                 47840,,                198245,,                 54024,,              5546599,,                 55705,                  5648,,                 71451,                  2251,                113991,,                 47052,                234745,              6197803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,,,,,,              1207544,             13144522,,,,                798987,,                              0,,              1206215,,                    243,,                508080,                    114,                 49138,,,                499799,                 56289,                556088,              3118865,,,                761101,,              1087500,,                102953,,                 31422,                 28420,                 59842,              2011396,              5130261,,,,              3097570,              3097570,,              1662181,,                864348,                222793,,              2167250,              3254391,,,                  9171,,                 -9052,                    119,              8014261,              8014261,                              0,                              0,                              0,,,,,,,,,,
3042,2013年06月30日,,,,,,                293172,,                121606,,,,                 28775,,              2661716,,                 13282,,                111583,,                    680,,              1804544,,,,                 26089,,,,                302095,              7303628,,,                 54997,,                 47840,,                198245,,                 51265,,              5518545,,                 57207,                  5946,,                150700,                  2079,                116219,,                 49784,                318782,              6252827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,,,,,,              1940086,             13556455,,,,                557719,,                 13356,,              1176021,,                    518,,              1229549,                    135,                 39389,,,                529313,                 62465,                591778,              3608465,,,                756866,,              1237500,,                 92418,,,,                 59854,              2146638,              5755103,,,,              3097570,              3097570,,              1662181,,                864348,                222793,,              1903430,              2990571,,,,,,                 51030,              7801352,              7801352,                              0,                              0,                              0,,,,,,,,,,
