證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3043,2015年09月30日,,,,                 71766,,                              0,,                              0,,                  1458,,                 12443,,                284934,,                              0,,                 12301,,                              0,,                     27,,                589379,,                 38149,,                 27149,              1037606,,,                 27439,,                    826,,                 15782,,                417486,,                    211,                 15682,,                              0,                 33817,,                 41792,                 11982,                 87591,                565017,              1602623,,,,,                 66887,,                 90200,,                              0,,                 18755,,                              0,,                187892,,                              0,,                200342,                349032,                549374,                 14627,                              0,,                  7015,,,                 37342,,                433511,                  4750,                475603,              1410353,,,                              0,,                              0,,                    578,,                 58574,                    382,                  1225,                 60181,                 60759,              1471112,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -3127407,             -2813476,,,                -35928,,                              0,                -35928,                              0,                147770,                -16259,                131511,              1602623,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2015年06月30日,,,,                106113,,                              0,,                              0,,                  3414,,                 13843,,                249332,,                              0,,                 21344,,                              0,,                     28,,                586204,,                 24123,,                 30443,              1034844,,,                 26991,,                    775,,                 16952,,                422749,,                    213,                 15682,,                              0,                 29823,,                 41792,                 11643,                 83258,                566620,              1601464,,,,,                 66995,,                 95600,,                              0,,                 20647,,                              0,,                193196,,                              0,,                200342,                308103,                508445,                 14627,                              0,,                  7604,,,                 28754,,                450305,                  2434,                481493,              1388607,,,                              0,,                              0,,                  1345,,                 58812,                    716,                  1225,                 60753,                 62098,              1450705,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -3125319,             -2811388,,,                -18298,,                              0,                -18298,                              0,                167488,                -16729,                150759,              1601464,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2015年03月31日,,,,                114363,,,,                              0,,                  3589,,                  9986,,                262860,,                              0,,                  9510,,                              0,,                    224,,                631068,,                 13932,,                 19741,              1065273,,,                 32943,,                    787,,                 18439,,                435073,,                    232,                 15859,,                              0,                 29813,,                 41792,                 11916,                 83521,                586854,              1652127,,,,,                 68945,,                 99200,,                              0,,                 19594,,                              0,,                219089,,                 88476,,                200342,                286426,                486768,                 14627,                              0,,                  3108,,,                 22581,,                464995,                 10306,                497882,              1497689,,,                              0,,                              0,,                    577,,                 59508,                    726,                  1225,                 61459,                 62036,              1559725,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -3176209,             -2862278,,,                -22776,,                              0,                -22776,                              0,                112120,                -19718,                 92402,              1652127,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2014年12月31日,,,,                138190,,                              0,,                              0,,                  9983,,                 14018,,                326103,,                              0,,                 10026,,                              0,,                    226,,                700435,,                 20771,,                 12626,              1232378,,,                 36462,,                    796,,                 13922,,                446989,,                    242,                 13915,,                              0,                 31950,,                 41792,                 12159,                 85901,                598227,              1830605,,,,,                 69169,,                105600,,                              0,,                 13263,,                              0,,                263509,,                 89465,,                200342,                299734,                500076,                 14627,                              0,,                  6200,,,                 45186,,                490598,                  1283,                537067,              1598976,,,                              0,,                              0,,                              0,,                 59532,                    733,                  1225,                 61490,                 61490,              1660466,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -3095365,             -2781434,,,                -26028,,                              0,                -26028,                              0,                189712,                -19573,                170139,              1830605,              0,              0,              0,                138190,                  9983,                    226,                    796,              1830605,,,,                 69169,,                105600,,                              0,,                 13263,,                              0,,                263509,,                 89465,,                200342,                299734,                500076,                 14627,                              0,,                  6200,,,                 45186,,                490598,                  1283,                537067,              1598976,,,                              0,,                              0,,                              0,,                 59532,                    733,                  1225,                 61490,                 61490,              1660466,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -3095365,             -2781434,,,                -26028,,                              0,                -26028,                              0,                189712,                -19573,                170139
3043,2014年09月30日,,,,                 80656,,                              0,,                              0,,                  2598,,                 11042,,                291137,,                              0,,                 24863,,                              0,,                    223,,                850470,,                 25963,,                 10575,              1297527,,,                 43576,,                    765,,                 22496,,                452296,,                  1015,                 11004,,                  3787,                 30963,,                 39811,                 11865,                 86426,                617578,              1915105,,,,,                 86970,,                111300,,                              0,,                 14577,,                              0,,                259511,,                 85988,,                200342,                260133,                460475,                 14627,                  4296,,                  5360,,,                 10331,,                513547,                  4418,                528296,              1571400,,,                              0,,                              0,,                              0,,                 50835,                    700,                  1225,                 52760,                 52760,              1624160,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -3001643,             -2687712,,,                -15769,,                              0,                -15769,                              0,                293693,                 -2748,                290945,              1915105,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2014年06月30日,,,,                 98445,,                              0,,                  2543,,                  5662,,                  5164,,                235688,,                              0,,                 14017,,                 11892,,                              0,,                837114,,                 44122,,                 14785,              1269432,,,                 52305,,                  2908,,                 23206,,                452232,,                  1863,                 12028,,                  9883,                 37585,,                 39811,                 11679,                 98958,                643500,              1912932,,,,,                 65588,,                116600,,                              0,,                 89828,,                              0,,                144305,,                 84419,,                200342,                189598,                389940,                 14627,                 14923,,                  5360,,,                 51924,,                534147,                  4860,                590931,              1516521,,,                              0,,                              0,,                              0,,                 51030,                    779,                  1225,                 53034,                 53034,              1569555,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -2954250,             -2640319,,,                -10363,,                    667,                 -9696,                              0,                347159,                 -3782,                343377,              1912932,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2014年03月31日,,,,                118223,,,,                  2405,,                  5662,,                 12958,,                269848,,                  6687,,                 24481,,                              0,,                 13994,,                744123,,                 61544,,                 21336,              1281261,,,                 62809,,                    517,,                 24265,,                460738,,                  2728,                 13099,,                  2090,                 29022,,                 39811,                 12006,                 82929,                647085,              1928346,,,,,                 84019,,                123300,,                              0,,                 75422,,                              0,,                182225,,                 86129,,                200342,                 53757,                254099,                 14627,                 38665,,                  5360,,,                 22882,,                560999,                 11414,                595295,              1459141,,,                              0,,                              0,,                              0,,                 51018,                  1164,                  1225,                 53407,                 53407,              1512548,,,,              1948781,              1948781,,              1048393,,                270535,                 43396,,             -2876586,             -2562655,,,                -14979,,                    529,                -14450,                              0,                420069,                 -4271,                415798,              1928346,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2014年01月01日,,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,,,                              0,,                              0,                              0,                              0,                              0,,,                              0,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,,,,                              0,                              0,,                              0,,                              0,                              0,,                              0,                              0,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2013年12月31日,,,,,,,,                  2758,,,,                  7039,,                390212,,                    482,,                 37986,,                              0,,,,                719316,,                 21774,,                 15676,              1359147,,,                 62809,,,,                 24931,,                467202,,                  3581,                 11932,,                  2554,                 29276,,                 41792,                 12156,                 85778,                656982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                158042,                  5662,                    200,                    749,              2016129,,,,                 55559,,                136400,,                              0,,                108632,,                    191,,                158816,,                 84250,,                200342,                111353,                311695,                 14627,                 42665,,                  5994,,,                 44163,,                610755,                  2549,                657467,              1576296,,,                              0,,                              0,,                              0,,                 51668,                    795,                  1225,                 53688,                 53688,              1629984,,,,              1948781,              1948781,,              1064959,,                270535,                 43396,,             -2924975,             -2611044,,,                -11768,,                    882,                -10886,                              0,                391810,                 -5665,                386145
3043,2013年09月30日,,,,,,,,                  2368,,,,                 15723,,                357154,,                              0,,                 90539,,                     39,,,,                945543,,                118332,,                 19788,              1679171,,,                 78909,,,,                 26833,,                471730,,                  4247,                  6883,,                  2088,                 28040,,                 41792,                 12244,                 84164,                971280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                107685,                     12,                 21988,                298514,              2650451,,,,                149773,,                144600,,                  2850,,                107748,,                    113,,                380445,,                 81524,,                200342,                 44520,                244862,                 14627,                 46524,,                  1911,,,                 27758,,                557465,                  3208,                588431,              1763408,,,                300000,,                              0,,                              0,,                 45753,                  1043,                  1225,                 48021,                348021,              2111429,,,,              1948781,              1948781,,              1064959,,                270535,                 43396,,             -2796383,             -2482452,,,                 -9684,,                    492,                 -9192,                              0,                522096,                 16926,                539022
