證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 特許權淨額,　　　　　 特許權淨額,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付票據,　　　　　 應付票據合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　　　 應付股利,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 特別盈餘公積,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
3045,2015年12月31日,,,,              8579422,,              1028132,,                              0,,             15640120,,                 62103,,              1178226,,              4188213,,                439628,,              3003099,                 39846,              3042945,             34158789,,,                158322,,              2664478,,                192700,,                359062,,              1584362,,             47247121,,                330165,,,             40445341,             15845930,,              6111153,             62402424,                811782,,,                109366,,              6067102,              6067102,              6176468,            121926884,            156085673,,,,,             14220938,,             10793487,,              6410405,,                 91486,,             11273991,             11273991,              1876908,,                166217,,,              2288795,,             10267891,              1842100,             14398786,             59232218,,,             14795938,,             11682472,,              1231244,,              2014310,,                274636,                797787,                765344,              1837767,             31561731,             90793949,,,,             34208328,             34208328,,             14586376,,             23038209,                302986,,             18311104,             41652299,,             -1173954,             29717344,             59555705,              5736019,             65291724,            156085673,              0,              0,    698751601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2015年09月30日,,,,              7277631,,              1060194,,                  2218,,             15836886,,                 60094,,              1090414,,              2239636,,                669240,,              2973494,                 55149,              3028643,             31264956,,,                169826,,              2327690,,                190492,,                360031,,              1544691,,             47848489,,                304032,,,             41077421,             15845930,,              6103262,             63026613,                774966,,,                109199,,              6951120,              6951120,              7060319,            123607149,            154872105,,,,,             13350000,,             17676940,,              5791968,,                 85660,,             10905911,             10905911,              1519188,,                244702,,,              2209770,,             11343163,              1504959,             15057892,             64808470,,,             14795527,,              8608718,,              1087645,,              2265512,,                119770,                804274,                765363,              1689407,             28446809,             93255279,,,,             34208328,             34208328,,             14715830,,             23038209,                302986,,             14678050,             38019245,,             -1487650,             29717344,             55738409,              5878417,             61616826,            154872105,              0,              0,    698751601,,                176209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2015年06月30日,,,,              8787664,,              1202977,,                      6,,             15230871,,                 45642,,              1043530,,              2922435,,                598767,,              1773111,                 45794,              1818905,             32150797,,,                208051,,              2907379,,                192652,,                323940,,              1546612,,             48054585,,                304763,,,             41707082,             15845930,,              6167772,             63720784,                796474,,,                111223,,              6190620,              6190620,              6301843,            124357083,            156507880,,,,,             12650000,,              7390761,,              6016033,,                 78049,,             11494165,             26737820,              1348042,,                231420,,,              2144694,,             11208218,              1586431,             14939343,             69508148,,,             14795116,,              8648218,,              1064679,,              2816496,,                125467,                794318,                777283,              1697068,             29021577,             98529725,,,,             34208328,             34208328,,             14715830,,             23038209,                302986,,             10518866,             33860061,,               -883827,             29717344,             52183048,              5795107,             57978155,            156507880,              0,              0,    698751601,,                116680,,                500000,             15243655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2015年03月31日,,,,              8217370,,              2215954,,                      6,,             14994000,,                 39534,,                927797,,              3251466,,                637187,,              2983299,                 26275,              3009574,             33292888,,,,,              3193574,,                192652,,                500000,,                879875,,             47179634,,                325607,,,             42304379,             15845930,,              6140095,             64290404,                810542,,,                273057,,              6291537,              6291537,              6564594,            123936882,            157229770,,,,,             13800000,,             11984492,,              6988449,,                 71906,,             11318540,             11318540,              2152004,,                225476,,,              2331257,,              5208218,              2042793,              9582268,             56124602,,,             14794704,,             10627772,,              1039973,,              2805669,,                131127,                803288,                772547,              1706962,             30975080,             87099682,,,,             34208328,             34208328,,             14715830,,             21537666,,,             23618628,             45156294,,               -591474,             29717344,             63771634,              6358454,             70130088,            157229770,              0,              0,    698751601,,                  1467,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2014年12月31日,,,,              7903777,,              2213757,,                      6,,             14990240,,                 34561,,              1000549,,              3210988,,                486343,,              2967826,                 26657,              2994483,             32834704,,,                              0,,              3480153,,                192652,,                500000,,                897246,,             47066319,,                354208,,,             39103292,             15845930,,              6219622,             61168844,                885173,,,                271574,,              5888820,              5888820,              6160394,            120704989,            153539693,,,,,             18900000,,              5593031,,              7782276,,                 79392,,             12310967,             12310967,              2114614,,                217083,,,              2264612,,              2208218,              1998735,              6471565,             53468928,,,             14794293,,             13182326,,              1014349,,              2688568,,                136782,                820504,                933611,              1890897,             33570433,             87039361,,,,             34208328,             34208328,,             14715830,,             21537666,                              0,,             19805941,             41343607,,               -302986,             29717344,             60247435,              6252897,             66500332,            153539693,              0,              0,    698751601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2014年09月30日,,,,              6987365,,                940040,,                              0,,             14725520,,                 41260,,              1054493,,              3311781,,                678672,,                943264,                 26882,                970146,             28709277,,,                              0,,                963017,,                175926,,                500000,,                874032,,             47242761,,                342727,,,             39365264,             15845930,,              6186952,             61398146,                904255,,,                435135,,              5115316,              5115316,              5550451,            117951315,            146660592,,,,,             20166146,,              5793853,,              7593223,,                 89953,,             13771413,             13771413,              1175744,,                205361,,,              2373573,,              2208218,              1621211,              6203002,             55140795,,,             14793881,,             14181881,,                983079,,              2466223,,                117790,                831492,                892315,              1841597,             34266661,             89407456,,,,             34208328,             34208328,,             12489143,,             21537666,                              0,,             16776496,             38314162,,                154123,             31077183,             54088573,              3164563,             57253136,            146660592,              0,              0,    730725849,,                142100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2014年06月30日,,,,              6000358,,                978415,,                              0,,             14278173,,                 49929,,                989547,,              3059935,,                553110,,                863217,                 33566,                896783,             26806250,,,                              0,,              1010379,,                175926,,                500000,,                878726,,             45272817,,                337502,,,             39704882,             15845930,,              6160446,             61711258,                886531,,,                344516,,              5158843,              5158843,              5503359,            116276498,            143082748,,,,,             12371276,,              1299113,,              6377758,,                 80108,,             12211491,             27276090,              1684140,,                196359,,,              2286550,,              2208218,              1489581,              5984349,             55391030,,,             14793470,,             14286435,,                949565,,              2441750,,                123257,                827656,                904848,              1855761,             34326981,             89718011,,,,             34208328,             34208328,,             12475758,,             21537666,                              0,,             13039135,             34576801,,                220517,             31077183,             50404221,              2960516,             53364737,            143082748,              0,              0,    730725849,,                121837,,                              0,             15064599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2014年03月31日,,,,              8178517,,                968198,,                              0,,             14091403,,                 56249,,                794278,,              2937872,,                544833,,                865957,                 55100,                921057,             28538717,,,,,              1066762,,                178325,,                500000,,                725578,,             42808799,,                339688,,,             40018829,             15845930,,              6194933,             62059692,                897449,,,                272350,,              5541122,              5541122,              5813472,            114389765,            142928482,,,,,             23844858,,                499328,,              6020209,,                 38495,,             11622096,             11622096,              2230805,,                195604,,,              2440823,,              1208218,              1511762,              5160803,             49616875,,,             14793058,,              8285989,,                916543,,              2657310,,                128264,                830657,              1293483,              2252404,             28905304,             78522179,,,,             34208328,             34208328,,             12475389,,             19262044,,,             26242219,             45504263,,                257250,             31077183,             61368047,              3038256,             64406303,            142928482,              0,              0,    730725849,,                  4677,,,,,                 46310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,2013年12月31日,,,,,,                960945,,                              0,,             14583899,,                 49557,,                494348,,              3781354,,                521368,,              1046057,                 51771,              1097828,             29493868,,,,,              1226889,,                178325,,,,              2289356,,             42985801,,                320394,,,             32748545,             15845930,,              6242796,             54837271,                924576,,,                250717,,              5345182,              5345182,              5595899,            108858511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    730725849,,,,,,,                 50275,              7954294,                500000,            138352379,,,,             30605813,,              2396971,,                408904,,              6661431,,                 73080,,             11657899,             11657899,              1512072,,                193886,,,              2619906,,              1000000,              1475676,              5095582,             58605638,,,             14792647,,              2000000,,                880069,,              2599791,,                115463,                818386,                 19744,                953593,             21226100,             79831738,,,,             34208328,             34208328,,             12456891,,             19262044,,             22171132,             41433176,,                412682,             31077183,             57433894,              1086747,             58520641,,,,,,
3045,2013年09月30日,,,,,,                955500,,,,             14129515,,                 68682,,                439285,,              3154564,,                834540,,              1429112,                 58246,              1487358,             28855606,,,,,              1253952,,                181328,,,,              2262210,,             42519084,,                328554,,,              3925473,             15845930,,              6230555,             26001958,                973957,,,                 93542,,              6376584,              6376584,              6470126,             80491169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,    730725849,,,,,,,                              0,              7786162,                500000,            109346775,,,,              8328480,,                399600,,                193627,,              6036261,,                104910,,             10796668,             10796668,                913868,,                181331,,,              3131104,,              4000000,              1321915,              8453019,             35407764,,,             14792235,,                              0,,                837570,,              2491672,,                116127,                822537,                 19744,                958408,             19079885,             54487649,,,,             34208328,             34208328,,             12431851,,             19262044,,             18623088,             37885132,,                444804,             31077183,             53892932,                966194,             54859126,,,,,,
