證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　　 其他應付款－其他,　　　　　 特別盈餘公積,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 無活絡市場之債券投資－流動淨額,　　 共同控制下前手權益,　　　　 待分配股票股利,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　　 土地成本,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 遞延所得稅負債－所得稅
3048,2015年09月30日,,,,                719251,,                              0,,                173795,,                378573,,              4862933,,              8362730,,                217058,             14714340,,,                     33,,                 21480,,                 30540,,                 27170,,                490604,,,                  4211,                  4211,                 65432,,                 29270,                668740,             15383080,,,,,              3099043,,                 99868,,              7017983,,                498677,                 40968,,                414707,,,                              0,                  7459,                  7459,             11178705,,,                107725,,                800000,,                 37766,,                  6672,                 57668,                 64340,              1009831,             12188536,,,,              2023387,              2023387,,                121162,,                447822,,                370627,                818449,,                224519,                              0,              3187517,                  7027,              3194544,             15383080,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2015年06月30日,,,,                569766,,                              0,,                 61828,,                370877,,              1843114,,              7365033,,                213473,             10424091,,,                     55,,                 27009,,                 33957,,                 21513,,                488235,,,                  1136,                  1136,                 60378,,                 19128,                651411,             11075502,,,,,                937789,,,,              5211598,,                607591,                 59194,,                353996,,,                              0,                  9785,                  9785,              7179953,,,                107224,,                800000,,                 16752,,                  6198,                 31325,                 37523,                961499,              8141452,,,,              1808057,              2023387,,                121162,,                447822,,                234017,                681839,,                100565,                              0,              2926953,                  7097,              2934050,             11075502,              0,              0,                215330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2015年03月31日,,,,                648708,,                              0,,                 30457,,                171920,,              3470989,,              9064496,,                252328,             13638898,,,                    219,,                 21854,,                 37201,,                 21296,,                494240,,,,                    908,                 60043,,                 15071,                650832,             14289730,,,,,              3806924,,,,              5555780,,                382765,                112956,,                431533,,,                              0,                  8584,                  8584,             10298542,,,                110859,,                800000,,                 20528,,                 12952,                 19198,                 32150,                963537,             11262079,,,,              1806235,              1806235,,                118853,,                402514,,                570537,                973051,,                122229,                              0,              3020368,                  7283,              3027651,             14289730,              0,              0,,,                              0,,                 15071,                382765,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2014年12月31日,,,,                758687,,                  5000,,                 31047,,                343750,,              3269814,,              9441209,,                215718,             14065225,,,                    461,,                 18585,,                 40341,,                 17359,,                478557,,,                  1173,                  1173,                 58064,,                 28265,                642805,             14708030,,,,,              2439402,,                              0,,              7259587,,                501332,                 83395,,                499653,,,                              0,                  9810,                  9810,             10793179,,,                209834,,                800000,,                 34323,,                 13384,                 19354,                 32738,              1076895,             11870074,,,,              1762083,              1762083,,                 63382,,                402514,,                465626,                868140,,                136639,                              0,              2830244,                  7712,              2837956,             14708030,              0,              0,                              0,,                              0,,                 28265,                501332,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2014年09月30日,,,,                633120,,                              0,,                 18023,,                174385,,              3745698,,              8837664,,                230605,             13639495,,,                 21517,,                 16554,,                 54326,,                 17913,,                480022,,,                  1375,                  1375,                 61615,,                 18272,                671594,             14311089,,,,,              2133710,,                              0,,              7659225,,                438954,                 53045,,                357484,,,                320000,                 10285,                330285,             10972703,,,                236796,,                480000,,                  8155,,                 11003,                 20870,                 31873,                756824,             11729527,,,,              1749625,              1749625,,                 47877,,                402514,,                325526,                728040,,                 48621,                              0,              2574163,                  7399,              2581562,             14311089,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2014年06月30日,,,,                432681,,                              0,,                     90,,                242594,,              1648128,,              6139093,,                199522,              8662108,,,                 21068,,                 20876,,                 71037,,                 18990,,                481981,,,                  1655,                  1655,                 57809,,                 18148,                691564,              9353672,,,,,                857256,,,,              4696593,,                429834,                 41066,,                146275,,,                320000,                  7861,                327861,              6498885,,,                              0,,                480000,,                    912,,                 11165,                 20511,                 31676,                512588,              7011473,,,,              1571000,              1728100,,                 10010,,                402514,,                179441,                581955,,                 14618,                              0,              2334683,                  7516,              2342199,              9353672,              0,              0,                157100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2014年03月31日,,,,                566839,,                              0,,                 54051,,                169919,,              1323473,,              6287922,,                177188,              8583540,,,                 21068,,                 27615,,                 78103,,                127288,,                487553,,,,                  1970,                 53400,,                 18357,                815354,              9398894,,,,,              1776220,,,,              3820676,,                253955,                 42016,,                306472,,,                320000,                  6815,                326815,              6526154,,,                              0,,                480000,,                  5381,,                 11322,                 20911,                 32233,                517614,              7043768,,,,              1611000,              1611000,,                 39334,,                401200,,                 65912,                705588,,                 48109,                 56093,              2347938,                  7188,              2355126,              9398894,              0,      4000000,,,                  4148,,                 18357,                253955,                238476,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2013年12月31日,,,,,,                              0,,,,                211734,,                851449,,              4937014,,                172740,              6847370,,,                 21068,,                 32229,,                 83580,,                124300,,                465901,,,                  1801,                  1801,                 50656,,                 16997,                796532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4000000,,,                  2991,,,,,              0,                671442,              7643902,,,,              1260537,,              2719444,,                306242,                 28261,,                206668,,,                320000,                  7392,                327392,              4848544,,,                              0,,                480000,,                    807,,                 11508,                 20747,                 32255,                513062,              5361606,,,,              1611000,              1611000,,                 39334,,                401200,                238476,,                 13137,                652813,,                 28056,                 56093,              2275110,                  7186,              2282296,                              0,                              0,                              0,,                184514,,                232218,,                    750,,                 13731,,                 30965,,                  3723,,                              0,,,,,,,,,,,,,,,,
3048,2013年09月30日,,,,,,,,,,                186783,,              1876433,,              5239273,,                177751,              8059174,,,                 19760,,                              0,,                 97736,,                118494,,                461547,,,                  1644,                  1644,                 50037,,                 23804,                773022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4000000,,,                  3065,,,,,              0,                572869,              8832196,,,,              1546293,,              3670911,,                281749,                 12073,,                314439,,,                320000,                 12743,                332743,              6158208,,,                              0,,                480000,,                    680,,                 12257,                 20380,                 32637,                513317,              6671525,,,,              1611000,              1611000,,                 39334,,                401200,                238476,,                -59523,                580153,,                -21063,                 56093,              2153331,                  7340,              2160671,                  3000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2013年06月30日,,,,,,,,,,                177859,,              1031574,,              4956710,,                146708,              6867176,,,                 19760,,                              0,,                102218,,                115773,,                467105,,,                  1925,                  1925,                 47735,,                 11661,                766177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4000000,,,                  2258,,,,,              0,                549067,              7633353,,,,                853509,,              3120667,,                324724,                 18172,,                343800,,,                320000,                 11351,                331351,              4992223,,,,,                480000,,                  1064,,                 12470,                 20633,                 33103,                514167,              5506390,,,,              1611000,              1611000,,                 39334,,                401200,                238476,,               -117500,                522176,,                  3492,                 56093,              2119909,                  7054,              2126963,                  3000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,2013年03月31日,,,,,,,,,,                164037,,              1978974,,              3983735,,                185150,              6844160,,,                 19760,,                              0,,                104015,,                100933,,                467262,,,                  2146,                  2146,                 46088,,                 12029,                752233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      4000000,,,                  3064,,,,,              0,                516200,              7596393,,,,              1220109,,              2904845,,                183198,                 45173,,                230967,,,                160000,                  5267,                165267,              4779551,,,,,                640000,,                  1341,,                 12692,                 20162,                 32854,                674195,              5453746,,,,              1611000,              1611000,,                 26103,,                385464,                187203,,                 -6546,                566121,,                -11119,                 56093,              2136012,                  6635,              2142647,                 13000,,,,                184514,,                232335,,                  1042,,                 14775,,                 31151,,                  3445,,                 29992,,,,,,,,,,,,,,,,
