證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 預付款項,　　　　 留抵稅額,　　　　 預付款項合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 預付退休金－非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 銷貨退回及折讓之短期負債準備,　　　 與待出售非流動資產直接相關之負債,　　　　　 一年或一營業週期內到期長期借款,　　　　 長期預付租金,　　　 庫藏股票
3049,2015年06月30日,,,,              1471700,,                              0,,                363906,,                  2259,,                 29514,,                 34432,,                161408,,                594553,,                 79318,                 23606,                102924,              2760696,,,                 14913,,                181771,,             11332122,,                 52676,                613152,,                 66990,             12261624,             15022320,,,,,                229537,,                              0,,                185786,,                 59557,,                891301,                 69472,,                              0,,,              4711360,                 17555,              4728915,              6164568,,,              1399280,,                  7635,              1406915,              7571483,,,,             11656408,             11656408,,,                549142,                 74731,                623873,,                 44818,,             -4864232,             -4819414,,,                     57,,                -10087,                -10030,              7450837,              7450837,             15022320,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,2015年03月31日,,,,              1836236,,                              0,,                451943,,                  1743,,                 28213,,                 28087,,                303324,,                625543,,                518767,                 35354,                554121,              3829210,,,                 19094,,                181771,,             11670519,,                 63442,                613152,,                 68989,             12616967,             16446177,,,,,                200000,,                              0,,                228133,,                 49508,,              1010116,                393943,,                 71415,,,              2991360,                 14746,              3006106,              4959248,,,              3917120,,                  7635,              3924755,              8884003,,,,             11656408,             11656408,,,                549142,                 74731,                623873,,                 44818,,             -4757076,             -4712258,,,                     57,,                 -5906,                 -5849,              7562174,              7562174,             16446177,              0,              0,              0,,                     27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,2014年12月31日,,,,              1079876,,                    147,,                546301,,                  1403,,                 25029,,                240290,,                272200,,                732072,,              1308207,                 39384,              1347591,              4244909,,,                 22049,,                186998,,             11982511,,                 71350,                613152,,                 70502,             12946562,             17191471,,,,,                140166,,                              0,,                442426,,                 13817,,              1122043,                354630,,                 71471,,,              2991360,                  4756,              2996116,              5140669,,,              4614960,,                  7635,              4622595,              9763264,,,,             11656408,             11656408,,,                549142,                 74731,                623873,,                 44818,,             -4893998,             -4849180,,,                     57,,                 -2951,                 -2894,              7428207,              7428207,             17191471,              0,              0,              0,,                              0,              1079876,             17191471,,,,                140166,,                              0,,                442426,,                 13817,,              1122043,                354630,,                 71471,,,              2991360,                  4756,              2996116,              5140669,,,              4614960,,                  7635,              4622595,              9763264,,,,             11656408,             11656408,,,                549142,                 74731,                623873,,                 44818,,             -4893998,             -4849180,,,                     57,,                 -2951,                 -2894,              7428207,                              0,              7428207,,,,,,,,,,,,,,,,,,,,,
3049,2014年09月30日,,,,,,                              0,,                595378,,                 11650,,                 25002,,                143749,,                296196,,                825684,,                112100,                 29653,                141753,              4658544,,,                 20375,,                186998,,             12473017,,                 85430,                613733,,                 46426,             13425979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              2614208,             18084523,,,,                446754,,                              0,,                245252,,                 14670,,              1318295,                158410,,                 80404,,,              2996383,                 25401,              3021784,              5286618,,,              5407777,,                  4000,              5411777,             10698395,,,,             11656408,             11656408,,,,,                623873,,                 44818,,             -4934403,             -4889585,,,,,,                 -4568,              7386128,                              0,              7386128,,                  4924,                  4924,,                              0,,                 85430,                 31323,,                 15103,,                  1049,,                              0,              1117254,                201041,                 80404,                              0,              2996383,,
3049,2014年06月30日,,,,              1471365,,                    137,,                351169,,                 56521,,                 33377,,                446538,,                403628,,                866646,,                 88020,                  5869,                 93889,              3723270,,,                 30625,,                186998,,             12828033,,                 93825,                626565,,                 48365,             13814411,             17537681,,,,,                791804,,                              0,,                317089,,                 14775,,              1377244,                198239,,                104858,,,              2995893,                 39991,              3035884,              5839893,,,              6406107,,                  4000,              6410107,             12250000,,,,              8839508,              8839508,,,              1366043,                 74731,              1440774,,                 44818,,             -5043101,             -4998283,,,                     57,,                  5625,                  5682,              5287681,              5287681,             17537681,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,2014年03月31日,,,,              1529735,,                              0,,                425833,,                 78314,,                 52680,,                385496,,                392123,,                864237,,                 89143,                 17702,                106845,              3835263,,,                              0,,                 37023,,             13215977,,                 98783,                625984,,                 56308,             14034075,             17869338,,,,,                141069,,                              0,,                455180,,                              0,,              1597105,                133990,,                171649,,,              2997678,                 34317,              3031995,              5530988,,,              7202162,,                  3419,              7205581,             12736569,,,,              8839508,              8839508,,,              1366043,                 74731,              1440774,,                 44818,,             -5192388,             -5147570,,,                     57,,                              0,                     57,              5132769,              5132769,             17869338,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,2013年12月31日,,,,,,                              0,,                787370,,                 23408,,                168357,,                 52582,,                457084,,              4784479,,              1766540,                 34915,              1801455,              9437085,,,                              0,,                 37023,,             13558851,,                 87470,                625984,,                 58269,             14367597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1362350,             23804682,,,,              1453708,,                299903,,                542541,,                    578,,              2210464,                436715,,                199996,,,              3945583,              1710649,              5656232,             10800137,,,              8180117,,                  3419,              8183536,             18983673,,,,              8839508,              8839508,,,              1366043,                 74731,              1440774,,                 44818,,             -5492549,             -5447731,,,                -11542,,                              0,                -11542,              4821009,                              0,              4821009,,                              0,                              0,,                              0,,                 87470,                 30988,,                 27281,,                              0,,                              0,              1629995,                580469,                199996,                              0,              3945583,                              0,
3049,2013年09月30日,,,,,,                 11563,,              1252128,,                 28045,,                244107,,                344368,,                622661,,                338596,,                127082,                 18237,                145319,              4868146,,,                              0,,                 37023,,             19106226,,                112752,                624499,,                 47585,             19955872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1837894,             24824018,,,,              1891533,,                299981,,                928891,,                    148,,              2206329,                429112,,                173649,,,              3395033,                523855,              3918888,              9866507,,,              9728012,,                    766,              9728778,             19595285,,,,              8839508,              8839508,,,,,              1442144,,                 44818,,             -5111698,             -5066880,,,,,,                    516,              5215288,                 13445,              5228733,,                 43465,                 43465,,                 27787,,                112752,                 18408,,                 29177,,                              0,,                  3356,              1781272,                425057,                173649,                 14620,              3395033,,
3049,2013年06月30日,,,,,,                 10100,,              1788370,,                 80211,,                171975,,                322074,,                776407,,                              0,,                126300,                 58709,                185009,              4559309,,,                              0,,                 37023,,             19721839,,                 26945,                624499,,                 80182,             20526984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1214231,             25086293,,,,              1560196,,                299923,,              1313527,,                  1962,,              2086146,                693668,,                126701,,,              2697517,                265104,              2962621,              9151526,,,             10972873,,                    766,             10973639,             20125165,,,,              8839508,              8839508,,,,,              1439967,,                 44818,,             -5380874,             -5336056,,,,,,                  3692,              4947111,                 14017,              4961128,,                 10932,                 10932,,                 36496,,                 26945,                 18315,,                 31086,,                    131,,                106651,              1581622,                504524,                126701,,              2697517,                 30781,
3049,2013年03月31日,,,,,,                 10110,,              1458711,,                 63420,,                207009,,                175065,,                869359,,                              0,,                 76300,                 39234,                115534,              3854259,,,,,                 37023,,             20305368,,                 29164,                624499,,                 91202,             21132644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                949672,             24986903,,,,              1827814,,                579464,,              1563346,,                              0,,              2179833,                155827,,                 40800,,,              1897212,                251731,              2148943,              8617709,,,             11770523,,                    766,             11771289,             20388998,,,,              8839508,              8839508,,,,,              1443056,,                 44818,,             -5738704,             -5693886,,,,,,                 -5480,              4583198,                 14707,              4597905,,                  5379,                  5379,,                 45388,,                 29164,                 18224,,                 42733,,                    510,,                121172,              1780237,                399596,                 40800,,              1897212,                 30245,
