證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 長期借款,　　　　 長期借款合計,　　　　 待分配股票股利,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計
3052,2015年09月30日,,,,                178227,,                 15783,,                  2910,,                264308,              1068558,,              2438686,,                              0,,              2148148,,                518367,,              1199835,              7834822,,,                 17672,,                118067,,                200841,,                 10454,                 83952,,                 16537,                447523,              8282345,,,,,              1254923,,                990000,,                 71803,,              1101955,                280283,,                140884,                  3837,,              1393020,              5236705,,,                  5583,,                  5121,                 10704,              5247409,,,,              2330045,              2330045,,                199605,                199605,,                192093,,                439208,                631301,,,                  8277,                  8277,                255837,              2913391,                121545,              3034936,              8282345,              0,              0,     28124802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2015年06月30日,,,,                297003,,                 15839,,                  1572,,                185800,                918016,,              2204027,,                              0,,              1683652,,                471991,,              1236124,              7014024,,,                 18656,,                113271,,                202141,,                 11925,                 84248,,                 16139,                446380,              7460404,,,,,              1268266,,                900000,,                 23161,,                585061,                407965,,                161846,                  5461,,              1108699,              4460459,,,                  5583,,                  5570,                 11153,              4471612,,,,              2240428,              2330045,,                190374,                190374,,                192093,,                406456,                598549,,,                  3779,                  3779,                255837,              2866910,                121882,              2988792,              7460404,              0,              0,     27043079,                 89617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2015年03月31日,,,,                428531,,                 16419,,                 11644,,                464578,              1056995,,              1978250,,                  2400,,              1530574,,                274716,,              1221517,              6985624,,,                 18656,,                114128,,                203442,,                 13396,                 84451,,                 30107,                464180,              7449804,,,,,              1518477,,                650000,,                190212,,                660984,                341034,,                 56876,                 36825,,                948998,              4403406,,,                  5583,,                  6014,                 11597,              4415003,,,,              2240428,              2240428,,                190374,                190374,,                173522,,                554201,                727723,,,                  5406,                  5406,                255837,              2908094,                126707,              3034801,              7449804,              0,              0,     27043079,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2014年12月31日,,,,                383178,,                 16646,,                  7770,,                710512,              1339947,,              1765159,,                  2400,,              1303499,,                247313,,                886977,              6663401,,,                 18656,,                114485,,                204663,,                 14867,                 84071,,                 30385,                467127,              7130528,,,,,              1212010,,                550000,,                 85214,,                937057,                373614,,                 62018,                 35212,,                835159,              4090284,,,                  6118,,                  6455,                 12573,              4102857,,,,              2240428,              2240428,,                190374,                190374,,                173522,,                542669,                716191,,,                  6622,                  6622,                255837,              2897778,                129893,              3027671,              7130528,              0,              0,     27043079,                              0,                              0,                383178,                  2400,              7130528,,,,              1212010,,                550000,,                 85214,,                937057,                373614,,                 62018,                 35212,,                835159,              4090284,,,                  6118,,                  6455,                 12573,              4102857,,,,              2240428,              2240428,,                190374,                190374,,                173522,                              0,,                542669,                716191,,,                  6622,                  6622,                255837,              2897778,                129893,              3027671,,,,,
3052,2014年09月30日,,,,                353074,,                 16013,,                  9227,,                206603,              1372349,,                925925,,                  5291,,              1487056,,                353812,,                411197,              5140547,,,                 18656,,                110482,,                205773,,                 16348,                 80906,,                 32014,                464179,              5604726,,,,,              1004945,,                250000,,                 49690,,                705496,                 31216,,                245892,                 35885,,                336351,              2659475,,,                  5814,,                  6892,                 12706,              2672181,,,,              2240428,              2240428,,                190374,                190374,,                173522,,                444994,                618516,,,                  3269,                  3269,                255837,              2796750,                135795,              2932545,              5604726,              0,              0,     27043079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2014年06月30日,,,,                772168,,                 16148,,                  5805,,                384425,              1551711,,                790137,,                  2535,,              1472657,,                350663,,                376478,              5722727,,,                 18983,,                106468,,                205889,,                 17832,                 80115,,                 29743,                459030,              6181757,,,,,              1215205,,                250000,,                 57564,,                693462,                294937,,                344276,                 36137,,                332039,              3223620,,,                  5693,,                  7325,                 13018,              3236638,,,,              2036753,              2240428,,                169393,                169393,,                173522,,                483201,                656723,,,                     98,                     98,                255837,              2810805,                134314,              2945119,              6181757,              0,              0,     24584618,                203675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2014年03月31日,,,,              1174712,,                 16134,,                 26784,,                287010,              1235422,,                556815,,                  2636,,              1429318,,                478722,,                373905,              5581458,,,                 18983,,                106920,,                245230,,                 19316,                 80799,,                 32151,                503399,              6084857,,,,,                813495,,                635000,,                113677,,                724113,                 49242,,                161347,                  4955,,                349495,              2851324,,,                  8308,,                  4146,                 12454,              2863778,,,,              2036753,              2036753,,                169393,                169393,,                 91620,,                974942,              1094070,,,                  2007,                  2007,                255837,              3046386,                174693,              3221079,              6084857,              0,              0,     24584618,,                 27508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,2013年12月31日,,,,,,                 16574,,                 27152,,              2058503,              1227123,,                211672,,,,              1594021,,                375538,,                837374,              6516545,,,                 18983,,                106469,,                245528,,                 20800,                 80931,,                 35625,                508336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     24584618,,,                166011,                  2577,              7024881,,,,              1084306,,                685000,,                149168,,                738002,                 57515,,                264224,                  4539,,                963174,              3945928,,,                  8061,,                  4446,                 12507,              3958435,,,,              2036753,              2036753,,                169393,                169393,,                 91620,                 27508,,                819016,                938144,,,                  2504,                  2504,                255837,              2890957,                175489,              3066446,,                              0,                              0,,
3052,2013年09月30日,,,,,,                 19752,,                 33323,,                332658,              1231192,,                 56472,,,,              4034465,,                310164,,                841670,              7183422,,,                 20829,,                103106,,                223687,,                 22284,                 83986,,                 36866,                490758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     24584618,,,                321163,                  2563,              7674180,,,,              1084560,,                635000,,                 60695,,                576665,                210997,,                144808,                  1742,,              2939570,              5654037,,,                  7923,,                  4744,                 12667,              5666704,,,,              2036753,              2036753,,                169393,                169393,,                 91620,                 27508,,               -234811,               -115683,,,                    440,                    440,                255837,              1835066,                172410,              2007476,,                              0,,,
3052,2013年06月30日,,,,,,                 20340,,                 23288,,                280114,              1291178,,                 36811,,,,              4886761,,                352634,,                986886,              8044645,,,                 21974,,                103619,,                219062,,                 23769,                 84113,,                 37776,                490313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     23413922,,,                164116,                  2517,              8534958,,,,              1017724,,                654900,,                 53224,,                603249,                299758,,                147552,                    864,,              3906565,              6683836,,,                  7935,,                  5041,                 42976,              6726812,,,,              1939765,              2036753,,                161401,                161401,,                 91620,                 27508,,               -422807,               -303679,,,                  1704,                  1704,                255837,              1640342,                167804,              1808146,,                 30000,                 96988,,
3052,2013年03月31日,,,,,,                 21961,,                 38717,,                341301,                993966,,                 34025,,,,              4760968,,                415844,,              1005245,              7739744,,,                 21974,,                100553,,                223355,,                 25253,                 64368,,                 37576,                473079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     23413922,,,                127701,                     16,              8212823,,,,              1123880,,                594900,,                 40153,,                540314,                385531,,                 58282,                  2755,,              3502555,              6248370,,,                    183,,                  3470,                 83051,              6331421,,,,              1939765,              1939765,,                161401,                161401,,                 73642,                 56681,,               -266313,               -135990,,,                   -427,                   -427,                255837,              1708912,                172490,              1881402,,                 79398,,,
3052,2012年12月31日,,,,                209852,,                 22122,,                 29921,,                367448,                916224,,                 38038,,,,              4679196,,                280313,,              1092138,              7635309,,,                 21974,,                 97907,,                223781,,                 26737,                 72250,,                 33828,                476477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     23413922,,,,                     57,              8111786,,,,              1036955,,                514900,,                 65392,,                563114,                506087,,                 74626,                  1863,,              3321160,              6084097,,,                  7671,,                  3695,                152479,              6236576,,,,              1939765,              1939765,,                161401,                161401,,                 73642,                 56681,,               -269444,               -139121,,,                 -3122,                 -3122,                255837,              1703086,                172124,              1875210,,                141113,,,                              0
3052,2012年09月30日,,,,                145240,,                 21735,,                 94208,,                276138,              1007787,,                 80484,,,,              4558630,,                251677,,                802666,              7238692,,,                 23154,,                112489,,                223470,,                 28222,                 72399,,                 38193,                497927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     23413922,,,,                    127,              7736619,,,,              1136975,,                494900,,                 28973,,                578673,                254825,,                 68658,                  1726,,              3147003,              5711733,,,                  7770,,                  4148,                 97234,              5808967,,,,              1939765,              1939765,,                161401,                161401,,                 73642,                 56681,,               -227565,                -97242,,,                    339,                    339,                255837,              1748426,                179226,              1927652,,                 85316,,,                              0
3052,2012年06月30日,,,,                172535,,                 22651,,                 41552,,                410701,              1005790,,                 76601,,,,              4483380,,                250578,,                816274,              7280163,,,                 17904,,                114448,,                226092,,                 29706,                 68263,,                 35618,                492031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     23413922,,,,                    101,              7772194,,,,                877546,,                524900,,                 45281,,                621634,                321799,,                227674,                  7409,,              3027793,              5654036,,,                  8186,,                  3914,                194118,              5848154,,,,              1939765,              1939765,,                145416,                145416,,                 73642,                 56681,,               -215390,                -85067,,,                  2328,                  2328,                255837,              1746605,                177435,              1924040,,                182018,                              0,,                              0
