證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 暫估應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 暫估應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他金融資產－流動,　　　 短期借款,　　　　 短期借款合計,　　　　 預收股本,　　　　 資本公積－其他,　　　　　 資本公積－普通股股票溢價
3130,2015年09月30日,,,,              1711514,,                              0,,                  8582,,                246577,,                  8490,,                  9031,                  9031,              1984194,,,                190071,,                 15639,                  2559,,                  8478,,                 13000,,                  6996,                 28474,                236743,              2220937,,,,,                     27,,                  6660,,                376228,                376228,                 83028,,,                358007,                358007,                 26996,                385003,                850946,,,                  1600,,                    606,                    606,                  2206,                853152,,,,                331237,                331237,,,                380359,                  7853,                388212,,                305396,,                335276,                640672,,,                  4000,,                 -4293,                   -293,              1359828,                  7957,              1367785,              2220937,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2015年06月30日,,,,              1844967,,                              0,,                  7710,,                236022,,                 10946,,                  9728,                  9728,              2109373,,,                201259,,                 12487,                  2559,,                  8421,,                 13000,,                  6961,                 28382,                244687,              2354060,,,,,                     43,,                  4575,,                606939,                606939,                 67833,,,                354099,                354099,                 38770,                392869,              1072259,,,                  1600,,                    998,                    998,                  2598,              1074857,,,,                331117,                331117,,,                373344,                 12918,                386262,,                305396,,                253098,                558494,,,                  1754,,                 -4760,                 -3006,              1272867,                  6336,              1279203,              2354060,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2015年03月31日,,,,              1699023,,                              0,,                  5801,,                207938,,                 10035,,                  7113,                  7113,              1929910,,,                171445,,                 13801,                  2559,,                  8180,,                 13000,,                  8395,                 29575,                217380,              2147290,,,,,                     51,,                  6062,,                312242,                312242,                 51538,,,                334495,                334495,                 37348,                371843,                741736,,,                  1600,,                  1431,                  1431,                  3031,                744767,,,,                331117,                331117,,,                373344,                 12918,                386262,,                274337,,                409795,                684132,,,                  2404,,                 -7411,                 -5007,              1396504,                  6019,              1402523,              2147290,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2014年12月31日,,,,              1716860,,                              0,,                  4685,,                213425,,                  9358,,                  7494,                  7494,              1951822,,,                158328,,                 15382,                  2559,,                  8597,,                 13000,,                  6892,                 28489,                204758,              2156580,,,,,                    266,,                  4509,,                430137,                430137,                 41389,,,                305215,                305215,                 39295,                344510,                820811,,,                  1600,,                  1907,                  1907,                  3507,                824318,,,,                331197,                331197,,,                373344,                 12838,                386182,,                274337,,                341251,                615588,,,                  2729,,                -10062,                 -7333,              1325634,                  6628,              1332262,              2156580,              0,              0,              0,              1716860,              2156580,,,,                    266,,                  4509,,                430137,                430137,                 41389,,,                305215,                305215,                 39295,                344510,                820811,,,                  1600,,                  1907,                  1907,                  3507,                824318,,,,                331197,                331197,,,                386182,                386182,,                274337,,                341251,                615588,,,                  2729,,                -10062,                 -7333,                              0,              1325634,                  6628,              1332262,,,,,,
3130,2014年09月30日,,,,              1494486,,                 30324,,                  6147,,                246824,,                  8593,,                 11504,                 11504,              1797878,,,                156777,,                 17794,                  3632,,                  8827,,                 13000,,                  8353,                 30180,                208383,              2006261,,,,,                     70,,                  2963,,                343993,                343993,                 35908,,,                328439,                328439,                 26771,                355210,                738144,,,                    762,,                  3313,                  3313,                  4075,                742219,,,,                331197,                331197,,,                373344,                 12838,                386182,,                274337,,                269225,                543562,,,                  8996,,                -12713,                 -3717,              1257224,                  6818,              1264042,              2006261,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2014年06月30日,,,,              1589048,,                 30283,,                  5812,,                221197,,                 10945,,                  7508,                  7508,              1864793,,,                162808,,                 19449,                  3632,,                  6333,,                 13000,,                  6709,                 26042,                211931,              2076724,,,,,                     45,,                  3827,,                522332,                522332,                 38027,,,                314342,                314342,                 35416,                349758,                913989,,,                    762,,                  3708,                  3708,                  4470,                918459,,,,                329897,                329897,,,                373344,                              0,                373344,,                274337,,                166606,                440943,,,                  7859,,                              0,                  7859,              1152043,                  6222,              1158265,              2076724,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2014年03月31日,,,,              1445996,,                 30242,,                  5658,,                199148,,                 10206,,                  6728,                  6728,              1697978,,,                161876,,                 17522,                  3632,,                  6342,,                 13000,,                  7925,                 27267,                210297,              1908275,,,,,                    256,,                  3532,,                264010,                264010,                 43153,,,                298087,                298087,                 22939,                321026,                631977,,,                    762,,                  4121,                  4121,                  4883,                636860,,,,                329897,                329897,,,                373344,                              0,                373344,,                250194,,                304046,                554240,,,                  8739,,                              0,                  8739,              1266220,                  5195,              1271415,              1908275,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,2013年12月31日,,,,,,                 30201,,                  4389,,                210392,,                  6358,,                  6091,                  6091,              1689980,,,                160807,,                 20142,                  3632,,                  8550,,                 13000,,                  8438,                 29988,                214569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1432549,              1904549,,,,                    238,,                  3374,,                334322,                334322,                 35291,,,                268545,                268545,                 39257,                307802,                681027,,,                    762,,                  4514,                  4514,                  5276,                686303,,,,                329897,                329897,,,                373344,                373344,,                250194,,                251781,                501975,,,                  9057,,                              0,                  9057,                              0,              1214273,                  3973,              1218246,                              0,,                              0,                              0,                              0,
3130,2013年09月30日,,,,,,                 30157,,                  7059,,                216798,,                  8299,,                 13378,                 19478,              1521506,,,                170826,,                 22860,                  5128,,                 11215,,                 13000,,                  6590,                 30805,                229619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         20300,              0,              1239715,              1751125,,,,                     33,,                  4952,,                300156,                300156,                 25273,,,                275858,                275858,                 21229,                297087,                633459,,,                    210,,                  9583,                  9583,                  9793,                643252,,,,                324607,                324810,,,                338412,                338412,,                250194,,                180750,                430944,,,                  8050,,                              0,                  8050,                              0,              1102216,                  5657,              1107873,                  6100,,                  5958,                    203,                              0,
3130,2013年06月30日,,,,,,                 30109,,                  9350,,                200605,,                  9270,,                 12110,                 18210,              1575378,,,                178722,,                 21548,                  5128,,                 12710,,                 13000,,                 10358,                 36068,                241466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         93000,              1307834,              1816844,,,,                     41,,                  6817,,                427106,                427106,                 28226,,,                276641,                276641,                 30788,                307429,                775658,,,                    210,,                 10014,                 10014,                 10224,                785882,,,,                324992,                324992,,,                334232,                334232,,                250194,,                115861,                366055,,,,,,                  8104,                  7537,              1025846,                  5116,              1030962,                  6100,,                  6039,,,
