證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 存入保證金,　　　 短期借款,　　　　 短期借款合計
3296,2015年09月30日,,,,              1010293,,                              0,,                  6288,,                703938,,                  7752,,                  4032,,,                374482,                374482,,                 27572,,                    645,                 74551,                 75196,              2209553,,,                370419,                  9252,,                 38222,                    455,,                  4211,                 42888,                422559,              2632112,,,,,                  1322,,                449081,,                146638,                 20985,,                  1754,,,                128484,                 24256,                152740,                772520,,,                  1071,,                 27875,                    369,                 28244,                 29315,                801835,,,,              1121164,              1121164,,                331318,,                298290,                 18643,,                 10563,                327496,,,                111040,                111040,                 60741,              1830277,                              0,              1830277,              2632112,              0,              0,      3644000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,2015年06月30日,,,,              1131006,,                    423,,                  8066,,                458109,,                 13420,,                  1913,,,                316595,                316595,,                 88623,,                    605,                  6283,                  6888,              2025043,,,                356106,                  9252,,                 53332,                    453,,                  1778,                 55563,                420921,              2445964,,,,,                              0,,                330946,,                115434,                 20162,,                  1509,,,                120635,                 61439,                182074,                650125,,,                  1071,,                 27802,                    369,                 28171,                 29242,                679367,,,,              1121164,              1121164,,                331318,,                298290,                 18643,,                -30278,                286655,,,                 42847,                 42847,                 15387,              1766597,                              0,              1766597,              2445964,              0,              0,        892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,2015年03月31日,,,,              1098446,,                    356,,                  8280,,                460037,,                 26173,,                  5850,,,                360739,                360739,,                109588,,                    562,                  6394,                  6956,              2076425,,,                377610,                  9252,,                 52832,                    393,,                  1965,                 55190,                442052,              2518477,,,,,                     34,,                343704,,                124140,                 23008,,                  4378,,,                125170,                 21371,                146541,                641805,,,                  1071,,                 27729,,                 27729,                 28800,                670605,,,,              1121164,              1121164,,                331318,,                294155,                 18643,,                 34979,                347777,,,                 63000,                 63000,                 15387,              1847872,                              0,              1847872,              2518477,              0,              0,        892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,2014年12月31日,,,,              1002575,,                              0,,                  6714,,                809239,,                 22546,,                  5838,,,                368041,                368041,,                108034,,                    698,                 12845,                 13543,              2336530,,,                395412,                  9252,,                 32054,                    393,,                  2106,                 34553,                439217,              2775747,,,,,                  3721,,                549151,,                157769,                 24317,,                  6452,,,                 84941,                 26378,                111319,                852729,,,                  1071,,                 27654,                              0,                 27654,                 28725,                881454,,,,              1121164,              1121164,,                331318,,                294155,                 18643,,                 66929,                379727,,,                 77471,                 77471,                 15387,              1894293,                              0,              1894293,              2775747,              0,              0,        892000,              1002575,                  5838,              2775747,,,,                  3721,,                549151,,                157769,                 24317,,                  6452,,,                 84941,                 26378,                111319,                852729,,,                  1071,,                 27654,                 27654,                 28725,                881454,,,,              1121164,              1121164,,                331318,,                294155,                 18643,,                 66929,                379727,,,                 77471,                 77471,                 15387,              1894293,                              0,              1894293,,,,,,
3296,2014年09月30日,,,,              1075104,,                  1031,,                 11622,,                625378,,                 19225,,                  4071,,,                314295,                314295,,                 83993,,                    590,                  6683,                  7273,              2141992,,,                365467,                 17818,,                 67228,                    406,,                  2503,                 70137,                453422,              2595414,,,,,                    978,,                482563,,                139633,                 18260,,                  3102,,,                 89585,                 27236,                116821,                761357,,,                    900,,                 28560,                              0,                 28560,                 29460,                790817,,,,              1121164,              1121164,,                331318,,                294155,                 18643,,                 26929,                339727,,,                 27775,                 27775,                 15387,              1804597,                              0,              1804597,              2595414,              0,              0,        892000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,2014年06月30日,,,,              1087420,,                              0,,                  4676,,                427141,,                 21241,,                  6575,,,                292390,                292390,,                 85935,,                    846,                  3002,                  3848,              1929226,,,                377062,                 17818,,                 51275,                    405,,                  2785,                 54465,                449345,              2378571,,,,,                  7596,,                355647,,                114454,                 20343,,                  1824,,,                 98522,                 17534,                116056,                615920,,,                    900,,                 28515,                              0,                 28515,                 29415,                645335,,,,              1121164,              1121164,,                329338,,                294155,                 18643,,                 -5087,                307711,,,                 -3239,                 -3239,                 21738,              1733236,                              0,              1733236,              2378571,              0,              0,      1252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,2014年03月31日,,,,                993353,,                              0,,                  6061,,                433546,,                 15932,,                  6577,,,                345781,                345781,,                111516,,                    602,                  4776,                  5378,              1918144,,,                393941,                 17818,,                 33022,                    406,,                  3967,                 37395,                449154,              2367298,,,,,                  6807,,                340794,,                108080,                 20321,,                  2351,,,                 93804,                  7613,                101417,                579770,,,                    900,,                 28469,,                 28469,                 29369,                609139,,,,              1121164,              1121164,,                329338,,                294155,                 51485,,                -39278,                306362,,,                 23033,                 23033,                 21738,              1758159,                              0,              1758159,              2367298,              0,              0,      1252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3296,2013年12月31日,,,,,,                  3774,,                  3575,,                500305,,                 14933,,,,,                344006,                344006,,                 94205,,                    980,                  3852,                  4832,              2016918,,,                408459,                 17818,,                 28843,                    406,,                  4560,                 33809,                460086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1252000,              1034564,                 16724,              2477004,,,,                              0,,                409673,,                118271,                 20399,,                  2265,,,                 93063,                 22147,                115210,                665818,,,                    900,,                 28422,                 28422,                 29322,                695140,,,,              1121164,              1121164,,                329338,,                294155,                 51485,,                 -8286,                337354,,,                 15746,                 15746,                 21738,              1781864,                              0,              1781864,,                              0,                              0,,,
3296,2013年09月30日,,,,,,                    113,,                  3495,,                501739,,                  6103,,,,,                327115,                327115,,                 27223,,                    696,                 64318,                 65014,              1924474,,,                369053,                 13927,,                 41492,                    339,,                  8535,                 50366,                433346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1252000,                979602,                 14070,              2357820,,,,                    357,,                350302,,                110285,                 16706,,                  1871,,,                 41186,                 39655,                 80841,                560362,,,                    390,,                 31289,                 31289,                 31679,                592041,,,,              1121164,              1121164,,                329338,,                294155,                 51485,,                 -3671,                341969,,,                 -4954,                 -4954,                 21738,              1765779,                              0,              1765779,,,,,,
3296,2013年06月30日,,,,,,                  3227,,                  3225,,                509081,,                 14355,,,,,                328475,                328475,,                 18196,,                  1348,                 64756,                 66104,              2024513,,,                392693,                 13927,,                 51856,                    342,,                  9071,                 61269,                467889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1252000,              1071363,                 10487,              2492402,,,,                              0,,                369275,,                194458,                 14205,,                  1381,,,                 53435,                 38628,                 92063,                671382,,,                    390,,                 30996,                 30996,                 31386,                702768,,,,              1121164,              1121164,,                329338,,                294155,                 51485,,                  4301,                349941,,,                 10929,                 10929,                 21738,              1789634,                              0,              1789634,,                              0,                              0,,,
