證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　　 待註銷股本,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 待分配股票股利,　　　 庫藏股票,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額
3311,2015年09月30日,,,,              4278663,,                              0,,                  3380,,                635016,,                121018,,                 28212,,                 22127,,                 14603,,                274119,,                159169,,                              0,              5536307,,,                127499,,                 72221,,              1150797,,                518683,,                  6182,                 72961,,                  6546,,                 75700,                 82246,              2030589,              7566896,,,,,                              0,,                  2263,,                 14416,,                651617,,                              0,,                514659,                514659,                  8313,                 36797,,                  3940,,                154939,                154939,              1386944,,,              1440000,,                197544,,                 59278,                  1010,                 60288,              1697832,              3084776,,,,              1893838,              1893838,,                535425,,              1095168,                              0,,                967542,              2062710,,                196221,                234654,              4453540,                 28580,              4482120,              7566896,              0,     10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2015年06月30日,,,,              4349457,,                              0,,                    122,,                638680,,                116742,,                 27060,,                 21036,,                 14407,,                294079,,                128151,,                              0,              5589734,,,                125204,,                 67143,,              1178761,,                511156,,                  7351,                 56887,,                  6406,,                 39919,                 46325,              1992827,              7582561,,,,,                              0,,                    763,,                 19309,,                585789,,                              0,,                763116,                763116,                  8189,                 19456,,                  4041,,                 93089,                 93089,              1493752,,,              1440000,,                161485,,                 59740,                    982,                 60722,              1662207,              3155959,,,,              1893838,              1893838,,                535425,,              1095168,                              0,,                901133,              1996301,,                105756,                144346,              4386974,                 39628,              4426602,              7582561,              0,      6013000,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2015年03月31日,,,,              4478595,,                              0,,                              0,,                607064,,                170798,,                 43075,,                 24464,,                 19616,,                255224,,                100419,,                              0,              5699255,,,                124164,,                 67715,,              1242997,,                524538,,                  9674,                 55522,,                  7085,,                 40787,                 47872,              2072482,              7771737,,,,,                              0,,                    683,,                 13412,,                629295,,                  2338,,                571493,                571493,                  8972,                 24081,,                  4017,,                 79050,                 79050,              1333341,,,              1440000,,                155067,,                 59077,                    886,                 59963,              1655030,              2988371,,,,              1893838,              1893838,,                762686,,              1095168,                              0,,                842568,              1937736,,                140117,,              4734377,                 48989,              4783366,              7771737,              0,              0,,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年12月31日,,,,              4487472,,                              0,,                  6082,,                762696,,                157630,,                 49245,,                 24006,,                 11146,,                240650,,                114203,,                129505,              5982635,,,                124341,,                 68409,,              1220634,,                537030,,                 10138,                 62855,,                  6637,,                 99445,                106082,              2129489,              8112124,,,,,                              0,,                  1169,,                 21562,,                785080,,                  3685,,                649575,                649575,                  9789,                 38071,,                  7205,,                126302,                126302,              1642438,,,              1440000,,                160926,,                 64218,                    977,                 65195,              1666121,              3308559,,,,              1893838,              1893838,,                762686,,              1095168,                              0,,                812179,              1907347,,                185365,                              0,              4749236,                 54329,              4803565,              8112124,              0,              0,                              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年09月30日,,,,              4248913,,                              0,,                  3612,,                979886,,                119146,,                 54583,,                  1545,,                  2367,,                242386,,                168625,,                              0,              5821063,,,                172596,,                 65693,,              1779654,,                              0,,                 11732,                121035,,                  6488,,                115289,                121777,              2272487,              8093550,,,,,                              0,,                    969,,                 14941,,                720993,,                  1928,,                776444,                776444,                  8900,                 38877,,                  3630,,                104330,                104330,              1671012,,,              1440000,,                179175,,                 70732,                    950,                 71682,              1690857,              3361869,,,,              1893838,              1893838,,                762686,,              1095168,                              0,,                812848,              1908016,,                105821,                              0,              4670361,                 61320,              4731681,              8093550,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年06月30日,,,,              4312163,,                    329,,                  2965,,              1090414,,                152582,,                 42158,,                  2480,,                  1668,,                290868,,                188538,,                              0,              6084165,,,                170643,,                 66604,,              2729179,,                              0,,                 14525,                130179,,                  6383,,                131473,                137856,              3248986,              9333151,,,,,                              0,,                              0,,                 19781,,                642033,,                  1390,,                874005,                874005,                  5931,                 24007,,                  2667,,                 97468,                 97468,              1667282,,,              1440000,,                249969,,                 69633,                  2776,                 72409,              1762378,              3429660,,,,              1877057,              1893838,,                762686,,              1095168,                              0,,              2074577,              3169745,,                 13828,                              0,              5840097,                 63394,              5903491,              9333151,              0,              0,                 16781,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年03月31日,,,,              4576164,,                    263,,                  4679,,                943863,,                193581,,                 39036,,                 13778,,                 15261,,                359502,,                196107,,                              0,              6342234,,,                168369,,                 64985,,              2822736,,                              0,,                 16644,                 89396,,                  6520,,                128545,                135065,              3297195,              9639429,,,,,                              0,,                  2899,,                 24746,,                716504,,                  1845,,                720953,                720953,                 11424,                 37006,,                  2516,,                109931,                109931,              1627824,,,              1440000,,                259672,,                 68600,                  2831,                 71431,              1771103,              3398927,,,,              1877057,              1877057,,                753817,,              1068394,                137715,,              2241008,              3447117,,                 96165,,              6174156,                 66346,              6240502,              9639429,              0,              0,,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年01月01日,,,,              4904288,,                    285,,                    255,,              1044188,,                294884,,                 64861,,                 41462,,                              0,,                355676,,                167078,,                              0,              6872977,,,                167918,,                 65688,,              2762100,,                              0,,                 10640,                 60048,,                  6505,,                136607,                143112,              3209506,             10082483,,,,,                119112,,                    820,,                 39831,,                906133,,                  4397,,                834510,                834510,                  9905,                 43589,,                  1891,,                 77901,                 77901,              2038089,,,              1440000,,                256772,,                 72672,                  2830,                 75502,              1772274,              3810363,,,,              1877057,              1877057,,                753817,,              1068394,                137715,,              2287370,              3493479,,                 78601,                              0,              6202954,                 69166,              6272120,             10082483,              0,              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2013年12月31日,,,,,,                    285,,                    255,,              1044188,,                294884,,                 64861,,                 41462,,,,                355676,,                167078,,                              0,              6886628,,,                167918,,                 65688,,              2762100,,                              0,,                 10640,                 62782,,                  6505,,                136607,                143112,              3212240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,              4904288,                 13651,             10098868,,,,                119112,,                    820,,                 39831,,                906133,,                  4397,,                834510,                834510,                  9905,                 57240,,                  1891,,                 77901,                 77901,              2051740,,,              1440000,,                256772,,                 88634,                  2830,                 91464,              1788236,              3839976,,,,              1877057,              1877057,,                753817,,              1068394,                137715,,              2274142,              3480251,,                 78601,              6189726,                 69166,              6258892,,                              0,                              0,                              0,,
3311,2013年09月30日,,,,,,                  2356,,                  5260,,              1289298,,                315146,,                 47359,,                 40859,,,,                344184,,                197581,,,              7074883,,,                166093,,                 66446,,              2759955,,,,                 13252,                 55101,,                  7083,,                128309,                135392,              3196239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              0,,              4814794,                 18046,             10271122,,,,                118680,,                      2,,                 58533,,              1078704,,                  9158,,                866632,                866632,                 16739,                 82875,,                  4190,,                 97903,                 97903,              2333416,,,              1440000,,                215880,,                 68230,                  2793,                 71023,              1726903,              4060319,,,,              1877057,              1877057,,                753817,,              1068394,                137715,,              2276124,              3482233,,                 28700,              6141807,                 68996,              6210803,,,,,,
