證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認列對子公司所有權權益變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計
3321,2015年09月30日,,,,                253958,,                     10,,                 42137,,                989341,,                301393,,                 23223,,                  3292,,                163331,,                              0,,                 62145,                 62145,              1838830,,,                  2442,,                 18000,,                993188,,                 17940,                 35353,,                277091,,                 28910,                306001,              1372924,              3211754,,,,,                211535,,                  4084,,                614754,,                508682,                 23635,,,                170000,                 26311,                196311,              1559001,,,                230000,,                  9283,,                     45,                     45,                239328,              1798329,,,,                800000,                              0,                800000,,,                 76071,                    395,                              0,                 76466,,                 46821,,                444817,                491638,,,                 45321,                 45321,              1413425,              1413425,              3211754,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2015年06月30日,,,,                112451,,                    118,,                  7733,,              1123032,,                316028,,                 21094,,                  3085,,                189624,,                 15071,,                 72402,                 72402,              1860638,,,                  2442,,,,                857687,,                 17715,                 37059,,                184629,,                 27633,                212262,              1127165,              2987803,,,,,                              0,,                    249,,                610900,,                555975,                 29195,,,                 75000,                 34713,                109713,              1306032,,,                325000,,                  3836,,                     45,                     45,                328881,              1634913,,,,                800000,,                800000,,,                 76071,                    395,,                 76466,,                 46821,,                410874,                457695,,,                 18729,                 18729,              1352890,              1352890,              2987803,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2015年03月31日,,,,                414463,,                  1227,,                  7948,,              1093966,,                291459,,                 25681,,                  3130,,                188479,,                 15071,,                 51175,                 51175,              2092599,,,                  2442,,,,                811836,,                 17337,                 37260,,                 99995,,                 27821,                127816,                996691,              3089290,,,,,                 30000,,                    132,,                607404,,                496316,                 17498,,,                100000,                 33715,                133715,              1285065,,,                400000,,                  5703,,                     45,                     45,                405748,              1690813,,,,                800000,,                800000,,,                 76071,                    395,,                 76466,,                 12546,,                481620,                494166,,,                 27845,                 27845,              1398477,              1398477,              3089290,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2014年12月31日,,,,                371436,,                              0,,                  2224,,              1035558,,                333451,,                 32618,,                              0,,                188316,,                 15071,,                 55263,                 55263,              2033937,,,                  2442,,                              0,,                820284,,                 13070,                 39376,,                 35107,,                 28253,                 63360,                938532,              2972469,,,,,                              0,,                  6647,,                659027,,                436278,                  7502,,,                 12660,                 28167,                 40827,              1150281,,,                487500,,                 11190,,                     45,                     45,                498735,              1649016,,,,                800000,                              0,                800000,,,                 76071,                    395,                              0,                 76466,,                 12546,,                400391,                412937,,,                 34050,                 34050,              1323453,              1323453,              2972469,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2014年09月30日,,,,                443234,,                     15,,                    369,,                988150,,                352787,,                 27246,,                              0,,                185391,,                 15071,,                 61840,                 61840,              2074103,,,                  9093,,                              0,,                673100,,                  3329,                 39356,,                 62150,,                 27585,                 89735,                814613,              2888716,,,,,                 30000,,                    746,,                635047,,                416133,                  7528,,,                 15640,                 23132,                 38772,              1128226,,,                595000,,                  3540,,                     45,                     45,                598585,              1726811,,,,                750000,                 63292,                813292,,,                              0,                    395,                  1071,                  1466,,                 12546,,                317320,                329866,,,                 17281,                 17281,              1161905,              1161905,              2888716,              0,      6329200,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2014年06月30日,,,,                226513,,                              0,,                    354,,                813945,,                317370,,                 16446,,                              0,,                185575,,                 15071,,                 28903,                 28903,              1604177,,,                  9093,,,,                695824,,                  2938,                 39353,,                 27487,,                 45177,                 72664,                819872,              2424049,,,,,                 89580,,                              0,,                504458,,                359912,                  7528,,,                 39010,                 22470,                 61480,              1022958,,,                423500,,                    388,,                     44,                     44,                423932,              1446890,,,,                750000,,                750000,,,                              0,                    395,,                    395,,                 12546,,                212323,                224869,,,                  1895,                  1895,                977159,                977159,              2424049,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2014年03月31日,,,,                361724,,                 24495,,                    347,,                783254,,                343545,,                 34035,,                              0,,                159959,,                 15071,,                 55583,                 55583,              1778013,,,                              0,,,,                730074,,                  3732,                 35787,,                 16501,,                183954,                200455,                970048,              2748061,,,,,                181380,,                    956,,                526194,,                367945,                              0,,,                 34404,                 31160,                 65564,              1172039,,,                632840,,                  3146,,                     45,                     45,                636031,              1808070,,,,                750000,,                750000,,,                              0,                    395,,                    395,,                              0,,                178886,                178886,,,                 10710,                 10710,                939991,                939991,              2748061,              0,              0,              0,,                 30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,2013年12月31日,,,,,,                              0,,                  2490,,              1059108,,                367755,,                 19139,,                  1428,,                189390,,                 15071,,                 39121,                 39121,              1872291,,,                              0,,                              0,,                751127,,                  3935,                 35787,,,,                 77515,                 77515,                868364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                178789,              2740655,,,,                179550,,                              0,,                              0,,                718953,,                330866,                              0,,,                 29852,                 17511,                 47363,              1276732,,,                587510,,                    952,,                    133,                    133,                588595,              1865327,,,,                750000,                              0,                750000,,,                              0,                    395,                    395,,                              0,,                107688,                107688,,,                 17245,                 17245,                875328,                875328,,
3321,2013年06月30日,,,,,,                              0,,                 17564,,                825753,,                225993,,                 39477,,                              0,,                204623,,                 15762,,                 44297,                 44297,              1418473,,,                              0,,                              0,,                788699,,                  6577,                 37391,,,,                153023,                153023,                985690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 45004,              2404163,,,,                218910,,                  1119,,                              0,,                594596,,                217370,                              0,,,                 34283,                 57141,                 91424,              1123419,,,                588568,,                  1046,,                  1924,                  1924,                591538,              1714957,,,,                750000,                              0,                750000,,,                              0,                    395,                    395,,                              0,,                -74897,                -74897,,,                 13708,                 13708,                689206,                689206,,                              0
3321,2013年01月01日,,,,,,                    726,,                  8018,,                697060,,                295953,,                 22504,,                     27,,                176067,,                 15030,,                 29820,                 29820,              1440406,,,                              0,,                  5621,,                715386,,                  2166,                 38235,,,,                178778,                178778,                940186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2238800,              0,,,                195201,              2380592,,,,                330283,,                              0,,                    136,,                439013,,                191655,                              0,,,                147886,                 30114,                178000,              1139087,,,                773282,,                              0,,                 16533,                 16533,                789815,              1928902,,,,                617840,                 22388,                640228,,,                 34587,                    395,                 34982,,                              0,,               -223520,               -223520,,,                              0,                              0,                451690,                451690,,
