證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
3501,2015年09月30日,,,,              1009675,,                  1084,,                 66960,,              1331712,,                357503,,                 12101,,              1370589,,                 69961,,                309786,              4529371,,,              2239214,,                188694,,                 15648,                  7268,,                183477,              2634301,              7163672,,,,,                250000,,                  4542,,                544744,,                              0,,                434636,                 38820,                 75132,,                 33979,              1381853,,,                283596,,                 25394,                308990,              1690843,,,,              1157649,              1157649,,              1707116,,                515619,                 36848,,              1841536,              2394003,,,                226714,                226714,              5485482,                -12653,              5472829,              7163672,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,2015年06月30日,,,,              1201680,,                  1310,,                 89052,,              1138355,,                233817,,                 11903,,              1446765,,                 58801,,                467257,              4648940,,,              1927025,,                188993,,                 15748,                 15275,,                172877,              2319918,              6968858,,,,,                300000,,                  4551,,                507808,,                    781,,                685687,                 37298,                 80222,,                  7590,              1623937,,,                237803,,                 24974,                262777,              1886714,,,,              1157649,              1157649,,              1707116,,                515619,                 36848,,              1574470,              2126937,,,                 97332,                 97332,              5089034,                 -6890,              5082144,              6968858,              0,              0,              0,,              1688190,                 18926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,2015年03月31日,,,,              1025063,,                  2338,,                 84419,,              1090716,,                247839,,                 11707,,              1527765,,                 47432,,                245678,              4282957,,,              1929597,,                325440,,                 16283,                 19904,,                169036,              2460260,              6743217,,,,,                250000,,                  3642,,                455530,,                    207,,                387951,                 40352,                 82136,,                 17370,              1237188,,,                221633,,                 26033,                247666,              1484854,,,,              1157649,              1157649,,              1707116,,                469684,                 36848,,              1753566,              2260098,,,                139748,                139748,              5264611,                 -6248,              5258363,              6743217,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,2014年12月31日,,,,              1117947,,                  2392,,                 92506,,              1233805,,                312455,,                 14740,,              1464587,,                 52279,,                131234,              4421945,,,              1759232,,                327657,,                 16822,                  6205,,                246981,              2356897,              6778842,,,,,                250000,,                  4257,,                593180,,                  2874,,                414484,                 40736,                 76255,,                 12470,              1394256,,,                212179,,                 25683,                237862,              1632118,,,,              1157649,              1157649,,              1707116,,                469684,                 36848,,              1615955,              2122487,,,                166413,                166413,              5153665,                 -6941,              5146724,              6778842,              0,              0,              0,,              1576382,                130734,              1117947,              6778842,,,,                250000,,                  4257,,                593180,,                  2874,,                414484,                 40736,                 76255,,                 12470,              1394256,,,                212179,,                 25683,                237862,              1632118,,,,              1157649,              1157649,,              1707116,,                469684,                 36848,,              1615955,              2122487,,,                166413,                166413,              5153665,                 -6941,              5146724,,,,,
3501,2014年09月30日,,,,                831367,,                  2308,,                 77289,,              1119991,,                237669,,                 14420,,              1483655,,                 73774,,                238689,              4079162,,,              1616339,,                322970,,                 16531,                 10470,,                247502,              2213812,              6292974,,,,,                250000,,                  4726,,                472311,,                  5428,,                404474,                 39472,                 38779,,                 12922,              1228112,,,                196013,,                 25293,                221306,              1449418,,,,              1136449,              1136449,,              1668966,,                469684,                 36848,,              1454443,              1960975,,,                 83914,                 83914,              4850304,                 -6748,              4843556,              6292974,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,2014年06月30日,,,,              1235926,,                  2536,,                 69026,,              1045720,,                140805,,                  7318,,              1410649,,                 62980,,                201470,              4176430,,,              1519611,,                321236,,                 16229,                 14795,,                154926,              2026797,              6203227,,,,,                 50000,,                  3125,,                502359,,                  4450,,                702437,                 38488,                 56515,,                  9935,              1367309,,,                176760,,                 24767,                201527,              1568836,,,,              1136449,              1136449,,              1667491,,                469684,                 36848,,              1328553,              1835085,,,                  1364,                  1364,              4640389,                 -5998,              4634391,              6203227,              0,              0,              0,,              1539706,                127785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,2014年03月31日,,,,              1205403,,                  2658,,                 79968,,                970797,,                 93909,,                  6159,,              1325292,,                 71223,,                329454,              4084863,,,              1526625,,                324549,,                 16154,                 10784,,                151108,              2029220,              6114083,,,,,                 60940,,                  5240,,                440075,,                  2733,,                330660,                 39200,                 70345,,                 24892,                974085,,,                180033,,                 24299,                204332,              1178417,,,,              1136449,              1136449,,              1666015,,                422022,                 36848,,              1634612,              2093482,,,                 45991,                 45991,              4941937,                 -6271,              4935666,              6114083,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3501,2013年12月31日,,,,,,                  6854,,                 35370,,              1000151,,                226567,,                 16862,,              1301017,,                 61900,,                272378,              4048434,,,              1483531,,                343596,,                  5582,                 11413,,                132820,              1976942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1127335,              6025376,,,,                 59620,,                  5748,,                422790,,                  8844,,                364774,                 39352,                 52989,,                 11935,                966052,,,                182838,,                 23912,                206750,              1172802,,,,              1136449,              1136449,,              1664539,,                422022,                 36848,,              1545110,              2003980,,,                 52243,                 52243,              4857211,                 -4637,              4852574,,              1539706,                124833,,
3501,2013年09月30日,,,,,,                  6105,,                 29504,,              1093356,,                156623,,                 28527,,              1351707,,                 95342,,                106104,              4174499,,,              1453270,,                342914,,                  5203,                 13920,,                128820,              1944127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1307231,              6118626,,,,                286560,,                  7542,,                435205,,                  8061,,                365812,                 38641,                 37961,,                 25530,              1205312,,,                176429,,                 29486,                205915,              1411227,,,,              1133299,              1133299,,              1655805,,                422022,                 36848,,              1452473,              1911343,,,                 10191,                 10191,              4710638,                 -3239,              4707399,,              1585585,                 70220,,
3501,2013年06月30日,,,,,,                  7388,,                 39074,,              1062689,,                166586,,                 23715,,              1266685,,                 80121,,                107678,              4443782,,,              1458078,,                346961,,                  4307,                  9372,,                130827,              1949545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1689846,              6393327,,,,                240000,,                  4442,,                560003,,                  6531,,                690868,                 43992,                 49422,,                 32120,              1627378,,,                175608,,                 28997,                204605,              1831983,,,,              1112279,              1112279,,              1613475,,                422022,                 36848,,              1344787,              1803657,,,                 36077,                 36077,              4565488,                 -4144,              4561344,,              1494266,                119209,,
