證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　　 其他金融資產－其他－非流動,　　　　　 其他應付款－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額
3504,2015年12月31日,,,,              1754524,,                106914,,                428656,,                172637,,                 23258,,                    455,,                542417,,                 19235,,                 78339,              3126435,,,              2112411,,                200616,,                 24409,                 20997,,                 20430,,                 21797,,                  4140,                  4140,                 46367,              2404800,              5531235,,,,,                500000,,                              0,,                404835,,                  3282,,                455213,                 13559,                 17942,,                 28183,,,                 20949,                  8269,                 29218,              1452232,,,                 44672,,                 10056,                  7852,                 17908,                 62580,              1514812,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                408946,                 82686,,                593793,              1085425,,                142750,              4016398,                     25,              4016423,              5531235,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2015年09月30日,,,,              1627661,,                 14792,,                560042,,                232821,,                 11833,,                    458,,                544242,,                 14540,,                 72772,              3079161,,,              2159814,,                202630,,                 25377,                 22802,,                 16616,,                 21792,,,,                 38408,              2449031,              5528192,,,,,                500000,,                    563,,                396838,,                 18690,,                417747,                 10076,                 18572,,                 30126,,,                 24407,                  8860,                 33267,              1425879,,,                 38436,,                 19834,                  7911,                 27745,                 66181,              1492060,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                408946,                 82686,,                568186,              1059818,,                188104,              4036145,                    -13,              4036132,              5528192,              0,              0,              0,,                              0,                  3617,                 69155,                 21792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2015年06月30日,,,,              1603325,,                106183,,                501686,,                210472,,                 14640,,                    440,,                430599,,                 19077,,                 74527,              2961280,,,              2193235,,                204643,,                 26793,                 27841,,                 15697,,                 21792,,                  2052,                  2052,                 39541,              2492053,              5453333,,,,,                400000,,                              0,,                338527,,                 23979,,                541325,                 92502,                 13177,,                 28470,,,                 32079,                  8368,                 40447,              1478427,,,                 33599,,                 20548,                  7900,                 28448,                 62047,              1540474,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                408946,                 82686,,                510678,              1002310,,                122153,              3912686,                    173,              3912859,              5453333,              0,              0,              0,,                    331,,,                 21792,                541325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2015年03月31日,,,,              1882461,,                 15697,,                486647,,                261473,,                 21193,,                  9614,,                524905,,                 15350,,                 63421,              3281077,,,              2247156,,                206656,,                 26653,                 30791,,                 13104,,                 21787,,                    217,                    217,                 35108,              2546364,              5827441,,,,,                675000,,                    809,,                401564,,                 50403,,                435465,                 10594,                  4677,,                 26263,,,                 37451,                  7248,                 44699,              1649474,,,                 76066,,                 21278,                  7904,                 29182,                105248,              1754722,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                389674,                 82686,,                663359,              1135719,,                148777,              4072719,                              0,              4072719,              5827441,              0,              0,              0,,                    316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2014年12月31日,,,,              1847927,,                112051,,                597069,,                280565,,                 16754,,                 11585,,                508567,,                 18492,,                 67732,              3460742,,,              2296798,,                208669,,                 29814,                 21808,,                 15011,,                 21782,,                              0,                              0,                 36793,              2593882,              6054624,,,,,                675000,,                  4286,,                464757,,                 55388,,                524295,                 10206,                 18170,,                 25761,,,                 72097,                  8324,                 80421,              1858284,,,                 75338,,                 21996,                  8427,                 30423,                105761,              1964045,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                389674,                 82686,,                645660,              1118020,,                184336,              4090579,                              0,              4090579,              6054624,              0,              0,              0,,                              0,                              0,                 67732,                 21782,                524295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2014年09月30日,,,,              1873504,,                 47376,,                382748,,                332972,,                 20859,,                  3601,,                551445,,                 28297,,                 66681,              3308751,,,              2317855,,                210682,,                 27178,                 27769,,                 16697,,                 21778,,,,                 38475,              2621959,              5930710,,,,,                859546,,                    104,,                424107,,                 63807,,                430807,                 10993,                  8329,,                 29587,,,                 46937,                  9012,                 55949,              1883229,,,                 95601,,                 35797,                  9770,                 45567,                141168,              2024397,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                389674,                 82686,,                572330,              1044690,,                 73400,              3906313,                              0,              3906313,              5930710,              0,              0,              0,,                  1268,                              0,                 66681,                 21778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2014年06月30日,,,,              1996384,,                 71243,,                379276,,                488113,,                 25396,,                    257,,                510079,,                 32766,,                 82749,              3586348,,,              2271051,,                258898,,                 28874,                 29747,,                 16396,,                 21778,,                              0,                              0,                 38174,              2626744,              6213092,,,,,                902496,,                  4502,,                396459,,                144211,,                614806,                121657,                 11386,,                 27567,,,                 44220,                  9305,                 53525,              2276609,,,                 90820,,                 36348,                  9753,                 46101,                136921,              2413530,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                389674,                 82686,,                511120,                983480,,                 27859,              3799562,                              0,              3799562,              6213092,              0,              0,              0,,                     85,,,                 21778,                614806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2014年03月31日,,,,              1957786,,                 40079,,                376859,,                364457,,                 17496,,                 12809,,                440905,,                 27029,,                 88124,              3325544,,,              2318967,,                261321,,                 30657,                 37131,,                 16404,,                 21773,,                              0,                              0,                 38177,              2686253,              6011797,,,,,                772307,,                  7048,,                400087,,                 88438,,                469709,                 14259,                 23945,,                 31916,,,                 33733,                  7643,                 41376,              1849085,,,                 86101,,                 36892,                  9732,                 46624,                132725,              1981810,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                365780,                 82686,,                717520,              1165986,,                 75778,              4029987,                              0,              4029987,              6011797,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,2013年12月31日,,,,,,                193831,,                348193,,                223865,,                 12681,,,,                503737,,                 24994,,                 78350,              3193507,,,              2368097,,                263745,,                 31907,                 28914,,                 12117,,,,                 21768,                 21768,                 33885,              2726548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  4470,,,,,              1792123,                 11263,              5920055,,,,                575000,,                              0,,                515436,,                 55346,,                540892,                540892,                 21527,                 22267,,                 30305,,,                 33659,                 20409,                 54068,              1814841,,,                 82807,,                 37411,                  9721,                 47132,                129939,              1944780,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                365780,                 82686,,                695021,              1143487,,                 43565,              3975275,                              0,              3975275,,
3504,2013年09月30日,,,,,,                117095,,                550283,,                458211,,                 13095,,,,                441797,,                 26594,,                101699,              3278185,,,              2339360,,                266168,,                 30774,                 30956,,                 12848,,,,                 21763,                 21763,                 34611,              2701869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  1418,,,,,              1566087,                    313,              5980054,,,,                705000,,                              0,,                430464,,                135427,,,                535118,,                 32417,,                 46068,,,                 23663,                 18771,                 42434,              1926928,,,                 79128,,                 41798,                 10719,                 52517,                131645,              2058573,,,,              1140598,              1140598,,,              1647625,              1647625,              1647625,,                365780,                 82686,,                675829,              1124295,,                  8963,              3921481,                              0,              3921481,,                  1593
