證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　 待註銷股本股數,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 預付款項,　　　　 預付款項合計,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 預收款項,　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　 代收款,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 法定盈餘公積,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 其他金融負債－流動,　　　　 暫收款,　　　 庫藏股票,　　 非控制權益
3535,2015年09月30日,,,,                263933,,                              0,,                    410,,                535045,,                      9,,                  1454,,                475007,,                 41062,              1316920,,,                 41620,,                506718,,                  4434,                 57352,,,                  5645,                  5645,                615769,              1932689,,,,,                140000,,                    388,,                343340,,                              0,,                 55811,                      2,,                  6678,,,                 48300,                  4996,                 53296,                599515,,,                197425,,                239913,,                  5696,                      6,                  5702,                443040,              1042555,,,,                785978,                785978,,                 95386,,,                  8269,                  8269,,,                    501,                    501,                              0,                890134,                890134,              1932689,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2015年06月30日,,,,                288701,,                     20,,                     91,,                461601,,                     19,,                    632,,                308049,,                 37807,              1096920,,,                 41620,,                519035,,                  2895,                 58157,,,                  2786,                  2786,                624493,              1721413,,,,,                 90000,,                    367,,                213473,,                    137,,                 40877,                     84,,                  4823,,,                 38300,                 10119,                 48419,                398180,,,                196330,,                238037,,                  5731,                     60,                  5791,                440158,                838338,,,,                785978,                785978,,                 95386,,,                  1727,                  1727,,,                    -16,                    -16,,                883075,                883075,              1721413,              0,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2015年03月31日,,,,                372972,,                    120,,                    222,,                496027,,,,                  1414,,                210561,,                 33425,              1114741,,,                 41620,,                530480,,                  4433,                 57558,,,,                  1844,                635935,              1750676,,,,,                146500,,                    629,,                184430,,,,                 37955,,,                  7178,,,                 38300,                  4861,                 43161,                419853,,,                195253,,                240084,,                  5766,                     66,                  5832,                441169,                861022,,,,                785978,                785978,,                132622,,,                -29208,                -29208,,,                    262,                    262,,                889654,                889654,              1750676,              0,              0,,                              0,              0,,                  1844,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2014年12月31日,,,,                247407,,                    180,,                    855,,                535135,,                              0,,                    449,,                312833,,                 35834,              1132693,,,                 36625,,                543804,,                  6302,                 58630,,,                  6353,                  6353,                651714,              1784407,,,,,                 76500,,                    568,,                305495,,                              0,,                 60469,                              0,,                  4445,,,                 28300,                  4417,                 32717,                480194,,,                194193,,                222135,,                  5766,                     66,                  5832,                422160,                902354,,,,                785978,                785978,,                132622,,,                -37236,                -37236,,,                    689,                    689,                              0,                882053,                882053,              1784407,              0,              0,,                              0,              0,,                  6353,                              0,                247407,                    449,              1784407,,,,                 76500,,                    568,,                305495,,                 60469,,                  4445,,,                 28300,                  4417,                 32717,                480194,,,                194193,,                222135,,                              0,,                  5766,                     66,                  5832,                422160,                902354,,,,                785978,                785978,,                132622,,                              0,,                -37236,                -37236,,,                    689,                    689,                882053,                882053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2014年09月30日,,,,                337091,,                    340,,                      6,,                413534,,                              0,,                  5901,,                370953,,                 23765,              1151590,,,                 36625,,                555041,,                  8446,                 56180,,,                  6287,                  6287,                662579,              1814169,,,,,                117000,,                    591,,                263438,,                     45,,                 46982,                      1,,                  2809,,,                 28300,                  4219,                 32519,                463385,,,                193000,,                224293,,                  5145,                      6,                  5151,                422444,                885829,,,,                785978,                785978,,                132622,,,                  9421,                  9421,,,                    319,                    319,                              0,                928340,                928340,              1814169,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2014年06月30日,,,,                225628,,                              0,,                     59,,                403090,,                              0,,                    401,,                263010,,                 19200,                911388,,,                 31630,,                550081,,                 10955,                 62942,,,                  7270,                  7270,                662878,              1574266,,,,,                184500,,                    976,,                121469,,                    257,,                 46369,                              0,,                  2618,,,                 28300,                  2295,                 30595,                386784,,,                              0,,                246325,,                  5145,                      6,                  5151,                252718,                639502,,,,                785978,                785978,,                135588,,,                 13168,                 13168,,,                     30,                     30,,                934764,                934764,              1574266,              0,              0,,                  1242,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2014年03月31日,,,,                233446,,                              0,,                     70,,                376955,,,,                    421,,                259261,,                 14428,                884581,,,                 31630,,                561380,,                 13604,                 64914,,,,                  2324,                673852,              1558433,,,,,                153500,,                  1609,,                128481,,,,                 35808,,,                  2227,,,                 28300,                 19518,                 47818,                369443,,,                              0,,                257170,,                  5145,                      6,                  5151,                263603,                633046,,,,                785978,                785978,,                256423,,,               -118453,               -117242,,,                    228,                    228,,                925387,                925387,              1558433,              0,              0,,                  1282,              0,,                  2324,                  1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2013年12月31日,,,,,,                              0,,                     85,,                268555,,,,,,                321853,,                 11618,                829716,,,                 26635,,                573062,,                 16905,                 65650,,,,                  6790,                689042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,,,,                227203,                    402,              1518758,,,,                 69500,,                  1859,,                160194,,                 47745,,                  1738,,,                 34300,                 15861,                 50161,                331197,,,                              0,,                259341,,                  1279,,                  5155,                      6,                  5161,                265781,                596978,,,,                785978,                785978,,                256423,,                  1211,,               -122046,               -120835,,,                    214,                    214,                921780,                921780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2013年09月30日,,,,,,                              0,,                      6,,                271340,,,,,,                285368,,                 11966,                916364,,,                 26635,,                559678,,                 20146,                 64511,,,                  4040,                  4040,                679822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,,,,                347684,                              0,              1596186,,,,                100000,,                    517,,                138257,,                 47405,,                  1506,,,                 60300,                 34760,                 95060,                382745,,,                              0,,                278060,,                    114,,                  4669,                      6,                  4675,                282849,                665594,,,,                785978,                785978,,                256423,,                  1211,,               -113107,               -111896,,,                     87,                     87,                930592,                930592,,                  4812,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535,2013年06月30日,,,,,,,,                     18,,                273624,,,,,,                289257,,                  1091,                930560,,,                 26635,,                557576,,                 23223,                 64486,,,,                 11001,                688894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,,,,                359900,                    462,              1619454,,,,                130000,,                    885,,                112680,,                 41542,,                  1307,,,                245239,                              0,                246268,                532682,,,,,                120700,,                    114,,                  4708,                      6,                  4714,                125528,                658210,,,,                785978,                785978,,                256423,,                  1211,,                -82579,                -81368,,,,                    211,                961244,                961244,,                  5973,,                  6208,                 10137,                    864,                              0,,                     16,                198939,                 46300,                  1013,,                237387,                237387,                              0,                  5540,                 13496,,                    211,,,,,,,,,
