證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據,　　　　 應付票據合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 資本公積,　　　　 資本公積合計,　　　 庫藏股票,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
3536,2015年09月30日,,,,                157623,,                  8661,,                    501,,                323508,,                              0,,                 17887,,                 12539,,                    777,,                187272,,                 27387,,                    848,                    848,                737003,,,                515747,,                 18421,                 59216,,                  6791,,                              0,                  6791,                600175,              1337178,,,,,                238270,,                              0,,                122668,,                  2065,,                 55272,                 78045,                  1013,,,                  3600,                  3450,                  7050,                504383,,,                 66000,,                    106,,,                 36258,                    200,                 36458,                102564,                606947,,,,                968000,                968000,,                  8650,,,               -444934,               -444934,,,                 53989,                 53989,                585705,                144526,                730231,              1337178,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年06月30日,,,,                153756,,,,                    641,,                283307,,                    151,,                 15465,,                 10776,,                    974,,                235313,,                 25268,,                    848,                    848,                726499,,,                512980,,                 17646,                 59050,,                  4165,,                              0,                  4165,                593841,              1320340,,,,,                251502,,                              0,,                112542,,                  2065,,                 64798,                 68056,                  1070,,,                  3600,                  2820,                  6420,                506453,,,                 66900,,                     36,,,                 34027,                    195,                 34222,                101158,                607611,,,,                968000,                968000,,                  8650,,,               -441052,               -441052,,,                 39280,                 39280,                574878,                137851,                712729,              1320340,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2015年03月31日,,,,                161743,,,,                  6246,,                281829,,                  4146,,                  8796,,                  7222,,                  1230,,                273223,,                 35668,,                    838,                    838,                780941,,,                530589,,                 18224,                 59508,,                  4146,,                              0,                  4146,                612467,              1393408,,,,,                276618,,                              0,,                116827,,                 18849,,                 71990,                 63861,                     16,,,                  3600,                  3218,                  6818,                554979,,,                 67800,,                     38,,,                 34500,                    196,                 34696,                102534,                657513,,,,                968000,                968000,,                  8650,,,               -421411,               -421411,,,                 43611,                 43611,                598850,                137045,                735895,              1393408,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年12月31日,,,,                 90708,,                              0,,                  6583,,                300537,,                  4065,,                 27656,,                  6861,,                  1041,,                279115,,                 18365,,                    838,                    838,                735769,,,                546562,,                 18825,                 60339,,                  4221,,                              0,                  4221,                629947,              1365716,,,,,                250486,,                              0,,                151761,,                 46322,,                 70472,                 58031,                  1222,,,                  3600,                  3238,                  6838,                585132,,,                 68700,,                     58,,,                 34980,                    199,                 35179,                103937,                689069,,,,                868000,                868000,,                              0,,,               -383044,               -383044,,,                 52902,                 52902,                537858,                138789,                676647,              1365716,              0,              0,              0,                 90708,                  1041,              1365716,,,,                250486,,                151761,,                 46322,,                 70472,                 58031,                  1222,,,                  3600,                  3238,                  6838,                585132,,,                 68700,,                     58,,,                 34980,                    199,                 35179,                103937,                689069,,,,                868000,                868000,,,               -383044,               -383044,,,                 52902,                 52902,                537858,                138789,                676647,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年09月30日,,,,                120465,,                              0,,                  1051,,                346996,,                  5082,,                 22870,,                  7156,,                    162,,                272682,,                 20214,,                 20367,                 20367,                817045,,,                545639,,                 18472,                 57220,,                  4603,,                  3856,                  8459,                629790,              1446835,,,,,                350652,,                 19530,,                154476,,                 15103,,                 74873,                 61070,                  2559,,,                  3600,                  3848,                  7448,                685711,,,                 69600,,                    353,,,                 33655,                  1775,                 35430,                105383,                791094,,,,              1758944,              1758944,,                              0,,,             -1258766,             -1258766,,,                 24304,                 24304,                524482,                131259,                655741,              1446835,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年06月30日,,,,                112893,,,,                    186,,                290818,,                  1509,,                 51924,,                 11468,,                              0,,                271802,,                 19358,,                 94105,                 94105,                854063,,,                551644,,                 18472,                 56207,,                  7151,,                  3839,                 10990,                637313,              1491376,,,,,                444330,,                  9701,,                127494,,                 14375,,                100002,                 24604,                  1008,,,                  3600,                 14542,                 18142,                739656,,,                 70500,,                    340,,,                 32986,                    187,                 33173,                104013,                843669,,,,              1758944,              1758944,,                              0,,,             -1251745,             -1251745,,,                 14677,                 14677,                521876,                125831,                647707,              1491376,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2014年03月31日,,,,                155547,,,,                  3709,,                243923,,                  9297,,                 35368,,                  8450,,                              0,,                280197,,                 22503,,                 86158,                 86158,                845152,,,                994486,,                 19119,                 57790,,                  6773,,                  3822,                 10595,              1081990,              1927142,,,,,                383646,,                  3666,,                136029,,                 21312,,                 96872,                 80501,                    895,,,                  3600,                  1401,                  5001,                727922,,,                 71400,,                  1086,,,                 33735,                    191,                 33926,                106412,                834334,,,,              1758944,              1758944,,                              0,,,               -821422,               -821422,,,                 29281,                 29281,                966803,                126005,              1092808,              1927142,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536,2013年12月31日,,,,,,,,                  2354,,                285024,,                  2877,,                 22189,,                  7801,,,,                262633,,                 20149,,                 84212,                 84212,                875467,,,              1015800,,                 19054,                 56460,,                  6478,,                  3805,                 10283,              1101597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                187815,                    413,              1977064,,,,                436571,,                137663,,                 39547,,                122268,                  3323,                  2266,,,                  3600,                  1892,                  5492,                747130,,,                 72300,,                    410,,,                 32984,                    188,                 33172,                105882,                853012,,,,              1758944,              1758944,,,               -776681,               -776681,,,                 16912,                 16912,                999175,                124877,              1124052,,                              0,,                              0,,,,,,,,,,,,,,,,,,,
3536,2013年09月30日,,,,,,,,                  5289,,                239540,,                  9556,,                 18206,,                  9134,,,,                274172,,                 50135,,,                 83624,                825224,,,              1022937,,                 19167,                 55159,,                  6219,,                 27755,                 33974,              1131237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                135370,                    198,              1956461,,,,                407541,,                144113,,                 14981,,                 74025,                 38391,                  2553,,,                  3600,                  1743,                  5343,                696686,,,                 73200,,                  1239,,,                 32811,                    242,                 33053,                107492,                804178,,,,              1758944,              1758944,,,               -731684,               -731684,,,                  8586,                  8586,              1035846,                116437,              1152283,,                  9739,,,,,,,,,,,,,,,,,,,,,
3536,2013年06月30日,,,,,,,,                  4572,,                227016,,                 11723,,                  7623,,                  8294,,,,                299588,,                 55495,,                 85801,                 85801,                828034,,,              1054767,,                 18940,                 55637,,                  6348,,                 12936,                 19284,              1148628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                127922,                              0,              1976662,,,,                333172,,                175001,,                  2505,,                 71787,                 60301,                  2174,,,                  3600,                  2600,                  6200,                665053,,,                 74100,,                  1040,,,                 33267,                    245,                 33512,                108652,                773705,,,,              1758944,              1758944,,,               -695703,               -695703,,,                 24675,                 24675,              1087916,                115041,              1202957,,                 13913,,,,,,,,,,,,,,,,,,,,,
