證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利
3550,2015年09月30日,,,,              1378392,,                120346,,              1380282,,                              0,,                 26664,,                296123,,                 26098,,                 11410,              3239315,,,                 30035,,                 38133,,                476018,,                  4652,                 23005,,                 23072,                  7202,,                  7182,                 37456,                609299,              3848614,,,,,                496867,,                              0,,                297092,,                  2578,                  1561,                  4139,                 28102,,                218669,                218669,              1044869,,,                399167,,                 17628,,                 46071,                  1167,                 47238,                464033,              1508902,,,,                850000,                850000,,                473558,,                208532,                229767,,                410100,                848399,,                 91495,                              0,              2263452,                 76260,              2339712,              3848614,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,2015年06月30日,,,,              1341643,,                143302,,              1347742,,                     90,,                 21107,,                335768,,                 26884,,                 10258,              3226794,,,                 30035,,                 37508,,                488944,,                  4652,                 22365,,                 22477,                  7210,,                  7559,                 37246,                620750,              3847544,,,,,                484963,,                              0,,                300084,,                  5386,                  2983,                 93369,                 23645,,,                210918,              1112979,,,                406348,,                 17628,,                 45673,                  1283,                 46956,                470932,              1583911,,,,                850000,                850000,,                473558,,                208532,                229767,,                369347,                807646,,                 58906,                              0,              2190110,                 73523,              2263633,              3847544,              0,              0,              0,                 85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,2015年03月31日,,,,              1188520,,                198332,,              1349850,,                              0,,                 23193,,                347882,,                 37146,,                 11543,              3156466,,,                 32947,,                 39209,,                509926,,                  4652,                 20564,,                 40142,                  7444,,                  7596,                 55182,                662480,              3818946,,,,,                394170,,                  2419,,                345412,,                  4657,                  2580,                  7237,                 27356,,,                236259,              1012853,,,                398833,,                 17628,,                 45274,                  1283,                 46557,                463018,              1475871,,,,                850000,                850000,,                473558,,                198213,                229767,,                444577,                872557,,                 67932,                              0,              2264047,                 79028,              2343075,              3818946,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,2014年12月31日,,,,              1155007,,                163239,,              1535625,,                    339,,                 22913,,                309645,,                 26896,,                 11037,              3224701,,,                 32947,,                 40325,,                535454,,                  4652,                 18579,,                 39092,                  7763,,                  8460,                 55315,                687272,              3911973,,,,,                276904,,                  7683,,                310976,,                  4480,                  2482,                  6962,                 26849,,                277865,                277865,                907239,,,                569772,,                 17628,,                 44875,                  1283,                 46158,                633558,              1540797,,,,                850000,                850000,,                473558,,                198213,                229767,,                438042,                866022,,                101895,                              0,              2291475,                 79701,              2371176,              3911973,              0,              0,              0,                              0,              1155007,              3911973,,,,                276904,,                  7683,,                310976,,                  4480,                  2482,                  6962,                 26849,,                277865,                907239,,,                569772,,                 17628,,                 44875,                  1283,                 46158,                633558,              1540797,,,,                850000,                850000,,                473558,,                198213,                229767,,                438042,                866022,,                101895,                              0,              2291475,                 79701,              2371176,
3550,2014年09月30日,,,,                991744,,                162521,,              1644064,,                              0,,                 17750,,                362878,,                 30903,,                 10298,              3220158,,,                 32947,,                 37988,,                530095,,                  4652,                 16251,,                 30313,                  7596,,                  6478,                 44387,                666320,              3886478,,,,,                333126,,                  9785,,                363924,,                  3447,                  1910,                  5357,                 25330,,                199750,                199750,                937272,,,                614918,,                              0,,                 40470,                  1283,                 41753,                656671,              1593943,,,,                850000,                850000,,                473558,,                198213,                229767,,                426978,                854958,,                 38228,                              0,              2216744,                 75791,              2292535,              3886478,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,2014年06月30日,,,,                875783,,                178828,,              1692813,,                              0,,                 20188,,                344041,,                 44057,,                 11418,              3167128,,,                 32947,,                 38041,,                537987,,                  4652,                 14063,,                 60450,                  7643,,                  5806,                 73899,                701589,              3868717,,,,,                250471,,                  9265,,                416519,,                  5769,                  3684,                 94453,                 25577,,,                205893,              1002178,,,                600873,,                              0,,                 36915,                  1283,                 38198,                639071,              1641249,,,,                850000,                850000,,                473558,,                198213,                229767,,                384306,                812286,,                 18180,                              0,              2154024,                 73444,              2227468,              3868717,              0,              0,              0,                 85000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,2014年03月31日,,,,                910988,,                171058,,              1587150,,                              0,,                 22966,,                361410,,                 55862,,                 11265,              3120699,,,                 32947,,                 39643,,                551093,,                  4652,                 13095,,                 60943,                  7962,,                  6114,                 75019,                716449,              3837148,,,,,                284219,,                 11934,,                371632,,                  4659,                  2795,                  7454,                 23608,,,                191966,                890813,,,                605141,,                              0,,                 33364,                  1284,                 34648,                639789,              1530602,,,,                850000,                850000,,                473558,,                189076,                229767,,                449743,                868586,,                 40969,                              0,              2233113,                 73433,              2306546,              3837148,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,2013年12月31日,,,,,,                156287,,              1714877,,                              0,,                 18974,,                344439,,                 30033,,                 10335,              3188472,,,                 32947,,                 39696,,                563484,,                  4652,                  9875,,                 37180,                  8056,,                  7155,                 52391,                703045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                913527,              3891517,,,,                318982,,                  8285,,                482753,,                  3881,                  2328,                  6209,                 24858,,                214918,              1056005,,,                533598,,                              0,,                 29835,                    793,                 30628,                564226,              1620231,,,,                850000,                850000,,                473558,,                189076,                229767,,                429236,                848079,,                 27784,                              0,              2199421,                 71865,              2271286,                              0
3550,2013年09月30日,,,,,,                146648,,              1599402,,,,                 16691,,                331909,,                 29259,,                  9934,              3084506,,,                 32947,,                 40122,,                587037,,                  4652,                 12145,,                 27759,                  8077,,                  6334,                 42170,                719073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                950663,              3803579,,,,                352664,,                  8828,,                439677,,                  2937,                  1763,                  8586,                 23096,,                171838,              1004689,,,                543466,,,,                 34082,                    793,                 34875,                578341,              1583030,,,,                850000,                850000,,                473558,,                189076,                229767,,                404862,                823705,,                  4456,                              0,              2151719,                 68830,              2220549,                  3886
3550,2013年06月30日,,,,,,                131207,,              1635883,,,,                 14777,,                324887,,                 42230,,                 12604,              2996657,,,                 32947,,                 42328,,                605091,,                  9552,                  6042,,                 27429,                  8335,,                  6969,                 42733,                738693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                835069,              3735350,,,,                253013,,                 11405,,                480341,,                  3147,                  1889,                 51897,                 17655,,                173185,                987496,,,                498357,,                              0,,                 39187,                    791,                 39978,                538335,              1525831,,,,                850000,                850000,,                473558,,                189076,                229767,,                382957,                801800,,                 16333,                              0,              2141691,                 67828,              2209519,                 46861
