證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 特別股負債－非流動,　　　　　 存入保證金,　　　　　 採用權益法之投資貸餘,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付投資款,　　　　　 其他非流動資產－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　　 應付設備款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 特別股負債－非流動,　　　　 存入保證金,　　　　 採用權益法之投資貸餘,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額
3576,2015年09月30日,,,,              9231470,,                              0,,              5093061,                 83790,              5176851,,                 99557,,                100498,,                442763,,                  9822,,              4053763,,                750191,,                344175,,                332585,             20541675,,,                103372,,                 45762,,                 68208,,             13096781,,                531324,                 39100,,              1274742,                338773,,              1780814,              1780814,                 22783,,                634163,              4051275,             17935822,             38477497,,,,,              6011176,,                  2544,,              1865461,,                    252,,                  2649,                              0,              1275432,              1021803,              2299884,                  3866,,,                341593,,              2380262,                 35890,              2757745,             12940928,,,              3657737,,                508726,,                269439,,                 86311,,                470000,                    345,                              0,                260078,                730423,              5252636,             18193564,,,,              8582285,              8582285,,             12212362,,                 69422,                              0,,             -1377279,             -1307857,,                174968,                              0,             19661758,                622175,             20283933,             38477497,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2015年06月30日,,,,              8989780,,                  4673,,              4710118,                 76446,              4786564,,                  7720,,                118892,,                498396,,                 16141,,              2583105,,                641660,,                329158,,                345821,             18321910,,,                126625,,                 66967,,                 64563,,             13245977,,                532313,                 28401,,              1202192,                109544,,              1519350,              1519350,                 21657,,                766710,              3619453,             17684299,             36006209,,,,,              3663039,,                     58,,              1783860,,                 81318,,                 32343,                  7373,              1372826,                557324,              1969866,                  3866,,,                276012,,              1498872,                 45285,              1820169,              9322176,,,              3637314,,              1667897,,                247112,,                 78841,,                470000,                    333,                              0,                247653,                717986,              6349150,             15671326,,,,              8559865,              8559865,,             12192812,,                 69422,                              0,,             -1016402,               -946980,,                -71901,                              0,             19733796,                601087,             20334883,             36006209,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2015年03月31日,,,,              8075311,,                 19351,,              4376787,                 60812,              4437599,,                169001,,                 56616,,                756668,,                 15477,,              2598275,,                644928,,                 34085,,              1353171,             18160482,,,                147478,,                 66977,,                 69704,,             13905121,,                533308,                 25767,,              1282263,                228847,,              1109743,              1109743,                 22477,,                764719,              3408049,             18156404,             36316886,,,,,              3216123,,                    277,,              1433019,,                 83852,,                 32343,                  7373,              1176427,                604487,              1820630,                    888,,,                103427,,              1888936,                 31244,              2023607,              8578396,,,              3617005,,              1700177,,                234753,,                 82036,,                470000,                    337,                 15468,                256612,                742417,              6376388,             14954784,,,,              8562195,              8562195,,             12196591,,                 47566,                 18928,,                -75161,                 -8667,,                 -2014,                              0,             20748105,                613997,             21362102,             36316886,,              0,              0,                              0,                764719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2014年12月31日,,,,              8721777,,                  1514,,              4982697,                 59368,              5042065,,                193495,,                 76766,,                652560,,                 17108,,              2043721,,                719244,,                 34189,,              1461213,             18963652,,,                159578,,                 66983,,                 71360,,             14193490,,                534271,                 38816,,              1175748,                247167,,              1113661,              1113661,                 24736,,                735093,              3296405,             18360903,             37324555,,,,,              3039296,,                 16812,,              1548785,,                 84920,,                 35404,                  4312,              1427360,                667156,              2134232,                    888,,,                255678,,              1868726,                 32598,              2157002,              8981935,,,              3596810,,              1943953,,                225308,,                100778,,                470000,                  1360,                 15324,                265316,                752000,              6618849,             15600784,,,,              8562770,              8562770,,             12197491,,                 47566,                 18928,,                391744,                458238,,                 37934,                              0,             21256433,                467338,             21723771,             37324555,              0,              0,              0,,,              8721777,                 17108,             37324555,,,,              3039296,,                 16812,,              1548785,,                 84920,,                 35404,                  4312,              1427360,                667156,              2134232,                    888,,,                255678,,              1868726,                 32598,              2157002,              8981935,,,              3596810,,              1943953,,                225308,,                100778,,                470000,                  1360,                 15324,                265316,                752000,              6618849,             15600784,,,,              8562770,              8562770,,             12197491,,                 47566,                 18928,,                391744,                458238,,                 37934,             21256433,                467338,             21723771,,,
3576,2014年09月30日,,,,              7463992,,                     26,,              5215927,                 57374,              5273301,,                432802,,                375078,,                224622,,                 19477,,              2329945,,                386745,,                 33892,,              1760425,             18300305,,,                195040,,                 66958,,                 54139,,             14908978,,                536440,                 29618,,              1606326,                113982,,                978132,                978132,                 22453,,                 35682,              2756575,             18547748,             36848053,,,,,              3309228,,                    146,,              1600952,,                 89258,,                 83700,                 14381,              1313980,                698584,              2110645,                              0,,,                 45596,,              2245673,                 35586,              2326855,              9437084,,,              3576730,,              2894662,,                207241,,                101247,,                              0,                  1170,                  3709,                258508,                263387,              7043267,             16480351,,,,              7913535,              7913535,,             11111474,,                 47566,                 18928,,                784461,                850955,,                -92287,                              0,             19783677,                584025,             20367702,             36848053,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2014年06月30日,,,,              6949425,,                  2848,,              4972414,                 56685,              5029099,,                208976,,                 64545,,                              0,,                 12147,,              2474214,,                475905,,                336041,,              1540866,             17094066,,,                210010,,                 24448,,                 19853,,             15464792,,                536440,                 42412,,              1600004,                 92666,,              1642664,              1642664,                 23641,,                 49065,              3408040,             19705995,             36800061,,,,,              4836208,,                    879,,              2541894,,                 30462,,                163242,                 21730,              1484255,                892678,              2561905,                              0,,,                 56985,,              2397084,                 68287,              2522356,             12493704,,,                216362,,              3513431,,                191120,,                116914,,                              0,                  1138,                              0,                 15596,                 16734,              4054561,             16548265,,,,              7892116,              7892116,,             10921884,,                 47566,                 18928,,                967113,              1033607,,               -141505,                              0,             19706102,                545694,             20251796,             36800061,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2014年03月31日,,,,              6046247,,                      7,,              5055500,                 61494,              5116994,,                477550,,                 87866,,                              0,,                 12053,,              2285031,,                324362,,                              0,,              1438871,             15788981,,,                217420,,                 24460,,                              0,,             15596304,,                530591,                 47271,,              1643551,                103148,,              1679977,              1679977,                 30998,,                 54369,              3512043,             19928089,             35717070,,,,,              3613627,,                  1882,,              2707497,,                    883,,                123192,                 16390,              1182851,                756327,              2078760,                  8656,,,                117541,,              1989219,                 97413,              2204173,             10615478,,,                275335,,              4583579,,                175226,,                130055,,                              0,                  1162,                              0,                 17011,                 18173,              5182368,             15797846,,,,              7870838,              7870838,,             10872795,,                              0,                              0,,                882909,                882909,,                -79267,                              0,             19547275,                371949,             19919224,             35717070,,              0,              0,                              0,                 54369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3576,2013年12月31日,,,,,,                     22,,              4078295,                 56335,              4134630,,                264427,,                 61957,,                              0,,,,              1520630,,                264611,,                              0,,              1593722,             14237031,,,                222750,,                 24448,,                              0,,             15606909,,                557739,                 49936,,              1804767,                 63365,,              1652582,              1652582,                 31027,,                 61447,              3613188,             20074970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              6372612,                 24420,             34312001,,,,              2732789,,                    700,,              2366092,,                  8785,,                 72095,                  7000,              1524785,                988011,              2591891,                 10201,,,                 61916,,              1757933,                 11991,              1831840,              9542298,,,                549004,,              4708754,,                159098,,                140988,,                              0,                  1118,                              0,                              0,                  1118,              5558962,             15101260,,,,              7770292,              7770292,,             10697569,,                              0,                              0,,                475664,                475664,,                -86508,             18857017,                353724,             19210741,,,
3576,2013年09月30日,,,,,,                  3965,,              4338588,                 45786,              4384374,,              1232487,,                 85399,,                              0,,,,              1680794,,                612374,,                              0,,              1581155,             14905485,,,                180960,,                 23849,,                  2382,,             15324302,,                584638,                 42061,,              1940929,                 86335,,                669908,                669908,                 29670,,                 56016,              2782858,             18941050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              5311168,                 13769,             33846535,,,,              6270908,,                    882,,              2580279,,                 13275,,                  7332,                              0,              1556240,                457825,              2021397,                              0,,,                 50396,,              1643141,                 22791,              1716328,             12603069,,,                              0,,              4769619,,                151758,,                140525,,,                  1098,                              0,                998830,                999928,              6061830,             18664899,,,,              6316831,              6316831,,              8609045,,                              0,                              0,,                176828,                176828,,               -218488,             14884216,                297420,             15181636,                              0,,
3576,2013年06月30日,,,,,,                     88,,              3836693,                 33973,              3870666,,                904383,,                123729,,,,,,              1515909,,                595150,,                              0,,              1189749,             13758569,,,                214730,,                 23849,,                  2687,,             15779562,,                612114,                 33893,,              1884625,                 45090,,                245479,                245479,                 30120,,                 62548,              2267862,             18934697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,              5545264,                 13631,             32693266,,,,              6591611,,                    621,,              2356871,,                 18378,,                              0,                  2273,              1759685,                564818,              2326776,                              0,,,                 67747,,              1578643,                  9132,              1655522,             12949779,,,                              0,,              4750301,,                145083,,                141670,,,                  1110,,                              0,                  1110,              5038164,             17987943,,,,              6283500,              6283500,,              8501363,,                              0,                              0,,               -288070,               -288070,,                -92858,             14403935,                301388,             14705323,                              0,,
