證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期長期借款,　　　　 其他應付款項－關係人,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 長期借款,　　　　 長期借款合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 其他應付款項－關係人,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計
3591,2015年09月30日,,,,              1249367,,                              0,,                 26526,,                943083,,                  2860,,                 21649,,                    633,,,                353833,                353833,,                155568,,                  2554,              2756073,,,                              0,,                149719,,                 37648,,              2399210,,                 57883,                 46323,,                 46469,                 41719,,                 48528,                136716,              2827499,              5583572,,,,,                367637,,                 13852,,                  2026,,                552536,,                              0,,                178558,                  9225,,,                400394,                400394,                108443,                508837,              1632671,,,                              0,,                              0,,                 23054,,                 48835,                 71889,              1704560,,,,              1346432,              1346432,,              2485259,,                              0,                              0,,                 -9136,                 -9136,,,                212359,,                   -783,,                -37321,                -37321,                174255,                218637,              3778173,                100839,              3879012,              5583572,              0,              0,      9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2015年06月30日,,,,              1663783,,                              0,,                 19803,,              1026717,,                  3879,,                 34797,,                    408,,,                455799,                455799,,                143452,,                  2474,              3351112,,,                              0,,                149719,,                 37993,,              2342340,,                 60495,                 46323,,                 60351,                 41010,,                 52099,                153460,              2790330,              6141442,,,,,                662900,,                 10538,,                  2049,,                737533,,                              0,,                220607,                 12461,,,                398496,                398496,                110548,                509044,              2155132,,,                              0,,                              0,,                 23054,,                 47984,                 71038,              2226170,,,,              1347632,              1347632,,              2486473,,                              0,                              0,,                -10766,                -10766,,,                154181,,                   -783,,                -47552,                -47552,                105846,                116675,              3812510,                102762,              3915272,              6141442,              0,              0,      4000000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2015年03月31日,,,,              1204004,,                              0,,                 11164,,                941701,,                  8735,,                 30480,,                    536,,,                492091,                492091,,                104243,,                367466,              3160420,,,                              0,,                149719,,                 39747,,              2309928,,                 65275,                 46323,,                 46691,                 41641,,                 42262,                130594,              2741586,              5902006,,,,,                613000,,                  7308,,                     51,,                654260,,                    266,,                143067,                  6189,,,                396607,                396607,                 57890,                454497,              1878647,,,                              0,,                              0,,                 23054,,                 49003,                 72057,              1950704,,,,              1347632,              1347632,,              2602732,,                              0,                              0,,                -72204,                -72204,,,,,,,,,                117839,                116675,              3879324,                 71978,              3951302,              5902006,              0,              0,      4000000,                              0,                      9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2014年12月31日,,,,              1283774,,                              0,,                 18229,,                711991,,                 26450,,                 49986,,                    108,,,                432696,                432696,,                115908,,                372141,              3011283,,,                              0,,                149719,,                 40904,,              2298459,,                 70674,                 46323,,                 45559,                 42516,,                 25075,                113150,              2719229,              5730512,,,,,                631500,,                  9263,,                     54,,                457188,,                    381,,                133839,                  4021,,,                395889,                395889,                 46317,                442206,              1678452,,,                              0,,                              0,,                 23054,,                 49718,                 72772,              1751224,,,,              1327632,              1327632,,              2565784,,                              0,                              0,,                -76678,                -76678,,,                205737,,                   -551,,                              0,                              0,                205186,                116675,              3905249,                 74039,              3979288,              5730512,              0,              0,      4000000,                              0,                              0,              1283774,              5730512,,,,                631500,,                  9263,,                     54,,                457188,,                    381,,                133839,                  4021,,,                395889,                              0,                395889,                 46317,                442206,              1678452,,,                              0,,                              0,,                 23054,,                 49718,                 72772,              1751224,,,,              1327632,                              0,              1327632,,              2565784,,                              0,                              0,,                -76678,                -76678,,,                205737,,                   -551,,                              0,                              0,                205186,                116675,              3905249,                              0,                 74039,              3979288,,,,,,,
3591,2014年09月30日,,,,              1335554,,                              0,,                 18412,,                770505,,                 45432,,                 30858,,                     53,,,                570337,                570337,,                153972,,                363617,              3288740,,,                              0,,                149719,,                 42416,,              2252278,,                 78099,                  9767,,                 65216,                 40881,,                 21082,                127179,              2659458,              5948198,,,,,                588780,,                              0,,                  1301,,                725828,,                  5093,,                158159,                 11289,,,                  1157,                  1157,                 30452,                 31609,              1522059,,,                  8073,,                392855,,                  9260,,                 51020,                461208,              1983267,,,,              1327632,              1327632,,              2563543,,                              0,                              0,,                -44759,                -44759,,,                111642,,                   -498,,                              0,                              0,                111144,                 66509,              3891051,                 73880,              3964931,              5948198,              0,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2014年06月30日,,,,              1730312,,                              0,,                 14489,,                703316,,                 48357,,                 18900,,                  1175,,,                595021,                595021,,                128471,,                  4031,              3244072,,,                              0,,                 68861,,                  3827,,              2034776,,                 86513,                  9821,,                187297,                 40373,,                 21981,                249651,              2453449,              5697521,,,,,                268785,,                  2099,,                  2986,,                720672,,                  4087,,                185655,                 11954,,,                156133,                159466,                 25475,                184941,              1381179,,,                  4801,,                390992,,                  9260,,                 50343,                455396,              1836575,,,,              1327632,              1327632,,              2560895,,                              0,                              0,,                -42614,                -42614,,,                 76348,,                              0,,                              0,                              0,                 76348,                 66509,              3855752,                  5194,              3860946,              5697521,              0,              0,      2000000,                  3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2014年03月31日,,,,              1932982,,                              0,,                 16129,,                563385,,                 50548,,                 33439,,                    258,,,                499784,                499784,,                108455,,                  5620,              3210600,,,                              0,,                 68861,,                  4118,,              1861034,,                 93080,                  9767,,                229850,                 41434,,                 21962,                293246,              2330106,              5540706,,,,,                304230,,                  1220,,                  7543,,                473595,,                  1411,,                135124,                 14022,,,                155394,                161227,                 24487,                185714,              1123225,,,                  2517,,                429985,,                  9260,,                 51182,                492944,              1616169,,,,              1314690,              1314690,,              2599772,,                151885,                              0,,               -160209,                 -8324,,,,,,,,,                111038,                 66509,              3950667,                -26130,              3924537,              5540706,              0,              0,      2000000,                  5833,                    366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2013年12月31日,,,,,,                              0,,                 14254,,                552910,,                 46350,,                 18268,,                  1713,,,,                568247,,                120459,,                    252,              3184099,,,                              0,,                 68861,,                  4417,,              1791037,,                 91991,                  9767,,                230255,                 41444,,                 20085,                291784,              2257857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2000000,,,              1861646,              5441956,,,,                179025,,                  4393,,                 12454,,                483215,,                  3764,,                161102,                 12396,,,                154657,                 10254,                164911,                 17741,                182652,              1039001,,,                 13800,,                911494,,                  9260,,                 50478,                985032,              2024033,,,,              1160745,                              0,              1160745,,              2260239,,                151885,                              0,,               -166599,                -14714,,,                101647,,                              0,,                              0,                              0,                101647,                 66509,              3441408,                              0,                -23485,              3417923,,,,,,,
3591,2013年09月30日,,,,,,                              0,,                 25671,,                650942,,                 72595,,                 48225,,                     16,,,                661843,                661843,,                161166,,                  6719,              3109512,,,                              0,,                 68861,,                  4683,,              1879898,,                 97001,                  7045,,                245610,                 40881,,                 14643,                301134,              2358622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2000000,,,              1482335,              5468134,,,,                664410,,                  4686,,                 20899,,                761247,,                  5945,,                180659,                  4396,,,                153924,                 23960,                177884,                 15356,                193240,              1835482,,,                              0,,                              0,,                 15155,,                 53507,                 69495,              1904977,,,,              1160745,,              1160745,,              2191946,,                151885,                              0,,                  4251,                156136,,,,,,,,,                 70219,                 66509,              3512537,,                 50620,              3563157,,                    833,,,,,
3591,2013年06月30日,,,,,,                              0,,                 52289,,                796502,,                 47848,,                 37575,,                    444,,,                540007,                540007,,                140409,,                  8281,              3381263,,,                              0,,                 68861,,                  4482,,              1841569,,                101223,                  7045,,                117701,                 41614,,                 14745,                174060,              2197240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2000000,,,              1756119,              5578503,,,,                424414,,                 13153,,                115938,,                695402,,                    551,,                255056,                  1337,,,                376911,                 30416,                407327,                 31495,                438822,              1944673,,,                              0,,                              0,,                 15155,,                 53900,                 74947,              2019620,,,,              1160745,,              1160745,,              2185069,,                151885,                              0,,                -22209,                129676,,,,,,,,,                 88461,                 66509,              3497442,,                 61441,              3558883,,                  5892,,                  1789,,,
