證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 遞延所得稅資產,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　　 應付設備款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 其他無形資產,　　　　　 其他無形資產淨額
3645,2015年09月30日,,,,                366952,,                      3,,                              0,,                 71529,,                302554,,                554268,,                 26706,              1322012,,,                    367,,                 17123,,                              0,,              2219562,,                  5256,,                  9899,                  1600,                 11499,              2253807,              3575819,,,,,                 72160,,                 69783,,                     81,,                     19,,                105246,,                 20729,                  6219,                118246,                 74432,                219626,                 20980,,,                253002,                  8946,                261948,                749843,,,                819314,,                              0,,                    876,                     26,                    902,                820216,              1570059,,,,              1173882,              1173882,,                389054,,                 81876,                              0,,                318092,                399968,,                    978,              1963882,                 41878,              2005760,              3575819,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2015年06月30日,,,,                396934,,                    144,,                              0,,                 35171,,                273062,,                535594,,                 29000,              1269905,,,,,                 17123,,                    471,,              2186131,,                  5467,,                 22932,                  1576,                 24508,              2233700,              3503605,,,,,                142953,,                 29909,,                    940,,                    664,,                 94264,,                 28232,                  8477,                106230,                 57396,                376417,                 29677,,,                216412,                  9242,                225654,                900478,,,                717258,,                  1063,,                    876,                     24,                    900,                719221,              1619699,,,,              1173882,              1173882,,                355738,,                 81876,,,                258560,                340436,,                    409,              1870465,                 13441,              1883906,              3503605,              0,              0,              0,                              0,                176082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2015年03月31日,,,,                480611,,                              0,,                              0,,                 43671,,                246366,,                471795,,                 28665,              1271108,,,                              0,,                 17123,,                  3535,,              2195167,,                  6191,,                 16850,                  1521,                 18371,              2240387,              3511495,,,,,                190507,,                 19980,,                    486,,                     56,,                135040,,                 25434,                  7637,                 97673,                 66260,                197004,                 56942,,,                216412,                  9820,                226232,                826247,,,                616174,,                  1328,,                    876,                     24,                    900,                618402,              1444649,,,,              1173882,              1173882,,                356601,,                 58042,                              0,,                427272,                485314,,                    598,              2016395,                 50451,              2066846,              3511495,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2014年12月31日,,,,                371620,,                              0,,                 20000,,                 75482,,                275480,,                359708,,                 26527,              1128817,,,                              0,,                 17123,,                  3626,,              2184116,,                  6861,,                  9795,                  1522,                 11317,              2223043,              3351860,,,,,                116624,,                 49848,,                  2200,,                    949,,                 91642,,                 20234,                  6077,                101902,                 70071,                198284,                 42324,,,                112250,                 10788,                123038,                624909,,,                708790,,                  2494,,                    876,                     24,                    900,                712184,              1337093,,,,              1173882,              1173882,,                356601,,                 58042,                              0,,                370304,                428346,,                    723,              1959552,                 55215,              2014767,              3351860,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2014年09月30日,,,,                453621,,                              0,,                 26000,,                 69250,,                287428,,                313319,,                 31762,              1181380,,,                              0,,                 16123,,                  3729,,              1888486,,                  7581,,                  9140,                  2518,                 11658,              1927577,              3108957,,,,,                149511,,                              0,,                  3468,,                    716,,                 93727,,                 12918,                  3876,                103502,                 43105,                163401,                 21661,,,                133259,                 10645,                143904,                576388,,,                603539,,                  3031,,                    384,                     24,                    408,                606978,              1183366,,,,              1173882,              1173882,,                356601,,                 58042,                              0,,                274863,                332905,,                    331,              1863719,                 61872,              1925591,              3108957,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2014年06月30日,,,,                404188,,                    326,,                 26000,,                 54642,,                250797,,                301364,,                 28870,              1066187,,,,,                  9903,,                  3778,,              1798516,,                  8327,,                 17792,                  2449,                 20241,              1840845,              2907032,,,,,                198439,,                              0,,                              0,,                  1177,,                 62745,,                 11342,                  3403,                 86486,                 43390,                203315,                 15720,,,                 40565,                 17545,                 58110,                539506,,,                531055,,                              0,,                    384,                     22,                    406,                531461,              1070967,,,,              1173882,              1173882,,                356601,,                 58042,,,                182492,                240534,,                     92,              1771109,                 64956,              1836065,              2907032,              0,              0,              0,                     80,                 58694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2014年03月31日,,,,                513163,,                  1919,,                 26000,,                 54823,,                183391,,                311833,,                 22761,              1113890,,,                              0,,                  9903,,                  3704,,              1716337,,                  8953,,                              0,                  2454,                  2454,              1741351,              2855241,,,,,                191434,,                 39876,,                              0,,                    357,,                 69395,,                  7465,                  2240,                 67070,                 27187,                103962,                 12957,,,                 44167,                  3996,                 48163,                466144,,,                532516,,                    145,,                    384,                     24,                    408,                533069,                999213,,,,              1173882,              1173882,,                356601,,                 48106,                    129,,                209418,                257653,,                    254,              1788390,                 67638,              1856028,              2855241,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3645,2013年12月31日,,,,,,,,,,                 20251,,                213992,,                332095,,                 16460,              1001819,,,,,,,                  3748,,              1584424,,                  4713,,                              0,                  2398,                  2398,              1605186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                393568,                 25420,,                     33,                  9903,              2607005,,,,                 70000,,                              0,,                  1175,,                    637,,                 53961,,                  6745,                  2024,                 75200,                 39762,                123731,                  9553,,,                 45850,                  2731,                 48581,                307638,,,                492832,,                  1604,,                    384,                     24,                    408,                494844,                802482,,,,              1173882,              1173882,,                355678,,                 48106,                    129,,                201398,                249633,,                    275,              1779468,                 25055,              1804523,,,,,,,,,,
3645,2013年09月30日,,,,,,                    143,,,,                 36385,,                225562,,                383185,,                 40995,              1092379,,,,,,,                  4010,,              1549308,,                  5102,,                              0,                  1433,                  1433,              1566045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                380689,                 25420,,,                  6192,              2658424,,,,                115628,,,,                              0,,                    661,,                 83119,,                  6983,                  2095,                 81107,                 52476,                142661,                  3989,,,                 13250,                  2971,                 16221,                362279,,,                509375,,                    599,,                              0,                     27,                     27,                510001,                872280,,,,              1173882,              1173882,,                355678,,                 48106,                    129,,                180687,                228922,,                    144,              1758626,                 27518,              1786144,                              0,,                    144,,,,,,,
3645,2013年06月30日,,,,,,                    128,,,,                 28317,,                174666,,                329895,,                 41301,              1084178,,,,,,,                  4025,,              1570819,,                  5368,,                              0,                  1419,                  1419,              1587823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,                484451,                 25420,,,                  6192,              2672001,,,,                 49025,,,,                     11,,                  1525,,                 70631,,                 15685,                  4054,                 70332,                 59423,                266883,                  9924,,,                 38155,                  2784,                 40939,                438938,,,                488095,,                    907,,                              0,                     25,                     25,                489027,                927965,,,,              1173882,              1173882,,                355678,,                 48106,                    129,,                136597,                184832,,                    213,              1714605,                 29431,              1744036,                117389,,                    213,,,,,,,
