證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 其他應收款－其他,　　　　 備抵呆帳－其他應收款項,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 應收所得稅退稅款,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 累計減損－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 累計減損－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 累計減損－運輸設備,　　　　　 運輸設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 累計減損－其他設備,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－建築物,　　　　 累計折舊－投資性不動產－建築物,　　　　 累計減損－投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 專利權淨額,　　　　　 專利權,　　　　　 專利權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 累計減損－電腦軟體,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 專門技術淨額,　　　　　 專門技術,　　　　　 累計減損－專門技術,　　　　　 專門技術淨額,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 累計減損－其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 持有供交易金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 保固之短期負債準備,　　　　　 虧損性合約之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 股東往來,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益－採用權益法之關聯企業及合資,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 在途原物料,　　　　　 應付股利,　　　　 其他應付款項－關係人,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 應付董監事酬勞,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 保固之短期負債準備,　　　　 虧損性合約之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 股東往來,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益－採用權益法之關聯企業及合資,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　　 備供出售金融資產未實現損益－採用權益法之子公司,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　　 待分配股票股利
3673,2015年09月30日,,,,                  2686,             18825510,              8395528,             27223724,,                 13189,                 13189,,             15802101,             15802101,,                              0,                              0,,             14617709,                 13263,             14604446,,              2206323,              2944912,                 65952,              5085283,,                360267,                360267,,,              4242802,                774730,              6292389,             11309921,             11309921,,                347568,                347568,             74746499,,,                150011,                150011,,                100164,                100164,,                393200,,,             21263611,              3060544,                756650,             17446417,,             64392726,             22072052,             16574630,             25746044,,                285796,                223149,                  8748,                 53899,,             10421984,              6955639,                927498,              2538847,              3089501,             48874708,,                520701,                 56741,                 27403,                436557,,,                    664,                    664,,                147495,                 17845,                129650,                 33614,,                 66739,                 57943,                  8796,,                  3006,                      1,                  3005,                175729,              1764744,,              2477798,                 80981,              1913935,,                    320,                    320,              4473034,             56368147,            131114646,,,,,             40465827,             40465827,,                325462,                325462,,                138402,                138402,,             20055673,             20055673,,                516962,                516962,,                855045,              2740552,              1810836,              5406433,              1098883,,              2048764,                 14189,              2062953,,,              7203263,              6916060,             14119323,                130080,             14249403,             84319998,,,              7806278,              7806278,,              5777041,              5777041,,              2462362,              2462362,,                 21620,                  8822,                              0,                              0,                 30442,             16076123,            100396121,,,,              3516318,              3516318,,,             18673268,              1087412,             19760680,                  5769,                611918,              1020343,             21398710,,              3952487,,             -2184521,              1767966,,,              3697014,                -42257,              3654757,,                 -1343,                 -1343,              3653414,             30336408,                382117,             30718525,            131114646,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2015年06月30日,,,,                  2659,             13833745,             14566475,             28402879,,,,,             12420350,             12420350,,                 98133,                 98133,,             11441158,                 13034,             11428124,,              2143641,              2154094,                 64524,              4233211,,                358352,                358352,,,              3932547,                358952,              4517352,              8808851,              8808851,,                370870,                370870,             66120770,,,                150000,                150000,,,,,              1064998,,,             19917407,              2650060,,             17267347,,             57585879,             18823991,              2458292,             36303596,,                274234,                203817,,                 70417,,              9837697,              6232138,                493235,              3112324,              4840026,             61593710,,                488860,                 47542,,                441318,,,                  1540,                  1540,,                165698,,                165698,                685908,,                169937,,                169937,,                 16116,,                 16116,              1039199,              2231654,,              5197124,                104369,              1934622,,                  1873,                  1873,              7237988,             73758867,            139879637,,,,,             40528442,             40528442,,                176118,                176118,,                 73397,                 73397,,             12483782,             12483782,,              1034862,              1034862,,              1190146,              3252685,              1885653,              6494176,                225039,,              1277981,                 23481,              1301462,,,              6729377,              6273313,             13002690,                230841,             13233531,             75562167,,,              7277987,              7277987,,              6242168,              6242168,,              3131370,              3131370,,                 21695,                  9722,                              0,                              0,                 31417,             16682942,             92245109,,,,              3516038,              3516038,,,             18668800,              1087412,             19756212,                  5769,                565060,              1020343,             21347384,,              3952487,,             17205629,             21158116,,,              1238775,                -55388,              1183387,,                 -1403,                 -1403,              1181984,             47203522,                431006,             47634528,            139879637,              0,              0,              0,                              0,                165692,                 11358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2015年03月31日,,,,                  2775,             23620799,              3732484,             27356058,,                  3017,                  3017,,             14779090,             14779090,,                101244,                101244,,             11004194,                  4925,             10999269,,              2104489,              1692803,                 66537,              3730755,,                367548,                367548,,,              3635169,                930311,              4308276,              8873756,              8873756,,                284151,                284151,             66494888,,,                150000,                150000,,,,,                995837,,,             19859462,              2458291,,             17401171,,             55886416,             17454064,              2621338,             35811014,,                284696,                201475,,                 83221,,              9897504,              6051066,                508658,              3337780,              5104365,             61737551,,                512568,                 43865,,                468703,,,                  1099,                  1099,,                191950,,                191950,                695422,,                189711,,                189711,,                  4385,,                  4385,              1082567,              1862066,,              6907746,                114849,              1963535,,                  2299,                  2299,              8988429,             75285153,            141780041,,,,,             49997104,             49997104,,                 87029,                 87029,,                 93585,                 93585,,             15215103,             15215103,,                874353,                874353,,              1191631,              2940711,              1876061,              6008403,                231959,,              1318278,                 28725,              1347003,,,              6791608,              5843301,             12634909,                172467,             12807376,             86661915,,,                              0,                              0,,              6999500,              6999500,,              3258662,              3258662,,                 21777,                 13910,                 11718,                              0,                 47405,             10305567,             96967482,,,,              3313868,              3313868,,,             14721074,              1087412,             15808486,                  5769,                529118,                610271,             16953644,,              3952487,,             17989391,             21941878,,,              1841021,                -54491,              1786530,,                 -1282,                 -1282,              1785248,             43994638,                817921,             44812559,            141780041,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2014年12月31日,,,,                  2238,             17940811,             11596574,             29539623,,                              0,                              0,,             16736884,             16736884,,                 29106,                 29106,,             13787353,                  6904,             13780449,,              3371787,              3482288,                 68454,              6785621,,                376172,                376172,,,              2674875,                217090,              4287704,              7179669,              7179669,,                220018,                220018,             74647542,,,                150000,                150000,,                              0,                              0,,              1011978,,,             19465202,              2257877,                              0,             17207325,,             56217956,             16189419,              2922120,             37106417,,                285661,                192994,                              0,                 92667,,              9880500,              5787921,                518256,              3574323,              5630436,             63611168,,                517318,                 38298,                              0,                479020,,,                    846,                    846,,                208484,                              0,                208484,                702992,,                211763,                              0,                211763,,                  5577,                              0,                  5577,              1129662,              1620912,,              7962283,                113646,              1994552,,                  2007,                  2007,             10072488,             78075228,            152722770,,,,,             52686331,             52686331,,                144324,                144324,,                164803,                164803,,             19218385,             19218385,,              1156853,              1156853,,                976012,              4043135,              2445143,              7464290,                175253,,              1398167,                129576,              1527743,,,              6833628,              5731567,             12565195,                202422,             12767617,             95305599,,,                              0,                              0,,              7927524,              7927524,,              3295993,              3295993,,                 21910,                  8680,                 11907,                              0,                 42497,             11266014,            106571613,,,,              3312948,              3312948,,,             14706395,              1087412,             15793807,                  5769,                429623,                610271,             16839470,,              3952487,,             19003511,             22955998,,,              2282455,                -56362,              2226093,,                 -1339,                 -1339,              2224754,             45333170,                817987,             46151157,            152722770,              0,              0,              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2014年09月30日,,,,                  2979,              9879338,             15464742,             25347059,,                 43863,                 43863,,             12124476,             12124476,,                              0,                              0,,             15347209,                 15001,             15332208,,              2884377,              2132411,                 61224,              4955564,,                101903,                101903,,,              2305479,                925724,              4754981,              7986184,              7986184,,                224552,                224552,             66115809,,,                150000,                150000,,                              0,                              0,,              1040345,,,             17774594,              1961920,                              0,             15812674,,             48199502,             13922322,              1598055,             32679125,,                277873,                175072,                              0,                102801,,              9481888,              5190932,                  8026,              4282930,              6191102,             59068632,,                495118,                 30991,                              0,                464127,,,                    808,                    808,,                191257,                              0,                191257,                737958,,                224496,                              0,                224496,,                  6460,                              0,                  6460,              1160979,              1643210,,             13257763,                174613,              1829906,,                    310,                    310,             15262592,             78789885,            144905694,,,,,             47999393,             47999393,,                175395,                175395,,                              0,                              0,,             16970101,             16970101,,              1447114,              1447114,,              1306446,              5050011,              2339183,              8695640,                268404,,              1548708,                181192,              1729900,,,                              0,              5223021,              5223021,                320519,              5543540,             82829487,,,              6535611,              6535611,,              7857811,              7857811,,              3322743,              3322743,,                 26159,                  7322,                 12510,                    221,                 46212,             17762377,            100591864,,,,              3311358,              3311358,,,             14681043,              1087412,             15768455,                  5769,                401064,                610271,             16785559,,              3952487,,             18934328,             22886815,,,                710665,                -55209,                655456,,                 -1255,                 -1255,                654201,             43637933,                675897,             44313830,            144905694,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2014年06月30日,,,,                  2381,             12005176,             12242212,             24249769,,,,,             13030734,             13030734,,                  2438,                  2438,,             12955694,                  8698,             12946996,,              2875543,              2974982,                 60576,              5789949,,                123207,                123207,,,              3368121,                402537,              3836536,              7607206,              7607206,,                185661,                185661,             63935960,,,                150000,                150000,,,,,              1085766,,,             16750666,              1725541,,             15025125,,             45318100,             12312880,              1581677,             31423543,,                270480,                157710,,                112770,,              8692021,              4701322,                  7880,              3982819,              5709985,             56254242,,                468083,                 28109,,                439974,,,                  4558,                  4558,,                165552,,                165552,                724833,,                241080,,                241080,,                  7421,,                  7421,              1143444,              1401944,,             13605106,                152422,              1802212,,                 17173,                 17173,             15576913,             76052283,            139988243,,,,,             45034685,             45034685,,                 42898,                 42898,,                              0,                              0,,             14415821,             14415821,,                964437,                964437,,              1935608,              5957159,              2460393,             11999709,                285337,,              1390254,                182772,              1573026,,,                              0,              4115789,              4115789,                260698,              4376487,             78692400,,,              6384675,              6384675,,              7790841,              7790841,,              3389288,              3389288,,                 26076,                  7381,                 13257,                    936,                 47650,             17612454,             96304854,,,,              3307358,              3307358,,,             14617282,              1087412,             15704694,                  5769,                388418,                610271,             16709152,,              3952487,,             19175199,             23127686,,,                  6919,                -56260,                -49341,,                 -1111,                 -1111,                -50452,             43093744,                589645,             43683389,            139988243,              0,              0,              0,                     12,              1646549,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2014年03月31日,,,,                  2792,             14429893,             20774470,             35207155,,                190665,                190665,,             16923051,             16923051,,                  2487,                  2487,,              8700844,                 16574,              8684270,,              2689738,              2582388,                 61283,              5210843,,                116406,                116406,,,              3122603,                906654,              3124019,              7153276,              7153276,,                250567,                250567,             73738720,,,                              0,                              0,,,,,              1521757,,,             16964716,              1561655,,             15403061,,             44036047,             11336194,              1628284,             31071569,,                262708,                146288,,                116420,,              8798284,              4390966,                 12444,              4394874,              5424981,             56410905,,                427184,                 23710,,                403474,,,                  9830,                  9830,,                174117,,                174117,                739140,,                267254,,                267254,,                  8672,,                  8672,              1199013,              1066678,,             12514520,                150630,              1821026,,                    418,                    418,             14486594,             75088421,            148827141,,,,,             45708516,             45708516,,                174652,                174652,,                              0,                              0,,             11559778,             11559778,,                601324,                601324,,              1571716,              5028712,              2017776,              8618204,                266426,,              1613291,                196580,              1809871,,,             11166254,              4331313,             15497567,                748326,             16245893,             84984664,,,              6481837,              6481837,,              7876089,              7876089,,              3453025,              3453025,,                 26522,                  7530,                 21016,                  1646,                 56714,             17867665,            102852329,,,,              3295347,              3295347,,,             14423568,                 80846,             14504414,                  5769,                427743,              1616837,             16554763,,              3220044,,             21231447,             24451491,,,                761158,                -48711,                712447,,                 -1093,                 -1093,                711354,             45012955,                961857,             45974812,            148827141,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3673,2013年12月31日,,,,                  2522,             16059114,             22237757,,,,,,,,,                              0,                              0,,             14835368,                 16430,             14818938,,              2869310,              5623294,                 60506,              8432098,,                112676,,,,              4545995,                334791,              3550593,              8431379,              8431379,,                184126,                184126,             79537725,,,                              0,                              0,,,,,              1682240,,,             15505094,              1341964,,             14163130,,             42778695,             10100520,              1870499,             30807676,,                256986,                130814,,                126172,,              8480389,              3910620,                 17444,              4552325,              5189626,             54838929,,                335345,                 18751,,                316594,,,                 14684,                 14684,,                152294,,                152294,                723414,,                284538,,                284538,,                  9560,,                  9560,              1184490,                895655,,             11218751,                148096,              1378292,,                    311,                    311,             12745450,             71663358,,,,,,,,,,,                              0,,,             19370541,,,              1104528,,,,,,,,,,,,,,,,,,,,,,              6309052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,             38299393,              9259115,              9259115,                112676,            151201083,,,,             39303186,             39303186,,                              0,                              0,,                              0,,             19370541,,              1104528,,              1105398,                 35766,              6075476,              2623087,              9839727,                557335,,              1628419,                240291,              1868710,,,             10827499,              3975373,             14802872,                151989,             14954861,             86998888,,,              6309052,,              9458663,              9458663,,              3474077,              3474077,,                 26116,                 34295,                 20157,                  2991,                 83559,             19325351,            106324239,,,,              3292887,              3292887,,,             14384499,                 80846,             14465345,                  5769,                407033,              1616837,             16494984,,              3220044,,             21102720,             24322764,,,                -72716,                -66069,               -138785,,                 -1078,                 -1078,               -139863,                              0,             43970772,                906072,             44876844,,,,
3673,2013年09月30日,,,,                  2247,             19303467,             20858140,,,                              0,                              0,,,,,,,,             10269431,                  6000,             10263431,,              2602209,              2205492,                 60231,              4747470,,                117536,,,,              5170560,                918089,              6524087,             12616776,             12616776,,                299123,                299123,             75202409,,,                              0,                              0,,,,,              3106278,,,             14315632,              1163420,,             13152212,,             41310731,              8874412,                590936,             31845383,,                242109,                118130,                              0,                123979,,              8191080,              3508188,                 15697,              4667195,              3894839,             53683608,,                288096,                 15138,,                272958,,,                 19595,                 19595,,                166610,,                166610,                719356,,                329428,,                329428,,                 10532,,                 10532,              1245521,                769384,,              9566870,                317196,                878465,,                    404,                    404,             10762935,             69840684,,,,,,,,,,,,,,             17893215,,,              1103754,,,,,,,,,,,,,,,,,,,,,,              6228388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                  4040,,,             40163854,              6994219,              6994219,                117536,            145043093,,,,             35411645,             35411645,,                              0,                              0,,,,             17893215,,              1103754,,                974945,                 41989,              5256907,              2476987,              8750828,                765519,,              1633847,                 67165,              1701012,,,             10648646,              3537362,             14186008,                912193,             15098201,             80724174,,,              6228388,,              8582578,              8582578,,              3467600,              3467600,,                 27599,                 39583,                 21449,                  5078,                 93709,             18372275,             99096449,,,,              3291017,              3291017,,,             14354810,                 80846,             14435656,                              0,                402114,              1616837,             16454607,,              3220044,,             22708966,             25929010,,,               -348165,                -63863,               -412028,,                   -781,                   -781,               -412809,                              0,             45261825,                684819,             45946644,                              0,,,
3673,2013年06月30日,,,,                  1703,             26905356,              1546781,,,,,,,,,                              0,                              0,,             16721704,                 18276,             16703428,,              3034392,              1103810,                 60733,              4077469,,                 21388,,,,              4642756,                  2949,              4616450,              9262155,              9262155,,                240905,                240905,             67338984,,,                              0,                              0,,,,,              3366521,,,             13523243,              1020307,,             12502936,,             39485859,              7895190,                601039,             30989630,,                239588,                109417,                              0,                130171,,              8176051,              3176404,                 15961,              4983686,              2935316,             51541739,,                283720,                 12638,,                271082,,,                 28940,                 28940,,                155438,,                155438,                728220,,                331001,,                331001,,                 11770,,                 11770,              1255369,                748462,,              8823563,                185501,                896038,,                 10344,                 10344,              9915446,             67098619,,,,,,,,,,,,,,,,,              3029028,,,,,,,,,,,,,,,,,,,,,,              6287745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,             28453840,              8579799,              8579799,                 21388,            134437603,,,,             19971930,             19971930,,                              0,                              0,,,,             15876019,,              3029028,,              1753218,                 87600,              5512883,              3142799,             17366695,              1313165,,              1969065,                164340,              2133405,,,             10709479,              3282257,             13991736,                171736,             14163472,             73853714,,,              6287745,,              5320692,              5320692,,              3528505,              3528505,,                 27929,                 99653,                 21556,                  7007,                156145,             15293087,             89146801,,,,              3286008,              3286008,,,             14275150,                 80846,             14355996,                              0,                396036,              1616837,             16368869,,              3220044,,             21695504,             24915548,,,                150401,                -36467,                113934,,                   -535,                   -535,                113399,                              0,             44683824,                606978,             45290802,              6870195,,,
