證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 本期所得稅負債,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3682,2015年09月30日,,,,             14825975,,              1008102,,                  3509,,              1299381,,                 38840,,                114972,,                 23418,,                154636,,                301195,,                128487,             17898515,,,                 16573,,              9643504,,              6942248,              2301247,,              3386668,             22290240,             40188755,,,,,                 15703,,                985576,,                  2914,,              3376156,,                209143,,                235338,              4824830,,,                196233,,                              0,,                208855,                405088,              5229918,,,,             38885155,             38885155,,,              5883046,                  1949,                  1747,              5886742,,                535041,,            -10412829,             -9877788,                 46220,             34847889,                110948,             34958837,             40188755,              0,              0,      2394831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,2015年06月30日,,,,             16409589,,              1709428,,                  7740,,              1351125,,                 45367,,                135697,,                 19096,,                310024,,                204629,,                128101,             20320796,,,                 18670,,              9234743,,              7096975,              2110662,,              2451563,             20912613,             41233409,,,,,                 11693,,              1152166,,                  3112,,              3376389,,                207847,,                225295,              4976502,,,                172978,,                              0,,                216329,                389307,              5365809,,,,             38885155,             38885155,,,              5883046,                  1949,                  1747,              5886742,,                535041,,             -9498972,             -8963931,                 46220,             35761746,                105854,             35867600,             41233409,              0,              0,      2394831,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,2015年03月31日,,,,             16761476,,              1157524,,                  3562,,              1417765,,                 27437,,                163111,,                 14506,,                268820,,                238316,,                127715,             20180232,,,                 20750,,              9215975,,              7336492,              1947005,,              2518000,             21038222,             41218454,,,,,                 12100,,                694760,,                  1134,,              3136457,,                206551,,                203740,              4254742,,,                155580,,                              0,,                253512,                409092,              4663834,,,,             38885155,             38885155,,,              5883046,                  1949,                  1747,              5886742,,                535041,,             -8706098,             -8171057,                 46220,             36554620,,             36554620,             41218454,              0,              0,      2394831,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,2014年12月31日,,,,             16663946,,              1956390,,                  1833,,              1515321,,                    514,,                141266,,                 12845,,                557042,,                 89632,,                128331,             21067120,,,                 23134,,              9368544,,              7553407,              1877006,,              2528270,             21350361,             42417481,,,,,                  9764,,              1449391,,                    538,,              3333321,,                205256,,                151171,              5149441,,,                169380,,                     58,,                219733,                389171,              5538612,,,,             38885155,             38885155,,,              5883046,                  1949,                  1747,              5886742,,                535041,,             -8381849,             -7846808,                 46220,             36878869,                              0,             36878869,             42417481,              0,              0,      2394831,                              0,                              0,             16663946,,                              0,                 12845,             42417481,,,,                  9764,,              1449391,,                    538,,              3333321,                              0,,                205256,,                151171,              5149441,,,                              0,,                169380,,                     58,,                219733,                389171,              5538612,,,,             38885155,             38885155,,              5886742,,                535041,                              0,,             -8381849,             -7846808,,                              0,                 46220,             36878869,                              0,             36878869
3682,2014年09月30日,,,,             16328532,,              1953669,,                  3396,,              1542966,,                    516,,                118111,,                 11204,,                 69768,,                250657,,                127947,             20406766,,,                 23140,,             14739755,,              9670723,                 61560,,              5156548,             29651726,             50058492,,,,,                 11806,,                676194,,                              0,,              2860830,,                161870,,                149692,              3860392,,,                169380,,                 45138,,                218843,                433361,              4293753,,,,             38885155,             38885155,,,              5883046,                    409,                  1747,              5885202,,                535041,,                459341,                994382,                              0,             45764739,                              0,             45764739,             50058492,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,2014年06月30日,,,,              7342191,,                451518,,                  4993,,              1621125,,                  1420,,                123376,,                 10702,,                127829,,                189254,,                147636,             10020044,,,                 25480,,             14558043,,              9844160,                 67893,,              5194634,             29690210,             39710254,,,,,                 12692,,                376675,,                184156,,              4315261,,                160574,,                150512,              5258856,,,                169380,,                              0,,                215517,                384897,              5643753,,,,             33056270,             33056270,,,                 54161,                    409,                  1747,                 56317,,                535041,,                418873,                953914,                              0,             34066501,                              0,             34066501,             39710254,              0,              0,              0,                 58986,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,2014年03月31日,,,,              6548816,,                450892,,                  2716,,              1628986,,                  1505,,                133051,,                 10702,,                196535,,                204298,,                147257,              9324758,,,                 27230,,             14872486,,             10005786,                 73717,,              5312391,             30291610,             39616368,,,,,                 11308,,                341413,,                199938,,              2789857,,                159278,,                152015,              3706795,,,                169380,,                     62,,                223094,                392536,              4099331,,,,             33056270,             33056270,,,                 54161,                              0,                  1747,                 55908,,                362841,,              2041760,              2404859,                              0,             35517037,,             35517037,             39616368,              0,              0,              0,                 52986,                    258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,2013年12月31日,,,,,,                450243,,                  4232,,              1763308,,                  3188,,                142189,,,,                171320,,                 84702,,                167869,              8661379,,,                 30000,,             15195916,,             10167983,                 79885,,              5448038,             30921822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              5863626,,                              0,                 10702,             39583201,,,,                  8372,,                443685,,                250598,,              2961528,                              0,,                157982,,                160922,              3983087,,,                              0,,                169380,,                     12,,                231512,                400904,              4383991,,,,             33056270,             33056270,,                 55908,,                362841,                    258,,              1723933,              2087032,,                              0,                              0,             35199210,                              0,             35199210
3682,2013年09月30日,,,,,,              1196296,,                  4697,,              1989613,,                  1367,,                176533,,,,                169710,,                240544,,                146422,             13432821,,,                              0,,             14931768,,              3867694,                 87775,,              6551126,             25438363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              9499505,,                              0,                  8134,             38871184,,,,                 12007,,                679897,,                271634,,              2314222,                              0,,                 21420,,                174845,              3474025,,,                              0,,                169380,,                              0,,                235397,                404777,              3878802,,,,             33056270,             33056270,,                 55908,,                362841,                    258,,              1517105,              1880204,,                              0,                              0,             34992382,                              0,             34992382
3682,2013年06月30日,,,,,,              1220311,,                  9752,,              2093772,,                  1197,,                167673,,,,                188287,,                183852,,                220388,             14967390,,,                              0,,             15217499,,              3987386,                 93122,,              6641951,             25939958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             10871042,,                              0,                 11116,             40907348,,,,                 14500,,                546261,,                248665,,              5017339,                    891,,                124316,,                196208,              6148180,,,                              0,,                169380,,                    251,,                237175,                406806,              6554986,,,,             32840000,             32840000,,                              0,,                362841,                    258,,              1149263,              1512362,,                              0,                              0,             34352362,                              0,             34352362
3682,2013年03月31日,,,,,,              1018407,,                 15118,,              2289507,,                    883,,                203202,,,,                298848,,                219806,,                196482,             15067806,,,                              0,,             15770521,,              4152623,                 91193,,              5671192,             25685529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             10814437,,                              0,                 11116,             40753335,,,,                 14086,,                470281,,                401330,,              3020444,                              0,,                102032,,                238950,              4247123,,,                 50278,,                169380,,                    265,,                243603,                463526,              4710649,,,,             32840000,             32840000,,                              0,,                101870,                              0,,              3100816,              3202686,,                              0,                              0,             36042686,                              0,             36042686
3682,2012年12月31日,,,,             10611421,,              2021183,,                 14502,,              2340317,,                  4670,,                200366,,,,                229410,,                 74084,,                382169,             15894412,,,                              0,,             15810353,,              4320520,                105578,,              5770305,             26006756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                  5174,                 11116,             41901168,,,,                 10684,,                831125,,                454059,,              3016551,,,                101168,,              1629253,              6042840,,,                 52517,,                169380,,                  9477,,                245831,                477205,              6520045,,,,             32840000,             32840000,,                              0,,                101870,                              0,,              2439253,              2541123,,                              0,                              0,             35381123,                              0,             35381123
3682,2012年09月30日,,,,             10254890,,              2017631,,                 15870,,              2613989,,                 20013,,                211951,,,,                165878,,                262560,,                144989,             15716462,,,                              0,,             15434299,,              4462068,                154947,,              6060964,             26112278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                              0,                  8691,             41828740,,,,                 11544,,                596344,,                410542,,              3582550,                              0,,                100304,,                834591,              5535875,,,                929779,,                 80000,,                              0,,                264045,              1273824,              6809699,,,,             32840000,             32840000,,                              0,,                101870,                              0,,              2077171,              2179041,,                              0,                              0,             35019041,                              0,             35019041
3682,2012年06月30日,,,,              9592809,,              2065756,,                  9107,,              2457751,,                 16224,,                215454,,,,                112577,,                224655,,                144794,             14844016,,,                              0,,             14467528,,              4623795,                331634,,              6162238,             25585195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                              0,                  4889,             40429211,,,,                 14101,,                316818,,                383312,,              3369097,                              0,,                 99440,,                604666,              4787434,,,              1107009,,                 80000,,                  9662,,                262271,              1458942,              6246376,,,,             32840000,             32840000,,                              0,,                101870,                              0,,              1240965,              1342835,,                              0,                              0,             34182835,                              0,             34182835
3682,2012年03月31日,,,,              8083297,,              2061907,,                  7857,,              2468397,,                  8389,,                230909,,,,                124046,,                273799,,                144599,             13404809,,,                              0,,             14108368,,              4795122,                488492,,              6252800,             25644782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                              0,                  1609,             39049591,,,,                 12120,,                409336,,                421219,,              2974775,,,                 80000,,                387559,              4285009,,,              1283493,,                 80000,,                              0,,                269318,              1632811,              5917820,,,,             32840000,             32840000,,                              0,,                101870,,,                189901,                291771,,                              0,                              0,             33131771,                              0,             33131771
3682,2012年01月01日,,,,              7133231,,              2309149,,                  6743,,              2500814,,                  2363,,                216586,,,,                125859,,                158862,,                122470,             12580000,,,                  2587,,             13956306,,              4950728,                765136,,              6339311,             26014068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                              0,                  3923,             38594068,,,,                  8736,,                481743,,                352234,,              2914096,,,                 80000,,                873546,              4710355,,,              1460832,,                 80000,,                  9732,,                266419,              1816983,              6527338,,,,             32840000,             32840000,,                              0,,                101870,                              0,,               -875140,               -773270,,                              0,                              0,             32066730,                              0,             32066730
