證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3702,2015年09月30日,,,,             10195497,,                 54318,,                 36317,,                              0,,              4087142,,             88755942,,                323876,,              5185633,,                 89109,,                  1949,,             60685840,,              3271842,,                              0,,              1850802,            174538267,,,                320954,,                453953,,                  5000,,                592250,,              4639437,,              1148788,,              5678399,                435938,,                473052,             13747771,            188286038,,,,,             53405951,,              4616080,,                  8424,,                883788,,             55126956,,                     59,,              6052386,              1046057,,              5317244,            126456945,,,              5855471,,              7572223,,                468392,,                518885,             14414971,            140871916,,,,             16557092,             16557092,,,             14886934,                 45182,                    431,                 21479,                              0,                232800,             15186826,,              3470739,                              0,,              8894398,             12365137,,,              2783837,,                -35562,              2748275,                  1252,             46856078,                558044,             47414122,            188286038,              0,              0,         39481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2015年06月30日,,,,              8500599,,                 54892,,                 14265,,                              0,,              3930399,,             77246402,,                280025,,              3644208,,                 99636,,                  1949,,             55823387,,              2588184,,                 10499,,                819363,            153013808,,,                367704,,                469047,,                  5000,,                634096,,              4602151,,              1109681,,              5737114,                479830,,                333780,             13738403,            166752211,,,,,             46050423,,              3308311,,                  2358,,                684920,,             46137496,,                              0,,              8678098,              1179077,,              4764530,            110805213,,,              5835628,,              6820648,,                405707,,                464528,             13526511,            124331724,,,,             16557092,             16557092,,,             14886934,                 45083,,                 22205,,                232800,             15187022,,              3470739,                              0,,              7277268,             10748007,,,               -598507,,                 14826,               -583681,                  1526,             41906914,                513573,             42420487,            166752211,              0,              0,         39481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2015年03月31日,,,,              9284281,,                 19389,,                 42645,,                  3497,,              2612049,,             69373069,,                224851,,              3418800,,                103059,,                  1949,,             55162987,,              2906312,,,,                579867,            143732755,,,                403906,,                429463,,                  5000,,                816126,,              4636032,,              1135367,,              5714319,                482151,,                362031,             13984395,            157717150,,,,,             38790931,,              4043148,,                  3046,,                586973,,             44728023,,                    875,,              4472631,              1191784,,              3923972,             97741383,,,              5815850,,              7369658,,                409350,,                471882,             14066740,            111808123,,,,             16557092,             16557092,,,             14886934,                 45083,,                 22055,,                232800,             15186872,,              2890021,              1937752,,              8898524,             13726297,,,                291881,,                 75237,                367118,,             45837379,                 71648,             45909027,            157717150,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2014年12月31日,,,,             11184859,,                 15713,,                 45157,,                  3497,,              3228163,,             78752090,,                269541,,              2378924,,                169419,,                  2760,,             47373506,,              2149739,,                              0,,                672316,            146245684,,,                417396,,                395496,,                  5000,,                816213,,              4671850,,              1148625,,              5756557,                496155,,                394240,             14101532,            160347216,,,,,             45193990,,              4087766,,                 10176,,                438529,,             40710731,,                  2058,,              4927500,                874507,,              3991208,            100236465,,,              5796140,,              8305618,,                433431,,                457880,             14993069,            115229534,,,,             16557092,             16557092,,,             14886934,                 45083,                    464,                 20521,                              0,                232800,             15185802,,              2890021,              1937752,,              7501303,             12329076,,,                908749,,                 75012,                983761,                              0,             45055731,                 61951,             45117682,            160347216,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2014年09月30日,,,,             10669510,,                 15097,,                              0,,                  6897,,              3199687,,             76619642,,                242071,,              1569444,,                234521,,                  2696,,             47738092,,              2598300,,                442454,,                547440,            143885851,,,                157034,,                484485,,                  5000,,                743051,,              4685424,,              1107504,,              5759146,                543333,,                326627,             13811604,            157697455,,,,,             43987763,,              4987748,,                  9181,,                506301,,             45688141,,                  3964,,              4639460,              1050859,,              1259616,            102133033,,,              5776497,,              7156215,,                416158,,                513492,             13862362,            115995395,,,,             16557092,             16557092,,,             14886934,                 45083,                              0,                 20079,                              0,                232800,             15184896,,              2890021,              1937752,,              6130392,             10958165,,,             -1085095,,                 26220,             -1058875,                              0,             41641278,                 60782,             41702060,            157697455,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2014年06月30日,,,,              9644501,,                 27489,,                              0,,                  6897,,              3482315,,             69553902,,                195487,,              1417873,,                520353,,                  3240,,             42146390,,              2912360,,                              0,,                367033,            130277840,,,                170511,,                493181,,                  5000,,              1013479,,              4844633,,              1141486,,              5795990,                520289,,                295481,             14280050,            144557890,,,,,             42325626,,              4960286,,                  1058,,                349462,,             40067096,,                 13508,,              8084664,              1008571,,              3756964,            100567235,,,                              0,,              4032062,,                414451,,                519471,              4965984,            105533219,,,,             16557092,             16557092,,,             14886934,                 45083,,                 20863,,                              0,             14952880,,              2890021,              1937752,,              4575253,              9403026,,,             -1975613,,                 30881,             -1944732,                              0,             38968266,                 56405,             39024671,            144557890,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2014年03月31日,,,,             10078211,,                 29699,,                              0,,                  6897,,              2772416,,             67038765,,                266249,,              2153911,,                483071,,                  4408,,             41296910,,              2222663,,,,                919142,            127272342,,,                147288,,                493882,,                  5000,,              1048592,,              4909882,,              1161128,,              5835553,                476448,,                433217,             14510990,            141783332,,,,,             40260899,,              4949695,,                  9219,,                301550,,             39920539,,                  4379,,              4072671,                774846,,              4028736,             94322534,,,                              0,,              4155652,,                529486,,                479823,              5164961,             99487495,,,,             16557092,             16557092,,,             14886934,                 45083,,                 19776,,                              0,             14951793,,              2414390,              2943004,,              6342811,             11700205,,,               -995088,,                 25891,               -969197,,             42239893,                 55944,             42295837,            141783332,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2014年01月01日,,,,              9458603,,                 30818,,                 94158,,                  6897,,              2894722,,             68544814,,                265060,,              1743264,,                399546,,                 10497,,             35056488,,              1744650,,,,                527461,            120776978,,,                186547,,                467581,,                  5000,,              1039601,,              5055011,,              1018200,,              5842880,                313650,,                400976,             14329446,            135106424,,,,,             38865842,,              4879919,,                  6885,,                456174,,             37855857,,                 11252,,              3908939,                511258,,              4645833,             91141959,,,                              0,,              3224738,,                356865,,                450275,              4031878,             95173837,,,,             16557092,             16557092,,,             14886934,                 45083,,                 19776,,                              0,             14951793,,              2414390,              2943004,,              4946348,             10303742,,,             -2027129,,                 89377,             -1937752,,             39874875,                 57712,             39932587,            135106424,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,2013年12月31日,,,,,,                 30818,,                 94158,,                  6897,,              2894722,,             68544814,,                265060,,              1743264,,                399546,,,,             35056488,,              1744650,,,,                527461,            120776978,,,                186547,,                467581,,,,              1039601,,              5055011,,              1018200,,              5842880,                313067,,                400976,             14328863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              9458603,                 10497,                  5000,            135105841,,,,             38865842,,              4879919,,                  6885,,                456174,,             37855857,,                 11252,,              3908939,                511258,,              4645833,             91141959,,,                              0,,              3224738,,                356865,,                445641,              4027244,             95169203,,,,             16557092,             16557092,,,             14886934,                 45083,                 19776,                              0,             14951793,,              2414390,              2943004,,              4950399,             10307793,,,             -2027129,,                 89377,             -1937752,             39878926,                 57712,             39936638
3702,2013年09月30日,,,,,,                 13800,,                  7458,,                 10193,,              2521195,,             66589680,,                236760,,              1612059,,                338537,,,,             40194473,,              2258523,,                              0,,                873639,            122978530,,,                362697,,                476570,,,,              1012626,,              6076056,,                              0,,              5862496,                309651,,                369889,             14474985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              8310171,                 12042,                  5000,            137453515,,,,             40266116,,              4312798,,                 13498,,                 50409,,             40742253,,                  9621,,              4057159,                711556,,              4106760,             94270170,,,                              0,,              3729310,,                319960,,                552727,              4601997,             98872167,,,,             16557092,             16557092,,,             14886934,                 45083,                  5603,                              0,             14937620,,              2414390,              2943004,,              3899199,              9256593,,,             -2376581,,                150626,             -2225955,             38525350,                 55998,             38581348
