證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收款,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 採用權益法之投資貸餘,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 避險之衍生金融負債－流動,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計
3703,2015年09月30日,,,,              2056475,,                              0,,              1613378,                222644,,                195878,,              3394901,              4351207,,                510846,,                156672,,,             20003556,             20003556,,              1364018,,                496133,             34365708,,,              1322188,,                              0,,              3251279,,              2755043,,             10508094,,                513864,                  5018,,,              3751396,              3751396,,                128711,              3880107,             22235593,             56601301,,,,,              8599329,,                 70000,,                              0,                              0,,                  2171,,              4547372,              1161277,,              1063629,                 15348,,                554586,,,              5798141,,                953084,                166175,              6917400,             22931112,,,             11337336,,                  2228,,                383773,                117482,                501255,             11840819,             34771931,,,,              8832160,              8832160,,              6864224,,              4819322,,                747716,                 60377,             21203045,                626325,             21829370,             56601301,              0,              0,      6486000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2015年06月30日,,,,              1634209,,                              0,,              5281936,                 24917,,                169409,,              3505350,              3986036,,                589434,,                128207,,,             19501095,             19501095,,              1128981,,                467906,             36417480,,,              1322188,,                              0,,              3074536,,              2752481,,             10517490,,                482569,                  5018,,,              3667313,              3667313,,                 11174,              3678487,             21832769,             58250249,,,,,             10328329,,                600000,,,                              0,,                  3973,,              4419391,              1057952,,                955435,                 13465,,                557215,,,              5500565,,                652334,                169974,              6322873,             24258633,,,             11478015,,                  2228,,                379135,                119710,                498845,             11979088,             36237721,,,,              8832160,              8832160,,              6864224,,              4941933,,                736359,                              0,             21374676,                637852,             22012528,             58250249,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2015年03月31日,,,,              1414485,,                              0,,              3581281,                 14542,,                127923,,              3671490,              4045031,,                590799,,                137358,,,             18999704,             18999704,,              1036419,,                478790,             34097822,,,              1322188,,                              0,,              3119268,,              2814075,,             10526885,,                465586,                  5018,,,              3578067,              3578067,,                  2851,              3580918,             21833938,             55931760,,,,,              9957668,,                800000,,                              0,                              0,,                  5434,,              4231973,              1536616,,              1009298,                 21654,,                543931,,,              5216728,,                831584,                114024,              6162336,             24268910,,,             10708765,,                  2228,,                376136,                118547,                494683,             11205676,             35474586,,,,              8832160,              8832160,,              6864224,,              4987274,,               -860458,                              0,             19823200,                633974,             20457174,             55931760,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2014年12月31日,,,,              1581758,,                              0,,              2979385,                 24303,,                149123,,              3618839,              3739083,,                646879,,                117062,,,             19771907,             19771907,,                911818,,                227819,             33767976,,,              1322188,,                              0,,              3151781,,              2742927,,             10536281,,                448570,                  5018,,,              3521614,              3521614,,                 12689,              3534303,             21741068,             55509044,,,,,              7356036,,                100000,,                              0,                              0,,                  1950,,              4394354,              1401981,,              1239000,                 20105,,                555898,,,              8023291,,              1207501,                108214,              9339006,             24408330,,,             11139340,,                  2228,,                383552,                124762,                508314,             11649882,             36058212,,,,              8832160,              8832160,,              6864224,,              4533327,,             -1418876,                              0,             18810835,                639997,             19450832,             55509044,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2014年09月30日,,,,              1158114,,                              0,,              3212620,                 23936,,                 68265,,              3675587,              4579988,,                495141,,                117089,,,             20138431,             20138431,,                884285,,                998985,             35352441,,,              1339905,,                 13210,,              2918769,,              2407556,,             10715614,,                435717,                  4994,,,              3473025,              3473025,,                 52317,              3525342,             21361107,             56713548,,,,,              8423661,,                100000,,                     38,                              0,,                  1212,,              4070941,              1492907,,                978801,                114890,,                557813,,,              8402637,,                951751,                 60144,              9414532,             25154795,,,             11646293,,                  4474,,                364864,                133377,                498241,             12149008,             37303803,,,,              8832160,              8832160,,              6865873,,              6618180,,             -3551652,                              0,             18764561,                645184,             19409745,             56713548,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2014年06月30日,,,,              1670217,,                              0,,              3370618,                 20353,,                245081,,              3370030,              4209024,,                544438,,                109512,,,             20344883,             20344883,,              1009813,,                986762,             35880731,,,              1339905,,                 13210,,              2779174,,              2334505,,             10725350,,                418092,                  4994,,,              3428440,              3428440,,                 18444,              3446884,             21062114,             56942845,,,,,              8869453,,                 50000,,,                              0,,                  2351,,              4244029,              1503402,,              1391938,                112877,,                559011,,,              8303318,,                911501,                100193,              9315012,             26048073,,,             11175687,,                  4479,,                361968,                131691,                493659,             11673825,             37721898,,,,              8832160,              8832160,,              6864617,,              6306212,,             -3426331,                              0,             18576658,                644289,             19220947,             56942845,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2014年03月31日,,,,              2180722,,                              0,,              3558710,                 41028,,                136873,,              3512637,              4123112,,                517260,,                105570,,,             20453863,             20453863,,              1011710,,              1332562,             36974047,,,              1339905,,                 13210,,              2768815,,              2272618,,             11193868,,                405613,                  4994,,,              3376335,              3376335,,                 50833,              3427168,             21426191,             58400238,,,,,              9884274,,                700000,,                    705,                              0,,                  1663,,              3967480,              1706319,,                891400,                107948,,                554407,,,              8782963,,                601001,                209651,              9593615,             27407811,,,             11461372,,                  4486,,                363280,                132588,                495868,             11961726,             39369537,,,,              8411581,              8411581,,              6866321,,              6274706,,             -3150264,                              0,             18402344,                628357,             19030701,             58400238,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2014年01月01日,,,,              2073438,,                     55,,              4092893,                 66153,,                158336,,              4230525,              5659774,,              1039406,,                 87400,,,             20195392,             20195392,,                928951,,              1048097,             39580420,,,              1339905,,                 13210,,              2745726,,              2233039,,             11204064,,                387487,                  4994,,,              3344165,              3344165,,                 38301,              3382466,             21310891,             60891311,,,,,             10797510,,              1550000,,                              0,                    425,,                  2213,,              4823251,              1384173,,              1044737,                105611,,                557554,,,              8848852,,                333834,                103849,              9286535,             29552009,,,             11189476,,                  4431,,                366319,                128871,                495190,             11689097,             41241106,,,,              8411581,              8411581,,              6864988,,              6376420,,             -2766845,                              0,             18886144,                764061,             19650205,             60891311,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2013年12月31日,,,,,,                     55,,              4092893,                 66153,,                158336,,              3942177,              3146178,,                573151,,,,,             20195392,             20195392,,                805525,,              1038584,             35502126,,,              1339905,,                 13210,,              2795272,,              2185380,,             11204064,,                387487,                  4994,,,              3344165,              3344165,,                 38301,              3382466,             21312778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1444219,                 39463,             56814904,,,,             10797510,,              1550000,,                  2213,,              3974573,              1084581,,                977729,                105611,,                557554,,,              5983867,,                333834,                103603,              6421304,             25471075,,,             11194801,,                  4431,,                361630,                128073,                              0,                489703,             11688935,             37160010,,,,              8411581,              8411581,,              6864988,,              6381109,,             -2766845,                              0,             18890833,                764061,             19654894,,,                              0,,
3703,2013年09月30日,,,,,,                              0,,              4183177,                 49803,,                 83175,,              2829794,              2979931,,                341790,,,,,             20432545,             20432545,,                814278,,              1045974,             33995831,,,              1216224,,                 13210,,              2812829,,              2186822,,             11214260,,                377664,                  4994,,,              3341303,              3341303,,                 39619,              3380922,             21206925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1195930,                 39434,             55202756,,,,             12475364,,              1461000,,                  2379,,              3512453,                943101,,                843320,                104628,,                624795,,,              6291240,,                411000,                 73026,              6775266,             26742306,,,              9013823,,                  2228,,                373748,                124823,                 91958,                590529,              9606580,             36348886,,,,              8411581,              8411581,,              6864224,,              5674652,,             -2858459,                              0,             18091998,                761872,             18853870,                              0,,,,
