證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　 待註銷股本股數,　　　　 其他流動資產－其他,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　 其他應付款－其他,　　　　　 其他流動負債－其他,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 其他金融資產－流動,　　　　 預付退休金－非流動,　　　　 其他金融資產－非流動,　　　　　 人壽保險現金解約價值,　　　　　 其他金融資產－非流動合計,　　　　 模具設備淨額,　　　　　 模具設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 出租資產－其他淨額,　　　　　 出租資產－其他淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 未完工程及待驗設備,　　　　 應付股利
4106,2015年09月30日,,,,                466033,,                 21608,,                184593,,                 25826,,                235001,,                 22564,,                317400,,                 21995,,                 24681,              1319701,,,,                254863,,                336671,,                 36622,,                 54945,                683101,,,                  6608,                467730,,                 55794,                530132,                 17214,,                 11366,                              0,                 14510,,                    758,                 26634,              1257081,              2576782,,,,,                509929,,                  2257,,                149384,,                252777,                 30943,,                 25536,                970826,,,                      6,,                  1300,                    540,                  1840,                  1846,                972672,,,,                833855,                833855,,                123321,,                213318,                  8852,,                428902,                651072,,                 -5178,                              0,              1603070,                              0,                  1040,              1604110,              2576782,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,2015年06月30日,,,,                464347,,                 80062,,                233738,,                 22972,,                275705,,                 21336,,                266026,,                 16046,,                  4093,              1384325,,,,                254863,,                334813,,                 34677,,                 58931,                683284,,,                  6389,                459964,,                 61836,                528189,                 15700,,                 11309,                              0,                 14018,,                    758,                 26085,              1253258,              2637583,,,,,                210002,,                  2533,,                139206,,                245255,                 51222,,                 17912,                666130,,,                     11,,                  1451,                    577,                  2028,                  2039,                668169,,,,                833855,                833855,,                123321,,                213318,                  8852,,                548925,                771095,,                  7865,,              1736136,                              0,                233278,              1969414,              2637583,              0,              0,,                  7865,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,2015年03月31日,,,,                363874,,                              0,,                244114,,                 22086,,                287016,,                 19271,,                288431,,                 26659,,                  4825,              1256276,,,,                254863,,                340010,,                 34802,,                 61426,                691101,,,                  6823,                446798,,                 66365,                519986,                 17121,,                 11134,                              0,                 14313,,                    758,                 26205,              1254413,              2510689,,,,,                154082,,                  2217,,                158789,,                142418,                 45184,,                 29735,                532425,,,                      4,,                  1657,                    598,                  2255,                  2259,                534684,,,,                833855,                833855,,                123321,,                195477,                  8852,,                601388,                805717,,                 -8465,                              0,              1754428,                              0,                221577,              1976005,              2510689,              0,              0,,                 -8465,              0,                  4825,,                              0,                142418,                 29735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,2014年12月31日,,,,                354558,,                 40013,,                219428,,                 17834,,                260198,,                 15262,,                270504,,                 30460,,                  3406,              1211663,,,,                254863,,                348800,,                 39838,,                 64753,                708254,,,                  7164,                464803,,                 78623,                550590,                 21372,,                 11467,                              0,                 14554,,                    758,                 26779,              1306995,              2518658,,,,,                187533,,                  1427,,                125952,,                176803,                 45047,,                 12995,                549757,,,                      2,,                  1864,                    480,                  2344,                  2346,                552103,,,,                833855,                833855,,                123321,,                195477,                  8852,,                543918,                748247,,                 30829,                              0,              1736252,                              0,                230303,              1966555,              2518658,              0,              0,,                 30829,              0,                  3406,,                              0,                176803,                 12995,                354558,                219428,              2518658,,,,                187533,,                              0,,                  1427,,                125952,,                176803,                176803,                 45047,,                 12995,                 12995,                549757,,,                      2,,                  1864,                    480,                  2344,                  2346,                552103,,,,                833855,                833855,,                123321,,                195477,                  8852,,                543918,                748247,,,                 30829,                 30829,                              0,              1736252,                              0,                230303,              1966555,,,,,,,,,,,,,,,,,
4106,2014年09月30日,,,,                367489,,                  2017,,                203298,,                 20737,,                271446,,                 13869,,                321384,,                 48592,,                  4903,              1253735,,,,                254863,,                349644,,                 43179,,                 64699,                712385,,,                  5234,                465996,,                 86848,                558078,                 16119,,                 11511,                    540,                 14184,,                    758,                 26993,              1313575,              2567310,,,,,                234533,,                  2113,,                150565,,                184727,                 53999,,                 11900,                637837,,,                              0,,                              0,                              0,                              0,                              0,                637837,,,,                833855,                833855,,                123321,,                195477,                  8852,,                524598,                728927,,                 20531,                              0,              1706634,                              0,                222839,              1929473,              2567310,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,2014年06月30日,,,,                398022,,                 10783,,                232521,,                 20603,,                293065,,                 19827,,                313550,,                 21257,,                  7008,              1316636,,,,                254863,,                349412,,                 45337,,                 64686,                714298,,,                  3962,                473975,,                 97344,                575281,                 16591,,                 11539,                    309,                 13909,,                    758,                 26515,              1332685,              2649321,,,,,                239000,,                  7592,,                163540,,                265540,                 60148,,                 22836,                758656,,,                              0,,                              0,                              0,                              0,                              0,                758656,,,,                833855,                833855,,                123321,,                195477,                  8852,,                476956,                681285,,                 27042,,              1665503,                              0,                225162,              1890665,              2649321,              0,              0,,                 27042,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,2014年03月31日,,,,                352990,,                 10018,,                230774,,                 39712,,                301880,,                 26891,,                306239,,                 24386,,                  8723,              1301613,,,,                254863,,                355895,,                 44069,,                 70539,                725366,,,                  2619,                473144,,                105170,                580933,                 14601,,                 11747,                     83,                 14266,,                  3246,                 29342,              1350242,              2651855,,,,,                271915,,                  4376,,                184469,,                178832,                 50970,,                 46854,                739553,,,                              0,,                              0,                              0,                              0,                              0,                739553,,,,                833855,                833855,,                123048,,                182130,                 23805,,                481175,                687110,,                 34389,                              0,              1678402,                              0,                233900,              1912302,              2651855,              0,              0,,                 34389,              0,                  8723,,                  2137,                178832,                 46854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,2013年12月31日,,,,,,                 10008,,,,                 18103,,                240430,,                  7094,,                250165,,                 16161,,                  4231,              1078245,,,,                254863,,                362754,,                 45829,,                 67681,                731127,,,                  3109,                464760,,                110085,                577954,                 15125,,                 11802,,                 14316,,                    758,                 26876,              1351082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                  4231,,,,,                324055,                207998,              2429327,,,,                269038,,                  2758,,                  5690,,                130955,,                134264,                134264,                 35114,,                 21560,                 21560,                599379,,,                              0,,                    143,                              0,                    143,                    143,                599522,,,,                833855,                833855,,                123048,,                182130,                 23805,,                424441,                630376,,,                 18654,                 18654,                              0,              1605933,                              0,                223872,              1829805,,,,,,,,,,,,,,,,,
4106,2013年09月30日,,,,,,                              0,,,,                 20163,,                246664,,                 12929,,                247591,,,,                 25889,              1029489,,,,                254863,,                354361,,                 46426,,                 68231,                723881,,,                  2420,                455581,,                114222,                572223,                 11290,,                 11778,,                 14172,,                    758,                 26708,              1334102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                 24289,,,,,                291014,                185239,              2363591,,,,                257000,,                  1549,,                  5836,,                133373,,,                127867,                 45890,,,                 34725,                606240,,,,,                  5702,,                  5702,                  5702,                611942,,,,                833855,                833855,,                123048,,                182130,                 23805,,                376879,                582814,,,                 -1026,                 -1026,                              0,              1538691,                              0,                212958,              1751649,                  1600,                              0,,,,,,,,,,,,,,,
4106,2013年06月30日,,,,,,                 10025,,,,                 20933,,                260531,,                  8509,,                240285,,,,                 27707,              1095523,,,,                254863,,                360394,,                 48225,,                 62594,                726076,,,                444145,                  3036,,                116882,                564063,                 11113,,                 11769,,                 14395,,                    758,                 26922,              1328174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                 26107,,,,,                328369,                199164,              2423697,,,,                150000,,                    756,,                 11655,,                187118,,,                182336,                 58360,,,                 28934,                619159,,,,,                  5887,,                  5887,                  5887,                625046,,,,                833855,                833855,,                123048,,                182130,                 23805,,                387213,                593148,,,                -10854,                -10854,                              0,              1539197,                              0,                259454,              1798651,                  1600,                              0,,,,,,,,,,,,,,,
