證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付投資款,　　　　 待分配股票股利,　　　 庫藏股票,　　　　 特別盈餘公積,　　　　 其他應付款－其他
4720,2015年09月30日,,,,                327104,,                  1067,,                 55981,,                388137,,                132193,,                 20436,,                  2398,,                267873,,                 15526,,                              0,,                 10221,                  2577,                 12798,              1223513,,,                 22586,,                153435,,                445492,,,                  4802,                  4802,                  5926,,                  9066,                 68906,,                  7828,                 85800,                718041,              1941554,,,,,                213283,,                    765,,                210791,,                 79226,,                 80993,                              0,                 15909,,                  1165,,,                 17116,,                 17446,                 17446,                 22443,                 57005,                659137,,,                 49096,,                 60861,,                 14318,                 43613,                  1278,                 59209,                169166,                828303,,,,                810767,                810767,,,                 19470,                 19470,                              0,                     29,                  1776,                 21275,,                 97459,,                115548,                213007,,,                 46817,                 46817,              1091866,                 21385,              1113251,              1941554,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,2015年06月30日,,,,                244166,,                  1065,,                 46214,,                365807,,                 72445,,                 15599,,                  6631,,                290429,,                 16854,,                              0,,                 31623,                  7780,                 39403,              1098613,,,                 22586,,                143920,,                441672,,,                  5172,                  5172,                  5949,,                     22,                 66310,,                  7488,                 73820,                693119,              1791732,,,,,                148891,,                    854,,                260848,,                 73503,,                 98168,                     10,                 15568,,                    913,,,                 20748,,                  8333,                  8333,                 14516,                 43597,                642352,,,                  2917,,                 49177,,                 14779,                 43781,                  1348,                 59908,                112002,                754354,,,,                753821,                810767,,,                 19470,                 19470,                              0,                     29,                  1776,                 21275,,                 97459,,                 75458,                172917,,,                 14574,                 14574,              1019533,                 17845,              1037378,              1791732,              0,              0,              0,                 56946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,2015年03月31日,,,,                252363,,                  1064,,                 36725,,                357672,,                 59709,,                 10324,,                 12187,,                258107,,                 16114,,,,,,                  7049,              1011314,,,                 22586,,                143499,,                455014,,,                  5708,                  5708,                  5601,,                              0,                 67510,,                  8405,                 75915,                708323,              1719637,,,,,                191913,,                  3264,,                197611,,                 55935,,                 64018,                              0,                  8251,,                    384,,,                 14088,,                 10833,                 10833,                 16502,                 41423,                562799,,,                  4167,,                 47212,,                 16053,                 50135,                  1424,                 67612,                118991,                681790,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,,                 21849,,                 89188,,                128468,                217656,,,                 26204,                 26204,              1019530,                 18317,              1037847,              1719637,              0,              0,              0,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,2014年12月31日,,,,                254133,,                  1062,,                 37858,,                365112,,                 87327,,                 10543,,                  3593,,                267034,,                 13295,,                              0,,                              0,                  4730,                  4730,              1044687,,,                 22586,,                151471,,                463239,,,                  5738,                  5738,                  5315,,                              0,                 68664,,                  8850,                 77514,                725863,              1770550,,,,,                222365,,                  4836,,                168653,,                 85551,,                 85211,                      7,                  3110,,                    343,,,                 14089,,                 13333,                 13333,                 19969,                 47391,                617467,,,                  5417,,                 50386,,                 17339,                 50811,                  1503,                 69653,                125456,                742923,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,                              0,                 21849,,                 89188,,                112242,                201430,,,                 32504,                 32504,              1009604,                 18023,              1027627,              1770550,              0,              0,              0,                              0,,                              0,                254133,                              0,              1770550,,,,                222365,,                  4836,,                168653,,                 85551,,                 85211,                      7,                  3110,,                    343,,,                 14089,,                 13333,                 13333,                 19969,                 47391,                617467,,,                  5417,,                 50386,,                 17339,                 50811,                  1503,                 69653,                125456,                742923,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,                 21849,,                 89188,,                112242,                201430,,,                 32504,                 32504,              1009604,                 18023,              1027627,,,,,
4720,2014年09月30日,,,,                201582,,                  1061,,                 34218,,                359972,,                 85568,,                 26118,,                  2683,,                350390,,                 19339,,                  8260,,                 32097,                  9799,                 41896,              1131087,,,                 22586,,                149503,,                446117,,,                  5994,                  5994,                  5477,,                  3441,                 66928,,                  9449,                 79818,                709495,              1840582,,,,,                274247,,                  1417,,                237430,,                 91023,,                 75233,                     50,                  5341,,                    262,,,                 20233,,                 18416,                 18416,                 15034,                 53683,                738686,,,                  7500,,                 41475,,                 17875,                 50319,                    691,                 68885,                117860,                856546,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,                              0,                 21849,,                 89188,,                 82292,                171480,,,                 19371,                 19371,                966521,                 17515,                984036,              1840582,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,2014年06月30日,,,,                280911,,                  1059,,                 29726,,                317444,,                 58827,,                 13327,,                  6544,,                298655,,                 18368,,                  8260,,                 31233,                  3777,                 35010,              1068131,,,                 22586,,                132356,,                446471,,,                  6068,                  6068,                 11281,,                  4471,                 65507,,                 16460,                 86438,                705200,              1773331,,,,,                267957,,                  3204,,                215826,,                 62656,,                106768,                              0,                 10682,,                    307,,,                 17349,,                 24911,                 24911,                 14183,                 56443,                723843,,,                 11250,,                 36042,,                 18439,                 50975,                    737,                 70151,                117443,                841286,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,                              0,                 21849,,                 89188,,                 46726,                135914,,,                  3664,                  3664,                915248,                 16797,                932045,              1773331,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,2014年03月31日,,,,                260637,,                 11179,,                 35769,,                300000,,                 37027,,                 12129,,                 11071,,                288548,,                 14038,,,,,,                 14259,              1026365,,,                 12586,,                129069,,                465671,,,                  6583,                  6583,                 14109,,                    925,                 67287,,                  8559,                 76771,                704789,              1731154,,,,,                250753,,                  4133,,                197618,,                 52098,,                 61544,                              0,                 16027,,                    372,,,                  9697,,                 30830,                 30830,                 13368,                 53895,                636440,,,                 16250,,                 38113,,                 19897,                 51679,                    801,                 72377,                126740,                763180,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,,                 21849,,                 84099,,                 83146,                167245,,,                  8640,                  8640,                951555,                 16419,                967974,              1731154,              0,              0,              0,,,                 41708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4720,2013年12月31日,,,,,,                  3354,,                 32367,,                335707,,                 47906,,                 11247,,                  2342,,                229497,,                 11874,,,,,,                  7740,              1019082,,,                 12586,,                137838,,                472789,,,                  6022,                  6022,                 13640,,                    700,                 67939,,                  9154,                 77793,                720668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                294714,                 42334,              1739750,,,,                210133,,                  7836,,                189296,,                 73458,,                 84352,                              0,                 11126,,                    347,,,                  9687,,                 39227,                 39227,                 13669,                 62583,                639131,,,                 18750,,                 40883,,                 21045,                 52044,                  1208,                 74297,                133930,                773061,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,                 21849,,                 84099,,                 81248,                165347,,,                 10565,                 10565,                951582,                 15107,                966689,,,,,
4720,2013年09月30日,,,,,,                  1350,,                 28968,,                326806,,                 65437,,                 10147,,                  2209,,                258682,,                 13562,,                              0,,,,                  3299,              1029589,,,                 12586,,                121708,,                461043,,,                  6767,                  6767,                 13304,,                 16877,                 65519,,                 10407,                102032,                717440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                230362,                 88767,              1747029,,,,                246469,,                  1535,,                201418,,                 63718,,                 69687,,                 11300,,                    315,,,                 10968,,                 42936,                 42936,                 18338,                 72242,                666684,,,                 25918,,                 38802,,                 21703,                 53606,                  1081,                 76390,                141110,                807794,,,,                753821,                753821,,,                 19470,                 19470,                  2350,                     29,                 21849,,                 84099,,                 71332,                155431,,,                   -477,                   -477,                930624,                  8611,                939235,                  9229,,,,
4720,2013年06月30日,,,,,,                 18431,,                 27915,,                321576,,                 64023,,                 12488,,                  1982,,                242810,,                  6693,,                              0,,,,                  4578,              1010615,,,                 12586,,                116584,,                494295,,,                  7282,                  7282,                  8944,,                 13544,                 68079,,                  5125,                 86748,                726439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                255179,                 54940,              1737054,,,,                228431,,                  1969,,                144741,,                 57249,,                118860,,                 10766,,                    135,,,                  6454,,                 43540,                 43540,                 30151,                 80145,                642296,,,                 36165,,                 37990,,                 22970,                 54370,                  1251,                 78591,                152746,                795042,,,,                731865,                753821,,,                 19470,                 19470,                  2350,                     29,                 21849,,                 84099,,                 68839,                152938,,,                  5119,                  5119,                933727,                  8285,                942012,,                 21956,                              0,,
