證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
4737,2015年09月30日,,,,                320301,,                  6389,,                294708,,                  4418,,                  1005,,                363070,,                 16478,,                 20714,                 17896,                 38610,              1044979,,,              2872108,,                 25711,                  9430,,                 30868,                  4524,,                138487,                173879,              3081128,              4126107,,,,,                600235,,                              0,,                140192,,                  2175,                167466,                169641,                  2207,,                 12809,,,                              0,                120333,                120333,                 22597,                142930,              1068014,,,              1684667,,                  2868,,                  1089,                    217,                  1306,              1688841,              2756855,,,,                514468,                514468,,                711881,,                131560,,                 11343,              1369252,                              0,              1369252,              4126107,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2015年06月30日,,,,                325065,,                  4218,,                253180,,                  4762,,                  1005,,                364016,,                 22806,,,,                 15053,                990105,,,              2871426,,                 28167,                  9345,,                 56953,                  4707,,                143366,                205026,              3113964,              4104069,,,,,                551434,,                     17,,                155838,,                 36819,                195174,                231993,                  3912,,                 12809,,,                              0,                190000,                190000,                 10109,                200109,              1156112,,,              1615000,,                  1108,,                  1185,                    209,                  1394,              1617502,              2773614,,,,                514468,                514468,,                711309,,                101423,,                  3255,              1330455,                              0,              1330455,              4104069,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2015年03月31日,,,,                307919,,                  4472,,                241086,,                    557,,                  1005,,                341134,,                 14301,,,,                 13045,                923519,,,              2815659,,                 30680,                  9509,,                 97856,                  4726,,                142565,                245147,              3100995,              4024514,,,,,                422255,,                    275,,                158556,,                  8607,                131109,                139716,                 10957,,                 12809,,,                              0,                190000,                190000,                 10048,                200048,                944616,,,              1710000,,                  1242,,                  1281,                    161,                  1442,              1712684,              2657300,,,,                514468,                514468,,                710450,,                137381,,                  4915,              1367214,                              0,              1367214,              4024514,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2014年12月31日,,,,                865506,,                  4761,,                312879,,                  6532,,                  1005,,                327184,,                 14109,,                              0,                  9907,                  9907,              1541883,,,              2840582,,                 32172,                 10545,,                 96988,                  1777,,                143157,                241922,              3125221,              4667104,,,,,                469373,,                     66,,                170143,,                 58353,                164977,                223330,                 11561,,                 12809,,,                514503,                190000,                704503,                 15029,                719532,              1606814,,,              1710000,,                  1731,,                  1377,                     10,                  1387,              1713118,              3319932,,,,                514468,                514468,,                709592,,                117151,,                  5961,              1347172,                              0,              1347172,              4667104,              0,              0,              0,                              0,                865506,                  1005,              4667104,,,,                469373,,                              0,,                              0,,                     66,,                170143,,                 58353,                164977,                223330,                 11561,,                 12809,,,                514503,                190000,                704503,                 15029,                719532,              1606814,,,                              0,,              1710000,,                  1731,,                  1377,                     10,                  1387,              1713118,              3319932,,,,                514468,                514468,,                709592,,                117151,,                  5961,                              0,              1347172,                              0,              1347172
4737,2014年09月30日,,,,                646740,,                  4303,,                271643,,                 20744,,                              0,,                324876,,                 11961,,                              0,                  7676,                  7676,              1287943,,,              2812098,,                 31840,                  8481,,                 97858,                  1724,,                161750,                261332,              3113751,              4401694,,,,,                674262,,                     83,,                147972,,                  2663,                129569,                132232,                  5681,,                  6653,,,                512942,                 95000,                607942,                  4658,                612600,              1579483,,,              1805000,,                    496,,                  1041,                     10,                  1051,              1806547,              3386030,,,,                439468,                439468,,                497065,,                 78893,,                    238,              1015664,                              0,              1015664,              4401694,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2014年06月30日,,,,                612300,,                  3988,,                264209,,                 20224,,                  1005,,                329294,,                 14475,,,,                  4739,              1250234,,,              2839592,,                 34603,                  8043,,                 94388,                  2122,,                170143,                266653,              3148891,              4399125,,,,,                640959,,                    100,,                129624,,                  4569,                198682,                203251,                  5167,,                  1914,,,                511387,                              0,                511387,                  5016,                516403,              1497418,,,              1900000,,                    496,,                  1137,                              0,                  1137,              1901633,              3399051,,,,                439468,                439468,,                494849,,                 68168,,                 -2411,              1000074,                              0,              1000074,              4399125,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2014年03月31日,,,,                540917,,                  3463,,                259126,,                 16400,,                  1182,,                304635,,                 16695,,,,                  6544,              1148962,,,              2871851,,                 37675,                  7351,,                 90545,                  2902,,                174965,                268412,              3185289,              4334251,,,,,                612949,,                     85,,                105888,,                  7503,                110267,                117770,                  2772,,                  1914,,,                509840,                              0,                509840,                  5464,                515304,              1356682,,,              1900000,,                    496,,                  1266,                              0,                  1266,              1901762,              3258444,,,,                439468,                439468,,                491937,,                144169,,                    233,              1075807,                              0,              1075807,              4334251,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4737,2013年12月31日,,,,,,                  4175,,                290942,,                 40861,,,,                310735,,                113493,,,,                  7983,              1431638,,,              2887695,,                 40606,                  7092,,                 96284,                  2844,,                 58085,                157213,              3092606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                662267,                  1182,              4524244,,,,                390827,,                 59945,,                  2280,,                     45,,                 73821,,                 20649,                161134,                181783,                  2580,,                  1914,,,                590081,                              0,                590081,                  4490,                594571,              1307766,,,                243944,,              1900000,,                    496,,                  1361,                              0,                  1361,              2145801,              3453567,,,,                439468,                439468,,                489025,,                141498,,                    686,                              0,              1070677,                              0,              1070677
4737,2013年09月30日,,,,,,                  3106,,                299688,,                 21227,,,,                376776,,                 13324,,,,                 69479,              1096364,,,              2909221,,                 37867,                 12752,,                132574,                  3244,,                139297,                275115,              3234955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                312764,                              0,              4331319,,,,                763138,,                 59965,,                    600,,                              0,,                183320,,                175556,                148406,                323962,                  2350,,                  2514,,,                587627,                              0,                587627,                  3707,                591334,              1927183,,,                243510,,              1100000,,                              0,,                  1544,                      1,                  1545,              1345055,              3272238,,,,                439468,                439468,,                486200,,                135138,,                 -1725,                              0,              1059081,                              0,              1059081
4737,2013年06月30日,,,,,,                  2685,,                314185,,                 20926,,,,                360745,,                 63602,,,,                 58922,              1126385,,,              2591385,,                 40561,                 14200,,                247960,                  3190,,                 36743,                287893,              2934039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                305320,                              0,              4060424,,,,                607592,,                 59908,,                  2580,,                              0,,                213357,,                 29199,                177807,                207006,                 10552,,                  2514,,,                585183,,                585183,                  2418,                587601,              1691110,,,                243079,,              1100000,,                              0,,                  1511,,                  1511,              1344590,              3035700,,,,                439468,                439468,,                481996,,                103917,,                   -657,                              0,              1024724,                              0,              1024724
