證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 專門技術淨額,　　　　　 專門技術,　　　　　 專門技術淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　　 資本公積－普通股股票溢價,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 資本公積－轉換公司債轉換溢價,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 專利權淨額,　　　　　 專利權淨額,　　　　　 其他非流動資產－其他
4755,2015年09月30日,,,,                269191,,                 51455,,                              0,,                935215,,                  5641,                 33835,,,                508107,                508107,,                 28395,,                 34990,              1866829,,,                 56591,,                 69537,,                466901,,                761564,,,                     40,                     40,                     40,                 30543,,                181757,                  3870,,                 54387,                240014,              1625190,              3492019,,,,,                235000,,                 49925,,                  2053,,                328221,,                 10135,                  6430,,                168591,                 21080,,,                 19192,                    830,                 20022,                841457,,,                  4798,,                  9209,,                108447,                108447,                122454,                963911,,,,                897910,                897910,,,                634870,                 12820,                647690,,                 90488,,                679019,                142111,                821130,                911618,,,                 35585,,                 35305,                 70890,              2528108,              2528108,              3492019,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,2015年06月30日,,,,                314108,,                 63012,,                              0,,                859451,,                 10087,                 71620,,,                503610,                503610,,                 24736,,                 17805,              1864429,,,,,                 80861,,                461630,,                793515,,,                     40,                     40,                     40,                 31817,,                103033,                  3670,,,                106703,              1474566,              3338995,,,,,                235000,,                 49922,,                    274,,                287934,,                  6229,                  8170,,                175044,                 22252,,,                 19192,                  2657,                 21849,                806674,,,                  9596,,                              0,,                113621,                113621,                123217,                929891,,,,                892240,                892240,,,                627306,                 19739,                647045,,                 90488,,                703795,                 56742,                760537,                851025,,,                 18794,,,                 18794,              2409104,              2409104,              3338995,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,2015年03月31日,,,,                241180,,                 75899,,                              0,,                778441,,                  3256,                 72570,,,                542892,                542892,,                 24702,,                 33201,              1772141,,,,,                 81703,,                457662,,                829661,,,                     40,                     40,                     40,                 32582,,                 70284,                  3699,,,                 73983,              1475631,              3247772,,,,,                170000,,                 49921,,                  2003,,                310253,,                  8627,                  2211,,                104320,                 22158,,,                 19192,                    417,                 19609,                689102,,,                 14394,,                  1236,,                114648,                114648,                130278,                819380,,,,                892240,                892240,,,                627306,                 17742,                645048,,                 76027,,                755937,                 35634,                791571,                867598,,,                 23506,,,                 23506,              2428392,              2428392,              3247772,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,2014年12月31日,,,,                139261,,                 89677,,                 40800,,                801868,,                  9072,                 37995,,,                545887,                545887,,                 68378,,                 30276,              1763214,,,                              0,,                 82463,,                449547,,                859637,,,                     40,                     40,                     40,                 31717,,                 58233,                  3676,,                              0,                 61909,              1485313,              3248527,,,,,                230000,,                 49921,,                  3836,,                260613,,                  5451,                 15331,,                112568,                 15939,,,                 19192,                  3260,                 22452,                716111,,,                 19192,,                  1890,,                114655,                114655,                135737,                851848,,,,                892230,                892230,,,                627293,                 16038,                643331,,                 76027,,                755937,                              0,                755937,                831964,,,                 29154,,                              0,                 29154,              2396679,              2396679,              3248527,              0,              0,              0,                139261,              3248527,,,,                230000,,                 49921,,                  3836,,                260613,,                  5451,                 15331,,                112568,                 15939,,,                 19192,                  3260,                 22452,                716111,,,                 19192,,                  1890,,                114655,                              0,                114655,                135737,                851848,,,,                892230,                892230,,,                627293,                 16038,                643331,,                 76027,,                611324,                144613,                755937,                831964,,,                 29154,                 29154,              2396679,              2396679,,,,,,,,,,
4755,2014年09月30日,,,,                204885,,                 94002,,                              0,,                795036,,                  6588,                  1217,,,                433748,                433748,,                 36497,,                 27193,              1599166,,,                              0,,                 80476,,                470026,,                892136,,,                     64,                     64,                     64,                 30925,,                 19371,                  3611,,                              0,                 22982,              1496609,              3095775,,,,,                215000,,                 49917,,                  1948,,                216068,,                  1409,                 11329,,                 94398,                  4026,,,                 19936,                    617,                 20553,                614648,,,                 23990,,                    247,,                113564,                113564,                137801,                752449,,,,                892030,                892030,,,                627036,                 14540,                641576,,                 76027,,                722014,                              0,                722014,                798041,,,                 11679,,                              0,                 11679,              2343326,              2343326,              3095775,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,2014年06月30日,,,,                230708,,                 59582,,                              0,,                803083,,                  4213,                    950,,,                516142,                516142,,                 29000,,                 33717,              1677395,,,,,                 81247,,                453038,,                920514,,,                     64,                     64,                     64,                 30808,,                 19279,                  5597,,,                 24876,              1510547,              3187942,,,,,                220000,,                 49916,,                  3729,,                294965,,                  3387,                  5364,,                149371,                 11711,,,                 22160,                  1550,                 23710,                762153,,,                 28783,,                     33,,                114125,                114125,                142941,                905094,,,,                880000,                880000,,,                611529,                 28466,                639995,,                 76027,,                682310,                              0,                682310,                758337,,,                  4516,,,                  4516,              2282848,              2282848,              3187942,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,2014年03月31日,,,,                184234,,                 66317,,                              0,,                755593,,                  2256,                    950,,,                496180,                496180,,                 42100,,                 25198,              1572828,,,,,                 90334,,                444990,,                924766,,,                     64,                     64,                     64,                 31467,,                 43391,                  5508,,,                 48899,              1540520,              3113348,,,,,                245000,,                 49915,,                  1948,,                229502,,                  5972,                 14474,,                 84828,                 18112,,,                 24366,                  1205,                 25571,                675322,,,                 33582,,                    871,,                113437,                113437,                147890,                823212,,,,                880000,                880000,,,                611529,                 25051,                636580,,                 62925,,                698510,                              0,                698510,                761435,,,                 12121,,,                 12121,              2290136,              2290136,              3113348,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4755,2013年12月31日,,,,,,                 65969,,                              0,,                786941,,                  9451,                    950,,,                574036,                574036,,                 26769,,                 21386,              1647738,,,,,                 89062,,                440556,,                901107,,,                     40,                     40,                     40,                 32720,,                 88886,                  5523,,                              0,                 94409,              1557894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                162236,              3205632,,,,                276841,,                 49915,,                              0,,                244172,,                  8891,                 10747,,                134819,                 17364,,,                 38556,                  1619,                 40175,                782924,,,                 38384,,                    126,,                112751,                              0,                112751,                151261,                934185,,,,                880000,                880000,,,                611529,                 22253,                633782,,                 62925,,                544936,                143923,                688859,                751784,,,                  5881,                  5881,              2271447,              2271447,,,,,,,,,,
4755,2013年09月30日,,,,,,                 69542,,,,                740699,,                  8504,                  1381,,,                546987,                546987,,                 28433,,                 34135,              1568412,,,,,                 88613,,                440544,,                758909,,,,,                     13,                 31690,,                243580,                  5534,,                              0,                249114,              1568883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                138731,              3137295,,,,                418850,,                 39931,,                  1780,,                303849,,                  9889,                  1874,,                132287,                 12496,,,                 45998,                  1148,                 47146,                968102,,,                 43921,,                              0,,                111640,                              0,                111640,                155561,              1123663,,,,                800000,                800000,,,                459529,                 18257,                477786,,                 62925,,                671622,                              0,                671622,                734547,,,                  1299,                  1299,              2013632,              2013632,,                     13,,,,,,,,
4755,2013年06月30日,,,,,,                 82152,,,,                854457,,                 12818,                  2044,,,                475102,                475102,,                 19397,,                 28014,              1642005,,,,,                 89435,,                440414,,                773053,,,                              0,                              0,                              0,                 32248,,                196364,                  5523,,,                201887,              1537037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                168021,              3179042,,,,                275572,,                 39996,,                  3316,,                397308,,                  9240,                  1850,,                210848,                 28014,,,                 59445,                  1180,                 60625,              1026769,,,                 52203,,                              0,,                111052,,                111052,                163255,              1190024,,,,                800000,                800000,,,                459529,                 14474,                474003,,                 62925,,                646679,                              0,                646679,                709604,,,                  5411,                  5411,              1989018,              1989018,,,                459529,                  5411,,,,,,
