證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 保證合約之長期負債準備,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 應付股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 保證合約之長期負債準備,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利
4919,2015年12月31日,,,,              1825672,,                643816,,                 56392,,                240227,,,              1037432,              1037432,,                 91128,                 91128,              3894667,,,                378564,,                463594,,                 71866,,                242622,                127287,,                 69370,,                 43878,                113248,              1397181,              5291848,,,,,                  1379,,                666073,,                816083,                816083,                 53834,,                 43014,              1580383,,,                101891,                101891,,                378733,                109040,                487773,                589664,              2170047,,,,              2075544,              2075544,,,                 63485,                     13,                 63498,,                293628,,                627654,                921282,,,                 61477,                 61477,              3121801,                              0,              3121801,              5291848,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2015年09月30日,,,,              1694207,,                833123,,                 53445,,                246022,,,              1001671,              1001671,,                 98308,                 98308,              3926991,,,                384064,,                446944,,                 75803,,                261303,                131583,,                 69312,,                 44347,                113659,              1413356,              5340347,,,,,                              0,,                752537,,                782069,                782069,                 47427,,                 45721,              1627754,,,                 94745,                 94745,,                420593,                 99533,                520126,                614871,              2242625,,,,              2075544,              2075544,,,                 63485,                     13,                 63498,,                293628,,                592727,                886355,,,                 72325,                 72325,              3097722,                              0,              3097722,              5340347,              0,              0,              0,,                    215,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2015年06月30日,,,,              2010322,,                817329,,                 60950,,                 44763,,,                963112,                963112,,                 75110,                 75110,              3971586,,,                384064,,                436332,,                 74111,,                279773,                137319,,                 68015,,                 44597,                112612,              1424211,              5395797,,,,,                    171,,                745080,,                733706,                982771,                113076,,                 44241,              1885339,,,                 86351,                 86351,,                418605,                101091,                519696,                606047,              2491386,,,,              2075544,              2075544,,,                 63485,                     13,                 63498,,                293628,,                444441,                738069,,,                 27300,                 27300,              2904411,                              0,              2904411,              5395797,              0,              0,              0,,                              0,,                              0,                              0,                249065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2015年03月31日,,,,              1807815,,                685252,,                 45888,,                 49265,,,                896017,                896017,,                102525,                102525,              3588022,,,                388564,,                434240,,                 76467,,                294518,                139475,,                 68027,,                 45386,                113413,              1446677,              5034699,,,,,                              0,,                630595,,                690352,                690352,                 89733,,                 37636,              1448316,,,                 78874,                 78874,,                416725,                 99342,                516067,                594941,              2043257,,,,              2075544,              2075544,,,                 63485,                     13,                 63498,,                259319,,                567416,                826735,,,                 25665,                 25665,              2991442,                              0,              2991442,              5034699,              0,              0,              0,,                  1260,,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2014年12月31日,,,,              1753118,,                685314,,                 48331,,                 47664,,,                793929,                793929,,                 86613,                 86613,              3414969,,,                388564,,                447140,,                 78506,,                309790,                140771,,                 68212,,                 46075,                114287,              1479058,              4894027,,,,,                  5641,,                540044,,                726631,                726631,                 71194,,                 38227,              1381737,,,                 72698,                 72698,,                414764,                110759,                525523,                598221,              1979958,,,,              2075544,              2075544,,,                 63485,                     13,                 63498,,                259319,,                471650,                730969,,,                 44058,                 44058,              2914069,                              0,              2914069,              4894027,              0,              0,              0,,                              0,,                              0,                              0,                              0,                              0,              1753118,              4894027,,,,                              0,,                  5641,,                540044,,                726631,                726631,                 71194,,                 38227,              1381737,,,                 72698,                 72698,,                414764,                110759,                525523,                598221,              1979958,,,,              2075544,              2075544,,,                 63485,                              0,                     13,                 63498,,                259319,                              0,,                471650,                730969,,,                 44058,                 44058,              2914069,                              0,              2914069,
4919,2014年09月30日,,,,              1611740,,                756153,,                 67029,,                 56015,,,                816554,                816554,,                 84191,                 84191,              3391682,,,                320493,,                435874,,                 77340,,                330740,                140706,,                 68242,,                 46940,                115182,              1508456,              4900138,,,,,                  4225,,                609909,,                726692,                726692,                 63926,,                 43719,              1448471,,,                 66988,                 66988,,                405675,                111100,                516775,                583763,              2032234,,,,              2075544,              2075544,,,                 63485,                     13,                 63804,,                259319,,                447318,                706637,,,                 21919,                 21919,              2867904,                              0,              2867904,              4900138,              0,              0,              0,,                              0,,                 88121,                    306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2014年06月30日,,,,              1757872,,                836511,,                 77338,,                 51164,,,                837409,                837409,,                 69272,                 69272,              3633260,,,                320493,,                449779,,                 77334,,                327112,                143130,,                 63681,,                  2013,                 65694,              1467781,              5101041,,,,,                              0,,                645650,,                719606,                968671,                 85323,,                 40274,              1739918,,,                 59685,                 59685,,                402610,                114037,                516647,                576332,              2316250,,,,              2075544,              2075544,,,                 63485,                     13,                 63770,,                259319,,                359414,                618733,,,                 26744,                 26744,              2784791,                              0,              2784791,              5101041,              0,              0,              0,,                  3694,,                 84239,                    272,                249065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2014年03月31日,,,,              1797272,,                711482,,                 64846,,                 59251,,,                848241,                848241,,                 90148,                 90148,              3571240,,,                320493,,                461438,,                 80184,,                293285,                146292,,                 63012,,                  2235,                 65247,              1454124,              5025364,,,,,                  1000,,                637019,,                787525,                787525,                118317,,                 46092,              1589953,,,                 51650,                 51650,,                399636,                114969,                514605,                566255,              2156208,,,,              2075544,              2075544,,,                 63485,                     13,                 64527,,                233397,,                377434,                687319,,,                 41766,                 41766,              2869156,                              0,              2869156,              5025364,              0,              0,              0,,                              0,,                 87185,                  1029,,                 76488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4919,2013年12月31日,,,,,,                746156,,                 57224,,                112246,,,                862709,                862709,,                 62234,                 62234,              3559999,,,                320493,,                452907,,                 80401,,                185164,                148279,,                 63324,,                  2474,                 65798,              1335523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                 82481,,,,              1719430,              4895522,,,,                178830,,                    704,,                552240,,                703696,                703696,                107627,,                 36539,              1579636,,,                 45415,                 45415,,                399306,                 64446,                463752,                509167,              2088803,,,,              2075544,              2075544,,,                 63485,                    413,                     13,                 63911,,                233397,                 76488,,                333193,                643078,,,                 24186,                 24186,              2806719,                              0,              2806719,
4919,2013年09月30日,,,,,,                807480,,                 58417,,                100974,,,                914308,                914308,,                 92123,                 92123,              3377859,,,                320493,,                440008,,                 80344,,                194560,                162053,,                 63070,,                  2497,                 65567,              1341849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  4457,,                 78824,,,,              1400100,              4719708,,,,                              0,,                              0,,                642551,,                653212,                653212,                107275,,                 42747,              1445785,,,                 38760,                 38760,,                399121,                 70639,                469760,                508520,              1954305,,,,              2075544,              2075544,,,                 63485,                    250,                     13,                 63748,,                233397,                 76488,,                307884,                617769,,,                  8342,                  8342,              2765403,                              0,              2765403,
