證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 待分配股票股利,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計
4958,2015年09月30日,,,,             16850544,,                              0,,             17143394,,              2925698,,                456545,,              9733568,,              1625909,,              5422987,             54158645,,,                116325,,                              0,,             32811228,,                 98140,                303102,,,                              0,,              1731742,              1731742,             35060537,             89219182,,,,,              5688275,,                 11666,,             15976628,,                450057,,              8376441,                914296,,,              7883687,                124069,              8007756,             39425119,,,              9114297,,                              0,,                              0,,,                              0,                 96973,                 96973,              9211270,             48636389,,,,              8047484,              8047484,,,             11063699,                878733,                    258,             11942690,,              1869924,,             15552493,             17422417,,,              3150853,,                 19349,              3170202,             40582793,             40582793,             89219182,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,2015年06月30日,,,,             21801442,,                  5703,,             12371080,,              2985555,,                477233,,              5822537,,              1199334,,              5788829,             50451713,,,                118932,,                              0,,             30539741,,                 92138,                300953,,,                              0,,              1648616,              1648616,             32700380,             83152093,,,,,              7905607,,                              0,,             11618572,,                284476,,              9545885,                447951,,,              7399542,                118753,              7518295,             37320786,,,              8506334,,                              0,,                              0,,,                              0,                134264,                134264,              8640598,             45961384,,,,              8047484,              8047484,,,             11063699,                878733,                    258,             11942690,,              1869924,,             13401552,             15271476,,,              1907163,,                 21896,              1929059,             37190709,             37190709,             83152093,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,2015年03月31日,,,,             21841097,,                 10101,,              9308500,,              3923737,,                785782,,              5023925,,              1156601,,              6031158,             48080901,,,                147307,,                              0,,             29964988,,                 93453,                263796,,,                              0,,              1675153,              1675153,             32144697,             80225598,,,,,              4476029,,                              0,,             10398777,,                295074,,              6142482,                860233,,,              8456200,                 95222,              8551422,             30724017,,,              8576270,,              5003479,,                              0,,,                              0,                142815,                142815,             13722564,             44446581,,,,              7677681,              7677681,,,              5690348,                895804,              2399714,              8985866,,              1196456,,             15496638,             16693094,,,              2371969,,                 50407,              2422376,             35779017,             35779017,             80225598,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,2014年12月31日,,,,             17903172,,                              0,,             15021942,,              6441147,,              1160190,,              6036268,,              1045517,,              5581483,             53189719,,,                131414,,                              0,,             30072970,,                 94497,                296721,,,                              0,,              1699226,              1699226,             32294828,             85484547,,,,,              4216762,,                 37419,,             15473849,,                491042,,              6920126,              1173257,,,             11229804,                 87063,             11316867,             39629322,,,              8620251,,              5058373,,                              0,,,                              0,                153856,                153856,             13832480,             53461802,,,,              7386311,              7386311,,,              5693099,                909051,                              0,              6602150,,              1196456,,             14121724,             15318180,,,              2681752,,                 34352,              2716104,             32022745,             32022745,             85484547,              0,              0,              0,,,             17903172,             85484547,,,,              4216762,,                 37419,,             15473849,,                491042,,              6920126,              1173257,,,             11229804,                 87063,             11316867,             39629322,,,              8620251,,              5058373,,                              0,,,                              0,                153856,                153856,             13832480,             53461802,,,,              7386311,              7386311,,,              5690348,                909051,                  2751,              6602150,,              1196456,,             14121724,             15318180,,,              2681752,,                 34352,              2716104,             32022745,             32022745,,,,,,
4958,2014年09月30日,,,,             16805842,,                 25838,,             12007713,,              7432689,,                800167,,              6573848,,              1309491,,                  2987,             44958575,,,                159188,,                              0,,             29400316,,                 90825,                229082,,,                              0,,              1364382,              1364382,             31243793,             76202368,,,,,              3165044,,                              0,,             12980013,,                283266,,              7211065,                525343,,,              8333972,                 82316,              8416288,             32581019,,,              8235343,,              7291167,,                    155,,,                              0,                 45155,                 45155,             15571820,             48152839,,,,              7386311,              7386311,,,              5693099,                909051,                              0,              6602150,,              1196456,,             10876531,             12072987,,,              1926021,,                 62060,              1988081,             28049529,             28049529,             76202368,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,2014年06月30日,,,,             18843300,,                  7022,,              8931042,,              7671695,,                797975,,              4754539,,                819417,,                  2434,             41827424,,,                130789,,                              0,,             28234297,,                 89183,                201254,,,                              0,,              1320373,              1320373,             29975896,             71803320,,,,,              3728075,,                              0,,              9855363,,                169839,,              8709422,                247188,,,              8158359,                 74907,              8233266,             30943153,,,              8037445,,              7157848,,                    155,,,                              0,                 34324,                 34324,             15229772,             46172925,,,,              7385968,              7385968,,,              5690348,                909067,                              0,              6599415,,              1196456,,              9282681,             10479137,,,              1132197,,                 33678,              1165875,             25630395,             25630395,             71803320,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,2014年03月31日,,,,             13766598,,                  4002,,              5726129,,              9907234,,                680381,,              4023079,,                823902,,                  3243,             36306449,,,                114041,,                              0,,             28047216,,                 90974,                162478,,,                              0,,              1156444,              1156444,             29571153,             65877602,,,,,              6972197,,                 38751,,              9249490,,                176476,,              5504033,                734867,,,              1120830,                 70639,              1191469,             23867283,,,              5860289,,              9733472,,                    155,,,                              0,                 35495,                 35495,             15629411,             39496694,,,,              7385968,              7385968,,,              5690348,                 30334,                              0,              5720682,,                649375,,             11061740,             11711115,,,              1546095,,                 17048,              1563143,             26380908,             26380908,             65877602,              0,              0,              0,,              1371881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4958,2013年12月31日,,,,,,                 14712,,              9199823,,             14621745,,                973029,,              4867381,,                701419,,                    795,             40394635,,,                 96916,,                417220,,             27843109,,                 89004,                134207,,,              1378891,,              1197425,              2576316,             31156772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             10015731,             71551407,,,,              9218069,,                              0,,             13576735,,                299088,,              6214777,                889925,,,                956676,                 83165,              1039841,             31238435,,,              5705887,,              7769314,,                    155,,,              1076755,                 46767,              1123522,             14598878,             45837313,,,,              7385968,              7385968,,,              5690348,                 30334,                              0,              5720682,,                649375,,             10150247,             10799622,,,              1807822,,                              0,              1807822,             25714094,             25714094,                              0,,,,,
4958,2013年09月30日,,,,,,                  3945,,              7648891,,              9284708,,                436984,,              4958360,,              1018413,,                819578,             32751440,,,                 96493,,                425975,,             27748178,,                 88287,                 98055,,,              1352887,,              1189408,              2542295,             30999283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              8580561,             63750723,,,,              8747062,,,,             10885669,,                228728,,              5260619,                536278,,,              4716268,                 90986,              4807254,             30465610,,,              5632706,,              3550207,,                              0,,,              1068791,                 33743,              1102534,             10285447,             40751057,,,,              7385968,              7385968,,,              5690348,                 30334,                              0,              5720682,,                649375,,              7979458,              8628833,,,              1300432,,                -36249,              1264183,             22999666,             22999666,,,,,,
4958,2013年06月30日,,,,,,                              0,,              4746943,,              7899522,,                434129,,              4051044,,                807799,,                              0,             27217236,,,                 89216,,                479853,,             27692391,,                 89571,                 40950,,,              1368360,,              1242151,              2610511,             31002492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              9277799,             58219728,,,,              5842667,,,,              8123076,,                176363,,              5879699,                363201,,,              4773863,                144163,              4918026,             25303032,,,              5686977,,              4297833,,                              0,,,              1094597,                 53160,              1147757,             11132567,             36435599,,,,              7034255,              7385968,,,              5690348,                 30334,,              5720682,,                649375,,              6543359,              7192734,,,              1528210,,                -43465,              1484745,             21784129,             21784129,                351713,,,,,
