證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 庫藏股票,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額
5215,2015年09月30日,,,,              1230714,,                  4509,,                    181,,                675458,,                    705,,                  2498,,                122735,,                 50555,              2087355,,,                 51886,,                633632,,,                  6425,                  6425,                 17135,,                 45058,,                 13232,                 58290,                767368,              2854723,,,,,                131720,,                    630,,                 79407,,                 33644,,                270031,                 25891,,                 11507,,                    425,                    425,                553255,,,                141634,,                 82887,,                  1115,                225636,                778891,,,,                543375,                543375,,                808412,,                101558,                 58189,,                432623,                592370,,                120127,              2064284,                 11548,              2075832,              2854723,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2015年06月30日,,,,              1262457,,                  2361,,                    152,,                601872,,                    412,,                  4085,,                153021,,                 59153,              2083513,,,                 50454,,                617815,,,                  6705,                  6705,                 21795,,                 44362,,                 12698,                 57060,                753829,              2837342,,,,,                 92910,,                    375,,                 69675,,                 29988,,                427800,                 16255,,                 11254,,                    438,                    438,                648695,,,                140880,,                 75451,,                  1071,                217402,                866097,,,,                543375,                543375,,                808412,,                101558,                 58189,,                364225,                523972,,                 80271,              1956030,                 15215,              1971245,              2837342,              0,              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2015年03月31日,,,,                999228,,                  4357,,                              0,,                652865,,                  1142,,                  1120,,                141953,,                 55795,              1856460,,,                 56591,,                622011,,,                  6855,                  6855,                 24275,,                 44937,,                 16615,                 61552,                771284,              2627744,,,,,                 93855,,,,                 65169,,                 22859,,                246529,                 16665,,                 11330,,                    590,                    590,                456997,,,,,                 88842,,                  1076,                 89918,                546915,,,,                543375,                543375,,                801497,,                 78294,                 58189,,                492663,                629146,,                 91037,              2065055,                 15774,              2080829,              2627744,              0,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2014年12月31日,,,,                917012,,                  7033,,                     25,,                724209,,                  3641,,                  1167,,                165217,,                 63526,              1881830,,,                 56110,,                636767,,,                  7635,                  7635,                 26934,,                 45979,,                 12143,                 58122,                785568,              2667398,,,,,                 95130,,                              0,,                 86613,,                 38025,,                266689,                 24864,,                 10131,,                    626,                    626,                522078,,,                              0,,                 86060,,                  1202,                 87262,                609340,,,,                543375,                543375,,                801497,,                 78294,                 58189,,                447012,                583495,,                118653,              2047020,                 11038,              2058058,              2667398,              0,              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2014年09月30日,,,,                718662,,                 15881,,                    161,,                757628,,                  1499,,                              0,,                146650,,                 53699,              1694180,,,                 55554,,                638511,,,                  7623,                  7623,                 24671,,                 44249,,                 12191,                 56440,                782799,              2476979,,,,,                 52325,,                              0,,                104479,,                 30272,,                255702,                 29221,,                  9421,,                    455,                    455,                481875,,,                              0,,                 74588,,                  1166,                 75754,                557629,,,,                543375,                543375,,                801497,,                 78294,                 58189,,                380522,                517005,,                 46156,              1908033,                 11317,              1919350,              2476979,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2014年06月30日,,,,                739898,,                 14672,,                              0,,                692088,,                    697,,                    651,,                152284,,                 37581,              1637871,,,                 53627,,                631115,,,                  8028,                  8028,                 25961,,                 43721,,                  9629,                 53350,                772081,              2409952,,,,,                 52360,,                              0,,                104303,,                 41144,,                300816,                 20498,,                 10419,,                    462,                    462,                530002,,,                              0,,                 66645,,                  1152,                 67797,                597799,,,,                543375,                543375,,                801497,,                 78294,                 58189,,                301968,                438451,,                 16475,              1799798,                 12355,              1812153,              2409952,              0,              0,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2014年03月31日,,,,                753818,,                 11470,,                     27,,                605139,,                    913,,                     65,,                120121,,                 31955,              1523508,,,                 58477,,                653506,,,                  8774,                  8774,                 23749,,                 44886,,                  7434,                 52320,                796826,              2320334,,,,,                 53366,,,,                 81664,,                 41203,,                228056,                  7036,,                  9165,,                  2446,                  2446,                422936,,,,,                 63463,,                  1218,                 64681,                487617,,,,                543375,                543375,,                801497,,                 72820,                 58189,,                302061,                433070,,                 46788,              1824730,                  7987,              1832717,              2320334,              0,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5215,2013年12月31日,,,,,,                              0,,                    121,,                602816,,                    387,,,,                131681,,                 47124,              1507154,,,                 57439,,                653431,,,                  7692,                  7692,                 19222,,                 44634,,                 15083,                 59717,                797501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                721949,                  3076,              2304655,,,,                 52369,,                 83602,,                 47030,,                254550,                  7440,,                 10242,,                    543,                    543,                455776,,,                 60085,,                  1207,                 61292,                517068,,,,                543375,                543375,,                801497,,                 72820,                 58189,,                274179,                405188,,                 28559,                              0,              1778619,                  8968,              1787587,                              0,,                              0
5215,2013年09月30日,,,,,,                              0,,                     34,,                577742,,                  2121,,,,                130818,,                 54159,              1471392,,,                 56916,,                635806,,,                  7700,                  7700,                 15745,,                 43543,,                 14192,                 57735,                773902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                703973,                  2545,              2245294,,,,                 73913,,                 83572,,                 14571,,                249897,                 11812,,                  8286,,                    524,                    524,                442575,,,                 56235,,                  1191,                 57426,                500001,,,,                543375,                543375,,                801497,,                 72820,                 58189,,                258487,                389496,,                  1152,                              0,              1735520,                  9773,              1745293,,,
5215,2013年06月30日,,,,,,                              0,,                              0,,                459309,,                    196,,,,                145277,,                 33330,              1466314,,,                 63782,,                632362,,,                  7967,                  7967,                  2293,,                 27600,,                  5759,                 33359,                739763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                823773,                  4429,              2206077,,,,                              0,,                 57841,,                 41721,,                312286,                  3085,,                  6800,,                    339,                    339,                422072,,,                 50260,,                  1053,                 51313,                473385,,,,                472500,                543375,,                801497,,                 72820,                 58189,,                235652,                366661,,                 15697,                              0,              1727230,                  5462,              1732692,                 70875,,
