證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　　 待分配股票股利,　　　　 其他應付款項－關係人,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　　　 應收票據－關係人,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 出租資產－其他淨額,　　　　　 出租資產－其他淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 其他應付款項－關係人,　　　 庫藏股票,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）
5534,2015年09月30日,,,,              1132615,,                101768,,                157248,,                 47025,,                  4391,,                    346,                 26595,,                 11265,,,             25013820,             25013820,,                 22396,,                 66011,                746959,                812970,             27330439,,,                 41189,,                 88672,,                570184,,                  4573,                574757,                704618,             28035057,,,,,             10391996,,                480647,,                              0,,                566506,                110697,,              1045020,                171455,              1216475,                 49831,,,              4864830,              4864830,,                691144,                 21097,              5577071,             18393223,,,                              0,,                 32799,                154432,                187231,                187231,             18580454,,,,              2743176,              2743176,,              1078203,,              2384389,,              3208789,              5593178,,,                              0,                              0,              9414557,                 40046,              9454603,             28035057,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2015年06月30日,,,,                757859,,                101045,,                117975,,                 79460,,                  7507,,                 63219,                              0,,                 10056,,,             24954933,             24954933,,                 44732,,                 54761,                342904,                397665,             26534451,,,                 48464,,                 87766,,                870768,,                  5592,                876360,              1012590,             27547041,,,,,             11920838,,                478835,,                              0,,                589008,                125555,,              1045020,                165378,              1210398,                 53834,,,              3175360,              3175360,,                688271,                 13752,              3877383,             18255851,,,                              0,,                 32599,                153923,                186522,                186522,             18442373,,,,              2612549,              2743176,,              1078203,,              2384389,,              2858867,              5243256,,,,                              0,              9064635,                 40033,              9104668,             27547041,              0,              0,              0,,                              0,                130627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2015年03月31日,,,,                641514,,                101472,,                192496,,                              0,,                  7254,,                    530,                 16741,,                 11142,,,             24683456,             24683456,,                 57488,,                 49884,                331800,                381684,             26093777,,,                 22620,,                 88005,,                866843,,                  6825,                873668,                984293,             27078070,,,,,             11893265,,                478494,,                              0,,                599183,                 16424,,,                176493,                176493,                 36991,,,              2841189,              2841189,,,                 11868,              2853057,             16053907,,,                685429,,                 31450,                152925,                184375,                869804,             16923711,,,,              2612549,              2612549,,              1078203,,              2195822,,              4227635,              6423457,,,,                              0,             10114209,                 40150,             10154359,             27078070,              0,              0,              0,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2014年12月31日,,,,              1225146,,                121581,,                149139,,                 10450,,                  7185,,                    504,                 19694,,                 11548,,,             24078859,             24078859,,                 55959,,                 47064,                326596,                373660,             26053725,,,                 26273,,                 88242,,                867713,,                  2270,                869983,                984498,             27038223,,,,,             12148236,,                521662,,                              0,,                472522,                  6306,,                              0,                216792,                216792,                  9643,,,              2653428,              2653428,,                              0,                 13491,              2666919,             16042080,,,                682619,,                  7700,                152625,                160325,                842944,             16885024,,,,              2612549,              2612549,,              1078203,,              2195822,,              4226587,              6422409,,,                              0,                              0,             10113161,                 40038,             10153199,             27038223,              0,              0,              0,,                              0,                              0,                              0,                              0,              1225146,                 10450,,                              0,,                 58877,,                 28862,,                              0,,                    503,             27038223,,,,             12148236,,                521662,,                              0,,                472522,                  6306,,                216792,                  9643,,,              2653428,              2653428,                 13491,              2666919,             16042080,,,                682619,,                              0,,                  7700,                152625,                160325,                842944,             16885024,,,,              2612549,              2612549,,              1078203,,              2195822,,              4226587,              6422409,,                              0,             10113161,                 40038,             10153199,,,,,,,,,,
5534,2014年09月30日,,,,                654855,,                120227,,                 39150,,                              0,,                 32204,,                    499,                  4551,,                  9904,,,             24925108,             24925108,,                 20043,,                 44215,                348521,                392736,             26199277,,,                 25792,,                 88491,,                884358,,                  2847,                887205,              1001488,             27200765,,,,,             11358653,,                627010,,                              0,,                529486,                  7027,,              1617293,                148837,              1766130,                234705,,,              3135349,              3135349,,                              0,                 22789,              3158138,             17681149,,,                679746,,                  6236,                151732,                157968,                837714,             18518863,,,,              2612549,              2612549,,              1078203,,              2195822,,              2755262,              4951084,,,                              0,                              0,              8641836,                 40066,              8681902,             27200765,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2014年06月30日,,,,                556879,,                167075,,                 56976,,                              0,,                  6914,,                    493,                              0,,                 10166,,,             24473697,             24473697,,                 36345,,                 39985,                328239,                368224,             25676769,,,                 31273,,                 88751,,              1019098,,                  2731,              1021829,              1141853,             26818622,,,,,             11992405,,                764841,,                              0,,                397080,                  6818,,              1617293,                 79850,              1697143,                236301,,,              2644251,              2644251,,                              0,                 15369,              2659620,             17754208,,,                676873,,                  3619,                151340,                154959,                831832,             18586040,,,,              2488142,              2612549,,              1078203,,              2195822,,              2305818,              4501640,,,,                              0,              8192392,                 40190,              8232582,             26818622,              0,              0,              0,,                              0,                124407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2014年03月31日,,,,                495046,,                229019,,                 20110,,                              0,,                  8698,,                    342,                              0,,                 13061,,,             23700490,             23700490,,                 66557,,                 36329,                282342,                318671,             24851994,,,                 36604,,                 89011,,                817061,,                  3490,                820551,                946166,             25798160,,,,,             11992075,,                402905,,                              0,,                318156,                  4879,,,                115918,                115918,                151084,,,              2143554,              2143554,,,                  5516,              2149070,             15134087,,,                674032,,                  3603,                150909,                154512,                828544,             15962631,,,,              2488142,              2488142,,              1078203,,              1742198,,              4486814,              6229012,,,,                              0,              9795357,                 40172,              9835529,             25798160,              0,              0,              0,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,2013年12月31日,,,,,,                224499,,                  6660,,                              0,,                 56325,,                    224,                              0,,                 18423,,,             21993582,             21993582,,                 37755,,                181785,                258345,                440130,             23277401,,,                 40129,,                340051,,                704214,,                  3635,                707849,              1088029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                499803,                              0,,                              0,,                 47420,,                 23599,,                268307,,                    725,             24365430,,,,             10960069,,                375462,,                              0,,                323006,                  7291,,                 79643,                145389,,,              1760306,              1760306,                  3923,              1764229,             13655089,,,                671221,,                              0,,                  3875,                150294,                154169,                825390,             14480479,,,,              2488142,              2488142,,              1078203,,              1742198,,              4536246,              6278444,,                              0,              9844789,                 40162,              9884951,                              0,                 79643,,                              0,                              0,                              0,,,,
5534,2013年09月30日,,,,,,                217817,,                 43370,,,,                  8582,,                    221,                              0,,                 14167,,,             20734496,             20734496,,                 41802,,                300253,                120663,                420916,             21996232,,,                 41324,,                340882,,                405716,,                  4265,                409981,                792187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                514861,,,,,,,,,,,,             22788419,,,,              9564505,,                288423,,                              0,,                349355,                  6147,,                 92195,                145388,,,              1840026,              1840026,                 15438,              1855464,             12301477,,,                668348,,,,                  4258,                150005,                154263,                822611,             13124088,,,,              2488142,              2488142,,              1078203,,              1742198,,              4315604,              6057802,,                              0,              9624147,                 40184,              9664331,                              0,                 92195,,                              0,,,,,,
5534,2013年06月30日,,,,              1045325,,                213016,,                 22784,,,,                 12239,,                    218,                              0,,                 12580,,,             17555717,             17555717,,                 22945,,,,                112284,             18997108,,,                 51095,,                346135,,                404949,,                  4845,                409794,                807024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,,,,,,,,,,             19804132,,,,              4355000,,                282262,,                              0,,                383040,                  2159,,              2544629,                228976,,,              1706298,              1706298,                  3882,              1710180,              9506246,,,                666237,,                    233,,                  5760,                149394,                155154,                821624,             10327870,,,,              2487999,              2487999,,              1077628,,              1742198,,              4128251,              5870449,,                              0,              9436076,                 40186,              9476262,              2481503,                 63126,,,,,,,,
