證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動合計,　　　 附賣回債券投資,　　　 應收證券融資款,　　　 轉融通保證金,　　　 應收轉融通擔保價款,　　　 應收證券借貸款項,　　　　 應收證券借貸款項合計,　　　 客戶保證金專戶,　　　　 客戶保證金專戶合計,　　　 應收期貨交易保證金,　　　 借券擔保價款,　　　 借券保證金－存出,　　　 應收票據,　　　　 應收票據合計,　　　 應收帳款,　　　　 應收帳款合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他應收款,　　　　 其他應收款合計,　　　 本期所得稅資產,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動合計,　　　 採用權益法之投資,　　　 不動產及設備,　　　　 不動產及設備淨額,　　　 投資性不動產,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產淨額,　　　 非流動資產淨額,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付商業本票,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 附買回債券負債,　　　　　 附買回債券負債合計,　　　　 融券保證金,　　　　 應付融券擔保價款,　　　　 借券保證金－存入,　　　　 期貨交易人權益,　　　　　 期貨交易人權益合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 預收款項,　　　　　 預收款項合計,　　　　 代收款項,　　　　　 代收款項合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他金融負債－流動,　　　　　 其他金融負債－流動合計,　　　　 本期所得稅負債,　　　　 負債準備－流動,　　　　　 負債準備－流動合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他金融負債－非流動,　　　　　 其他金融負債－非流動合計,　　　　 遞延所得稅負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益（合併報表用）,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－股票溢價,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－合併溢額,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積合計,　　　　 保留盈餘（或累積虧損）,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘（或累積虧損）合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現損益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益（合併報表用）,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數（單位：股）,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 長期借款,　　　　　 長期借款合計,　　　　 現金及約當現金總額,　　　 其他金融資產－流動,　　　　 其他金融資產－流動合計,　　　 當期所得稅資產,　　 資產總額,　　　　 當期所得稅負債,　　　 負債總額,　　　 權益總額,　　 負債及權益合計,　　　　　 存入保證金,　　　　　 應計退休金負債－非流動,　　　　　 其他非流動負債－其他,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動合計,　　　　 負債準備－非流動,　　　　　 負債準備－非流動合計,　　　 共同控制下前手權益
6005,2015年09月30日,,,,              8130979,,             26797155,,              6077858,                649354,             12905634,                 48712,                 43620,,                  1532,,             15137031,                  1137,              1726389,              1920923,,                  7758,,              6150255,,                 42471,,                 70978,                 52581,,                541337,             80305704,,,                189778,,                411231,,                 92987,                103520,,              5175479,,              1912536,,              3615747,                491930,,              2083009,             14076217,             94381921,,,,,                685424,                              0,,              3869540,,             24621086,              2312693,              2117125,                668682,,             15074418,,                  1044,,              5560661,,                 25894,,                125268,,                829142,,              4853064,                118497,,                 46793,,                              0,,                  6267,             60915598,,,                156702,                646748,,                835836,              1639286,             62554884,,,,             23690730,             23690730,,              1940208,                107031,                658234,                  1461,                  6287,              2713221,,                955667,              2154422,                974104,              4084193,,                138770,                 34691,                173461,                 38960,             30622645,              1204392,             31827037,             94381921,              0,              0,      4438000,,,,,,,,,,,,,,,,,,,
6005,2015年06月30日,,,,              4506023,,             31428953,,              1471555,                304689,             19527047,                 29161,                 54403,,,,             12810103,,                699787,                632344,,                  7128,,              8041916,,                 69803,,                 98372,                 42177,,                712448,             80435909,,,                188388,,                411231,,                 87602,                 81253,,              5356608,,              1730781,,              3621787,                521901,,              1889986,             13889537,             94325446,,,,,              3018720,              5298724,,              2353132,,             21745640,              1353719,              1627203,                161127,,             12627163,,                     90,,              7092639,,                 20384,,                115146,,              2230476,,              3161528,                153141,,                 46793,,                              0,,                 37560,             61043185,,,                161298,                609605,,                834183,              1605086,             62648271,,,,             23690730,             23690730,,              1940208,                107031,                658234,                  1461,                  6287,              2713221,,                955667,              2154422,                992483,              4102572,,                 32304,                 21418,                 53722,                              0,             30560245,              1116930,             31677175,             94325446,              0,              0,              0,,,,,,,,,,,,,,,,,,,
6005,2015年03月31日,,,,              4416833,,             30090708,,,                              0,             24601055,                    520,                    433,,,,             11650636,,                319041,                290881,,                  1930,,              7213855,,                 84288,,                 90305,                 40338,,              2170455,             80971278,,,                188695,,                419981,,                 90427,                118098,,              5309411,,              1734224,,              3624719,                594406,,              1935855,             14015816,             94987094,,,,,              6924104,              5148641,,              1605249,,             16894187,                815256,                991508,                635476,,             11472000,,                    468,,              8905329,,                 14511,,              1629231,,                692165,,              3311024,                201109,,                 46793,,                              0,,                 37459,             59324510,,,                145592,                603981,,                834280,              2883853,             62208363,,,,             23690730,             23690730,,              1940208,                107031,                658234,,                  6287,              2711760,,                753136,              1756283,              2656629,              5166048,,                 57340,                 23600,                 80940,                              0,             31649478,              1129253,             32778731,             94987094,              0,              0,              0,,              1300000,,,,,,,,,,,,,,,,,
6005,2014年12月31日,,,,              4227583,,             25075152,,                              0,                              0,             19569465,                 15527,                 24434,,                              0,,             11844443,                              0,                649413,                593827,,                  4024,,              6759882,,                 38819,,                 83019,                 35560,,                610381,             69531529,,,                189262,,                419981,,                 85587,                103266,,              5390207,,              1663945,,              3605104,                581309,,              2118153,             14156814,             83688343,,,,,              2657000,              1749717,,              2408410,,             14610182,              2231990,              2593973,              2254764,,             11743420,,                  1146,,              5870521,,                 19833,,                125703,,                827935,,              2140965,                198131,,                 46793,,                500000,,                 15777,             49996260,,,                112565,                543990,,                833408,              1489963,             51486223,,,,             23690730,             23690730,,              1940208,                107031,                658234,                              0,                  6287,              2711760,,                753136,              1756283,              2089222,              4598641,,                 76558,                 20791,                 97349,                              0,             31098480,              1103640,             32202120,             83688343,              0,              0,              0,,                              0,              4227583,,                              0,                 35560,             83688343,                198131,             51486223,             32202120,             83688343,,,,,,,,
6005,2014年09月30日,,,,              3692345,,             25810306,,                              0,                489820,             21456357,                  7299,                  7728,,                    370,,             11041122,                              0,                397940,                370694,,                  5439,,              6114153,,                 46351,,                 35858,                 22089,,              2418854,             71916725,,,                207783,,                419981,,                 74198,                 88600,,              5428172,,              1648044,,              3585739,                671781,,              2205006,             14329304,             86246029,,,,,              3488794,              4499026,,              3306284,,             13537852,              2246353,              2623430,              1134389,,             10903130,,                  1044,,              6423404,,                 13854,,              1859883,,              1043748,,              1355049,                175688,,                 46900,,                              0,,                 17758,             52676586,,,                543250,                566195,,                815256,              1924701,             54601287,,,,             23690730,             23690730,,              1940208,                107031,                658234,                    143,                  6287,              2711903,,                753136,              1756283,              1632574,              4141993,,                  9984,                 14180,                 24164,                              0,             30568790,              1075952,             31644742,             86246029,              0,              0,              0,,,,,,,,,,,,,,,,,,,
6005,2014年06月30日,,,,              3727018,,             24054671,,                              0,                340684,             21194017,                  8219,                  6858,,,,              9273397,,                134341,                123121,,                  7860,,              8201660,,                 35384,,                283206,                 22089,,                665061,             68077586,,,                208389,,                634072,,                 64636,                 72400,,              5677033,,              1405172,,              3590932,                724863,,              2182054,             14559551,             82637137,,,,,              3940366,              7047995,,              1772925,,             12044068,              1404599,              1657887,                512323,,              9126630,,                     90,,              8563825,,                 17227,,                128408,,              1911903,,              1022496,                263654,,                 46900,,                              0,,                 13671,             49474967,,,                786268,                467486,,                816150,              2069904,             51544871,,,,             23690730,             23690730,,              1940208,                107031,                658234,                    143,                  6287,              2711903,,                753136,              1756283,              1170933,              3680352,,                -17988,                  8630,                 -9358,                              0,             30073627,              1018639,             31092266,             82637137,              0,              0,              0,,,,,,,,,,,,,,,,,,,
6005,2014年03月31日,,,,              3339566,,             24994063,,,              2082470,             19375614,                 93891,                 81763,,,,              8249950,,                123049,                251158,,                  7683,,              7620671,,                 30743,,                 40621,                 22089,,                686174,             66999505,,,                209018,,                643772,,                 68798,                104351,,              5693276,,              1407747,,              3599193,                727158,,              2129472,             14582785,             81582290,,,,,              1619000,              5198779,,              2820674,,             15536727,              1451147,              1713788,                759602,,              8189564,,                    471,,              8919813,,                 18249,,                137737,,                651430,,                234440,                281454,,                 46900,,                              0,,                 79442,             47659217,,,              1269749,                443294,,                816351,              2529394,             50188611,,,,             23690730,             23690730,,              1940208,                107031,                658234,,                              0,              2705473,,                605958,              1628318,              1902756,              4137032,,                 12972,                 11092,                 24064,                              0,             30557299,                836380,             31393679,             81582290,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,
6005,2013年12月31日,,,,,,             20303606,,,                558394,             17887398,                190114,                158152,,,,              8649790,,                369830,              1288233,,                  8556,,              7857896,,                 44625,,                 49193,,,              1146631,             63088970,,,                208135,,                667167,,                 71334,                 89488,,              6266465,,                857598,,              3600204,                783007,,              2304683,             14848081,,,,,,              2019000,              2299582,,              1358286,,             13115259,              2366747,              3008916,              1779917,,              8604857,,                    858,,              7681332,,                150905,,                562918,,                855360,,                289377,,,                 46900,,                              0,,                  5323,             44403427,,,              1399141,                453839,,                813451,              2666431,,,,,             23690730,             23690730,,              1940208,                107031,                658234,,                              0,              2705473,,                605958,              1628318,              1423960,              3658236,,                -19525,                 12603,                 -6922,                              0,             30047517,                819676,,,              0,              0,              0,,,              4554344,,                              0,                 22208,             77937051,                257890,             47069858,             30867193,             77937051,,,,,,,,
6005,2013年09月30日,,,,,,             18637314,,                 11951,                531731,             20255443,                 29202,                 39083,,                              0,,              8678934,,                288106,              2105045,,                  2644,,              8483924,,                 50770,,                 57092,,,              2273741,             65478650,,,                208257,,                667167,,                 66640,                 77398,,              6304661,,                859149,,              3592790,                878396,,              2113461,             14767919,,,,,,              5096519,              1399660,,              3572033,,             13940183,              1995844,              2399697,              2567375,,              8632246,,                  1227,,              4554489,,                 12740,,              1810532,,                711202,,                211036,,,                 47539,,,,                  9011,             47467065,,,              1168141,                456579,,                821050,              2445770,,,,,             23690730,             23690730,,              1940208,                107031,                658234,                              0,                              0,              2705473,,                605958,              1628318,                932159,              3166435,,                -31129,                 10214,                -20915,                              0,             29541723,                792011,,,              0,              0,              0,,,              3995127,,                    108,                 38435,             80246569,                505732,             49912835,             30333734,             80246569,                 16008,                463045,                341997,,,,,
6005,2013年06月30日,,,,,,             15984278,,                 14390,                830223,             17624251,                              0,                 10943,,                    540,,              8599077,,                243916,                457249,,                  4095,,              6046863,,                 38914,,                243785,,,                580575,             54666544,,,                208156,,                670167,,                 69503,                 64280,,              6296600,,                862568,,              3597324,                934727,,              2173231,             14876556,,,,,,              1210000,              3099531,,              1151147,,             11498751,              1498402,              1717455,                562526,,              8537422,,                    342,,              5685616,,                  8965,,                130261,,              1075734,,                184986,,,                 47539,,                299789,,                 15306,             37280741,,,              1083303,                461441,,                820945,              2365689,,,,,             23690730,             23690730,,              1940208,                107031,                658234,                              0,                              0,              2705473,,                605958,              1628318,                498053,              2732329,,                -10420,                 11880,                  1460,                              0,             29129992,                766678,,,              0,              0,              0,,,              3949010,,,                 38435,             69543100,                556969,             39646430,             29896670,             69543100,                 15891,                463057,                341997,,,,,
