證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計
6115,2015年09月30日,,,,              2277998,,                115348,,              1459769,,                133579,,              2211751,,                 58488,,                              0,,                 13728,,                510397,,                 46743,,                  7554,              6835355,,,                 63547,,                 89768,,                 22534,,                 62912,,                866843,,                 28162,                 18437,,,                              0,,                246981,                246981,              1399184,              8234539,,,,,              1352736,,                              0,,                  3185,,                  8954,,                824224,,                              0,,                227961,                 28686,,,                244568,                 99967,                344535,                 25285,                369820,              2815566,,,                              0,,                              0,,                 36095,,                183966,,                    600,                220661,              3036227,,,,              1788876,              1788876,,,              1040490,              1040490,                  4651,                114224,                 18260,                 38224,              1215849,,                771380,                121814,,              1141345,              2034539,,                131697,                              0,              5170961,                 27351,              5198312,              8234539,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年06月30日,,,,              2268938,,                111340,,              1592025,,                139455,,              1874248,,                 48542,,                              0,,                              0,,                558195,,                 23993,,                  3863,              6620599,,,                 61513,,                142708,,                 24423,,                 71342,,                876369,,                 30035,                 18781,,,                              0,,                248377,                248377,              1473548,              8094147,,,,,                855647,,                200000,,                              0,,                  5973,,                767175,,                              0,,                863121,                 30129,,,                244819,                 99967,                344786,                 10295,                355081,              3077126,,,                              0,,                              0,,                 69419,,                114098,,                    600,                184117,              3261243,,,,              1788428,              1788428,,,              1039484,              1039484,                  4651,                114224,                 18361,                 38224,              1214944,,                771380,                121814,,                863431,              1756625,,                 72907,                              0,              4832904,                              0,              4832904,              8094147,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2015年03月31日,,,,              1678071,,                 20405,,              2169117,,                177537,,              1892263,,                 47038,,                              0,,                              0,,                551094,,                 24621,,                  3888,              6564034,,,                 62474,,                125280,,                 24423,,                 54887,,                912943,,                 32180,                 17335,,,                              0,,                247134,                247134,              1476656,              8040690,,,,,              1050194,,                              0,,                  2276,,                  4520,,                765886,,                              0,,                220593,                 72759,,,                258607,                 99967,                358574,                  8953,                367527,              2483755,,,                              0,,                              0,,                 86078,,                100336,,                    600,                187014,              2670769,,,,              1783885,              1783885,,,              1099320,              1099320,                  4651,                114224,                 19481,                 38224,              1275900,,                710301,                121814,,              1379281,              2211396,,                 98740,                              0,              5369921,                              0,              5369921,              8040690,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年12月31日,,,,              1464664,,                  5474,,              2381850,,                137903,,              2149408,,                 17540,,                              0,,                              0,,                567316,,                 47299,,                    760,              6772214,,,                              0,,                121828,,                 24423,,                 58767,,                955967,,                 34429,                 16971,,,                 10624,,                161062,                171686,              1384071,              8156285,,,,,              1051507,,                 10000,,                    396,,                  5159,,                901319,,                              0,,                217565,                 61271,,,                278961,                 99967,                378928,                 15037,                393965,              2641182,,,                              0,,                              0,,                119402,,                 93725,,                    600,                213727,              2854909,,,,              1777291,              1777291,,,              1082686,              1082686,                  4651,                114224,                 21106,                 38224,              1260891,,                710301,                121814,,              1298441,              2130556,,                132638,                              0,              5301376,                              0,              5301376,              8156285,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年09月30日,,,,              1927596,,                  5395,,              1838485,,                128904,,              2281494,,                 25188,,                              0,,                              0,,                602171,,                 72232,,                    928,              6882393,,,                              0,,                127335,,                 28951,,                 59593,,                889415,,                 36678,                 15268,,,                              0,,                212192,                212192,              1369432,              8251825,,,,,              1174509,,                200000,,                    816,,                  7789,,                826481,,                              0,,                265128,                 60025,,,                              0,                 99967,                 99967,                 38757,                138724,              2673472,,,                              0,,                313216,,                136061,,                 44516,,                    982,                494775,              3168247,,,,              1766359,              1766359,,,              1055316,              1055316,                  4651,                114224,                 23800,                 38224,              1236215,,                710301,                121814,,              1208923,              2041038,,                 39966,                              0,              5083578,                              0,              5083578,              8251825,              0,              0,              0,              1927596,              1838485,                              0,              8251825,,,,              1174509,,                200000,,                    816,,                  7789,,                826481,,                265128,                 60025,,,                 99967,                 99967,                 38757,                138724,              2673472,,,                              0,,                313216,,                136061,,                 44516,,                    982,                494775,              3168247,,,,              1766359,              1766359,,,              1055316,              1055316,                  4651,                114224,                 23800,                 38224,              1236215,,                710301,                121814,,              1208923,              2041038,,                 39966,                              0,              5083578,                              0,              5083578,,
6115,2014年06月30日,,,,              2054132,,                 64276,,              1604120,,                116583,,              2115115,,                 21401,,                              0,,                              0,,                576486,,                105931,,                  4892,              6662936,,,                     79,,                170329,,                 28951,,                 55755,,                879111,,                 38928,                 16643,,,                              0,,                201080,                201080,              1390876,              8053812,,,,,                838914,,                              0,,                  1801,,                 13391,,                807870,,                              0,,                892008,                 41916,,,                              0,                 99967,                 99967,                 17424,                117391,              2713291,,,                              0,,                366406,,                169386,,                 33558,,                    600,                569950,              3283241,,,,              1749542,              1749542,,,              1013193,              1013193,                  4651,                114224,                 27961,                 38224,              1198253,,                710301,                121814,,                980676,              1812791,,                  9985,                              0,              4770571,                              0,              4770571,              8053812,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2014年03月31日,,,,              2221807,,                  5395,,              1429617,,                104297,,              2102329,,                 22234,,                              0,,                  3242,,                617593,,                116741,,                  8092,              6631347,,,                     79,,                125691,,                 28951,,                 51210,,                922691,,                 41176,                 14942,,,                              0,,                152020,                152020,              1336760,              7968107,,,,,                824925,,                100000,,                              0,,                  7913,,                814461,,                              0,,                289396,                 60111,,,                              0,                 66734,                 66734,                 20691,                 87425,              2184231,,,                              0,,                430036,,                116600,,                 35892,,                    342,                582870,              2767101,,,,              1730738,              1730738,,,                961580,                961580,                  4651,                114224,                 32960,                 38224,              1151639,,                645748,                180376,,              1466701,              2292825,,                 25804,                              0,              5201006,                              0,              5201006,              7968107,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6115,2013年12月31日,,,,,,                              0,,,,                 81643,,              2249411,,                 21258,,,,,,                605902,,                 92753,,                  2925,              6675945,,,                              0,,                140406,,                 28951,,                 40440,,                939058,,                 33426,                 17101,,,,,,                152143,              1351525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2153597,              1458763,                  9693,              8027470,,,,              1086767,,                100000,,                              0,,                  8286,,                953489,,                206273,                 42876,,,                 35000,                 35000,                 24862,                 59862,              2457553,,,                    795,,                477785,,                 66667,,                 36050,,                    600,                581897,              3039450,,,,              1716364,              1716364,,,                922248,                922248,                  4651,                114224,                 36782,                 38224,              1116129,,                645748,                180376,,              1295632,              2121756,,                 33771,                              0,              4988020,                              0,              4988020,,
6115,2013年09月30日,,,,,,                              0,,,,                 72893,,              2282873,,                  9870,,,,,,                582670,,                128462,,                  8325,              6380748,,,                              0,,                173699,,                 30979,,                 42855,,                933028,,                              0,                 17781,,,,,,                156427,              1354769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2170766,              1124889,                              0,              7735517,,,,              1041157,,                200000,,                              0,,                 10515,,                810261,,                193570,                 48470,,,                 23333,                 23333,                 44988,                 68321,              2372294,,,                  1192,,                527340,,                 33334,,                 33884,,                  1491,                597241,              2969535,,,,              1701337,              1701337,,,                881462,                881462,                  4651,                114224,                 40777,                 38224,              1079338,,                645748,                180376,,              1133897,              1960021,,                 25286,                              0,              4765982,                              0,              4765982,,
6115,2013年06月30日,,,,,,                              0,,,,                 79462,,              2311318,,                 10563,,,,,,                525212,,                122132,,                  1666,              7155638,,,                              0,,                173699,,                 30979,,                 37199,,                961518,,                              0,                 17046,,,,,,                158946,              1379387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2058165,              2047120,                              0,              8535025,,,,              1425586,,                100000,,                              0,,                 10680,,                769030,,                853696,                 70879,,,                 11667,                 11667,                 44711,                 56378,              3286249,,,                  1590,,                592359,,                              0,,                 35463,,                    933,                630345,              3916594,,,,              1681667,              1681667,,,                828329,                828329,                  4651,                114224,                 46004,                 38224,              1031432,,                645748,                180376,,              1005692,              1831816,,                 73516,                              0,              4618431,                              0,              4618431,,
