證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－非流動,　　　　　 預收股本,　　　　 庫藏股票,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 避險之衍生金融負債－非流動,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　　 其他非流動資產－其他,　　　　 保固之短期負債準備,　　　　　 一年或一營業週期內到期長期借款,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 預收股本,　　 非控制權益,　　　 應付短期票券,　　　　 應付短期票券合計
6116,2015年09月30日,,,,              3578707,,                513863,,                  5668,,              2426637,,                202373,,                541076,,                236510,,              2183145,,                791626,,              1289408,                295737,              1585145,             12064750,,,                488122,,                298861,,              2131154,,              4087496,,             20000704,,              1185372,,                737147,                 11000,,                 15555,                 99154,,                 64222,                178931,             29118787,             41183537,,,,,                437387,,                 10068,,                 42710,,              2406915,,                 26681,,                493471,              1814241,              2307712,                  5123,                 61371,,                174218,,,              1679650,                 68830,              1748480,              7220665,,                              0,,                              0,,                 16425,,                 23140,                 39565,              7260230,,,,             32339339,             32339339,,                842099,,                621594,                264111,,                492272,              1377977,,,                160061,,               -626502,,               -169667,               -636108,             33923307,             33923307,             41183537,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2015年06月30日,,,,              3712817,,                476432,,                 90348,,              3540218,,                142241,,                603229,,                311887,,              2206979,,                829605,,              3146944,                290996,              3437940,             15351696,,,                679877,,                298861,,                331154,,              4059510,,             20521956,,              1186714,,                747264,                 11000,,                 17832,                 98683,,                 63055,                179570,             28015906,             43367602,,,,,                496608,,                  7509,,                 48393,,              3269378,,                 41997,,                663246,              1637846,              2301092,                  4884,                125553,,                178233,,,                559300,                138654,                697954,              7171601,,                              0,,              1400000,,                 16425,,                 25329,              1441754,              8613355,,,,             33011909,             33011909,,                591212,,                621594,                264111,,              1199478,              2085183,,,,,,,,               -512374,             34754247,             34754247,             43367602,              0,              0,     67257000,                              0,                              0,                421683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2015年03月31日,,,,              5906716,,                484385,,                 14772,,              3176045,,                569426,,                436895,,                312210,,              2162498,,                              0,,              1907418,                328737,              2236155,             15299102,,,                902899,,                298861,,                331154,,              4159618,,             21619031,,              1188055,,                789183,                 11000,,                 89995,                 98212,,                120950,                309157,             29623050,             44922152,,,,,                594700,,                  1941,,                 57727,,              2743102,,                 31434,,                694463,              1840138,              2534601,                316283,                              0,,                183672,,,                558950,                 67286,                626236,              7089696,,                              0,,              1400000,,                 16425,,                154245,              1570670,              8660366,,,,             33011909,             33011909,,                591212,,                567502,                981497,,              1387844,              2936843,,,                112354,,               -220864,,               -169668,               -278178,             36261786,             36261786,             44922152,              0,              0,              0,                 14092,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年12月31日,,,,              5884260,,                561703,,                  3056,,              2251381,,              1218525,,                409862,,                 81957,,              1965513,,                496037,,              2531167,                418231,              2949398,             15821692,,,                917639,,                298861,,                331154,,              4192553,,             22045178,,              1189396,,                465480,                 11000,,                 91574,                 97727,,                116272,                305573,             29756834,             45578526,,,,,                664650,,                 11977,,                 63747,,              2685441,,                258024,,                713334,              2467636,              3180970,                 70949,                 30949,,                190998,,,                558600,                291787,                850387,              8008092,,                120233,,              1680000,,                 16422,,                143671,              1960326,              9968418,,,,             33011909,             33011909,,                617136,,                567502,                981497,,                696175,              2245174,,,                129970,,               -200770,,               -193311,               -264111,             35610108,             35610108,             45578526,              0,              0,              0,                              0,                              0,                              0,,                              0,              5884260,                331154,                 97727,             45578526,,,,                664650,,                 11977,,                 63747,,              2685441,,                258024,,                713334,              2467636,              3180970,                 70949,                 30949,,                190998,,,                558600,                291787,                850387,              8008092,,                120233,,              1680000,,                 16422,,                143671,              1960326,              9968418,,,,             33011909,             33011909,,                617136,,                567502,                981497,,                696175,              2245174,,,                129970,,               -200770,,                              0,,               -193311,               -264111,             35610108,             35610108,,,,,,,,,,
6116,2014年09月30日,,,,              4677607,,                754170,,                              0,,              2344456,,                932775,,                392017,,                 62063,,              2508132,,                              0,,              2840003,                470354,              3310357,             14981577,,,              1564031,,                298861,,                              0,,              4287474,,             23485306,,              1190738,,                500691,                 11000,,                 23516,                 94921,,                123103,                241540,             31579641,             46561218,,,,,              1033642,,                 26800,,                 72800,,              3501691,,                107770,,                963295,              1779553,              2742848,                130433,                              0,,                190614,,,                558600,                 51769,                610369,              8416967,,                 53021,,              1679650,,                 16016,,                133744,              1882431,             10299398,,,,             33011909,             33011909,,                617136,,                567502,                981497,,              1353753,              2902752,,,                  6017,,               -226443,,                -49551,               -269977,             36261820,             36261820,             46561218,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年06月30日,,,,              6388428,,                659463,,                              0,,              2782145,,                968065,,                388501,,                245909,,              2116403,,                              0,,              3382585,                764899,              4147484,             17696398,,,              1597492,,                298861,,                              0,,              2694950,,             24698757,,                              0,,                539237,                 11000,,                 32644,                 94506,,                118062,                245212,             30104244,             47800642,,,,,              1134244,,                  1440,,                 39343,,              3405113,,                 63520,,                912009,              2234830,              3146839,                591022,                              0,,                190786,,,                558600,                 63822,                622422,              9194729,,                              0,,              1959300,,                 16016,,                140870,              2116186,             11310915,,,,             29321218,             33009050,,                634686,,                567502,                981497,,              2094902,              3643901,,,,,,,,               -797910,             36489727,             36489727,             47800642,              0,    369069043,              0,                 18735,              3687832,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2014年03月31日,,,,              7354004,,                669412,,                              0,,              2561576,,                807285,,                598277,,                444744,,              1958569,,                              0,,                896061,                759533,              1655594,             16049461,,,              1437301,,                298861,,                              0,,              2506952,,             24951743,,                              0,,                595533,                 11000,,                 97691,                 94092,,                121098,                312881,             30114271,             46163732,,,,,                975040,,                 25307,,                              0,,              3051282,,                122130,,                595827,              1944804,              2540631,                468764,                              0,,                191569,,,                558600,                 58130,                616730,              7991453,,                 21616,,              1958950,,                 16016,,                284829,              2281411,             10272864,,,,             29321218,             29321218,,                634686,,                              0,                              0,,              6751114,              6751114,,,                 11213,,               -787884,,                -39479,               -816150,             35890868,             35890868,             46163732,              0,              0,              0,                              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2013年12月31日,,,,,,                765319,,                              0,,              2439223,,              1645051,,                454286,,                  9388,,              1731461,,                              0,,              2971020,                757577,              3728597,             17411304,,,              1242016,,                300712,,,,              2452115,,             20920862,,                              0,,                649043,                 11000,,              1896489,,,                119891,              2110058,             27685806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              6637979,                              0,                 93678,             45097110,,,,                894150,,                 13830,,                 39787,,              3315166,,                 97307,,                651009,              1908143,              2559152,                110134,                              0,,                194314,,,                558600,                107287,                665887,              7889727,,                 31813,,              2238600,,                 16016,,                271528,              2557957,             10447684,,,,             29321218,             29321218,,                634686,,                              0,                              0,,              5675018,              5675018,,,                -41016,,               -981090,,                              0,,                 40610,               -981496,             34649426,             34649426,,,,,,,,,,
6116,2013年09月30日,,,,,,                341807,,,,              3518231,,              1479918,,                451832,,                135893,,              2006105,,,,,,              3301080,             19548843,,,              1160524,,                301799,,,,              2562570,,             21714481,,                              0,,                684759,                 12223,,                310302,,,                117419,                513551,             26953041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,          8980,              0,                  3134,,,,,              8313977,,                 85830,             46501884,,,,                931455,,                  2551,,,,              4405177,,                182363,,                910050,              1791709,              2701759,                336033,,,                190193,,,                558600,                250164,                808764,              9558295,,                              0,,              2238250,,                 15578,,                287182,              2541010,             12099305,,,,             29312238,             29321218,,                634934,,                              0,                              0,,              5519357,              5519357,,,,,,,,,,             -1072930,             34402579,             34402579,                117419,                190193,                558600,,                287182,                287182,                  8980,,,
6116,2013年06月30日,,,,,,              1167617,,,,              2393964,,              1404240,,                495909,,                166476,,              1965301,,,,,,              3651719,             21437010,,,              1250402,,                 22828,,,,              2547823,,             19135055,,,,                757100,                 12223,,                120053,,,                119153,                324587,             24050018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2021000,              0,                              0,,,,,             10191784,,                 85381,             45487028,,,,              1642266,,                 24781,,,,              3861149,,                755504,,                651764,              1861978,              2513742,                212077,,,                191815,,,                943250,                238007,              1181257,             10382591,,                 16269,,              2511775,,                 15578,,                286857,              2830479,             13213070,,,,             29292408,             29312618,,                632648,,                              0,                              0,,              3328144,              3328144,,,,,,,,,,               -999452,             32273958,             32273958,                119153,                191815,                943250,,                286857,                286857,                 20210,,,
