證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 應付股利,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
6153,2015年09月30日,,,,              2485465,,                    604,,              5252598,,              1953515,,                              0,                301765,                301765,              9993947,,,                  1312,,              5459919,,                142351,,                 32686,                 75598,,,                              0,                 43976,,                 29542,                 73518,              5785384,             15779331,,,,,                691448,,                              0,,              3445439,,                537331,                              0,                537331,                 61380,,,                              0,                              0,                              0,                979316,                979316,              5714914,,,                              0,,              1449856,              1449856,,                 80024,,                168000,                  1324,                169324,              1699204,              7414118,,,,              3247937,                              0,              3247937,,              1586398,,                858254,                263158,,              2068453,              3189865,,                379248,                 38235,              8365213,                              0,              8365213,             15779331,              0,              0,      1634000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2015年06月30日,,,,              2790987,,                    149,,              4496418,,              1797094,,                              0,                262279,                262279,              9346927,,,                  1312,,              5327352,,                142554,,                 33961,                106954,,,                              0,                 42560,,                 36608,                 79168,              5691301,             15038228,,,,,                787436,,                              0,,              3188689,,                623409,                204620,                828029,                 27722,,,                              0,,                              0,                826256,                826256,              5658132,,,                              0,,,              1448166,,                 45959,,                169472,                  1324,                170796,              1664921,              7323053,,,,              3247937,                              0,              3247937,,              1586228,,                858254,                263158,,              1606025,              2727437,,                169676,                 16103,              7715175,                              0,              7715175,             15038228,              0,              0,        700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2015年03月31日,,,,              3766820,,                    299,,              4229390,,              2202596,,                              0,                303081,                303081,             10502186,,,                  1312,,              5483573,,                142757,,                 27545,                 92191,,,                              0,                 43481,,                 78271,                121752,              5869130,             16371316,,,,,                802293,,                              0,,              4045449,,                761127,,                761127,                 95217,,,                              0,                              0,                              0,                945803,                945803,              6649889,,,                              0,,,              1442620,,                 47435,,                171569,                  1324,                172893,              1662948,              8312837,,,,              3247937,                              0,              3247937,,              1586228,,                817534,                263158,,              1903598,              2984290,,                240024,                              0,              8058479,                              0,              8058479,             16371316,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2014年12月31日,,,,              3985330,,                    299,,              6217219,,              2613422,,                              0,                521391,                521391,             13337661,,,                  1312,,              5640437,,                142959,,                 26682,                 74543,,,                              0,                 44211,,                 70755,                114966,              6000899,             19338560,,,,,                806991,,                              0,,              6315481,,                969479,                              0,                969479,                 97540,,,                              0,                              0,                              0,              1223638,              1223638,              9413129,,,                              0,,              1437096,              1437096,,                128497,,                172705,                  1324,                174029,              1739622,             11152751,,,,              3247937,                              0,              3247937,,              1586228,,                817534,                263158,,              1986657,              3067349,,                284295,                              0,              8185809,                              0,              8185809,             19338560,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2014年09月30日,,,,              2080395,,                    259,,              4971223,,              2343515,,                              0,                329257,                329257,              9724649,,,                  1312,,              5148053,,                143162,,                 27331,                 77571,,,                              0,                 43146,,                 93533,                136679,              5534108,             15258757,,,,,                767459,,                              0,,              4668256,,                663722,                              0,                663722,                 47348,,,                              0,                              0,                              0,              1055136,              1055136,              7201921,,,                              0,,                              0,                              0,,                127964,,                176646,                  1880,                178526,                306490,              7508411,,,,              3247937,                              0,              3247937,,              1523438,,                817534,                263158,,              1769197,              2849889,,                129082,                              0,              7750346,                              0,              7750346,             15258757,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2014年06月30日,,,,              2146665,,                    250,,              4213215,,              1156352,,                              0,                184459,                184459,              7700941,,,                  1312,,              4547601,,                143365,,                 30068,                 23835,,,                              0,                 42369,,                 62410,                104779,              4850960,             12551901,,,,,                766669,,                              0,,              2603170,,                207995,                324794,                532789,                 28248,,,                              0,,                              0,                783957,                783957,              4714833,,,                              0,,,                              0,,                119418,,                177694,                  1880,                179574,                298992,              5013825,,,,              3247937,                              0,              3247937,,              1523438,,                817534,                263158,,              1675959,              2756651,,                 10050,                              0,              7538076,                              0,              7538076,             12551901,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2014年03月31日,,,,              2504608,,                 18459,,              4073989,,              1264049,,                              0,                195021,                195021,              8056126,,,                  1312,,              4671283,,                143567,,                 31517,                 38402,,,                              0,                 43457,,                 25569,                 69026,              4955107,             13011233,,,,,                690327,,                              0,,              3020963,,                194905,,                194905,                 86379,,,                              0,                              0,                              0,                799937,                799937,              4792511,,,                              0,,,                              0,,                120788,,                178860,                  1880,                180740,                301528,              5094039,,,,              3247937,                              0,              3247937,,              1523438,,                752009,                263158,,              2036089,              3051256,,                 94563,                              0,              7917194,                              0,              7917194,             13011233,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6153,2013年12月31日,,,,,,                 17228,,              5651195,,              1361242,,                              0,                383425,                383425,              8997340,,,                  1312,,              4790017,,                143770,,                 29189,                 34277,,,                              0,                 43931,,                 28115,                 72046,              5070611,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1584250,             14067951,,,,                776758,,                              0,,              3775981,,                243440,                              0,                243440,                122393,,,                              0,                              0,                              0,                977497,                977497,              5896069,,,                              0,,                              0,,                122413,,                180088,                  1280,                181368,                303781,              6199850,,,,              3247937,                              0,              3247937,,              1523438,,                752009,                263158,,              1968293,              2983460,,                113266,                              0,              7868101,                              0,              7868101
6153,2013年09月30日,,,,,,                    205,,              4027499,,              1312295,,                              0,                237656,                237656,              7099219,,,                  1312,,              4770242,,                143973,,                 30695,                 36228,,,                              0,                 43463,,                 34784,                 78247,              5060697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1521564,             12159916,,,,                680434,,                  1122,,              2603554,,                280971,                              0,                280971,                 33637,,,                 47342,                              0,                 47342,                887261,                934603,              4534321,,,                              0,,                              0,,                 69880,,                201816,                  1280,                203096,                272976,              4807297,,,,              3247937,                              0,              3247937,,              1524789,,                752009,                263158,,              1530508,              2545675,,                 34218,                              0,              7352619,                              0,              7352619
6153,2013年06月30日,,,,,,                150212,,              3377876,,              1033932,,                 31700,                220613,                252313,              7505315,,,                  1312,,              4767904,,                144175,,                 31842,                 35776,,,                              0,                 44262,,                 25985,                 70247,              5051256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              2690982,             12556571,,,,                782218,,                 29452,,              2006053,,                224255,                487191,                711446,                 70068,,,                738696,,                738696,                724911,              1463607,              5062844,,,                              0,,                              0,,                 70369,,                202887,                  1280,                204167,                274536,              5337380,,,,              3247937,                              0,              3247937,,              1536870,,                752009,                263158,,              1337265,              2352432,,                 81952,                              0,              7219191,                              0,              7219191
