證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
6189,2015年09月30日,,,,              1165642,,                  6721,,                 10105,,                 43658,,              2528977,,                589189,,              2989038,,                 47597,              7380927,,,                  1988,,                    259,,                 16646,,                416898,,,                  5942,                  5942,                 47883,,                 14192,                503808,              7884735,,,,,              1467032,,                190000,,                              0,,                     44,,              1998172,,                266665,                266665,                 35758,,                109850,,,                 23250,                138762,                162012,              4229533,,,                 97493,,                 19616,,                 58603,,                 39088,                              0,                 39088,                214800,              4444333,,,,              1790452,              1790452,,                492636,,                582227,                 12915,,                446484,              1041626,,                  7908,                              0,              3332622,                107780,              3440402,              7884735,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2015年06月30日,,,,              1278191,,                  2228,,                  9594,,                 93404,,              2279348,,                469609,,              3328302,,                 42818,              7503494,,,                  2022,,                    249,,                 15728,,                418379,,,                  4081,                  4081,                 45643,,                  8613,                494715,              7998209,,,,,              1447979,,                190000,,                    134,,                     42,,              1808740,,                837988,                837988,                 74938,,                128759,,,                 23141,                 97002,                120143,              4608723,,,                103346,,,,                 48310,,                 39265,                              0,                 39265,                190921,              4799644,,,,              1790452,              1790452,,                488673,,                582227,                 12915,,                237849,                832991,,                  1403,,              3113519,                 85046,              3198565,              7998209,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2015年03月31日,,,,                939751,,                  2638,,                  4688,,                 59768,,              2342086,,                411817,,              3668106,,                 49597,              7478451,,,                  2049,,,,                 16057,,                424299,,,                  4502,                  4502,                 45729,,                  6717,                499353,              7977804,,,,,              1281681,,                140000,,                    853,,                     42,,              2025275,,                264057,                264057,                113299,,                136779,,,                 23500,                 97032,                120532,              4082518,,,                108705,,,,                 67926,,                 39630,                              0,                 39630,                216261,              4298779,,,,              1790452,              1790452,,                504787,,                519950,                 12915,,                759436,              1292301,,                  2938,,              3590478,                 88547,              3679025,              7977804,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2014年12月31日,,,,              1205467,,                  7479,,                 10177,,                 69836,,              2449736,,                685808,,              3247562,,                 82749,              7758814,,,                  9544,,                              0,,                 16337,,                421545,,,                  5050,                  5050,                 49470,,                  8206,                510152,              8268966,,,,,              1265089,,                140000,,                    259,,                    131,,              2460181,,                296233,                296233,                 95517,,                138625,,,                 23500,                 99441,                122941,              4518976,,,                114396,,                              0,,                 58407,,                 39630,                  1050,                 40680,                213483,              4732459,,,,              1790452,              1790452,,                504787,,                519950,                 12915,,                619434,              1152299,,                  4487,                              0,              3452025,                 84482,              3536507,              8268966,              0,              0,              0,,                              0,              1205467,                 10177,              8268966,,,,              1265089,,                140000,,                    259,,                    131,,              2460181,,                296233,                296233,                 95517,,                138625,,,                 23500,                 99441,                122941,              4518976,,,                114396,,                 58407,,                 39630,                  1050,                 40680,                213483,              4732459,,,,              1790452,              1790452,,                504787,,                519950,                 12915,,                619434,              1152299,,                  4487,                              0,              3452025,                 84482,              3536507
6189,2014年09月30日,,,,                980242,,                  2759,,                  6041,,                103198,,              2972466,,                509167,,              3195556,,                 53392,              7822821,,,                  9530,,                              0,,                 15799,,                423619,,,                  6028,                  6028,                 41922,,                  6936,                503834,              8326655,,,,,                983304,,                140000,,                    743,,                     32,,              3001471,,                255385,                255385,                 59445,,                122762,,,                 23500,                135895,                159395,              4722537,,,                120061,,                              0,,                 54938,,                 35610,                  1050,                 36660,                211659,              4934196,,,,              1790452,              1790452,,                504787,,                519950,                 12915,,                486521,              1019386,,                   -535,                              0,              3314090,                 78369,              3392459,              8326655,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2014年06月30日,,,,              1180129,,                  4132,,                 16383,,                 83843,,              2748982,,                413798,,              2815745,,                 91255,              7355269,,,                  9549,,                              0,,                 15580,,                421108,,,                  5455,                  5455,                 38398,,                  7145,                497235,              7852504,,,,,                708419,,                100000,,                              0,,                     40,,              2467122,,                835829,                835829,                104947,,                101440,,,                 23500,                 85774,                109274,              4427071,,,                125702,,,,                 34139,,                 35581,                  1050,                 36631,                196472,              4623543,,,,              1790452,              1790452,,                504787,,                519950,                 12915,,                329050,                861915,,                 -3100,,              3154054,                 74907,              3228961,              7852504,              0,              0,              0,,                  1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2014年03月31日,,,,              1125845,,                  2290,,                 16497,,                 87848,,              2698653,,                523136,,              2696840,,                 57808,              7212389,,,                  9521,,,,                 11288,,                417678,,,                  6553,                  6553,                 37028,,                  9223,                491291,              7703680,,,,,                838778,,                100000,,                    404,,                     42,,              2348125,,                241216,                241216,                106099,,                105264,,,                 23500,                114578,                138078,              3878006,,,                131317,,,,                 48931,,                 35176,                  1050,                 36226,                216474,              4094480,,,,              1790452,              1790452,,                522316,,                462085,                 12915,,                753746,              1228746,,                   -826,,              3540688,                 68512,              3609200,              7703680,              0,              0,              0,,                  3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6189,2013年12月31日,,,,,,                  6597,,,,                 69437,,              2541676,,                631645,,              2610291,,                 40218,              7270277,,,                 10771,,,,                 11042,,                409187,,,                  7265,                  7265,                 33256,,                 14746,                486267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1354705,                 15708,              7756544,,,,              1154434,,                140000,,                              0,,                  2306,,              2208983,,                271665,                271665,                 65675,,                102398,,,                 23500,                124720,                148220,              4093681,,,                136907,,                 55378,,                 35294,                  1190,                 36484,                228769,              4322450,,,,              1790452,              1790452,,                519202,,                462085,                 12915,,                578598,              1053598,,                 -3316,                              0,              3359936,                 74158,              3434094
6189,2013年09月30日,,,,,,                  4337,,,,                 98311,,              2641082,,                553754,,              2782396,,                109053,              7013391,,,                 12566,,,,                 11049,,                412960,,,                  8143,                  8143,                 31152,,                  5854,                481724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                808750,                 15708,              7495115,,,,              1057014,,                180000,,                              0,,                     42,,              2155938,,                280470,                280470,                 57968,,                 87882,,,                 23500,                162709,                186209,              4005523,,,                142471,,                 34921,,                 31697,                  1190,                 32887,                210279,              4215802,,,,              1790452,              1790452,,                519275,,                462085,                 12915,,                467868,                942868,,                 -2677,                              0,              3249918,                 29395,              3279313
6189,2013年06月30日,,,,,,                  3548,,,,                104060,,              2422484,,                410743,,              2906501,,                 57544,              6854107,,,                 12278,,,,                 11304,,                417003,,,                  8105,                  8105,                 34102,,                  8819,                491611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,                933519,                 15708,              7345718,,,,                710572,,                140000,,,,                     61,,              2206309,,                627845,                627845,                 72109,,                 74726,,,                 25458,                114492,                139950,              3971572,,,                147896,,                 58478,,                 31697,                  1190,                 32887,                239261,              4210833,,,,              1790452,              1790452,,                519275,,                462085,                 12915,,                324952,                799952,,                 -1047,                              0,              3108632,                 26253,              3134885
