證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付公司債,　　　　 應付公司債合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
6197,2015年09月30日,,,,              1474086,,                 55991,,              1801734,,                  9362,,                823213,,                 76436,,                 42297,              4283119,,,                 56641,,                  7081,,                587045,,                 21296,,                199689,                 22577,,                 44036,                938365,              5221484,,,,,                 33924,,              1065887,,                361581,                 25075,,                 12787,                 12787,              1499254,,,                 33457,,                  9411,                 42868,              1542122,,,,              1734478,              1734478,,,              1096075,                              0,              1096075,,                319772,,                485743,                805515,,,                116188,,                 -8152,                108036,                 64742,              3679362,                              0,              3679362,              5221484,              0,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2015年06月30日,,,,              2029784,,                 55493,,              1280950,,                  8439,,                883390,,                 58633,,                 40772,              4357461,,,                 32801,,                  6621,,                565930,,                 21335,,                210677,                 18957,,                 39556,                895877,              5253338,,,,,                 31094,,                929128,,                725021,                 34924,,                 13357,                 13357,              1733524,,,                 20089,,                  9412,                 29501,              1763025,,,,              1734478,              1734478,,,              1096075,                              0,              1096075,,                319772,,                350689,                670461,,,                 56938,,                 -2897,                 54041,                 64742,              3490313,                              0,              3490313,              5253338,              0,              0,      2000000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2015年03月31日,,,,              1948046,,                 61426,,              1222721,,                  6793,,                870590,,                 50958,,                169743,              4330277,,,                 32801,,                  6877,,                549600,,                 21374,,                222721,                 16203,,                 42126,                891702,              5221979,,,,,                 59524,,                842625,,                338892,                 59414,,                 24933,                 24933,              1325388,,,                 17674,,                 20792,                 38466,              1363854,,,,              1734478,              1734478,,,              1217488,                              0,              1217488,,                288274,,                609111,                897385,,,                 75504,,                 -1988,                 73516,                 64742,              3858125,                              0,              3858125,              5221979,,              0,      2000000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2014年12月31日,,,,              1718042,,                102671,,              1385824,,                  5274,,                815132,,                 54464,,                258614,              4340021,,,                 32801,,                  6805,,                534741,,                 21414,,                235151,                 16205,,                 39606,                886723,              5226744,,,,,                 48916,,                859891,,                337707,                 29085,,                 23832,                 23832,              1299431,,,                 25020,,                 20792,                 45812,              1345243,,,,              1734478,              1734478,,,              1217488,                              0,              1217488,,                288274,,                544522,                832796,,,                 90492,,                  9070,                 99562,                  2823,              3881501,                              0,              3881501,              5226744,              0,              0,         90000,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2014年09月30日,,,,              1553798,,                100698,,              1295361,,                  5138,,                777228,,                 43910,,                194198,              3970331,,,                 32801,,                  6994,,                519285,,                 21453,,                246753,                 13145,,                 38126,                878557,              4848888,,,,,                 32652,,                733577,,                281600,                 19854,,                 20542,                 20542,              1088225,,,                 16730,,                 13646,                 30376,              1118601,,,,              1734478,              1734478,,,              1191044,                 26444,              1217488,,                288274,,                440816,                729090,,,                 44271,,                    -84,                 44187,                              0,              3725243,                  5044,              3730287,              4848888,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2014年06月30日,,,,              2034868,,                 91142,,              1162604,,                  4784,,                781473,,                 42177,,                102148,              4219196,,,                 52535,,                  8131,,                514274,,                 21492,,                258773,                 13961,,                 37199,                906365,              5125561,,,,,                 49464,,                600299,,                468571,                 37900,,                 18406,                317634,              1473868,,,                 13424,,                 13716,                 27140,              1501008,,,,              1734478,              1734478,,,              1191044,                 26444,              1217488,,                288274,,                368263,                656537,,,                  6421,,                  4633,                 11054,                              0,              3619557,                  4996,              3624553,              5125561,              0,              0,              0,,                299228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2014年03月31日,,,,              1911585,,                 90229,,              1162586,,                  8216,,                826578,,                 55094,,                309105,              4363393,,,                 52535,,                  7186,,                504081,,                 21532,,                270586,                 12398,,                 33590,                901908,              5265301,,,,,                 53282,,                673101,,                275422,                 72989,,                 21388,                318120,              1392914,,,                 11570,,                  2356,                 13926,              1406840,,,,              1734478,              1734478,,,              1260423,                 26444,              1286867,,                271470,,                438535,                750326,,,                 36018,,                 11777,                 47795,                              0,              3819466,                 38995,              3858461,              5265301,,              0,              0,,                296732,                 40321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197,2013年12月31日,,,,,,                 63511,,              1422336,,                 85743,,                850721,,                 54064,,                113766,              4527047,,,                 52535,,                  8132,,                515001,,                 21571,,                282564,                 11593,,                 32306,                923702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1936906,              5450749,,,,                 57826,,                942259,,                295479,                 48210,,,                294237,                 26299,                320536,              1664310,,,                 14104,,                  1927,                 16031,              1680341,,,,              1734478,              1734478,,,              1260423,                 26444,              1286867,,                271470,                 40321,,                354962,                666753,,,                 42139,,                  1459,                 43598,                              0,              3731696,                 38712,              3770408,,                              0,,,
6197,2013年09月30日,,,,,,                 69364,,              1235594,,                 21342,,                769777,,                 63537,,                428051,              4419436,,,                 52535,,                  8654,,                510264,,                 21611,,                294886,                 11354,,                 55557,                954861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              1831771,              5374297,,,,                 58623,,                798741,,                401018,                 39666,,,                291741,                 22925,                314666,              1612714,,,                 15392,,                  3160,                 18552,              1631266,,,,              1734478,              1734478,,,              1260423,                 26444,              1286867,,                271470,                 40321,,                330924,                642715,,,                 15989,,                 -4837,                 11152,,              3675212,                 67819,              3743031,,,,,
6197,2013年06月30日,,,,,,                 77212,,              1062090,,                 14772,,                672861,,                 78124,,                 92370,              4146647,,,                 52535,,                 10423,,                508808,,                 21650,,                307555,                  9721,,                 59074,                969766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              2149218,              5116413,,,,                 54112,,                641697,,                344364,                 35903,,,                              0,                 34999,                 34999,              1111075,,,                 18782,,                  3162,                311190,              1422265,,,,              1734478,              1734478,,,              1260423,                 26444,              1286867,,                271470,                 40321,,                261157,                572948,,,                 28943,,                  1033,                 29976,,              3624269,                 69879,              3694148,,                289246,,,
