證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 按攤銷後成本衡量之金融負債－流動,　　　　 以成本衡量之金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 應付建造合約款－關係人,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 工程進度請款金額,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　　 重估增值,　　　　　　 重估增值合計,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 特別股股本,　　　　 債券換股權利證書,　　　　 預收股本,　　　　 待分配股票股利,　　　　 特別股轉換普通股權利證書
6205,2015年09月30日,,,,                876816,,                 35477,,                 55587,,                  4895,,                              0,,                567798,,                 13235,,                  5520,,                141293,,                 77489,              1778110,,,                 75309,,                  1000,,                146641,,                288671,,                 47967,,                  5101,                 14744,,                 13203,                592636,              2370746,,,,,                              0,,                              0,,                  4543,                              0,                              0,                              0,,                 16924,,                              0,,                393431,,                  5615,                              0,                              0,,                131149,                              0,                 18466,,                  5870,                              0,                              0,,                 14284,                590282,,,                              0,,                 67945,,                 33632,                101577,                691859,,,,                718391,                718391,,,                200072,                              0,                200072,,                231211,                              0,,                367959,                599170,,,                              0,,                              0,,                              0,,                  4173,                  4173,                              0,              1521806,                157081,              1678887,              2370746,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2015年06月30日,,,,                902068,,                 64752,,                 34224,,                  5250,,                              0,,                540600,,                 13134,,                 32470,,                155610,,                 70165,              1818273,,,                125749,,                  1000,,                149342,,                283174,,                 47967,,                  4846,                 14703,,                 14225,                641006,              2459279,,,,,,,,,                              0,,,,,                 15877,,,,                367451,,                  6465,,,,                299172,,                 21446,,                  5885,,,,                  9719,                726015,,,                              0,,                 64700,,                 33571,                 98271,                824286,,,,                718391,                718391,,,                201003,                              0,                201003,,                231211,                              0,,                277616,                508827,,,                              0,,                              0,,                              0,,                              0,                 50594,                              0,              1478815,                156178,              1634993,              2459279,              0,              0,,                  3056,,                 47538,,                              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2015年03月31日,,,,                873233,,                 61051,,                 37036,,                  7189,,,,                609909,,                 19119,,                 14332,,                178480,,                 78879,              1879228,,,                 91089,,                  1000,,                173529,,                286218,,                 47967,,                  5432,                 14717,,                 13684,                633636,              2512864,,,,,,,,,,,,,,                 15653,,,,                459767,,                  7817,,,,                139818,,                 41226,,                  5995,,,,                 13352,                683628,,,                              0,,                 66225,,                 33759,                 99984,                783612,,,,                718391,                718391,,,                191142,                 10467,                201609,,                204831,                 10737,,                402013,                617581,,,,,,,,,,                 23615,                              0,              1561196,                168056,              1729252,              2512864,              0,              0,,                  7070,,                 16545,,,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年12月31日,,,,                776751,,                 63583,,                 34438,,                  8968,,                              0,,                720940,,                 13777,,                 43543,,                172057,,                 70280,              1904337,,,                 79834,,                  1000,,                174901,,                285760,,                 47967,,                  5067,                 14727,,                 14513,                623769,              2528106,,,,,                              0,,                              0,,                              0,                              0,                              0,                              0,,                 18564,,                              0,,                502182,,                  2102,                              0,                              0,,                169946,                              0,                 33526,,                  6590,                              0,                              0,,                 13086,                745996,,,                              0,,                 66799,,                 33609,                100408,                846404,,,,                718391,                718391,,,                202444,                              0,                202444,,                204831,                 10737,,                356233,                571801,,,                              0,,                              0,,                              0,,                 14725,                 14725,                              0,              1507361,                174341,              1681702,              2528106,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年09月30日,,,,                824645,,                 72025,,                 36541,,                  6359,,                              0,,                684096,,                  8223,,                  9948,,                190663,,                 56267,              1888767,,,                 78437,,                  1000,,                168864,,                295547,,                 47967,,                 13442,                 15186,,                 12445,                632888,              2521655,,,,,                105000,,                              0,,                              0,                              0,                              0,                              0,,                 16709,,                              0,,                485203,,                  3380,                              0,                              0,,                157313,                              0,                 21007,,                  5788,                              0,                              0,,                 13043,                807443,,,                              0,,                 63049,,                 34295,                 97344,                904787,,,,                718391,                718391,,,                202444,                              0,                202444,,                204831,                 10737,,                296338,                511906,,,                              0,,                              0,,                              0,,                  9626,                  9626,                              0,              1442367,                174501,              1616868,              2521655,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年06月30日,,,,                711511,,                 52065,,                 37987,,                  6641,,                              0,,                744293,,                 15524,,                 29245,,                187006,,                 45619,              1829891,,,                171849,,                  1000,,                163149,,                302083,,                 47967,,                 13112,                 15186,,                 11891,                726237,              2556128,,,,,,,,,                  1822,,,,,                 10244,,,,                529650,,                  2235,,,,                272566,,                 25540,,                  5464,,,,                  8303,                855824,,,                              0,,                 62026,,                 33817,                 95843,                951667,,,,                718391,                718391,,,                202444,                              0,                202444,,                204831,                 10737,,                211679,                427247,,,                              0,,                              0,,                              0,,                              0,                 84661,                              0,              1432743,                171718,              1604461,              2556128,              0,              0,,                   -370,,                 85031,,                              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年03月31日,,,,                728091,,                 64866,,                 49520,,                  8743,,,,                631597,,                 13967,,                 34575,,                190051,,                 28438,              1749848,,,                 93773,,                  1000,,                170660,,                181573,,                 47967,,                 13215,                 15186,,                 49593,                572967,              2322815,,,,,,,,,,,,,,                  9320,,,,                443918,,                  1214,,,,                138604,,                 25196,,                  4865,,,,                 18897,                642014,,,                  4583,,                 59664,,                 33802,                 98049,                740063,,,,                718391,                718391,,,                191142,                 11302,                202444,,                189909,                 40826,,                246069,                476804,,,,,,,,,,                 11293,                              0,              1408932,                173820,              1582752,              2322815,              0,              0,,                  1713,,                  9580,,,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2013年12月31日,,,,,,                 63635,,                 51541,,                  8444,,,,                604100,,                 11056,,                 12903,,                180876,,                 23690,              1674762,,,                 75569,,                  1000,,                158513,,                187286,,                 47967,,                 13593,                 15186,,                 15687,                514801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,              0,                718517,              2189563,,,,                 30142,,                401070,,                  1030,,                140752,                 17755,,                  4996,,                 12641,                608386,,,                  5417,,                 55573,,                 33228,                 94218,                702604,,,,                718391,                718391,,,                191142,                191142,,                189909,                 40826,,                185065,                415800,,                -10737,                              0,              1314596,                172363,              1486959,,,,,,,,,,,,,,,,,,,,,,,,,,
6205,2013年09月30日,,,,,,                 30235,,                 27306,,                  8126,,                  1272,,                684716,,                 11630,,                 18364,,                188121,,                 30993,              1695180,,,                 78935,,                  1000,,                153318,,                184310,,                 47967,,                 14690,                 12008,,                 14920,                507148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,              0,                694417,              2202328,,,,                 35185,,                422572,,                  1911,,                133374,                 11315,,                  5340,,                 12732,                622429,,,                  4861,,                 52540,,                 38932,                 96333,                718762,,,,                718391,                718391,,,                191532,                191532,,                189909,                 40826,,                151873,                382608,,                -10912,                              0,              1281619,                201947,              1483566,,                              0,,                              0,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                -10912,,,,,
6205,2013年06月30日,,,,,,                              0,,                 27697,,                  9590,,                  1342,,                684627,,                  5717,,                 39593,,                180966,,                 67566,              1738105,,,                 74011,,                  1000,,                148635,,                193080,,                 47967,,                 15171,                  9248,,                 17562,                506674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,,,              0,                721007,              2244779,,,,                 28428,,                408327,,                  2372,,                233361,                 16007,,                  5487,,                 19445,                713427,,,                    944,,                 48980,,                 38477,                 88401,                801828,,,,                718391,                718391,,,                191607,                191607,,                189909,                 40826,,                113663,                344398,,                -14439,                              0,              1239957,                202994,              1442951,,,,                              0,                              0,,                  1050,,                              0,,                -15489,,                              0,,                              0,,                              0,,                              0,,                              0,,,,,
