證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他預付款,　　　　 其他流動資產－其他,　　　　　 其他非流動資產－其他,　　　　 銀行借款,　　　　 其他應付款－其他,　　　　 其他流動負債－其他,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債－其他,　　　　　 本期損益
6230,2015年09月30日,,,,              1992208,,                    840,,              1720998,,                  3869,,                839718,,                 43131,,                 28194,              4628958,,,                 43682,,              1000098,,                 60705,,                  3400,                 28769,,                138767,              1275421,              5904379,,,,,                412714,,                 15018,,              1438335,,                324648,,                    131,,                105016,              2295862,,,                251784,,                  2592,                  4699,                  7291,                259075,              2554937,,,,                863434,                863434,,                531823,,                404765,                 73014,,              1321960,              1321960,              1799739,,                154446,              3349442,              3349442,              5904379,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2015年06月30日,,,,              2008867,,                    676,,              1502537,,                  6194,,                670222,,                 43537,,                 27788,              4259821,,,                 43682,,                950253,,                 60875,,                  3397,                 27291,,                129124,              1214622,              5474443,,,,,                343172,,                 23425,,              1085681,,                667987,,                    180,,                 59254,              2179699,,,                241705,,                  2933,                  5661,                  8594,                250299,              2429998,,,,                863434,                863434,,                531823,,                404765,                 73014,,              1101246,              1101246,              1579025,,                 70163,              3044445,              3044445,              5474443,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2015年03月31日,,,,              2188172,,                  1022,,              1543732,,                  6542,,                817538,,                 51020,,                 21190,              4629216,,,                 43682,,                966150,,                 61046,,                  3434,                 24834,,                121680,              1220826,              5850042,,,,,                563778,,                 16947,,              1274910,,                350970,,                    220,,                 75414,              2282239,,,                241484,,                  3274,                  8209,                 11483,                252967,              2535206,,,,                863434,                863434,,                531823,,                347745,                 73014,,              1401598,              1401598,              1822357,,                 97222,              3314836,              3314836,              5850042,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2014年12月31日,,,,              1621362,,                  1114,,              1818352,,                 22148,,                773034,,                 28126,,                 31717,              4295853,,,                 43682,,                983736,,                 61217,,                  3922,                 23818,,                123516,              1239891,              5535744,,,,,                300741,,                  5529,,              1351466,,                369425,,                    453,,                 60560,              2088174,,,                236990,,                  3608,                  4177,                  7785,                244775,              2332949,,,,                863434,                863434,,                531823,,                347745,                 73014,,              1270325,              1270325,              1691084,,                116454,              3202795,              3202795,              5535744,              0,              0,              0,              1621362,              5535744,,,,                300741,,                  5529,,              1351466,,                369425,,                    453,,                 60560,              2088174,,,                236990,,                  3608,                  4177,                  7785,                244775,              2332949,,,,                863434,                863434,,                531823,,                347745,                 73014,,              1270325,              1270325,              1691084,,                116454,              3202795,              3202795,,,,,,,,,,,,,,,,,
6230,2014年09月30日,,,,              1569068,,                  1293,,              1783063,,                  6597,,                741142,,                 49431,,                 41624,              4192218,,,                 60498,,                998782,,                 61387,,                  3998,                 23017,,                120339,              1268021,              5460239,,,,,                387554,,                              0,,              1391623,,                418297,,                    543,,                 29585,              2227602,,,                213840,,                    748,                  4167,                  4915,                218755,              2446357,,,,                863434,                863434,,                531823,,                347745,                 73014,,              1143818,              1143818,              1564577,,                 54048,              3013882,              3013882,              5460239,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2014年06月30日,,,,              1708987,,                  2273,,              1754838,,                  5010,,                694502,,                 27270,,                 62647,              4255527,,,                 60498,,                979954,,                 61558,,                  4550,                 22233,,                117973,              1246766,              5502293,,,,,                503246,,                  9326,,              1294180,,                669011,,                    623,,                 20730,              2497116,,,                194312,,                  1114,                  4161,                  5275,                199587,              2696703,,,,                863434,                863434,,                531823,,                347745,                 73014,,                981739,                981739,              1402498,,                  7835,              2805590,              2805590,              5502293,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2014年03月31日,,,,              1819447,,                    762,,              1521362,,                  6085,,                697257,,                 35427,,                 26603,              4106943,,,                 60498,,                980410,,                 61728,,                  5213,                 20024,,                120757,              1248630,              5355573,,,,,                608706,,                 11043,,              1234278,,                340718,,                    623,,                 20363,              2215731,,,                188100,,                  1478,                  6899,                  8377,                196477,              2412208,,,,                863434,                863434,,                531823,,                294182,                 73014,,              1140186,              1140186,              1507382,,                 40726,              2943365,              2943365,              5355573,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6230,2013年12月31日,,,,,,                  2421,,              1732491,,                 10594,,                727702,,                 28058,,                 49183,              4392157,,,                 19998,,                887689,,                 61899,,                  5865,                 21775,,                121928,              1119154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1841708,              5511311,,,,                578026,,                 32301,,              1474051,,                360786,,                    996,,                 32242,              2478402,,,                185266,,                  1818,                  3757,                  5575,                190841,              2669243,,,,                863434,                863434,,                531823,,                294182,                 73014,,              1033207,              1033207,              1400403,,                 46408,              2842068,              2842068,,,,,,,,,,,,,,,,,
6230,2013年09月30日,,,,,,                  2083,,              1558368,,                  6116,,                652272,,                 30051,,                 86664,              4088544,,,                 19998,,                887067,,                 62069,,                  6423,                 17513,,                120050,              1113120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1752990,              5201664,,,,                527508,,                  6051,,              1429814,,                378978,,                  1398,,                  7978,              2351727,,,                165241,,                  3242,                    922,                  4164,                169405,              2521132,,,,                863434,                863434,,                531823,,                294182,                 73014,,,                901050,              1268246,,                 17029,              2680532,              2680532,,,,,,,,,,,,,,,,,
6230,2013年06月30日,,,,,,                  1867,,              1534396,,                  6256,,                644763,,                 29353,,                169609,              4143648,,,                 19998,,                876892,,                 62240,,                  7073,                 19085,,                122126,              1107414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1757404,              5251062,,,,                412417,,                 15944,,              1493935,,                583979,,                  3508,,                 12103,              2521886,,,                157864,,                  3565,                    924,                  4489,                162353,              2684239,,,,                863434,                863434,,                531823,,                294182,                 73014,,,                768973,              1136169,,                 35397,              2566823,              2566823,,,,,,,,,,,,,,,,,
