證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額
6277,2015年09月30日,,,,                784448,,                587142,,                  6448,,                 13087,,                574530,,                  1245,,                865716,,                 59670,,                 31973,              2924259,,,                 34280,,                 95235,,              2065350,,                  2756,                  2756,                208995,,                    197,                  9483,                              0,,                127722,,                  3101,                140503,              2547119,              5471378,,,,,                645004,,                  4205,,                 10483,,                461144,,                348474,                 21000,                 48577,,                 15439,,,                 31786,                 31786,                 24452,                 56238,              1610564,,,                 75896,,                195912,,                157898,                  2020,                 27540,                187458,                459266,              2069830,,,,              1194711,              1194711,,,                316913,,                     50,                 19452,                336415,,                892026,                              0,,                874736,              1766762,,,                 18030,,                 -3438,                 14592,                              0,              3312480,                 89068,              3401548,              5471378,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,2015年06月30日,,,,                865247,,              1149017,,                  7612,,                 20099,,                555740,,                 21653,,                782491,,                 63137,,                 28480,              3493476,,,                 34280,,                 98373,,              2046968,,                  2756,                  2756,                206340,,                    261,                  9413,                              0,,                127788,,                      3,                137465,              2526182,              6019658,,,,,                645290,,                    864,,                 17536,,                415902,,              1156869,                 21000,                 74609,,                 15440,,,                 34949,                 34949,                 29698,                 64647,              2412157,,,                 73813,,                195509,,                157139,                  2010,                 23914,                183063,                452385,              2864542,,,,              1194711,              1194711,,,                316913,,                     50,                 16700,                333663,,                892026,                              0,,                681220,              1573246,,,                -27913,,                 -2274,                -30187,                              0,              3071433,                 83683,              3155116,              6019658,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,2015年03月31日,,,,                936162,,                896370,,                  7374,,                 18437,,                553692,,                 18344,,                797512,,                 97836,,                 27321,              3353048,,,                 34280,,                 92701,,              2051667,,                  2756,                  2756,                210820,,                  1294,                  9151,                              0,,                124905,,                      3,                135353,              2527577,              5880625,,,,,                544298,,                    473,,                 18659,,                482834,,                421459,                 21000,                156447,,                 15440,,,                 36040,                 36040,                 21610,                 57650,              1718260,,,                 79545,,                204971,,                156393,                  2026,                 24364,                182783,                467299,              2185559,,,,              1194711,              1194711,,,                316913,,                     50,                 16569,                333532,,                815979,                              0,,              1302099,              2118078,,,                -29576,,                 -2512,                -32088,                              0,              3614233,                 80833,              3695066,              5880625,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,2014年12月31日,,,,              1077281,,                613856,,                  7394,,                 36557,,                589918,,                 21444,,                708084,,                 81553,,                 19145,              3155232,,,                 19280,,                 85515,,              2075749,,                  2756,                  2756,                206861,,                  1233,                  7249,                 20000,,                124905,,                    779,                154166,              2544327,              5699559,,,,,                552048,,                    934,,                 13052,,                387247,,                458855,                 21000,                128481,,                 51525,,,                 39489,                 39489,                 25494,                 64983,              1678125,,,                 88950,,                198878,,                155641,                  2055,                 21982,                179678,                467506,              2145631,,,,              1194711,              1194711,,,                316913,,                     50,                 16397,                333360,,                815979,                              0,,              1107724,              1923703,,,                 10766,,                 -2492,                  8274,                              0,              3460048,                 93880,              3553928,              5699559,              0,              0,              0,              1077281,,                              0,,                708084,              5699559,,,,                552048,,                    934,,                 13052,,                387247,,                458855,                 21000,                128481,,                 51525,,,                 39489,                 39489,                 25494,                 64983,              1678125,,,                 88950,,                198878,,                155641,                  2055,                 21982,                179678,                467506,              2145631,,,,              1194711,              1194711,,,                316913,,                     50,                 16397,                333360,,                815979,                              0,,              1107724,              1923703,,,                 10766,,                 -2492,                  8274,              3460048,                 93880,              3553928,,,
6277,2014年09月30日,,,,                817981,,                595656,,                 10100,,                 17600,,                583952,,                 12516,,                755380,,                 76463,,                 30082,              2899730,,,                 19280,,                 78126,,              2079584,,                  2756,                  2756,                209596,,                              0,                  7435,                              0,,                174887,,                      3,                182325,              2571667,              5471397,,,,,                631853,,                    572,,                 13714,,                412600,,                406898,                 13000,                141722,,                 13705,,,                 18207,                 18207,                 19152,                 37359,              1671423,,,                118194,,                164846,,                150483,                  2064,                 26124,                178671,                461711,              2133134,,,,              1194711,              1194711,,,                316913,,                     50,                 16179,                333142,,                815979,                              0,,                914963,              1730942,,,                 -5853,,                 -2567,                 -8420,                              0,              3250375,                 87888,              3338263,              5471397,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,2014年06月30日,,,,                740657,,              1185232,,                 10025,,                 10143,,                564635,,                 16437,,                721408,,                 86282,,                 16599,              3351418,,,                 19280,,                 82238,,              2088118,,                  2756,                  2756,                208622,,                  7653,                  7440,                              0,,                124787,,                      2,                139882,              2540896,              5892314,,,,,                672668,,                     48,,                 18582,,                365471,,              1047102,                              0,                119003,,                 13705,,,                 19055,                 19055,                 35849,                 54904,              2291483,,,                126017,,                163880,,                149583,                  2093,                 23387,                175063,                464960,              2756443,,,,              1194711,              1194711,,,                316913,,                     50,                 16103,                333066,,                815979,                              0,,                707572,              1523551,,,                  4869,,                 -2643,                  2226,                              0,              3053554,                 82317,              3135871,              5892314,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,2014年03月31日,,,,                749348,,                842745,,                  9157,,                 10157,,                567387,,                 14805,,                753639,,                 98343,,                 17528,              3063109,,,                 19280,,                 76596,,              2091489,,                  2756,                  2756,                211435,,                  9245,                  7268,                              0,,                140354,,                      3,                156870,              2558426,              5621535,,,,,                580088,,                    648,,                 13459,,                409645,,                403833,                              0,                132379,,                 14191,,,                 20305,                 20305,                 19777,                 40082,              1594325,,,                133851,,                163930,,                148694,                  2061,                 21779,                172534,                470315,              2064640,,,,              1194711,              1194711,,,                316913,,                     50,                 16103,                333066,,                741851,                 33091,,              1160116,              1935058,,,                 17345,,                 -3511,                 13834,                              0,              3476669,                 80226,              3556895,              5621535,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,2013年12月31日,,,,,,                626011,,                  9016,,                  9120,,                530803,,                 15568,,                717988,,                 95258,,                 15577,              2871572,,,                 19280,,                 71986,,              2102103,,                  2756,                  2756,                212958,,                  3779,                  6699,                              0,,                140154,,                  2695,                153327,              2562410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                852231,,                              0,,                717988,              5433982,,,,                554684,,                  3835,,                 11499,,                405474,,                443753,                              0,                100236,,                 14178,,,                 20977,                 20977,                 32414,                 53391,              1587050,,,                134065,,                163883,,                147812,                  1736,                 18052,                167600,                465548,              2052598,,,,              1194711,              1194711,,,                316913,,                     50,                 16157,                333120,,                741851,                 33091,,                989368,              1764310,,,                  4200,,                 -3651,                    549,              3292690,                 88694,              3381384,                              0,,
6277,2013年09月30日,,,,,,                283518,,                  8969,,                 12656,,                536774,,                  3711,,                739041,,                112926,,                 31155,              2421794,,,                 19280,,                 64159,,              2114302,,                 47060,                 47060,                198577,,                     10,                  7046,,,                132354,,                      3,                139413,              2582791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                693044,,,,,              5004585,,,,                413847,,                  2816,,                 11641,,                392870,,                415142,                              0,                102807,,                 10892,,,                 22073,                 22073,                 20630,                 42703,              1392718,,,                138018,,                127758,,                145264,                  1721,                 24016,                171001,                436777,              1829495,,,,              1194711,              1194711,,,                316913,,                     50,                 16157,                333120,,                741851,                 33091,,                798635,              1573577,,,                 -4972,,                 -3697,                 -8669,              3092739,                 82351,              3175090,                              0,,
6277,2013年06月30日,,,,,,                613229,,                  9060,,                 14133,,                590305,,                  1290,,                695058,,                111996,,                 20986,              2656290,,,                 19280,,                 54663,,              2128000,,                 47060,                 47060,                199938,,                     49,                  6987,,,                132354,,                     28,                139418,              2588359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                600233,,,,,              5244649,,,,                416802,,                  2291,,                 22587,,                397889,,                855949,,                 89153,,                 10892,,,                 22557,                 22557,                 25706,                 48263,              1843826,,,                138482,,                127759,,                144615,                  1874,                 22572,                169061,                435302,              2279128,,,,              1194711,              1194711,,,                316913,,                     50,                              0,                316963,,                741851,                 33091,,                609717,              1384659,,,                 -7237,,                 -3606,                -10843,              2885490,                 80031,              2965521,                              0,,
