證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 權益總額,　　　　 其他金融資產－流動,　　　 應付票據,　　　　 應付票據合計
6431,2015年09月30日,,,,                497318,,                 12703,,                163882,,                    425,,                     86,,                 53581,,                 28864,                756859,,,                416781,,,                  1757,                  1757,                 33445,,                 13997,                    322,                 14319,                466302,              1223161,,,,,                 22466,,                 81183,                 81183,                    602,,,                  6532,                  1293,                  7825,                112076,,,                 36818,                 36818,                148894,,,,                456428,                456428,,,                604012,                604012,,                 14775,,                -82714,                -67939,,,                 81766,                 81766,              1074267,              1074267,              1223161,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,2015年06月30日,,,,                590830,,                 15067,,                172526,,                    384,,                     28,,                 50973,,                 24814,                854622,,,                408813,,,                  1827,                  1827,                 34620,,                 19776,                    310,                 20086,                465346,              1319968,,,,,                 30665,,                 85215,                199598,                    413,,,                  1201,                  1043,                  2244,                232920,,,                 43229,                 43229,                276149,,,,                456428,                456428,,,,                604012,,                 14775,,                -71857,                -57082,,,                 40461,                 40461,              1043819,              1043819,              1319968,              0,              0,                114383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,2015年03月31日,,,,                606398,,                  8763,,                163182,,                    390,,                  6099,,                 77708,,                 21958,                884498,,,                395624,,,                  2249,                  2249,                 31199,,                 60010,                    315,                 60325,                489397,              1373895,,,,,                 24960,,                 81262,                 81262,                              0,,,                  1439,                  1100,                  2539,                108761,,,                 43834,                 43834,                152595,,,,                456428,                456428,,,,                649655,,                  7409,,                 50135,                 57544,,,                 57673,                 57673,              1221300,              1221300,              1373895,              0,              0,,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,2014年12月31日,,,,                616335,,                 14700,,                213131,,                  1678,,                  6317,,                 80333,,                 14519,                947013,,,                380405,,,                  2723,                  2723,                 31690,,                 70293,                     22,                 70315,                485133,              1432146,,,,,                 25567,,                 95446,                 95446,                              0,,,                  1897,                    928,                  2825,                123838,,,                 44542,                 44542,                168380,,,,                456428,                456428,,,                649655,                649655,,                  7409,,                 80999,                 88408,,,                 69275,                 69275,              1263766,              1263766,              1432146,              0,              0,                              0,,                              0,                              0,              0,                616335,                  6317,              1432146,,,,                 25567,,                 95446,                 95446,                              0,,,                  1897,                    928,                  2825,                123838,,,                 44542,                 44542,                168380,,,,                456428,                456428,,,                649655,                649655,,                  7409,,                 80999,                 88408,,,                 69275,                 69275,              1263766,                              0,              1263766,,,
6431,2014年09月30日,,,,                283798,,                 11595,,                414649,,                  1509,,                              0,,                 85313,,                 19872,                816736,,,                330027,,,                  3078,                  3078,                 29266,,                 95335,                    318,                 95653,                458024,              1274760,,,,,                 63360,,                111726,                111726,                  8427,,,                  1180,                    880,                  2060,                185573,,,                 44861,                 44861,                230434,,,,                395568,                395568,,,                503413,                503413,,                  7409,,                103850,                111259,,,                 34086,                 34086,              1044326,              1044326,              1274760,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,2014年06月30日,,,,                351660,,                  8203,,                536058,,                    354,,                     15,,                 94016,,                 10602,              1000908,,,                322355,,,                  2769,                  2769,                 27606,,                 48030,                     22,                 48052,                400782,              1401690,,,,,                 98174,,                107775,                206949,                 26007,,,                  3832,                  1507,                  5339,                336469,,,                 47290,                 47290,                383759,,,,                395568,                395568,,,,                503413,,                  7409,,                 95304,                102713,,,                 16237,                 16237,              1017931,              1017931,              1401690,              0,              0,                 99174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,2014年03月31日,,,,                405540,,                 30814,,                357106,,                  2699,,                              0,,                 90955,,                 23883,                914200,,,                333923,,,                  3104,                  3104,                 28029,,                 48441,                    269,                 48710,                413766,              1327966,,,,,                 78461,,                109831,                109831,                 18253,,,                  3792,                  2348,                  6140,                212685,,,                 41387,                 41387,                254072,,,,                395568,                395568,,,,                542970,,                              0,,                 96728,                 96728,,,                 38628,                 38628,              1073894,              1073894,              1327966,              0,              0,,,                  3203,                  3203,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,2013年12月31日,,,,,,                 31766,,                408265,,                  1680,,,,                 80380,,                 33833,                856951,,,                341131,,,                  3337,                  3337,                 27922,,                 31180,                     22,                 31202,                403592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                    166,                    166,              0,                300861,                              0,              1260543,,,,                 78366,,                 96374,                 96374,                 10962,,,                  1459,                  1226,                  2685,                188387,,,                 34516,                 34516,                222903,,,,                395568,                395568,,,                542970,                542970,,                              0,,                 74088,                 74088,,,                 25014,                 25014,              1037640,                              0,              1037640,,,
6431,2013年09月30日,,,,,,                 31687,,                420345,,                    754,,,,                 78964,,                 25891,                934419,,,                365996,,,                  2573,                  2573,                 20022,,                 30279,                     22,                 30301,                418892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                    165,                    165,              0,                376613,,              1353311,,,,                 65799,,                 89267,                 89267,                 24828,,,                  1172,                    890,                  2062,                181956,,,                 32969,                 32969,                214925,,,,                395568,                395568,,,                636814,                636814,,                              0,,                 88341,                 88341,,,                 17663,                 17663,              1138386,                              0,              1138386,,,
6431,2012年12月31日,,,,                236053,,                 99752,,                282157,,,,,,                 50576,,,                718868,,,                373106,,,,                  2780,                 14763,,                 20040,                     10,                 20050,                410699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 40490,                 50330,,,,              1129567,,,,                 91069,,                 56102,                 56102,                  8916,,,,                  3612,                  3612,                169535,,,                 18926,                 18926,                188461,,,,                              0,                              0,,,,                              0,,,,                              0,                              0,,,,                              0,                              0,                941106,                941106,                  9840,,                  9836
