證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動資產－其他,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 庫藏股票
6605,2015年09月30日,,,,              2475684,,                 54303,,                245980,,                147622,,              2725334,,                121926,,                 14621,,              4140476,,                316775,             10242721,,,             11647692,,                310961,,                 44141,                801915,,              2586350,                 11219,                 15459,                228652,              2841680,             15646389,             25889110,,,,,              3033909,,                              0,,              1212197,,              1047394,,              1429547,                176875,,,              1381500,                197634,              1579134,              8479056,,,              6041637,,                 79926,,,                328700,                 43732,                372432,              6493995,             14973051,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1570063,                 76489,,              4860077,              6506629,,,                117280,                117280,             10782260,                133799,             10916059,             25889110,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,2015年06月30日,,,,              2253811,,,,                157560,,                134584,,              2745933,,                114717,,                  3914,,              3651088,,                265998,              9327605,,,             11291262,,                310491,,                 42479,                735197,,              2637604,                  7403,                 34468,                224680,              2904155,             15283584,             24611189,,,,,              3090517,,                              0,,              1103659,,                924723,,              2072738,                239520,,,              1419000,                190530,              1609530,              9045237,,,              5006226,,                 36462,,,                308600,                 48260,                356860,              5399548,             14444785,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1570063,                 76489,,              4226696,              5873248,,,                 98213,                 98213,             10129812,                 36592,             10166404,             24611189,              0,              0,,                  4550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,2015年03月31日,,,,              2250360,,,,                129456,,                165177,,              2639045,,                122945,,                  7305,,              3501902,,                332106,              9148296,,,             10887365,,                376666,,                 36048,                724830,,              2634620,                  9235,                 34468,                228148,              2906471,             14931380,             24079676,,,,,              3474244,,                              0,,                876771,,                913526,,              1296582,                342034,,,              1469000,                195246,              1664246,              8567403,,,              4456986,,                 40208,,,                313000,                 44821,                357821,              4855015,             13422418,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1403053,                 76489,,              4868418,              6347960,,,                111191,                111191,             10617502,                 39756,             10657258,             24079676,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,2014年12月31日,,,,              2529063,,                              0,,                276211,,                155643,,              2716122,,                127106,,                 14324,,              3435995,,                339548,              9594012,,,             11023136,,                123391,,                 34010,                704406,,              2521489,                 10860,                 34468,                232918,              2799735,             14684678,             24278690,,,,,              3020739,,                              0,,              1126977,,                857679,,              1470338,                253215,,,              1519000,                197036,              1716036,              8444984,,,              5014336,,                 68459,,,                316500,                 38300,                354800,              5437595,             13882579,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1403053,                 76489,,              4579159,              6058701,,,                136270,                136270,             10353322,                 42789,             10396111,             24278690,              0,              0,,                              0,              0,              2529063,                276211,                 14324,                 34468,             24278690,,,,              3020739,,                              0,,              1126977,,                857679,,              1470338,                253215,,,              1519000,                197036,              1716036,              8444984,,,              5014336,,                 68459,,,                316500,                 38300,                354800,              5437595,             13882579,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1403053,                 76489,,              4579159,              6058701,,,                136270,                136270,             10353322,                 42789,             10396111,,,,,,
6605,2014年09月30日,,,,              1897484,,                              0,,                 95015,,                174374,,              2710103,,                124706,,                  8644,,              3347596,,                310403,              8668325,,,             10701260,,                171216,,                 36484,                671777,,              2384212,                  9363,                 40034,                223934,              2657543,             14238280,             22906605,,,,,              4587155,,                199821,,              1078152,,                798828,,              1317031,                140271,,,              1585250,                143831,              1729081,              9850339,,,              2547366,,                 37766,,,                608400,                 38710,                647110,              3232242,             13082581,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1403053,                 76489,,              4079895,              5559437,,,                 62785,                 62785,              9780573,                 43451,              9824024,             22906605,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,2014年06月30日,,,,              1868753,,,,                171451,,                167029,,              2838915,,                154351,,                 11100,,              3311555,,                229538,              8752692,,,             10684495,,                170363,,                 32734,                679708,,              2106503,                 10730,                 40034,                221100,              2378367,             13945667,             22698359,,,,,              4017322,,                199821,,              1086467,,                901062,,              1946318,                232627,,,              1654000,                141091,              1795091,             10178708,,,              2472957,,                 23005,,,                597300,                 32975,                630275,              3126237,             13304945,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1403053,                 81640,,              3669853,              5154546,,,                 33793,                 33793,              9346690,                 46724,              9393414,             22698359,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,2014年03月31日,,,,              2039225,,,,                135294,,                174185,,              2773853,,                120028,,                  3164,,              3318287,,                247053,              8811089,,,             10676425,,                159586,,                 37643,                680524,,              2050022,                 10875,                 40034,                226892,              2327823,             13882001,             22693090,,,,,              3904797,,                199821,,                929972,,                872799,,              1319303,                319761,,,                328750,                143946,                472696,              8019149,,,              4218468,,                 47543,,,                609400,                 33786,                643186,              4909197,             12928346,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1269328,                 81640,,              4137459,              5488427,,,                 66196,                 66196,              9712974,                 51770,              9764744,             22693090,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6605,2013年12月31日,,,,,,,,,,                270338,,              2652328,,                138829,,,,              3313086,,                222649,              8890451,,,              9799035,,                159590,,                 41157,                686318,,              2380750,                 12072,,                248753,              2681609,             13367709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              2131332,                151519,                 10370,                 40034,             22258160,,,,              3593870,,                199821,,                883263,,                733487,,              1665428,                245682,,,                407500,                160550,                568050,              7889601,,,              4388750,,                 29735,,,                596100,                 37691,                633791,              5052276,             12941877,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1269328,                 81640,,              3704827,              5055795,,,                 48363,                 48363,              9262509,                 53774,              9316283,                222649,,                              0,,,
6605,2013年09月30日,,,,,,,,,,                317796,,              2391378,,                125268,,,,              3225667,,                192295,              8476699,,,              9515133,,                122990,,                 42673,                682366,,              1990332,                 11048,,                256139,              2299496,             12662658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1937293,                249291,                 37711,                 41977,             21139357,,,,              3591342,,                              0,,                855911,,                804633,,              1387523,                162724,,,                428750,                 75708,                504458,              7306591,,,              3970873,,                 25514,,,                887100,                 35797,                922897,              4919284,             12225875,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1269328,                 81640,,              3330407,              4681375,,,                 20230,                 20230,              8859956,                 53526,              8913482,                192295,,,,,
6605,2013年06月30日,,,,,,,,,,                259923,,              2576302,,                 98932,,,,              3239743,,                169465,              8276697,,,              9410868,,                125839,,                 41732,                687687,,              2108004,                 12445,,                261729,              2424327,             12690453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1622712,                276027,                 33593,                 42149,             20967150,,,,              2776191,,                              0,,                832084,,                930781,,              1842383,                219733,,,                526250,                 98916,                625166,              7226338,,,              4076452,,                 37638,,,                900000,                 22066,                922066,              5036156,             12262494,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1269328,                 81640,,              3105514,              4456482,,,                 32342,                 32342,              8647175,                 57481,              8704656,                169465,,                              0,,,
6605,2013年03月31日,,,,,,,,,,                162137,,              2267418,,                 95273,,,,              3054764,,                169921,              7862994,,,              9271493,,                102691,,                 42611,                662090,,              2007927,                 10480,,                256427,              2317156,             12396041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1815168,                264579,                 33734,                 42322,             20259035,,,,              2565340,,                 99495,,                737764,,                941323,,              1186227,                194639,,,                545000,                 81966,                626966,              6351754,,,              4144530,,                 25689,,,                894750,                 23198,                917948,              5088167,             11439921,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1165804,                 81640,,              3360586,              4608030,,,                 -4506,                 -4506,              8761875,                 57239,              8819114,                169921,,                              0,,,
6605,2012年12月31日,,,,              1603038,,                              0,,,,                258024,,              2292827,,                118701,,,,              2767367,,                152817,              7301952,,,              8638356,,                 81254,,                 21815,                688757,,              1915887,                 12838,,                246739,              2217960,             11648142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                104480,                  4698,                 42496,             18950094,,,,              2595426,,                 99495,,                739823,,                865532,,              1308434,                125549,,,                563750,                 55563,                619313,              6353572,,,              3310108,,                 19446,,,                871200,                 19241,                890441,              4219995,             10573567,,,,              1658164,              1658164,,,              1931044,                534693,              2465737,                 34450,              2500187,,              1165804,                              0,,              3052453,              4218257,,,                -56527,                -56527,              8320081,                 56446,              8376527,,,                              0,,                              0,
