證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 遞延所得稅資產,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應付票據,　　　　 應付票據合計,　　　　　 其他權益－員工未賺得酬勞,　　　　 應付董監事酬勞,　　　　 其他流動負債－其他,　　　　　 備供出售金融資產未實現損益－母公司
8016,2015年09月30日,,,,              1127178,,                 13149,,                358456,,                634624,,              1056958,,                 76378,,,              1486734,              1486734,,                 48250,,                  7016,              4808743,,,                 35280,,                409403,,                100000,,                 64790,,                              0,,                676819,,                299470,,                 53582,,,                 67581,                 67581,              1706925,              6515668,,,,,                554484,,                  1402,,                972241,,                135046,                 17085,                465004,                617135,                104447,,                  5089,,                 53803,              2308601,,,                    591,,,                              0,                 49904,                 26470,                 76374,                 76965,              2385566,,,,              1191376,              1191376,,                647291,,                600450,,              1514303,              2114753,,,                  1583,,                -13218,,                 -6055,                -17690,              3935730,                194372,              4130102,              6515668,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016,2015年06月30日,,,,              1260175,,                251055,,                369510,,                928518,,                943147,,                 15873,,,              1759585,              1759585,,                 78700,,                  7801,              5614364,,,                 35332,,                383627,,                100000,,                 74046,,                              0,,                720888,,                252214,,                 55466,,,                 63861,                 63861,              1685434,              7299798,,,,,                894215,,,,              1293716,,                118016,                 28337,                397304,              1079776,                105926,,                  5089,,                 30092,              3408814,,,                    284,,,                              0,                 50204,                 27788,                 77992,                 78276,              3487090,,,,              1191376,              1191376,,                651338,,                600450,,              1283493,              1883943,,,                    722,,                -27940,,                 -8391,                -35609,              3691048,                121660,              3812708,              7299798,              0,              0,,                              0,                536119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016,2015年03月31日,,,,              1285325,,                372710,,                422482,,                544029,,                994373,,                 50830,,,              1317271,              1317271,,                 67026,,                  4934,              5058980,,,                 35473,,                420746,,                100000,,                 79236,,                              0,,                718709,,                253196,,                 58358,,,                 63903,                 63903,              1729621,              6788601,,,,,                654170,,,,              1054514,,                130549,,                415604,                546153,                141477,,                  5089,,                 29928,              2431331,,,                    140,,,                              0,                 50688,                 27806,                 78494,                 78634,              2509965,,,,              1191376,              1191376,,                651239,,                529299,,              1732920,              2262219,,,                  1018,,                 62151,,                -10700,                 52469,              4157303,                121333,              4278636,              6788601,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016,2014年12月31日,,,,              1198436,,                370688,,                428350,,                569184,,                913775,,                  9962,,,              1048468,              1048468,,                 85111,,                  2418,              4626392,,,                 35401,,                425819,,                100000,,                 43050,,                 50000,,                724565,,                254177,,                 59855,,,                  3443,                  3443,              1696310,              6322702,,,,,                507235,,                              0,,                964759,,                 80814,                 19760,                420473,                521047,                 97793,,                  5089,,                 43206,              2139129,,,                     43,,,                 15000,                 50966,                 27806,                 93772,                 93815,              2232944,,,,              1191376,              1191376,,                651239,,                529299,,              1537198,              2066497,,,                  1193,,                 73092,,                -12985,                 61300,              3970412,                119346,              4089758,              6322702,              0,              0,,                              0,                              0,              1198436,                569184,                 50000,              6322702,,,,                507235,,                964759,,                100574,                420473,                521047,                 97793,,                  5089,,                 43206,              2139129,,,                     43,,,                 15000,                 50966,                 27806,                 93772,                 93815,              2232944,,,,              1191376,              1191376,,                651239,,                529299,,              1537198,              2066497,,,                  1193,,                 73092,,                -12985,                 61300,              3970412,                119346,              4089758,              0,,,,,,,,,,,,,,
8016,2014年09月30日,,,,              1461285,,                320049,,                191699,,                239284,,                894974,,                 38778,,,                935256,                935256,,                 57049,,                  2547,              4140921,,,                 35622,,                              0,,                100000,,                 46865,,                 50000,,                719842,,                255139,,                 60374,,,                 19551,                 19551,              1287393,              5428314,,,,,                 59623,,                    493,,                812049,,                 48190,                 13266,                440601,                502057,                 64620,,                  5089,,                 89406,              1533337,,,                  1020,,,                 15000,                 48808,                  9556,                 73364,                 74384,              1607721,,,,              1191376,              1191376,,                651239,,                529299,,              1306829,              1836128,,,                    507,,                 44038,,                -17816,                 26729,              3705472,                115121,              3820593,              5428314,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016,2014年06月30日,,,,                839208,,                778921,,                224992,,                219278,,                753353,,                  4268,,,              1213008,              1213008,,                 66431,,                  3009,              4102502,,,                              0,,                              0,,                100000,,                 51077,,                 50000,,                721057,,                256140,,                 63593,,,                  6042,                  6042,              1247909,              5350411,,,,,                 83468,,,,                675301,,                 64653,                 19396,                316451,                757943,                 66748,,                  5089,,                 34284,              1622833,,,                    344,,,                 15000,                 49088,                 11056,                 75144,                 75488,              1698321,,,,              1191176,              1191176,,                644831,,                529299,,              1117905,              1647204,,,                    -15,,                 77331,,                -22647,                 54669,              3537880,                114210,              3652090,              5350411,              0,              0,,                     34,                357443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016,2014年03月31日,,,,              1232547,,                351197,,                233161,,                219254,,                707325,,                 41071,,,              1332576,              1332576,,                 47630,,                  2094,              4167250,,,                              0,,                              0,,                100000,,                 55495,,                 50000,,                700664,,                257122,,                 66985,,,                 25302,                 25302,              1255568,              5422818,,,,,                162350,,,,                794596,,                 66981,,                327789,                394770,                111560,,                  5089,,                 32873,              1501238,,,                    419,,,                 15000,                 49366,                  9531,                 73897,                 74316,              1575554,,,,              1191476,              1191476,,                644237,,                486442,,              1372331,              1858773,,,                    366,,                 85500,,                -28273,                 57593,              3752079,                 95185,              3847264,              5422818,              0,              0,,                    395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016,2013年12月31日,,,,,,                359607,,                188335,,,,                748615,,                 49125,,,              1099663,              1099663,,                 49647,,                  3409,              3697184,,,                              0,,                              0,,                100000,,                 59503,,,,                703092,,                258103,,                 70837,,,                  2645,                  2645,              1244180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                    297,,                979279,                219207,                 50000,              4941364,,,,                 44805,,                606823,,                 50142,                342861,                393003,                 79336,,                  5089,,                 54006,              1183062,,,                  4131,,,                 30000,                 49640,                  9531,                 89171,                 93302,              1276364,,,,              1191476,              1191476,,                644237,,                486442,,              1228406,              1714848,,,                    450,,                 56891,,                -33145,                 24196,              3574757,                 90243,              3665000,              0,                              0,,                              0,                              0,,,,,,,,,,
8016,2013年09月30日,,,,,,                235952,,                 87552,,,,                745976,,                 53278,,,              1446562,              1446562,,                 43576,,                 14391,              3538688,,,                              0,,,,                100000,,                135249,,,,                715275,,                259084,,                 12067,,,                  2633,                  2633,              1289841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  3106,,                689088,                219207,                 50000,              4828529,,,,                 36000,,                668812,,                 66234,                316224,                382458,                 57925,,                  5089,,                 64952,              1215236,,,                  1853,,,                              0,                 68111,                 16025,                 84136,                 85989,              1301225,,,,              1191476,              1191476,,                644237,,                486442,,              1075513,              1561955,,,                     62,,                 72846,,                -38923,                 33985,              3431653,                 95651,              3527304,              0,                 15533,,                              0,,,,,,,,,,,
8016,2013年06月30日,,,,,,                363393,,                102407,,,,                711008,,                 16538,,,              1573619,              1573619,,                 64182,,                  2000,              3761806,,,                 36434,,,,                100000,,                143228,,,,                730762,,                260066,,                 15133,,,                  2918,                  2918,              1368062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                  4019,,                706933,                217707,                 50000,              5129868,,,,                 43307,,                843900,,                 62118,                279308,                636795,                 34494,,                  5089,,                 38769,              1602354,,,                  2946,,,                              0,                 68121,                 21822,                 89943,                 92889,              1695243,,,,              1181476,              1181476,,                615057,,                486442,,                958373,              1444815,,,                    293,,                 87701,,                              0,                 87994,              3329342,                105283,              3434625,              0,                 29521,,,                295369,,,,,,,,,,
