證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　 共同控制下前手權益
8039,2015年09月30日,,,,              2269708,,                 25837,,                655067,,              4055664,,                212198,,              1229167,,                107199,,                132746,              8687586,,,                              0,,                              0,,              2652489,,                110697,                131068,,,                100388,                100388,              2994642,             11682228,,,,,              1009045,,                              0,,                    366,,              1887322,,                563929,                 60358,,,                301765,                301765,                  4753,                306518,              3827538,,,                789257,,                213545,,                 86702,                     47,                 86749,              1089551,              4917089,,,,              2042778,                     80,              2042858,,              1447952,,                611177,                102158,,              2407558,              3120893,,                108176,                 98744,              6621135,                144004,              6765139,             11682228,          8000,      2318000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,2015年06月30日,,,,              3800020,,                 27499,,              1199682,,              3047441,,                179845,,              1279394,,                 69254,,                 35415,              9638550,,,                              0,,                  1206,,              2440767,,                114065,                137273,,,,                 95483,              2788794,             12427344,,,,,                934707,,                  1680,,                 26680,,              1817806,,              1113030,                118287,,,                 22255,                 22255,                  3374,                 25629,              4037819,,,              1730973,,                177550,,                 85072,                     97,                 85169,              1993692,              6031511,,,,              2042678,                    100,              2042778,,              1447953,,                611177,                102158,,              2106325,              2819660,,                 43593,                 98744,              6255240,                140593,              6395833,             12427344,         10000,      2318000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,2015年03月31日,,,,              3922934,,                 29088,,                906568,,              2992626,,                423302,,              1211009,,                150815,,                 39299,              9675641,,,                              0,,                  3761,,              2441027,,                115692,                131745,,,,                103915,              2796140,             12471781,,,,,              1130637,,                              0,,                 83623,,              1668297,,                451531,                180463,,,                125401,                125401,                  3175,                128576,              3643127,,,              1679556,,                196303,,                 83269,                     98,                 83367,              1959226,              5602353,,,,              2042678,                              0,              2042678,,              1447619,,                522935,                102158,,              2637798,              3262891,,                 65543,                 98744,              6719987,                149441,              6869428,             12471781,              0,      2318000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,2014年12月31日,,,,              3406445,,                 21643,,                889499,,              3794721,,                173929,,                926417,,                112418,,                 67567,              9392639,,,                              0,,                  5655,,              2422737,,                117086,                120157,,,                124510,                124510,              2790145,             12182784,,,,,              1218972,,                  5602,,                205739,,              1640159,,                583839,                144980,,,                 22027,                 22027,                 15981,                 38008,              3837299,,,              1302281,,                205979,,                 81473,                     66,                 81539,              1589799,              5427098,,,,              2042608,                     70,              2042678,,              1447619,,                522935,                102158,,              2501729,              3126822,,                 80544,                 98744,              6598919,                156767,              6755686,             12182784,          7000,      2318000,              3406445,             12182784,,,,              1218972,,                  5602,,                205739,,              1640159,,                583839,                144980,,,                 22027,                 22027,                 15981,                 38008,              3837299,,,              1302281,,                205979,,                 81473,                     66,                 81539,              1589799,              5427098,,,,              2042608,                     70,              2042678,,              1447619,,                522935,                102158,,              2501729,              3126822,,                 80544,                 98744,              6598919,                156767,              6755686,              0,,,,
8039,2014年09月30日,,,,              3289447,,                 22432,,              1005977,,              3922960,,                 50745,,              1143412,,                136724,,                 36642,              9608339,,,                              0,,                  6075,,              2406858,,                113532,                 90521,,,                141979,                141979,              2758965,             12367304,,,,,              1576967,,                  1794,,                154841,,              1839258,,                575756,                 99380,,,                 21914,                 21914,                  4033,                 25947,              4273943,,,              1220601,,                173933,,                 77680,                  1282,                 78962,              1473496,              5747439,,,,              2040593,                  2015,              2042608,,              1446802,,                522935,                102158,,              2319953,              2945046,,                 31859,                              0,              6466315,                153550,              6619865,             12367304,        201500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,2014年06月30日,,,,              3748849,,                 25812,,                862578,,              3788385,,                 40720,,              1021221,,                117662,,                 35344,              9640571,,,                              0,,                  8626,,              2378102,,                113882,                 86555,,,,                102066,              2689231,             12329802,,,,,              1081816,,                    148,,                 29389,,              1542174,,              1107517,                132521,,,              1591739,              1591739,                 20867,              1612606,              5506171,,,                303613,,                156389,,                 75979,                              0,                 75979,                535981,              6042152,,,,              2039764,                    830,              2040594,,              1442045,,                522935,                102158,,              2030025,              2655118,,                 -3688,                              0,              6134069,                153581,              6287650,             12329802,         83000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,2014年03月31日,,,,              4038957,,                 19886,,                633290,,              3118761,,                 49260,,              1030574,,                147541,,                 35090,              9073359,,,                              0,,                 11242,,              2392367,,                116173,                 81846,,,,                106354,              2707982,             11781341,,,,,              1226410,,                  1384,,                    331,,              1110693,,                507220,                173615,,,              1616665,              1616665,                  3360,              1620025,              4639678,,,                312796,,                169241,,                 74274,                              0,                 74274,                556311,              5195989,,,,              2039254,                    510,              2039764,,              1439115,,                422401,                102158,,              2407289,              2931848,,                 21864,                              0,              6432591,                152761,              6585352,             11781341,         51000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,2013年12月31日,,,,,,                 18454,,              1018352,,              3172520,,                 77735,,                957424,,                107544,,                 35300,              8916609,,,,,                              0,,              2367002,,                119595,                 77382,,,,                114192,              2678171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      1049173,              0,              3529280,             11594780,,,,              1050712,,                    244,,                    345,,              1472982,,                597776,                133396,,,                 21615,                 21615,                  4450,                 26065,              3281520,,,              1679851,,                157065,,                 72592,                              0,                 72592,              1909508,              5191028,,,,              2028762,                 10492,              2039254,,              1436848,,                422401,                102158,,              2231520,              2756079,,                 17918,                              0,              6250099,                153653,              6403752,              0,,,,
8039,2013年09月30日,,,,,,                 17875,,                924122,,              3187246,,                 89101,,              1115598,,                 79290,,                 49807,              8664992,,,                  6226,,                  3059,,              2290981,,                112740,                 68963,,,,                 95010,              2599140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        275500,              0,              3201953,             11264132,,,,              1450232,,                    167,,                 41280,,              1793348,,                463291,                 67990,,,                 17727,                 72738,                 12474,                 85212,              3901520,,,              1121801,,                130861,,                 61776,                    152,                 61928,              1314590,              5216110,,,,              2026007,                  2755,              2028762,,              1395104,,                422401,                102158,,              1961554,              2486113,,                 -4187,                              0,              5905792,                142230,              6048022,              0,,                 22161,                 55011,                              0
8039,2013年06月30日,,,,,,                 16710,,                808128,,              2707417,,                 58550,,                969611,,                 85735,,                 52206,              8259418,,,                  6226,,                  7379,,              2305503,,                115748,                 71500,,,,                 94737,              2619635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              3561061,             10879053,,,,              1282146,,                    179,,                 41501,,              1490472,,                777000,                 93858,,,                 17636,                 72276,                 50024,                122300,              3807456,,,              1140681,,                145324,,                 60336,                    179,                 60515,              1346520,              5153976,,,,              2026007,                              0,              2026007,,              1386253,,                422401,                102158,,              1641493,              2166052,,                  6266,,              5584578,                140499,              5725077,              0,,                 18542,                 54640,
8039,2013年03月31日,,,,,,                 17314,,                819875,,              2376061,,                 66260,,                954238,,                113698,,                 37435,              7698019,,,                  6226,,                 12277,,              2263492,,                118403,                114664,,,,                 88044,              2624719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         30000,              0,              3313138,             10322738,,,,              1287961,,                  4730,,                    315,,              1159696,,                406321,                149914,,,                 17546,                 71818,                 11895,                 83713,              3092650,,,              1245852,,                166108,,                 58890,                    205,                 59095,              1471055,              4563705,,,,              2025707,                    300,              2026007,,              1385546,,                360394,                102158,,              1763521,              2226073,,                -17716,,              5619910,                139123,              5759033,,,                 21613,                 54272,
8039,2012年12月31日,,,,              2571347,,                 18348,,                589303,,              2420669,,                 60994,,              1038155,,                115406,,                106880,              6921102,,,                  6226,,                 16762,,              2163227,,                120288,                115870,,,,                 88973,              2530761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         97750,              0,,              9451863,,,,              1252939,,                    255,,                  1388,,              1048456,,                416939,                118965,,,                133615,                189474,                  5854,                195328,              3034270,,,                651114,,                157736,,                 57459,                    301,                 57760,                866610,              3900880,,,,              2024729,                    978,              2025707,,              1384128,,                360394,                102158,,              1599860,              2062412,,                -54817,,              5417430,                133553,              5550983,,,                 19415,                 55859,
8039,2012年09月30日,,,,              2527100,,                 29742,,                787244,,              2454466,,                 35549,,              1659584,,                133681,,                 81919,              7709285,,,                  6226,,                 17280,,              2168840,,                121267,                103951,,,,                 74247,              2504276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         67500,              0,,             10213561,,,,              1313024,,                  6804,,                 18183,,                951195,,                317188,                 97241,,,                 67268,                446719,                 15245,                461964,              3165599,,,              1425166,,                156573,,                 37738,                    398,                 38136,              1619875,              4785474,,,,              2024054,                    675,              2024729,,              1381768,,                360394,                102158,,              1487247,              1949799,,                -61029,,              5295267,                132820,              5428087,,,                 12465,                379451,
8039,2012年06月30日,,,,              2830507,,                 25927,,                840747,,              2004119,,                 33661,,              1438336,,                 51375,,                231382,              7456054,,,                  6226,,                 21387,,              2199246,,                125934,                 89519,,,,                 71947,              2526003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         27500,              0,,              9982057,,,,                605156,,                  3110,,                 61632,,              1112258,,                680668,                109765,,,                151892,                528785,                  5546,                534331,              3106920,,,              1392552,,                162721,,                 36521,                    495,                 37016,              1592289,              4699209,,,,              2023779,                    275,              2024054,,              1384647,,                360394,                102158,,              1330926,              1793478,,                -33565,,              5168614,                114234,              5282848,,,                 11744,                376893,
8039,2012年03月31日,,,,              3302322,,                 35072,,                568422,,              1591569,,                 39700,,              1200480,,                 33743,,                199058,              6970366,,,                  6226,,                 27184,,              2199083,,                 99358,                 74013,,,,                 70737,              2488190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              9458556,,,,                564387,,                  5867,,                 86180,,                790156,,                286980,                133010,,,                147037,                521389,                  4925,                526314,              2392894,,,              1476201,,                153814,,                 35475,                  2614,                 38089,              1668104,              4060998,,,,              2023779,                              0,              2023779,,              1377457,,                304095,                125791,,              1524510,              1954396,,                -43702,,              5311930,                 85628,              5397558,,,                 11589,                374352,
8039,2012年01月01日,,,,              2944906,,                 39150,,                412074,,              1461514,,                 41504,,              1337430,,                 32209,,                215020,              6483807,,,                  6226,,                 32198,,              2232830,,                101229,                 62674,,,,                 66439,              2513574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              8997381,,,,              1429780,,                  7871,,                 71122,,                598816,,                275684,                 94911,,,                363591,                735419,                  8536,                743955,              3222139,,,                286002,,                165113,,                 34351,                  2762,                 37113,                488228,              3710367,,,,              2019444,                              0,              2019444,,              1367638,,                304095,                125791,,              1389266,              1819152,,                 -9911,,              5196323,                 90691,              5287014,,,                 11978,                371828,
