證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 其他應付款－其他,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 當期所得稅資產合計,　　　 資本公積,　　　　 資本公積合計,　　　　 應付股利,　　　　 特別盈餘公積,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
8072,2015年09月30日,,,,                633624,,                100039,,                811282,,                 11018,,                271464,,                  2203,,                  5269,,                 17977,,                367790,,                  5416,                  5540,                 10956,              2231622,,,                 39700,,                784335,,                 11251,,,                     85,                     85,                  7787,,,                 13017,                 13017,                856175,              3087797,,,,,                    110,,                133018,,                  1789,,                169471,                  7276,,                              0,,,                 11156,                  1987,                 13143,                324807,,,                  7966,,                    100,                    100,                  8066,                332873,,,,              1000000,              1000000,,                  1871,,              1038939,,                677276,              1716215,,                     39,              2718125,                 36799,              2754924,              3087797,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,2015年06月30日,,,,                676330,,                              0,,                935415,,                 10631,,                242814,,                  6620,,                    150,,                 17977,,                450502,,                  5963,                  8638,                 14601,              2355040,,,                 30400,,                786481,,                 11265,,,                    108,                    108,                  6617,,,                 13104,                 13104,                847975,              3203015,,,,,                     20,,                155574,,                  1854,,                308908,                 25920,,                              0,,,                 12212,                  1865,                 14077,                506353,,,                  4169,,                    100,                    100,                  4269,                510622,,,,              1000000,              1000000,,                    251,,              1038939,,                619679,              1658618,,                              0,              2658869,                 33524,              2692393,              3203015,              0,              0,                149732,                159176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,2015年03月31日,,,,                710344,,,,                888225,,                  7981,,                282714,,                  4926,,                  9202,,,,                469912,,                  3974,                 28462,                 32436,              2405740,,,                  8800,,                789202,,                 11279,,,                    131,                    131,                 14947,,,                 13036,                 13036,                837395,              3243135,,,,,                    720,,                194973,,                    500,,                148328,                 16664,,                 50143,,,                 21576,                  1503,                 23079,                434407,,,                  6076,,                    100,                    100,                  6176,                440583,,,,              1000000,              1000000,,,,              1010464,,                753018,              1763482,,,              2763482,                 39070,              2802552,              3243135,              0,              0,,                148328,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,2014年12月31日,,,,                816356,,                              0,,                795475,,                  5227,,                316229,,                  2785,,                  5882,,                              0,,                405682,,                  1700,                  5148,                  6848,              2354484,,,                 11700,,                792028,,                 11293,,,                    154,                    154,                 14023,,,                 13083,                 13083,                842281,              3196765,,,,,                    713,,                173183,,                  4536,,                146493,                 20614,,                 50143,,,                 13294,                  3419,                 16713,                412395,,,                  9621,,                    100,                    100,                  9721,                422116,,,,              1000000,              1000000,,                              0,,              1010464,,                726929,              1737393,,                              0,              2737393,                 37256,              2774649,              3196765,              0,              0,                              0,                146493,              0,                816356,                795475,                 11700,              3196765,,,,                    713,,                173183,,                  4536,,                146477,                146477,                     16,                 20614,,                 50143,,,                 13294,                  3419,                 16713,                412395,,,                  9621,,                    100,                    100,                  9721,                422116,,,,              1000000,              1000000,,              1010464,,                726929,              1737393,,                              0,              2737393,                 37256,              2774649,,,,,,,
8072,2014年09月30日,,,,                803740,,                              0,,                754316,,                 19203,,                277086,,                  1959,,                  7761,,                    490,,                421938,,                  1141,                  4977,                  6118,              2292611,,,                  5000,,                794978,,                 11306,,,                    186,                    186,                 12587,,,                 12846,                 12846,                836903,              3129514,,,,,                    675,,                187810,,                  3078,,                170167,                  3856,,                 50143,,,                 16777,                  1702,                 18479,                434208,,,                  3947,,                    100,                    100,                  4047,                438255,,,,              1000000,              1000000,,                              0,,              1010464,,                645678,              1656142,,                              0,              2656142,                 35117,              2691259,              3129514,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,2014年06月30日,,,,              1751363,,                240010,,              1587357,,                 16194,,                257530,,                  2632,,                    205,,                              0,,                416499,,                              0,                 10314,                 10314,              4282104,,,                              0,,                797990,,                 11320,,,                     84,                     84,                 20841,,,                 12890,                 12890,                843125,              5125229,,,,,                    666,,                160035,,                  6237,,              2157455,                 56149,,                104759,,,                 17453,                  4975,                 22428,              2507729,,,                  2085,,                     90,                     90,                  2175,              2509904,,,,              1000000,              1000000,,                              0,,              1010464,,                581373,              1591837,,                     10,              2591847,                 23478,              2615325,              5125229,              0,              0,              2004292,                153163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,2014年03月31日,,,,              1200409,,,,              2317417,,                  9660,,                186783,,                  6661,,                  4664,,,,                419355,,                  1555,                  7256,                  8811,              4153760,,,                 56800,,                800455,,                 11334,,,                    166,                    166,                 20889,,,                 15042,                 15042,                904686,              5058446,,,,,                    666,,                143841,,                  4092,,                141468,                 72799,,                104759,,,                 19443,                  1611,                 21054,                488679,,,                  3544,,                     90,                     90,                  3634,                492313,,,,              1000000,              1000000,,,,                959259,,              2580327,              3539586,,,              4539586,                 26547,              4566133,              5058446,              0,              0,,                141468,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072,2013年12月31日,,,,,,,,,,                  3671,,                220718,,                  2047,,                  7702,,,,                447897,,                  2215,                  2195,                  4410,              4100704,,,,,                804150,,                 11348,,,,                    252,                 21225,,,                 18648,                 18648,                894223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1375257,              2039002,                 38600,              4994927,,,,                    650,,                173834,,                  9263,,                145792,                145792,                    359,                 55968,,                104759,,,                 19331,                  3257,                 22588,                513213,,,                  3347,,                     90,                     90,                  3437,                516650,,,,              1000000,              1000000,,                959259,,              2493704,              3452963,,                              0,              4452963,                 25314,              4478277,,,,,,,
8072,2013年09月30日,,,,,,,,,,                  8213,,                330770,,                  2050,,                 13110,,,,                448655,,                  3485,                  6938,                 10423,              4118517,,,,,                806498,,                 11362,,,                    350,                    350,                 13000,,,                 16529,                 16529,                847739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1549117,              1756179,                              0,              4966256,,,,                     29,,                211168,,                 14169,,                168804,                168804,                    386,                 32361,,                 49924,,,                 24579,                  1794,                 26373,                503214,,,                  1909,,                     90,                     90,                  1999,                505213,,,,              1000000,              1000000,,                959259,,              2477565,              3436824,,                              0,              4436824,                 24219,              4461043,                              0,,                              0,,,,
8072,2013年06月30日,,,,,,                              0,,,,                  6754,,                302480,,                  3626,,                    519,,,,                470855,,                  1468,                  9183,                 10651,              4758723,,,,,                808481,,                 11376,,,                    468,                    468,                 11766,,,                 18247,                 18247,                850338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,              1776551,              2187287,                              0,              5609061,,,,                     20,,                247285,,                 16259,,                179860,                883463,                    389,                 74427,,                 49924,,,                 34442,                  2876,                 37318,              1309085,,,                  2269,,                     90,                     90,                  2359,              1311444,,,,              1000000,              1000000,,                959259,,              2319286,              3278545,,                              0,              4278545,                 19072,              4297617,,,,                703603,,,
