證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　 非控制權益,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　 遞延所得稅資產,　　　 避險之衍生金融負債－流動,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 預付貨款,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金
8105,2015年09月30日,,,,              3939490,,                 57489,,                  4253,,              2059766,,                232148,,                 64641,,                  3583,,                  2488,,,                814609,                814609,,                166013,,                      7,              7344487,,,                 23507,,                              0,,              3962173,,                 39047,,,                467226,                467226,              4491953,             11836440,,,,,                555000,,                 13263,,              1792337,,                 54546,,                808681,                 23764,                 36109,,,                              0,                332448,                332448,                 78044,                410492,              3694192,,,                456452,,                 28425,                 10060,                 38485,                494937,              4189129,,,,              4415449,              4415449,,              2618982,,,                428200,                428200,,,                184680,                184680,                              0,              7647311,              7647311,             11836440,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2015年06月30日,,,,              3522210,,                 56998,,                              0,,              1894025,,                310184,,                 51057,,                  4664,,                  2321,,,                878582,                878582,,                161896,,                      4,              6881941,,,                 53507,,                              0,,              4070494,,                 42377,,,                457138,                457138,              4623516,             11505457,,,,,                675000,,                 27057,,              1675286,,                170668,,                704773,                 21182,                 36105,,,                              0,                339498,                339498,                 54320,                393818,              3703889,,,                528907,,                 28827,                  9978,                 38805,                567712,              4271601,,,,              4415449,              4415449,,              2618982,,,                 81414,                 81414,,,                118011,                118011,                              0,              7233856,              7233856,             11505457,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2015年03月31日,,,,              2935475,,                221626,,                      5,,              1522425,,                427460,,                 78922,,                    831,,                  3943,,,              1069800,              1069800,,                162438,,                    110,              6423035,,,                 53507,,                              0,,              4262832,,                 45579,,,                471127,                471127,              4833045,             11256080,,,,,                650000,,                 60397,,              1648491,,                182690,,                672960,                 22477,                 36107,,,,                379438,                379438,                 50108,                429546,              3702668,,,                294762,,                 29230,                 14785,                 44015,                338777,              4041445,,,,              4415449,              4415449,,              2618982,,,                 34862,                 34862,,,                145342,                145342,                              0,              7214635,              7214635,             11256080,              0,              0,,                              0,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2014年12月31日,,,,              2965908,,                 65172,,                  6701,,              1568868,,                234662,,                 66063,,                  4698,,                  5388,,,              1030498,              1030498,,                155755,,                    169,              6103882,,,                 53507,,                              0,,              4443689,,                 47200,,,                470553,                470553,              5014949,             11118831,,,,,                415000,,                 36893,,              1547958,,                158623,,                810109,                 21260,                 42557,,,                              0,                530800,                530800,                 49729,                580529,              3612929,,,                163491,,                 29635,                  9714,                 39349,                202840,              3815769,,,,              4415449,              4415449,,              2618982,,,                 79725,                 79725,,,                188906,                188906,                              0,              7303062,              7303062,             11118831,              0,              0,,                              0,,                              0,                              0,              0,              2965908,,                              0,,                              0,                              0,                 65172,                  5388,             11118831,,,,                415000,,                              0,,                              0,,                 36893,,              1547958,,                158623,,                810109,                 21260,                 42557,,,                              0,                530800,                530800,                 49729,                580529,              3612929,,,                163491,,                 29635,                  9714,                 39349,                202840,              3815769,,,,              4415449,              4415449,,              2618982,,,                 79725,                 79725,,,                188906,                188906,                              0,              7303062,                              0,              7303062,,,,,,,,,,,,,,,,,,,,,
8105,2014年09月30日,,,,              3439269,,                 58887,,                  7300,,              2220074,,                181902,,                 81907,,                  8047,,                              0,,,                920368,                920368,,                166159,,                    122,              7084035,,,                 61507,,                              0,,              4271838,,                 49365,,,                729528,                729528,              5112238,             12196273,,,,,                955703,,                 54676,,              1802072,,                395577,,                799976,                 23008,                 42372,,,                              0,                490800,                490800,                 29642,                520442,              4593826,,,                358636,,                 27067,                 16123,                 43190,                401826,              4995652,,,,              4415449,              4415449,,              2618982,,,                108334,                108334,,,                 57856,                 57856,                              0,              7200621,              7200621,             12196273,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2014年06月30日,,,,              3319749,,                 58696,,                 28469,,              2500625,,                141995,,                 58717,,                  7961,,                              0,,,                909083,                909083,,                177502,,                     74,              7202871,,,                 61507,,                  9974,,              4438746,,                 51501,,,                639390,                639390,              5201118,             12403989,,,,,              1371558,,                 60691,,              1693385,,                451297,,                712722,                 26007,                 43298,,,                  9484,                450800,                460284,                 38877,                499161,              4858119,,,                428762,,                 27652,                 15773,                 43425,                472187,              5330306,,,,              4414759,              4414759,,              2618303,,,                 35610,                 35610,,,                  5011,                  5011,                              0,              7073683,              7073683,             12403989,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2014年03月31日,,,,              3323215,,                242751,,                273147,,              2939348,,                416522,,                142616,,                  3770,,                              0,,,              1120515,              1120515,,                176013,,                     67,              8637964,,,                 61507,,                 15159,,              4659941,,                 53099,,,                648059,                648059,              5437766,             14075730,,,,,              1865826,,                 93491,,              1964153,,              1025346,,                741142,                 33200,                 48811,,,,                410800,                410800,                 52078,                462878,              6234847,,,                623883,,                 28232,                 14996,                 43228,                676550,              6911397,,,,              4414759,              4414759,,              2851719,,,               -165623,               -165623,,,                 63478,                 63478,                              0,              7164333,              7164333,             14075730,              0,              0,,                      1,,                  9439,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8105,2013年12月31日,,,,,,,,                 93863,,              2581082,,                435172,,                131202,,                     12,,,,,              1124001,              1124001,,                136317,,                     68,              6937913,,,                 61507,,                 16459,,              4821678,,                 56729,,,                573904,                573904,              5530277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,              2347006,,                              0,,                              0,                              0,                 89190,                              0,             12468190,,,,              1182465,,                 99728,,                  2997,,                 87060,,              1736191,,                619806,,                777276,                 33431,                 43669,,,                 81868,                304000,                385868,                 50473,                436341,              5018964,,,                344087,,                 28816,                 14689,                 43505,                387592,              5406556,,,,              4414759,              4414759,,              2854963,,,               -233416,               -233416,,,                 25328,                 25328,                              0,              7061634,                              0,              7061634,,,,,,,,,,,,,,,,,,,,,
8105,2013年09月30日,,,,,,,,                 10488,,              2189480,,                450165,,                217920,,                     75,,,,,              1196370,              1196370,,                703454,,                              0,              6730014,,,                 66036,,                 18881,,              4996044,,                 55816,,,                587082,                587082,              5723859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,,,              0,              1856162,,                              0,,                              0,                              0,                105900,,             12453873,,,,              1291198,,                199283,,                  2596,,                 33252,,              1512311,,                573324,,                740155,                 24717,                 47490,,,                 81477,                304000,                385477,                 61023,                446500,              4870826,,,                482483,,                 38072,                 26062,                 64134,                546617,              5417443,,,,              4414759,              4414759,,              2853987,,,               -210438,               -210438,,,                -21878,                -21878,                              0,              7036430,                              0,              7036430,,                              0,                              0,                              0,,                              0,,                              0,,                              0,,,,,,,,,,,
8105,2013年06月30日,,,,,,,,                              0,,              1593014,,                239464,,                146563,,                     59,,,,,              1254465,              1254465,,                805144,,                              0,              6081239,,,                 57696,,                 21699,,              5088926,,                 59474,,,                668641,                668641,              5913566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                              0,,,,              0,              2042530,,                              0,,                              0,                              0,                              0,,             11994805,,,,              1336117,,                              0,,                  2562,,                 15559,,              1270263,,                482584,,                601790,                 24958,                 72021,,,                 81087,                304000,                385087,                 36060,                421147,              4227001,,,                495861,,                 38550,                 33788,                 72338,                568199,              4795200,,,,              4414759,              4414759,,              2853987,,,                -73481,                -73481,,,                  4340,                  4340,                              0,              7199605,                              0,              7199605,,                 17130,                              0,                              0,,                              0,,                              0,,                              0,,,,,,,,,,,
